"start","end","text"
"1160","5140"," Histoire de la médecine arabo-musulmane, notion générale."
"6660","9320"," Une partie du sous-module Histoire de la"
"9320","12900"," médecine et du module Histoire de la médecine"
"12900","14200"," et psychologie."
"16800","18960"," En guise d'introduction, l'histoire de la"
"18960","21300"," médecine arabo-musulmane est riche d'enseignements et"
"21300","22260"," de découvertes. "
"22760","25440"," En effet, dans le Coran et les Hadiths,"
"25600","27560"," c'est une multitude de versets et de"
"27560","31800"," citations illustrant l'importance et valorisant l'importance"
"31800","32940"," de la santé."
"34240","38260"," Les savants arabo-musulmans ont un rôle très"
"38260","40840"," important et ont joué un rôle très important"
"40840","44080"," dans notre histoire médicale puisqu'ils ont assuré"
"44080","47220"," la traduction des textes scientifiques anciens."
"48120","50280"," Ils ont inventé à leur tour de nouveaux"
"50280","53540"," concepts, que ce soit dans une médecine globale"
"53540","55160"," qui s'occupe du corps et de l "
"55160","59180","'âme, de la diététique, la thérapie médicamente simple"
"59180","63040"," composée et le recours à la chirurgie, la"
"63040","66420"," structuration des hôpitaux et la mise en place"
"66420","67680"," d'écoles de médecine. "
"68460","71460"," Par ailleurs, ils ont autorisé le soin aux"
"71460","75640"," princes, mais également aux pauvres, en se basant"
"75640","77740"," sur des principes de médecine moderne."
"80710","82010"," Au niveau du plan, nous allons parler de"
"82010","84670"," la terminologie de cette histoire, quand et par"
"84670","87610"," quel processus la connaissance a été acquise, donc"
"87610","90710"," les trois étapes, l'organisation de l'exercice"
"90710","93250"," médical et quels sont les grands principes et"
"93250","94610"," qui en sont le fondement."
"96010","98690"," En terminologie, la médecine arabo-musulmane, c'est"
"98690","101490"," la médecine d'expression arabe, puisque c'est"
"101490","103790"," l'usage de l'arabe comme langue de"
"103790","107310"," culture qui a unifié les différentes composantes ethniques"
"107310","111370"," et religieuses de l'époque, particulièrement richissime par"
"111370","114610"," un vocabulaire scientifique et technique créé au fur"
"114610","116430"," et à mesure des besoins. "
"116430","119610"," La médecine prophétique, 40 ans après l'avènement"
"119610","120490"," de l'islam."
"121590","123570"," Je m'explique, c'est qu'on ne"
"123570","126890"," l'appelle pas médecine musulmane, mais on ne"
"126890","129750"," l'appelle pas aussi médecine arabe, mais arabo "
"129750","132610","-musulmane, parce qu'elle a lieu dans l "
"132610","136350","'époque musulmane, de l'empire musulman, et elle"
"136350","139490"," a été écrite dans la langue arabe et"
"139490","141910"," exprimée par la langue arabe, qui était la"
"141910","144230"," langue de la science de l'époque, exactement"
"144230","146670"," comme l'anglais, par exemple, aujourd'hui."
"147170","148630"," Les grandes étapes. "
"149730","152270"," La première période débute au 1er siècle de"
"152270","157390"," l'Egypte, donc au 7e siècle, et s "
"157390","159110","'étend au 8e siècle."
"159370","161470"," Elle a été caractérisée par la fièvre de"
"161470","165050"," la traduction, donc les savants arabo-musulmans se"
"165050","167930"," sont penchés sur la traduction des ouvrages des"
"167930","171830"," Perses, des Romains, et deuxièmement, la soif d "
"171830","174750","'apprendre, ils se sont acharnés pour apprendre, mais"
"174750","177310"," aussi de compiler tous ces écrits anciens et"
"177310","179410"," de les commenter et de les traduire pour"
"179410","180170"," les assimiler."
"181150","184150"," Le contenu de cette première étape était la"
"184150","188010"," médecine prophétique, et le grand médecin de cette"
"188010","190790"," époque était al-Harith ibn Qilayda. "
"192850","195110"," Première étape, la médecine prophétique."
"195290","198270"," La période théocratique du prophète et ses concesseurs"
"198270","200650"," immédiats, les quatre califs, a duré un peu"
"200650","203130"," moins de 40 ans, basée sur les connaissances"
"203130","206510"," médicales données par l'enseignement du prophète lui "
"206510","209650","-même, issus du Coran et de la Sunna."
"210630","214650"," Les principes 1, modification de certaines habitudes populaires"
"214650","218750"," pour se souvenir, 2, des recommandations d'abord"
"218750","220350"," d'une médecine d'hygiène, vous le savez"
"220350","222630"," très bien que l'islam a incité sur"
"222630","225150"," la propreté et l'hygiène, qui est la"
"225150","227350"," base de la santé et de la médecine. "
"227990","230870"," Troisièmement, ce sont des conseils surtout de nourriture,"
"230870","232910"," éviter l'excès de nourriture, on le sait"
"232910","234850"," maintenant, quand on est en excès de nourriture,"
"234930","237530"," on est obèse, et de mettre devant ses"
"237530","241290"," responsabilités tout médecin insuffisant dont ses connaissances et"
"241290","242710"," de sa pratique dans son art."
"243510","246410"," Quatrièmement, le remède utilisé par le prophète se"
"246410","248710"," présente sous trois formes, le remède par les"
"248710","252670"," médicaments naturels, le remède par les médicaments divins"
"252670","255730"," et le remède composé par les deux."
"257410","259649"," Quel a été le premier médecin arabe et"
"259649","260850"," le médecin de cette époque ?"
"260850","264670"," C'est Al-Harif Ibn Qilada, formé à"
"264670","267590"," l'école de Jeanne d'Isapour en Perse,"
"267690","269110"," donc il y avait une école à l "
"269110","273770","'époque en Perse, et les recommandations médicales de"
"273770","276330"," ce médecin, c'est l'hygiène alimentaire et"
"276330","280030"," sexuelle, l'usage des lavements et des ventouses,"
"280590","282610"," et l'usage des drogues et des médicaments"
"282610","284370"," en cas de nécessité absolue. "
"285880","288840"," Deuxième étape, c'est celle des découvertes, c "
"288840","291040","'est l'âge d'or de cette époque"
"291040","293540"," arabo-musulmane, c'est pendant la conquête de"
"293540","296560"," l'Egypte, mis les musulmans au contact de"
"296560","301620"," la célèbre école d'Alexandrie, donc Iskenderia, 16"
"301620","304780"," livres de Galien, qui constituaient le dogme scientifique"
"304780","307340"," de cette école, sont traduits et commentés."
"308100","310260"," Donc les musulmans, quand ils sont arrivés en"
"310260","314120"," Egypte, après la conquête, ils ont approché la"
"314120","316820"," science de Galien, et la science de l "
"316820","319540","'Egypte, et la science médicale de cette région."
"320700","322660"," Au VIIe siècle, sous le règne d'Al "
"322660","325740","-Mansur, débuta un large mouvement de traduction des"
"325740","328640"," œuvres grecques et du syriac à l'arabe. "
"328960","331420"," Là, on a vu, c'était la traduction"
"331420","334620"," des ouvrages égyptiens, au VIIe siècle, c'est"
"334620","336660"," les œuvres grecques et syriac."
"337880","341300"," Vers 707, El-Walid Abdelmel créa les premiers"
"341300","343680"," hôpitaux, en commençant par celui de Damas."
"344420","345880"," Mais l'âge d'or de la science"
"345880","348780"," arabo-musulmane n'atteindra véritablement son sommet qu "
"348780","352880","'entre 750 et 850, pendant la période des"
"352880","354060"," caliphs Al-Habessides. "
"358220","361000"," A cette époque que la maison de la"
"361000","365220"," sagesse, patronnée par El-Mamoun, regroupait une pléiade"
"365220","367960"," de traducteurs et de commentateurs dans toutes les"
"367960","371240"," branches du savoir, la maison de la sagesse,"
"371440","373720"," c'est comme l'université."
"374420","376520"," Donc, il a été créé dans cette époque"
"376520","377780"," de l'université."
"378020","379740"," Donc, on a vu qu'il y avait"
"379740","385460"," la création d'hôpitaux, mais aussi d'universités. "
"385680","387540"," Donc, on sent que maintenant, on est vers"
"387540","389260"," l'hôpital universitaire."
"392620","395200"," Le calife les a encouragés au point de"
"395200","397400"," payer son poids en ombre pour tout livre"
"397400","399920"," qui a été traduit."
"400500","401860"," Troisième étape, c'est l'âge d'or,"
"401960","402600"," c'est la diffusion. "
"402980","405520"," Donc, c'est l'époque où les ouvrages"
"405520","407300"," se sont mis à diffuser dans le monde"
"407300","408040"," de l'époque."
"408940","411220"," Neuvième siècle, l'école de Bardet a son"
"411220","413260"," début véritable, le pôle scientifique."
"413680","415980"," A cette époque, les traducteurs les plus réputés"
"415980","421160"," furent Youhanna ibn al-Musayyah, son élève Hunayn"
"421160","426880"," ibn Ishaq, son fils Ishaq ibn Hunayn et"
"426880","429140"," son fils Ibn Sinaï. "
"429660","431480"," Donc, vous voyez qu'il y a eu"
"431480","434300"," beaucoup d'enseignants et beaucoup de grands médecins"
"434300","437740"," qui se sont assis dans ce siècle le"
"437740","439480"," neuvième à Bardet."
"439640","442100"," Ils traduisent donc les œuvres médicales grecques d "
"442100","445380","'Hippocrate, d'Occélia, d'Hiscoryde, mais d'autres"
"445380","447640"," aussi rédigèsent de nombreux traités."
"448180","449620"," Donc, il y a eu de la traduction,"
"450140","452860"," mais aussi de l'invention et de la"
"452860","455720"," rédaction de nouveaux traités qui furent les bases"
"455720","457740"," de l'enseignement médical en terre d'islam"
"457740","459020"," pendant plusieurs siècles. "
"459440","461520"," C'est également par leur intermédiaire que la"
"461520","464800"," médecine grecque fut découverte en Occident."
"465820","468720"," Lorsque Samosa a Tolède et en Italie du"
"468720","471980"," sud, 10e-11e siècle, un mouvement de traduction"
"471980","474760"," de ces œuvres arabes vers la langue latine."
"475180","478320"," Donc, sur cette diapo, on comprend que vers"
"478320","483020"," le 9e siècle, 10e siècle, arabo-musulmans sont"
"483020","486300"," apparus les facultés de médecine, les hôpitaux qui"
"486300","489920"," traitaient les patients, l'université, la traduction des"
"489920","496080"," livres des différentes langues de l'ancienne époque,"
"496200","499520"," mais aussi l'apparition des livres écrits en"
"499520","502640"," arabe, mais aussi qui ont été traduits pour"
"502640","505940"," être exportés en latin et qui ont fait"
"505940","508180"," la base de l'enseignement actuel dans les"
"508180","509640"," écoles de l'Occident. "
"511270","513549"," L'organisation de l'exercice de médecine et"
"513549","515130"," les hôpitaux, donc on voit que dans cette"
"515130","517150"," civilisation arabo-musulmane, il n'y a eu"
"517150","520450"," pas que facultés et hôpitaux et médecins, mais"
"520450","523250"," aussi, il semble que le premier hospice créé"
"523250","525230"," en Terre d'Islam fut à Damas au"
"525230","527790"," début du 7e siècle, vers 77 de l "
"527790","529550","'Égypte, par le calife Ibn Malik."
"529830","532270"," Ce dernier hébergea les Alinés et alloua un"
"532270","534630"," budget important pour leurs soins et subsistances."
"535170","537150"," À partir de cette époque, dans les principales"
"537150","540010"," villes, les hôpitaux prirent une grande extension en"
"540010","540890"," nombre et en qualité. "
"541430","544670"," La hiérarchie médicale était par ailleurs parfaitement codifiée"
"544670","547210"," et l'administration générale était confiée à un"
"547210","550050"," médecin, un directeur et vous voyez que pendant"
"550050","553110"," cette époque, on voit l'apparition des hôpitaux"
"553110","556150"," structurés et dirigés par des médecins et on"
"556150","557690"," organisait le soin comme il se doit."
"558610","561210"," Les études médicales, on voit là comment on"
"561210","564390"," avait réglementé la profession, se déroulaient plus souvent"
"564390","565590"," dans un seul hôpital."
"565970","568650"," L'étudiant ne suivait que les cours d "
"568650","570450","'un seul maître et dans un seul livre. "
"570670","573190"," Donc la médecine n'était pas livrée au"
"573190","576870"," charlatanisme, elle était dans sa formation, elle était"
"576870","579250"," livrée à des professeurs et elle était faite,"
"579370","583490"," apprise dans des livres et apprise dans des"
"583490","584970"," hôpitaux et des universités."
"585670","587350"," Le maître donnera à l'élève une fois"
"587350","591170"," son instruction terminée l'hygièsa ou certificat médical."
"591470","594010"," Donc on a commencé à donner aussi des"
"594010","594590"," diplômes. "
"594830","596490"," Le diplôme s'appelait l'hygièsa."
"597110","599110"," Mais il fallait encore pour exercer la médecine"
"599110","601270"," un autre examen qui confère le droit à"
"601270","602490"," la pratique médicale."
"602490","604950"," L'origine de cette organisation stricte des études"
"604950","606690"," romandes semble-t-il au début du 10e"
"606690","609130"," siècle et ce serait à la suite d "
"609130","612430","'un décès retentissant dû à une erreur thérapeutique"
"612430","615850"," que le calife Al-Muqtadir fait paraître inédite"
"615850","619070"," prescrivant la nécessité pour pratiquer l'ère médicale"
"619070","621730"," d'avoir été au préalable agréé par le"
"621730","625370"," chef des médecins qui était comme le président"
"625370","626850"," aujourd'hui du conseil de l'ordre. "
"627350","631470"," Donc on voyait que à cette époque il"
"631470","636930"," y avait déjà le corps médical qui autorise"
"636930","639710"," l'exercice médical par des papiers et selon"
"639710","643630"," des bases scientifiques 180 praticiens furent soumis à"
"643630","644270"," cet examen."
"644670","646190"," Donc c'était dans cette époque où on"
"646190","650730"," avait imposé la réglementation des professions médicales."
"650770","654370"," Le médecin également avant d'exercer doit posséder"
"654370","656410"," tous les instruments au complet qui sont les"
"656410","658170"," pinces pour les dents, les cotères pour l "
"658170","661530","'arate, les pinces, les sangs sûrs, les entonnoirs"
"661530","664150"," pour le lavement évacuateur mais aussi l'épaisseur"
"664150","665530"," pour les hémorroïdes, etc. "
"665910","668390"," L'essentiel c'est que pour exercer le"
"668390","670310"," médecin doit avoir des instruments."
"671290","674310"," Les orthopédistes devraient connaître le nombre d'os,"
"674430","676870"," donc la formation d'anatomie, la forme et"
"676870","678790"," la grandeur de chacun afin qu'il soit"
"678790","681230"," capable en cas de fracture ou de luxation"
"681230","683550"," de la réduire à sa forme antérieure."
"684010","687730"," Quant aux chirurgiens, il faut des connaissances des"
"687730","688770"," plâtres et des emplâtres. "
"688870","691290"," Ils devraient connaître l'anatomie, les organes du"
"691290","693630"," corps humain et leurs muscles, les veines, les"
"693630","695530"," artères, les nerfs pour les éviter en cas"
"695530","696110"," d'incision."
"696550","699130"," Donc on voit que le corps a été"
"699130","703430"," structuré en médecin, en orthopédiste et au chirurgien."
"705040","707240"," On passe aussi maintenant au principe de la"
"707240","708220"," médecine arabe. "
"708320","711400"," Les fondements de la médecine arabe reposent sur"
"711400","716380"," l'observation d'une progression systématique d'attitude."
"716580","718500"," L'accent est mis d'abord sur la"
"718500","720540"," nécessité de conserver la santé par le respect"
"720540","722080"," d'un certain nombre de règles d'hygiène."
"722820","725420"," Ensuite, lorsque la maladie était déclarée, il convient"
"725420","726640"," de lutter contre elle. "
"727120","729460"," On fait appel en premier au lieu aux"
"729460","732140"," moyens les plus simples diététiques, puis au second"
"732140","734680"," lieu à une médication par les simples ou"
"734680","737560"," au traitement par les médicaments composés et en"
"737560","740160"," dernier lieu seulement si cela s'impose à"
"740160","741200"," la chirurgie."
"742500","744980"," Donc, le premier principe, la conservation de la"
"744980","746300"," santé Tedbir Saha."
"747020","749960"," Hunayn Ibn Ishaq, dans son ouvrage en forme"
"749960","752600"," de questions réponses destiné à la formation des"
"752600","754820"," futurs médecins, le livre des questions sur la"
"754820","756920"," médecine écrit à propos de la thérapeutique. "
"757520","760440"," D'abord, le régime de santé fait partie"
"760440","762300"," intégrante du traitement médical."
"762900","765520"," La prévention de la maladie, donc être sous"
"765520","769600"," régime, prévenir la maladie et enfin conserver l "
"769600","772520","'équilibre relatif habituel d'un organisme humain."
"773740","777060"," Deuxième principe, c'est la thérapie simple. "
"777300","779180"," Si la maladie s'installe, le médecin fait"
"779180","782120"," son diagnostic, étude des signes, prise de peau,"
"782300","784500"," palpation, examen de la coloration de la peau,"
"784620","787280"," observation des urines, puis l'évolution de la"
"787280","787660"," maladie."
"788100","791200"," La première médication administrée est faite de substances"
"791200","791820"," simples."
"792500","795120"," Donc, quand on voit le patient, on va"
"795120","797640"," l'examiner, on va poser le diagnostic. "
"804680","808600"," Et les deux premiers traités de pharmacologie sont"
"808600","813080"," extraits des tables des médicaments simples, quittables, rédigées"
"813080","815660"," à la fin du onzième et du douzième"
"815660","819280"," siècle par le médecin andalousien Ibn Biklalj."
"820020","823760"," Le contenu de cette plaque, c'est que"
"823760","826260"," parmi les principes, c'est la thérapie simple"
"826260","828920"," et donc un seul médicament est donné pour"
"828920","831900"," le patient et ces médicaments étaient écrits dans"
"831900","836320"," un traité, c'est le traité de la"
"836320","838720"," table des médicaments simples de Kitab al-Mustahine."
"839500","842180"," Mais aussi, quand la maladie n'est pas"
"842180","845080"," guérie, on va passer à la thérapie composée,"
"845660","848880"," comme aujourd'hui, vous avez une angine, on"
"848880","854720"," vous donne Doliprane et on vous donne aussi"
"854720","856140"," un antibiotique. "
"857120","859560"," Maintenant, à l'époque, la drogue simple n "
"859560","861480","'est pas toujours suffisante pour le traitement d "
"861480","862740","'une maladie complexe."
"862840","864640"," Il convient alors de faire appel à des"
"864640","865660"," mélanges de substances."
"866020","868360"," Les recettes en sont proposées dans des formulaires"
"868360","869200"," pharmaceutiques. "
"869680","871740"," En tête de la recette figure l'indication,"
"872020","874240"," puis les drogues et leurs parties actives sont"
"874240","876760"," énumérées par l'indication du poids de chacune"
"876760","877380"," d'entre elles."
"877660","880260"," Le mode préparatoire, le mode d'administration et"
