"start","end","text"
"1610","5810"," Module Histoire de la médecine, chapitre Histoire de"
"5810","7790"," la chirurgie."
"8190","12750"," En matière de terminologie, la chirurgie est un"
"12750","14830"," des plus anciens armes médicaux."
"15470","18110"," C'est un ensemble d'opérations manuelles et"
"18110","21730"," instrumentales réalisées sur et dans un corps vivant"
"21730","23970"," à des fins thérapeutiques. "
"23970","28710"," Il provient du terme grec du schéma, le"
"28710","31710"," geste manuel, ce qui s'est traduit en"
"31710","34210"," arabe, le kalimat et le moliet."
"36210","38970"," L'évolution des idées à travers l'histoire"
"38970","43090"," de la chirurgie, depuis quand IKEA a fondé"
"43090","47250"," les plans, sera en respectant les différentes époques."
"47250","54490"," Depuis 120 000 ans, l'homme utilise des"
"54490","58190"," instruments et transmet le savoir chirurgical. "
"60290","65650"," L'époque préhistorique, âge de la pierre polie,"
"66330","69490"," la craniotomie existait déjà, comme on voit ici,"
"70150","74350"," dans ce musée de France en Dorganie."
"74350","78870"," L'Egypte antique de Papyrus d'Ebers, les"
"78870","83390"," instruments chirurgicaux existent sur le mur du temple"
"83390","84670"," de Khombo-Hombo."
"85610","91250"," Et dans la civilisation babylonienne, la chirurgie existe"
"91250","93910"," et il y avait déjà un caste différent"
"93910","97970"," entre médecins et chirurgiens, cette époque étant marquée"
"97970","100410"," par la loi de Talib et du code"
"100410","101450"," de Hammurabi. "
"102930","106970"," Au Nen d'Antique, réputé par la chirurgie"
"106970","112790"," esthétique, Chakara et Suscruta, au 1er siècle avant"
"112790","118190"," Jésus-Christ, assurent une reconstruction plastique du nez."
"118190","122150"," Et c'était réservé à l'adultère qui"
"122150","125010"," était punie par l'amputation du nez et"
"125010","128229"," ces chirurgiens refaisaient le nez à partir de"
"128229","130190"," la peau du front comme on voit sur"
"130190","130810"," la photo."
"131950","134890"," Ils assuraient aussi à cette époque la chirurgie"
"134890","136010"," de la cataracte. "
"136390","138130"," Il y avait aussi l'apprentissage sur les"
"138130","141110"," animaux et comme vous voyez, il y avait"
"141110","144170"," toute une série d'instruments utilisés pendant cette"
"144170","144590"," époque."
"146010","150930"," L'Antiquité grecque, époque homérique, la guerre de"
"150930","156730"," Troie, la chirurgie sommaire et se résumait aux"
"156730","158250"," extractions de flèches."
"158790","161110"," Mais entre Homer et Hippocrate, il y avait"
"161110","162830"," les chirurgiens ambulants. "
"162830","167290"," Mais la période hippocratique était une époque très"
"167290","171850"," moderne, marquée par le corpus Hippocratium qui réservait"
"171850","175010"," 6 de ses 72 livres à la chirurgie."
"175890","178290"," Et puis on assistait au développement de la"
"178290","179090"," machinerie."
"179090","183670"," Donc l'ère hippocratique entre le 5e et"
"183670","187630"," le 14e siècle est une ère qui était"
"187630","192610"," marquée par la chirurgie et le développement de"
"192610","193310"," la médecine. "
"193430","196030"," L'Antiquité grecque, l'ère de la cité,"
"197070","199930"," l'ère de la civilisation, l'ère de"
"199930","204570"," l'organisation citoyenne s'accommodait aussi avec l "
"204570","206330","'évolution de la chirurgie."
"209090","213110"," L'Antiquité roumaine, donc nous avons Rome avant"
"213110","216050"," l'ère chrétienne et Rome en l'ère"
"216050","217090"," chrétienne."
"217690","220350"," Donc avant l'ère chrétienne, la chirurgie était"
