"start","end","text"
"1420","6600"," Module Histoire de la médecine Histoire des hôpitaux"
"6600","9920"," au Libé malestin dans le monde arabo-musulman"
"9920","13560"," En guise d'introduction, le monde arabo-musulman"
"13560","16800"," au Moyen-Âge vivait une époque d'expansion"
"16800","17420"," des connaissances."
"18780","23420"," Les hôpitaux étaient de véritables centres hospitalaux universitaires."
"25380","28080"," Les hôpitaux au Bi Malestin servaient à la"
"28080","30020"," fois d'écoles de médecine et de lieux"
"30020","30520"," de soins. "
"31659","34220"," Ils servaient aussi aux lieux de l'invention."
"34900","37620"," Et donc, pendant cette époque aussi, il y"
"37620","40420"," a eu l'invention de la médecine hospitalière."
"41860","44540"," Avant cette époque, on n'avait pas d "
"44540","45640","'hôpitaux dans le monde. "
"46420","48400"," Et là, la première fois qu'on a"
"48400","51280"," des hôpitaux structurés, exactement comme ce qu'ils"
"51280","51420"," sont."
"53140","55380"," Donc le plan va être d'abord la"
"55380","59700"," terminologie, la naissance du Bi Malestin, l'influence"
"59700","62540"," de l'école de médecine Perse de Djandezabour,"
"63319","66400"," le Bi Malestin du monde arabo-islamique oriental"
"66400","67260"," et occidental."
"69820","74100"," En terminologie, le Bi Malestin est une forme"
"74100","76520"," avancée de l'hôpital proprement dit. "
"77100","79160"," C'est-à-dire qu'aujourd'hui, en"
"79160","83900"," arabe, on appelle l'hôpital Al-Mustashfa, et"
"83900","86020"," en français, l'hôpital."
"87300","90420"," Et dans cette époque du monde arabo-musulman,"
"90780","92980"," on l'appelle le Bi Malestin."
"93520","96120"," Pourquoi on l'a appelé le Bi Malestin"
"96120","96620"," ?"
"96620","99620"," Eh bien, c'est un terme abrégé en"
"99620","102440"," malestin qui est l'équivalent de ce que"
"102440","104520"," nous appelons aujourd'hui l'hôpital. "
"105160","107800"," Ce terme Bi Malestin est un mot persan,"
"108420","112600"," composé de deux éléments bimars qui signifient malade,"
"112600","115360"," estant qui désigne le lieu."
"116000","119240"," Le mot Bi Malestin indique donc à l "
"119240","121080","'origine le lieu des malades."
"121880","124700"," Mais l'usage actuel réserve le mot Bi"
"124700","129759"," Malestin, ou plus exactement le mot Malestin, ou"
"129759","133560"," Merstan dans l'arabe dialectal marocain, à la"
"133560","135060"," île de Zanini, au monde. "
"136580","140000"," Si on veut résumer cette diapositive en guise"
"140000","143480"," de terminologie, c'est que l'époque arabo "
"143480","149100","-musulmane du Moyen-Âge avait été derrière l "
"149100","151500","'invention d'un mot d'hospitalisation à l "
"151500","155760","'hôpital qui se dénommait Bi Malestin et qui"
"155760","158700"," voulait dire par son mot perse d'origine"
"158700","164100"," lieu de soins et qui soignait tout type"
"164100","166020"," de malade comme on va voir par la"
"166020","166360"," suite."
"166360","170340"," Alors qu'aujourd'hui, en arabe dialectal, on"
"170340","173980"," l'appelle Merstan, et qui est un hôpital"
"173980","177680"," réservé aux alinées de Monto, et d'ailleurs"
"177680","180780"," ça se dit dans notre dialecte, par exemple,"
"181040","183260"," tu ne vas pas m'envoyer au Merstan,"
"183660","185160"," ça veut dire tu ne vas pas m "
"185160","188100","'envoyer à l'hôpital des alinées de Monto."
"193620","196480"," La naissance du Bi Malestin dans le monde"
"196480","200000"," arabo-musulman, la naissance de l'idée de"
"200000","202820"," l'hôpital chez les musulmans, remonte aux premières"
"202820","205390"," années de l'islam selon Ibn Hicham. "
"206500","209160"," Et là, c'était au prophète lui-même"
"209160","211540"," qu'une tente à l'intérieur de la"
"211540","216100"," mosquée de Médine pour accueillir cinq nomades blessés"
"216100","217400"," dans la bataille de Jorhata."
"217960","219700"," Mais là, ce n'était pas un vrai"
"219700","222220"," hôpital, mais c'était les bouches d'un"
"222220","223560"," lieu d'hospitalisation."
"224120","226840"," Ce n'est pas le vrai hôpital du"
"226840","230140"," Malestin, mais déjà, à l'ère du prophète,"
"230560","233700"," on ne laisse pas les patients et donc"
"233700","236820"," les malades blessés de guerre sur le bord"
"236820","240220"," de la josée, mais on leur a organisé"
"240220","243120"," une tente lors de la bataille surtout de"
"243120","243560"," Khandaq. "
"243640","244940"," C'est ce qui a été rapporté par"
"244940","245200"," Ibn Hicham."
"246700","249200"," Toujours la naissance du Bi Malestin dans le"
"249200","253160"," monde arabo-musulman, après le Khalif el-Walid"
"253160","259800"," dans l'époque de l'Umayyad, premier a"
"259800","263220"," été à bâtir une première structure d'accueil"
"263220","267460"," aux patients, aux lépreux, aux malades lépreux en"
"267460","268320"," terre d'Islam."
"268700","271880"," Nous ne sommes pas encore dans le vrai"
"271880","276800"," Bi Malestin, mais déjà, on a avancé pour"
"276800","278900"," accueillir les malades lépreux. "
"280340","284660"," Mais le vrai premier Bi Malestin arabo-musulman,"
"285040","287360"," c'était dans l'époque de la Peside,"
"287540","290640"," la Pesine, au Khalif la Peside."
"292340","296060"," Donc, c'était vers le 8e siècle, donc"
"296060","299380"," la fin du 8e siècle, qui est entre"
"299380","307060"," 786 Hegira, pardon, Jésus-Christ, 809, qui correspond"
"307060","311200"," à 170 Hegira, à 193 Hegira."
"311720","313660"," C'était sous l'influence de l'école"
"313660","317420"," de médecine perse de Jandaisbong et du développement"
"317420","319580"," de la civilisation islamique. "
"320440","323340"," On sait très bien que ce siècle ou"
"323340","326320"," cette époque était l'époque de l'âge"
"326320","327000"," d'or."
"327580","329340"," C'était l'époque, comme on l'a"
"329340","331360"," vu dans le cours de l'histoire de"
"331360","334920"," la chirurgie, l'époque où le monde arabo "
"334920","338480","-musulman était très, très avancé et très, très"
"338480","340680"," développé sur le plan scientifique."
"341380","344700"," Et comme toutes les sciences se développent, les"
"344700","349220"," sciences aussi de l'hospitalisation et de la"
"349220","352500"," médecine hospitalière a été aussi mise au point. "
"353160","356300"," Et donc, sous quelle influence ?"
"356300","359180"," Comment en terre d'islam est arrivé le"
"359180","361220"," bimalestin structuré ?"
"362420","364640"," C'était sous l'influence de l'école"
"364640","368300"," perse, qui était à cette époque très avancée"
"368300","372280"," sur le plan scientifique, et la ville de"
"372280","378700"," Jandaisbong, ville persane, abritait un grand bimalestin qui"
"378700","382480"," était un centre intellectuel où se mêlaient les"
"382480","386050"," pensées persanes syriaques, indiennes et grecques."
"387700","389860"," Eh bien, l'influence de cette école sur"
"389860","392760"," le développement de la médecine arabo-musulmane est"
"392760","393660"," incontestable."
"394340","396480"," Et ce, bien avant la conquête de la"
"396480","398270"," Perse par les armées arabes. "
"399150","402550"," El-Hayt Mnokhida el-Rilada, par exemple, qui"
"402550","405330"," est le premier médecin arabe au temps du"
"405330","408730"," prophète, avait fait ses études dans le bimalestin"
