"start","end","text"
"2690","4210"," Donc, est-ce qu'il y a quelqu "
"4210","7370","'un parmi vous qui peut nous donner une"
"7370","10390"," définition, ou une, c'est quoi pour vous,"
"10470","13110"," une ordre à donner là, avant de commencer"
"13110","13470"," ?"
"13470","15090"," Est-ce que vous avez une idée ?"
"15090","16270"," C'est quoi ?"
"16270","17970"," C'est un vaisseau, n'est-ce pas"
"17970","18550"," ?"
"19470","20770"," Alors, c'est quoi en fait ?"
"20770","23690"," Qui peut lever la main ?"
"28940","32180"," C'est quoi en fait ?"
"32180","33740"," Est-ce que quelqu'un a une idée,"
"34040","36700"," avant de démarrer le cours ?"
"36700","37280"," Non ?"
"37280","39320"," Aucune idée ?"
"40340","44480"," Vous avez fait le cours de la horte"
"44480","46320"," thoracique ?"
"47720","48620"," C'est ça ?"
"48620","49920"," Vous avez fait le cours de la horte"
"49920","51260"," thoracique ?"
"51820","54200"," Donc, la horte abdominale, c'est la suite"
"54200","56260"," de la horte thoracique."
"58640","59640"," Très bien, oui."
"60100","60640"," Donc, c'est ça. "
"61020","61940"," Effectivement, c'est ça."
"62460","64760"," Donc, c'est le second de la horte,"
"65800","70560"," situé au niveau de la cavité abdominale."
"70560","74320"," Donc, c'est un conduit, ou c'est"
"74320","83460"," un gros tronc artérier, d'accord, qui est"
"83460","90360"," à la fois de passage pour les artères"
"90360","93460"," des membres inférieurs, pour la vascularisation des membres"
"93460","97580"," inférieurs, et en même temps, il assure la"
"97580","100440"," vascularisation des viscères, c'est-à-dire de"
"100440","101920"," l'abdomen et du pied de vis. "
"102480","106180"," Donc, c'est un élément anatomique très important"
"106180","107020"," à connaître."
"107940","108820"," Pourquoi ?"
"108820","111420"," Parce qu'il assure, c'est un tronc"
"111420","114580"," nourricier de l'abdomen et du pied de"
"114580","114840"," vis."
"116800","119820"," Deuxièmement, il peut être, en tant que futur"
"119820","122640"," médecin, il peut être le siège de pas"
"122640","125140"," mal de pathologies, de pathologies qui sont très"
"125140","125740"," fréquentes. "
"126590","127560"," On va les voir."
"128479","129600"," D'accord, est-ce que c'est clair"
"129600","131240"," ?"
"139850","144190"," Pour traiter cette question, on va suivre un"
"144190","148570"," plan standard, donc une introduction, une anatomie descriptive"
"148570","152130"," de la horte abdominale, les rapports de cette"
"152130","157310"," horte abdominale dans l'abdomen, ses branches collatérales,"
"157410","161710"," ses branches terminales, une application clinique, c'est "
"161710","164690","-à-dire des pathologies, ou la pathologie la"
"164690","169210"," plus fréquente qui peut toucher cet élément anatomique,"
"170010","174050"," comment on peut l'aborder chirurgicalement, et enfin,"
"174230","174890"," une conclusion."
"175950","182110"," Alors, la horte abdominale fait suite à la"
"182110","186190"," horte thoracique en regard de D2, D12. "
"186950","187890"," D'accord ?"
"188790","191270"," Il est le siège et il est situé"
"191270","195550"," dans la cavité abdominale, et plus précisément au"
"195550","198850"," retro-péridonia, donc c'est un élément qui"
"198850","200070"," est très postérieur."
"200890","204130"," Si je dis postérieur, ça veut dire qu "
"204130","207130","'il est accroché à la colonne vertébrale, le"
"207130","209810"," racisme, c'est l'élément le plus postérieur,"
"209930","213530"," on ne le voit pas ici, donc il"
"213530","214590"," est le plus postérieur."
"215110","218210"," Donc si je dis que la horte est"
"218210","220790"," en retro-péridonia, ça veut dire qu'il"
"220790","223010"," est postérieur, on a les viscères en avant,"
"223010","227270"," et la horte il est derrière, donc en"
"227270","229950"," parallèle avec la colonne vertébrale. "
"231130","234110"," J'ai dit qu'on doit connaître cet"
"234110","235350"," élément anatomique."
"235530","236370"," Pourquoi ?"
"236370","238870"," Parce qu'il est le siège de pas"
"238870","242250"," mal de pathologies qui sont malheureusement fréquentes et"
"242250","243330"," qui sont graves."
"244670","247510"," Notamment la librisme, donc c'est un conduit. "
"248130","250930"," La librisme c'est une dilatation, c'est "
"250930","255230","-à-dire augmentation du diamètre ou du calibre"
"255230","258209"," de la horte, ce qui donne un anabrisme,"
"258510","261130"," et malheureusement c'est une pathologie qui est"
"261130","261790"," grave."
"262630","264210"," Pourquoi il est grave ?"
"264210","265590"," Parce qu'il y a un risque de"
"265590","266110"," rupture."
"267110","270670"," Et si ce gros conduit ou ce gros"
"270670","274590"," tronc artérien s'y se rompt, il peut"
"274590","277250"," aboutir à la mort, au décès immédiat. "
"278530","282070"," C'est une extrême urgence, l'anabrisme de"
"282070","283150"," la horte abdominale."
"283950","287030"," Il peut être aussi siège d'une oblitération,"
"287450","290030"," c'est-à-dire l'inverse de la"
"290030","290670"," dilatation."
"291170","294070"," L'oblitération c'est-à-dire une diminution"
"294070","299410"," du calibre de la horte, une réduction du"
"299410","302830"," calibre de la horte par une obstruction. "
"304050","306170"," Et si j'ai une réduction du calibre,"
"306810","309310"," quelles sont les conséquences à votre avis ?"
"311590","313630"," Très bien, c'est la malperfusion."
"314050","315970"," Donc si j'ai une dilatation au risque"
"315970","318590"," de la rupture et le pronostic vitae, c "
"318590","321010","'est-à-dire le risque de décès, si"
"321010","323750"," j'ai une oblitération, c'est-à-dire"
"323750","328570"," la mal-vascularisation des organes du viscère et"
"328570","330770"," des membres inférieurs, c'est-à-dire la"
"330770","334050"," nécrose, et pour les membres inférieurs, le risque"
"334050","336930"," de la perte du membre, l'amputation."
"337390","339050"," Est-ce que c'est clair ?"
"339050","341750"," Bien sûr, il peut aussi être le siège"
"341750","345310"," d'une dissection, c'est-à-dire une"
"345310","350210"," déchirure de la paroi, ce qui aussi peut"
"350210","355690"," se compliquer d'une rupture et ça rejoint"
"355690","356530"," l'anéblisme. "
"356850","358910"," Aussi le pronostic vitae est mis en jeu."
"359790","361750"," Donc c'est pour ça que j'insiste"
"361750","367150"," sur la connaissance de ces éléments anatomiques."
"367950","369730"," Est-ce que c'est clair ?"
"369730","376670"," Alors on passe à la description de la"
"376670","376930"," horte. "
"377090","380630"," C'est ça la horte, cette image résume."
"381730","386950"," Donc si vous arrivez à retenir cette image,"
"387230","392910"," pour moi la horte abdominale, il faut apprendre"
"392910","394250"," par cœur cette image."
"394250","400550"," Elle est née au niveau du diaphragme via"
"400550","403470"," le révis diaphragmatique, ce qu'on appelle le"
"403470","404750"," révis diaphragmatique. "
"405290","408250"," Donc normalement la horte est née du cœur."
"409250","413470"," On a une portion qui est verticale qu "
"413470","416350","'on appelle la horte ascendante, par la suite"
"416350","418830"," c'est la crosse ou la horte horizontale,"
"419210","421370"," par la suite elle devient postérieure, c'est"
"421370","422670"," la horte descendante."
"423580","428050"," Cette horte descendante va traverser le diaphragme, elle"
"428050","430930"," est thoracique, elle va traverser le diaphragme pour"
"430930","433270"," devenir la horte abdominale. "
"433990","441510"," Après son traversé diaphragmatique, on a la horte"
"441510","446450"," abdominale, qui donne plusieurs branches comme vous le"
"446450","447150"," voyez ici."
"447150","450930"," Donc on va revenir pour cette plaque."
"452970","460170"," Pour la description, elle est née du diaphragme"
"460170","466130"," via un nuage ou un orifice diaphragmatique. "
"466530","469350"," C'est quoi cet orifice diaphragmatique ?"
"469350","471350"," Je ne sais pas si vous arrivez à"
"471350","471810"," le voir."
"472700","477370"," C'est un orifice qui est le résultat"
"477370","482790"," de l'intersection ou le croisement des piquets,"
"483130","485770"," ce qui donne la formation d'un orifice."
"486730","490130"," Et cet orifice permet le passage de la"
"490130","494130"," horte, la traversée diaphragmatique de la horte abdominale. "
"494390","495430"," Est-ce que c'est clair pour l "
"495430","496850","'origine ?"
"496850","499550"," C'est un orifice qui est inexpensif."
"502670","511080"," Pour les dimensions, la horte a une longueur"
"511080","515500"," de 15 à 18 cm, ça dépend de"
"515500","520080"," la taille du sujet, et un diamètre de"
"520080","522120"," 2 à 3 cm."
"523220","528220"," Donc plus de 3 cm, on parle d "
"528220","528920","'un hélubris. "
"528920","530240"," D'accord ?"
"530240","531960"," D'une dilatation d'un hélubris."
"532100","535260"," Donc plus de 3 cm, on parle d "
"535260","535860","'un hélubris."
"536280","539680"," Donc 2 à 3 cm, ça dépend si"
"539680","542520"," on est devant une femme ou un homme. "
"542920","545680"," Normalement, la femme a une horte de diamètre"
"545680","548020"," plus petit que l'homme."
"548280","548920"," D'accord ?"
"549560","552080"," Et pour la direction, j'ai dit qu "
"552080","554980","'elle est du siège rétro-peritoneal, c'est "
"554980","557840","-à-dire il est postérieur, il est longitudinal"
"557840","560440"," par la vertébrale gauche."
"561640","563520"," D'accord ?"
"568480","571100"," Pour les rapports anatomiques, est-ce que vous"
"571100","573460"," arrivez à imaginer maintenant la horte pour passer"
"573460","575200"," aux rapports anatomiques ?"
"575200","576060"," C'est clair ?"
"576060","579720"," Donc pour les rapports anatomiques, au niveau de"
"579720","584620"," son origine, qui est l'hiatus diaphragmatique ou"
"584620","588460"," l'orifice diaphragmatique, la horte est accompagnée avec"
"588460","591960"," des lèvres, des veines et rarement le sauvage. "
"592220","595600"," Normalement, au niveau du diaphragme, il y a"
"595600","599020"," des orifices pour chacune, pour la horte, pour"
"599020","601120"," la veine cavale inférieure et pour le sauvage."
"601640","604920"," Quelques rares cas, c'est une variante anatomique"
"604920","607500"," qui est exceptionnelle quand même, où on a"
"607500","610280"," le sauvage et la horte nés du même"
"610280","610780"," orifice."
"610780","615940"," Mais normalement, chacun a son orifice diaphragmatique. "
"618920","623400"," Pour les rapports postérieurs, il faut retenir la"
"623400","624440"," colonne vertébrale."
"624920","627120"," Si on vous demande au cours de l "
"627120","629600","'examen quel est l'élément ou le rapport"
"629600","633880"," postérieur de la horte abdominale, vous devez prendre"
