"start","end","text"
"1120","3960"," La morphologie, la structure, la façon d'organisation,"
"4080","4500"," tout ce qu'il y a."
"6820","9940"," La morphologie, c'est la partie terminale du"
"9940","13240"," tube digestif, qui est en train de s "
"13240","16260","'intégrer au corps humain, à partir de l "
"16260","19500","'âme, et c'est un réservoir des matières."
"20200","22840"," Donc c'est la partie terminale du tube"
"22840","26200"," digestif, il fait suite aux sébouilles, et c "
"26200","29580","'est un réservoir pour les matières fécales."
"29580","31439"," Très bien, oui. "
"52620","55220"," On va peut-être être en train de"
"55220","56620"," poser une question d'exemple."
"57540","59660"," D'accord, je m'inspire parfois de vos"
"59660","61320"," connaissances pour poser une question d'exemple."
"61420","62440"," Peut-être qu'il va dire une question"
"62440","62840"," d'exemple. "
"63200","67180"," On va juste écouter ce que le prof"
"67180","67480"," dit."
"67880","70320"," Parfois, une parmi vos questions qu'elle a"
"70320","70820"," examinées."
"71240","72720"," Donc, t'as des questions avec qui vous,"
"72780","74720"," nous, les étudiants, il faut répondre. "
"76120","77980"," Le rectum, qui suit totalement ce qu'il"
"77980","79220"," nous dit au niveau de l'être humain,"
"79380","82120"," et il y a une pathologie très fréquente"
"82120","85860"," pour ce rectum, qui est dans l'océan."
"89660","92260"," Qui est sendue à une dilatation des veines"
"92260","94420"," au niveau du rectum, donc il y a"
"94420","96120"," une pression au niveau de ces veines."
"96280","98380"," Par exemple, chez la femme, après l'accouchement,"
"98780","101180"," ça apparaît parce qu'elle fait d'importants"
"101180","102440"," effleurs de poussière. "
"104720","106680"," Il dit que le rectum fait un collant"
"106680","108140"," au niveau de S3, c'est-à-dire"
"108140","109520"," la troisième vertèbre sacrée."
"110180","112220"," C'est la partie qu'on appelle aussi"
"112220","113540"," le provemtoire."
"113660","116340"," Vous allez le voir peut-être avec les"
"116340","119700"," professeurs de gynécologie lors de l'étude de"
"119700","120580"," l'anatomie pelvienne. "
"121520","123380"," Alors, il a dit qu'il y a"
"123380","125780"," une pathologie très fréquente qui touche cet organe."
"125820","127199"," Il a raison, c'est les hémorroïdes."
"127639","130360"," C'est une dilatation des veines, hémorroïdale, il"
"130360","132380"," y a un rectal inférieur, qu'on va"
"132380","133500"," voir tout à l'heure que le masculin"
"133500","133760"," a mentionné. "
"133760","136060"," Il a donné même le mécanisme, ça veut"
"136060","139080"," dire que parfois, suite à des pressions, il"
"139080","141420"," a dit, suite aux pressions d'accouchement, ça"
"141420","145120"," c'est sûr, mais aussi suite aux effleurs"
"145120","146860"," de constipation, c'est-à-dire quand on"
"146860","151560"," veut déféquer, et que le transdéfecteur est très"
"151560","154140"," dur, à force de faire cette pression sur"
"154140","157160"," la semiqueuse, généralement ses veines vont se dilater"
"157160","160020"," et parfois même se séclater."
"160360","162870"," Et ça donne une hémorragie digestive basse."
"162870","164510"," Oui ?"
"174090","182290"," La vascularisation, sa position, structure, les pathologies qui"
"182290","183810"," peuvent toucher cet organe. "
"198990","202470"," C'est bon ?"
"202470","208990"," Vous avez des connaissances, avec l'organe ?"
"208990","210410"," Oui ?"
"219500","222060"," Alors, on sera pressé à vous raconter qu "
"222060","223400","'on a un colorectome, parce que c'est"
"223400","225260"," au centre de l'organe du petit bâton,"
"226000","228160"," le colorectome est divisé en deux segments d "
"228160","231420","'oeufs, le segment peritoneal et son peritoneal, par"
"231420","234920"," le type de cerveau, formé par le péritone"
"234920","235740"," du cerveau."
"238540","239260"," Très bien."
"239480","241700"," Donc, elle a dit que le rectum est"
"241700","245020"," divisé en deux, un rectum qui est péritoneal"
"245020","247240"," et un rectum qui est sous-peritoneal. "
"247240","248240"," D'accord ?"
"248900","251240"," Le rectum, très bien, en sa partie supérieure,"
"251740","252560"," il est péritoneal."
"253040","256700"," Le rectum, sous-peritoneal, il n'est pas"
"256700","257260"," péritoneal."
"257399","258200"," C'est ce qu'on a dit la"
"258200","260160"," période 3, on a dit que, si vous"
"260160","261920"," vous rappelez quand on a fait la synthèse"
"261920","263940"," des organes qui sont péritonisés et qui ne"
"263940","267740"," sont pas péritonisés, on peut la rappeler, qu "
"267740","269300","'ils sont les organes du type digestif qui"
"269300","270100"," sont péritonisés. "
"272220","274020"," Qu'ils sont les organes qui ne sont"
"274020","274800"," pas péritonisés."
"274800","278480"," Non, les ovaires c'est le système digestif."
"279860","284440"," L'osophage, l'osophage cervical, l'osophage thoracique,"
"284840","286620"," le rectum, sous-péritoneal. "
"286840","287180"," Très bien."
"288240","289300"," Bien sûr, elle a dit."
"289420","291140"," Très bien, parce que ce sont des organes"
"291140","293560"," qui ne sont pas situés au niveau de"
"293560","294380"," la cavité péritoneale. "
"294440","295880"," Parce que la cavité péritoneale, comme vous le"
"295880","298520"," savez, c'est une cavité qui est constituée"
"298520","299380"," par deux péritoines."
"299680","301900"," Donc le péritoine viscéral pariétal et le péritoine"
"301900","302300"," viscéral."
"302300","304180"," Et d'ailleurs c'est un seul péritoine. "
"304600","308960"," Donc si ce péritoine est sur la cavité,"
"309160","312680"," qu'on appelle pariétale, s'il se réfléchit"
"312680","314660"," sur les organes, il prend le nom de"
"314660","315080"," viscéral."
"315500","317040"," Donc c'est une cavité qu'on peut"
"317040","317980"," dessiner comme ça."
"318700","321120"," Sa partie supérieure c'est le diaphragmatique, sa"
"321120","324020"," partie inférieure c'est le plongée pélivien, qui"
"324020","326140"," va se faire une petite réflexion sur la"
"326140","327320"," vessie et sur le rectum. "
"327420","329060"," C'est pour ça qu'une partie du"
"329060","331780"," rectum est péritonisée, et l'autre partie qui"
"331780","334480"," est au niveau périlien n'est pas péritonisée."
"334800","335740"," Alors qu'est-ce que tu as dit,"
"336420","336880"," Jo ?"
"336880","338740"," À part la péritonisation ?"
"338740","340720"," Je crois que c'est à leur niveau."
"341040","341500"," Très bien. "
"341900","344660"," Donc au niveau du pelvis, il y a"
"344660","345720"," trois organes."
"346400","347440"," C'est la femme, d'accord ?"
"347440","350800"," Donc il y a la vessie, l'utérus,"
"351360","353180"," qui est le vagin bien sûr, et le"
"353180","353500"," rectum."
"353600","355100"," Donc le rectum il est situé au niveau"
"355100","357940"," de la partie postérieure du pelvis. "
"358320","358980"," D'accord ?"
"358980","361160"," C'est pour ça que parfois, même quand"
"361160","364320"," on va opérer par exemple, quand il s "
"364320","366780","'agit d'une résection du rectum, on dit"
"366780","368380"," que c'est une pélovectomie postérieure."
"368620","369700"," C'est-à-dire on va enlever l "
"369700","370560","'organe le plus postérieur."
"371160","374100"," Si on veut enlever, par exemple, la vessie,"
"374400","375680"," une pélovectomie antérieure. "
"375960","377740"," Si on veut enlever le tout, parfois s "
"377740","379140","'il y a un cancer qui touche et"
"379140","381860"," la vessie et l'utérus et le rectum,"
"381960","384240"," donc on dit une pélovectomie totale."
"384460","384700"," D'accord ?"
"384700","386320"," Donc c'est juste par rapport à la"
"386320","386700"," situation."
"387260","387540"," Très bien. "
"389380","390980"," C'est bon ?"
"391880","392720"," Alors je passe."
"394940","398120"," Donc les objectifs d'apprentissage bien évidemment, c "
"398120","398980","'est..."
"401840","403820"," Alors c'est de connaître les différentes parties"
"403820","408100"," du rectum, la situation du rectum, connaître ses"
"408100","408460"," rapports."
"408580","410400"," C'est très important de connaître les rapports"
"410400","410880"," du rectum. "
"412140","413940"," Parce que c'est un organe qui est"
"413940","417120"," situé dans une cavité, ou dans un tube"
"417120","417760"," très profond."
"418560","421840"," Et on reprend un rapport avec plusieurs organes."
"422980","425420"," Des organes génitaux urinaires. "
"426560","428300"," Génital, c'est la fin, donc c'est"
"428300","430760"," l'utérus, c'est la part postérieure du"
"430760","431120"," vagin."
"432140","436140"," Urinaire, c'est la vessie et les utères."
"437980","441400"," Chez l'homme, donc la prostate aussi, avec"
"441400","443540"," les épulséminales, ils sont en rapport avec le"
"443540","443980"," rectum. "
"445000","446540"," Et aussi il y a des rapports qui"
"446540","448940"," sont très importants, c'est les rapports nerveux."
"449460","451260"," Surtout le plexus lipo-gastrique."
"451900","454040"," Alors ce plexus lipo-gastrique est très important. "
"454920","456780"," Ce sont les nerfs qui vont jouer un"
"456780","458480"," rôle, surtout dans la fertilité."
"459080","459620"," D'accord ?"
"460340","462960"," Et chez l'homme, un rôle dans le..."
