"start","end","text"
"1540","4880"," Bonjour, le cours de ce matin est intitulé"
"4880","7560"," interaction de rayons immunisants avec la matière."
"8600","11480"," L'objectif, c'est de connaître les interactions"
"11480","16360"," des particules chargées avec la matière, comme résultat"
"16360","19480"," des phénomènes de collision et de freinage, et"
"19480","21460"," la mesure du transfert d'énergie limitée."
"23020","25540"," Également de connaître les interactions des photons cette"
"25540","26960"," fois-ci, c'est-à-dire les rayons"
"26960","29520"," x et gamma avec la matière, par leurs"
"29520","31720"," trois effets, c'est-à-dire l'effet"
"31720","34600"," photoélectrique lorsqu'on entend et l'effet de"
"34600","36760"," création de paires. "
"37080","39860"," Donc le plan de ce cours aura des"
"39860","43720"," généralités, puis des interactions des particules chargées avec"
"43720","48820"," la matière, et en troisième paragraphe, les interactions"
"48820","51700"," des photons avec la matière, puis les applications"
"51700","52520"," musicales."
"54240","58140"," Comme généralité, les rayons immunisants sont des émissions"
"58140","60720"," d'énergie à partir d'une source."
"62700","70420"," Ces émissions se forment d'émissions radioactives particulières"
"70420","72180"," ou de rayonnements. "
"73180","77080"," Des émissions également peuvent être produites par des"
"77080","81360"," accélérateurs des électrons en radiothérapie, et des émissions"
"81360","83780"," de rayons x par les tubes à rayons"
"83780","85460"," x dans la radiologie."
"86980","90780"," Donc ils agissent sur les tissus vivants, ces"
"90780","94740"," rayonnements sont composés essentiellement de l'eau, de"
"94740","97660"," la molécule H2O, qui va être cassée et"
"97660","102720"," donner des radicaux libres, et qui vont induire"
"102720","106120"," des modifications au niveau de la cellule vivante."
"107460","108960"," Et également ils peuvent agir au niveau de"
"108960","115120"," l'ADN, qui est à la base de"
"115120","118460"," l'effet biologique des rayonnements immunisants et de"
"118460","119340"," la radiothérapie. "
"123200","126280"," Egalement ils peuvent agir sur les objets inertes,"
"126300","128419"," tels que les clichés radiographiques."
"129979","131840"," Donc il y a différents types de rayonnements,"
"132440","134520"," il y a les rayonnements non-ionisants et"
"134520","135480"," les rayonnements ionisants."
"135600","138760"," Pour les rayonnements non-ionisants, ils ont une"
"138760","142240"," longueur d'onde qui est un peu élevée,"
"142240","148460"," tels que les rayonnements électrons électriques type ultraviolet,"
"150380","153880"," les rayonnements infrarouges, alors que les rayonnements ionisants"
"153880","156780"," ont une longueur d'onde qui est très"
"156780","159240"," petite, inférieure à 0,1 micromètre. "
"159240","161960"," C'est le cas des photons X, les"
"161960","167580"," neutrons, les électrons, et des particules de fission,"
"168220","170080"," tels que le fragment de fission, l'hélium,"
"170860","174740"," le deutérium, les particules alpha."
"178510","180170"," Donc il y a deux grandes catégories de"
"180170","186310"," rayonnements ionisants, les rayonnements type particulaires, tels que"
"186310","188570"," les neutrons, les électrons et les photons."
"195380","198480"," Donc le processus d'interaction des rayonnements ionisants"
"198480","202180"," avec la matière se fait par deux phénomènes,"
"202300","205680"," le phénomène d'ionisation de la matière et"
"205680","207960"," le phénomène d'excitation de la matière. "
