"start","end","text"
"2310","6390"," Bonjour, le cours d'aujourd'hui est intitulé"
"6390","7750"," biophysique de l'audition."
"8970","14310"," Comme introduction, l'appareil auditif humain est un"
"14310","18210"," ensemble de structures anatomiques de composition et de"
"18210","20450"," nature différentes."
"21250","26070"," L'oreille permet la fonction de l'ouïe"
"26070","29810"," qui est l'audition et qui permet la"
"29810","34410"," communication entre les individus à travers un signal"
"34410","37010"," physique qui est le son qui se propage"
"37010","42210"," dans un milieu qui n'est pas du"
"42210","42470"," vide. "
"42470","44630"," C'est à dire que c'est l "
"44630","50070","'air ou l'eau ou même il y"
"50070","51190"," a la transmission osseuse."
"52230","55570"," Donc on va voir que l'appareil de"
"55570","63170"," l'audition est l'ouïe et est un"
"63170","69490"," moyen de communication aussi important que la vision."
"71830","75050"," Donc en plan de ce cours, on va"
"75050","78170"," prendre d'abord premièrement l'anatomie de l "
"78170","82210","'oreille, on va voir les différents types d "
"82210","87450","'oreilles, puis les caractéristiques du son, les types"
"87450","91590"," et les propriétés du son, puis la fonction"
"91590","93790"," de chaque oreille dans la transmission du son"
"93790","99630"," de l'oreille externe jusqu'aux aires cérébrales"
"99630","104090"," de l'audition, puis les explorations de l "
"104090","104950","'audition. "
"104950","109290"," Alors l'oreille est un organe qui est"
"109290","111810"," pair, on a deux oreilles pour l'être"
"111810","117170"," humain, il est symétrique et il est occupé"
"117170","123570"," des cavités creusées dans le rocher, surtout pour"
"123570","124850"," l'oreille interne."
"125850","128770"," Il assure deux fonctions, l'audition et l "
"128770","131970","'équilibration, mais notre cours d'aujourd'hui s "
"131970","134630","'est intitulé pour l'audition."
"135630","143090"," Donc ce schéma montre l'os du rocher"
"143090","150870"," qui héberge l'oreille interne et qui permet"
"150870","158430"," d'isoler les bruits de l'organisme humain,"
"158430","160950"," donc les bruits de la circulation, de la"
"160950","168750"," respiration et autres, de l'oreille interne et"
"168750","170890"," bien sûr l'oreille externe et moyenne. "
"172370","176850"," Donc comme anatomie de l'oreille, il est"
"176850","179950"," composé de trois oreilles, il y a l "
"179950","183490","'oreille externe, l'oreille moyenne et l'oreille"
"183490","184190"," interne."
"185830","188990"," Pour l'oreille externe, il est constitué par"
"188990","192150"," un pavillon, on parle du pavillon de l "
"192150","198210","'oreille, et puis le conduit auditif externe qui"
"198210","205470"," va aboucher vers le tympan."
"207590","210130"," Donc le pavillon est placé latéralement sur le"
"210130","212790"," crâne, en arrière de la branche montante du"
"212790","217630"," maxilla inférieur, et il est formé de reliefs"
"217630","219670"," et de creux d'origine cartilagineuse. "
"222230","225090"," Donc en périphérie, on trouve le bourrelet de"
"225090","226890"," l'hélix qui s'élargit en bas pour"
"226890","229450"," former le lobule de l'oreille."
"232490","236610"," Ce relief, il est concentrique et donnera l "
"236610","238010","'hélix et l'antélix."
"239270","242150"," La cranque, où s'ouvre le conduit auditif"
"242150","250030"," externe, est débordée du tragus en avant et"
"250030","252770"," de l'antragus en arrière. "
"255709","260050"," Le conduit auditif externe est un conduit qui"
"260050","264750"," a une longueur de 3 cm et qui"
"264750","267010"," s'ouvre au niveau de la cranque en"
"267010","267390"," dehors."
"268670","271270"," Le fond, il est fermé par la membrane"
"271270","271970"," du tympan."
"274150","277390"," Donc il a des parois cartilagineuses en dehors"
"277390","278870"," et osseuses en dedans. "
"278870","285330"," Ces parois contiennent de nombreux folles cupuleuses et"
"285330","291270"," de grandes sudoripares et sévassées qui secrètent une"
"291270","294150"," matière sireuse qu'on appelle le cerf humain."
"294150","302250"," Le cerf humain permet la défense de la"
"302250","307970"," peau du conduit auditif externe et facilite la"
"307970","310730"," conduction du son à travers ce conduit."
"314730","320450"," Pour l'oreille moyenne, il est hébergé dans"
"320450","323290"," une caisse qu'on appelle la caisse du"
"323290","323750"," tympan. "
"324630","326830"," Il est situé entre l'oreille interne et"
"326830","327610"," l'oreille externe."
"329330","333030"," L'oreille moyenne est située dans l'épaisseur"
"333030","337330"," du rocher et comprend trois parties communiquant les"
"337330","338150"," unes avec les autres."
"338150","346220"," La caisse du tympan, la caisse ou les"
"346220","353750"," cavités masovidiennes et la trempe de stache. "
"355490","358670"," Pour la caisse du tympan, il est creusé"
"358670","359490"," dans l'os temporal."
"360850","365450"," Sa paroi antérieure est osseuse et représente l "
"365450","367010","'orifice de la trempe de stache."
"367730","371370"," Sa paroi postérieure représente l'orifice de l "
"371370","373030","'antre masovidienne. "
"373790","376670"," Sa paroi externe est en rapport avec la"
"376670","379170"," membrane du tympan qui sépare l'oreille moyenne"
"379170","380170"," de l'oreille externe."
"381090","383010"," Sa paroi interne est osseuse et est formée"
"383010","385350"," par le rocher contenant l'oreille interne."
"386450","387830"," Il y a deux orifices au niveau de"
"387830","388570"," l'oreille interne. "
"390050","392330"," Il y a la fenêtre ronde et la"
"392330","393270"," fenêtre ovale."
"395890","400070"," Cette chaîne comprend le marteau en dehors dont"
"400070","402230"," le manche est inclus dans l'épaisseur de"
"402230","403250"," la membrane tympanique."
"404130","406770"," Il est plié en deux dans la base"
"406770","409930"," et scellé par un ligament à la fenêtre"
"409930","410290"," ovale. "
"411770","414530"," Il va communiquer avec l'oreille interne."
"416990","419530"," L'enclume est en position intermédiaire."
"419530","422910"," Il s'articule entre les deux osses. "
"423310","426150"," Le mouvement imprimé au marteau et à l "
"426150","427790","'étrier par les muscles."
"429450","431370"," Il y a le tenseur de la membrane"
"431370","434090"," du tympan au niveau du marteau."
"435830","438310"," Le deuxième muscle est celui de l'étrier"
"438310","439950"," qui relâche la membrane tympanique. "
"440910","445410"," Ces deux muscles interviennent dans le mouvement des"
"445410","446370"," deux osseleilles."
"446370","448850"," Le marteau et l'enclume."
"449710","452350"," Mais également dans la défense de l'oreille"
"452350","452790"," moyenne. "
"453530","460070"," Lorsqu'il y a un bruit très intense"
"460070","461610"," ou très aigu."
"462330","465710"," On va assister à une contraction de ces"
"465710","465990"," muscles."
"466850","471690"," Pour empêcher la transmission du mouvement intense vers"
"471690","472710"," l'oreille interne. "
"472710","480370"," Pour ne pas endommager l'oreille interne."
"483550","485990"," Cette rase osseleille forme une chaîne entre le"
"485990","486450"," tympan."
"489350","498210"," Qui fait l'orifice interne du conduit d "
"498210","499110","'optique externe. "
"500430","503030"," Et de la fenêtre ovale qui communique avec"
"503030","503810"," l'oreille interne."
"506860","509140"," Donc c'est ce qu'on appelle le"
"509140","510100"," réflexe stapédien."
"510420","511820"," Qui est un mécanisme de protection. "
"513820","518919"," Et lorsque l'intensité du son est plus"
"518919","520000"," de 90 dB."
"521940","525640"," L'information au niveau des noyaux du tronc"
"525640","526220"," cérébral."
"527680","531340"," Réalise un boucle de rétroaction au réflexe. "
"532240","535740"," Et qui permet la contraction des muscles rigidifiants."
"535920","538240"," Ainsi la chaîne ossiculaire de l'oreille moyenne."
"539960","541140"," Grâce à cette rigidité. "
"541980","544800"," L'énergie transmise à l'oreille interne est"
"544800","545360"," minimisée."
"553660","555020"," Pour la trempe de Stach."
"555260","557500"," C'est un canal long de 4 cm. "
"558340","559980"," Et qui va de la paroi antérieure de"
"559980","560860"," la caisse du tympan."
"562560","564780"," A la paroi latérale du rhinopharynx."
"566060","568480"," Donc il fait communiquer ces deux organes. "
"571120","573060"," Et la trempe de Stach."
"573240","575920"," Elle est constituée d'un tissu osseux en"
"575920","576340"," arrière."
"577220","579460"," Et du tissu fibrocartilagine en avant. "
"580240","582240"," Cette dernière portion s'ouvre à chaque dégai"
"582240","582600"," de tissu."
"583460","585910"," Puisqu'il est en communication avec le rhinopharynx."
"587440","589500"," Et la trempe de Stach qui permet l "
"589500","591080","'équilibration de la pression. "
"591860","592980"," De part et d'autre."
"594880","596320"," De la membrane tympanique."
"599060","604100"," De cette caisse de tympan. "
"605000","608240"," Donc il va faciliter le mouvement de vibration"
"608240","609220"," de la membrane tympanique."
"612750","614310"," Alors l'oreille interne."
"615370","616890"," Il est situé en dedans de la caisse"
"616890","617490"," du tympan. "
"618890","621050"," Et on l'appelle le labyrinthe."
"622390","627830"," D'ailleurs il y a le labyrinthe osseux"
"627830","628990"," creusé dans le rocher."
"629790","633390"," Et le labyrinthe membraneux contenu dans le labyrinthe"
"633390","633930"," osseux. "
"634630","637110"," Ces deux éléments sont séparés en partie par"
"637110","638370"," un espace."
"640370","642010"," C'est l'espace périlin."
"642310","644570"," Qui remplit de la périline. "
"646750","649410"," Le labyrinthe osseux il est divisé en trois"
"649410","649770"," parties."
"649770","650730"," Le vestibule."
"651270","653430"," Les trois canaux semi-circulaires. "
"653850","654930"," Et le limaçon osseux."
