"start","end","text"
"840","4100"," Bonjour, nous allons continuer notre cours sur les"
"4100","5500"," bases physiques des ultrasons."
"8360","10540"," Nous enchaînons avec les modes échographiques."
"11400","13920"," Donc les modes échographiques, ils sont nombreux. "
"15480","17240"," Le premier mode, c'est le mode A,"
"18240","20300"," qui va nous permettre d'avoir des courbes"
"20300","21000"," d'amplitude."
"21480","22640"," C'est un mode qui est très peu"
"22640","27080"," utilisé actuellement, essentiellement par nos amis ophtalmologues, et"
"27080","29320"," qui permet une bonne précision pour mesurer la"
"29320","31540"," longueur axielle de l'œil."
"31540","34580"," Donc c'est un mode où le faisceau"
"34580","36700"," ultrasonore, à chaque fois qu'il va rencontrer"
"36700","39740"," une interface, va nous donner un signal sous"
"39740","42180"," forme d'amplitude, comme vous voyez sur l "
"42180","42480","'image. "
"44100","46000"," Le deuxième mode, c'est le mode B,"
"46440","47840"," ou le mode brillance."
"48400","52420"," Et là, chaque point représenté aura un niveau"
"52420","55960"," de brillance différent, et donc il sera représenté"
"55960","58480"," sur une échelle de gris, sur l'écran"
"58480","59280"," d'échographie."
"60320","62840"," Le troisième mode, c'est le mode TM,"
"63160","64239"," ou temps-mouvement. "
"65400","67140"," Donc il s'agit d'une représentation des"
"67140","70680"," variations, dans une seule direction, de la position"
"70680","72980"," et de la brillance des échos en fonction"
"72980","73640"," du temps."
"74480","77280"," Son intérêt, c'est essentiellement étudier les mouvements"
"77280","80000"," des structures écogènes en fonction du temps."
"80640","82640"," Il peut s'agir soit de la paroi"
"82640","86280"," des vaisseaux, ou celle des cavités cardiaques, le"
"86280","90300"," mouvement des valves cardiaques, ou alors, dernièrement, il"
"90300","92380"," est très utilisé dans l'étude de la"
"92380","94760"," plèvre, comme vous voyez sur l'image à"
"94760","95080"," côté. "
"98020","100500"," Le mode Doppler, lui, s'intéresse au mouvement"
"100500","102320"," du sang dans la lumière du vaisseau."
"102800","104760"," Il y a plusieurs types Doppler qu'on"
"104760","106220"," va détailler par la suite."
"107740","110180"," Plusieurs autres modes échographiques existent. "
"110300","112560"," Nous avons également le mode 3D, 4D."
"113080","114800"," Il s'agit d'un mode avec reconstruction"
"114800","118700"," des images, essentiellement utilisée en obstétrique, à la"
