"start","end","text"
"1160","4080"," Bonjour, donc le cours d'aujourd'hui est"
"4080","7700"," intitulé les forces et les grondeurs qui dérivent"
"7700","10100"," des forces et les états de la matière"
"10100","12960"," à l'intérieur de l'organisme humain."
"13900","17800"," Donc on va voir les définitions sur les"
"17800","20900"," forces à l'intérieur de notre organisme, les"
"20900","23720"," différents types de pressions et puis les forces"
"23720","27880"," interparticulaires et moléculaires et les états de la"
"27880","28160"," matière."
"29760","34220"," La force, comme définition, c'est une grondeur"
"34220","36880"," vectorielle qui est mesurable. "
"39260","44740"," Il répond à un point d'application où"
"44740","49500"," il est appliqué la force, une intensité de"
"49500","52840"," cette force et une direction et un sens."
"53480","55860"," Les dimensions de la force, c'est le"
"55860","59280"," grand M fois L fois T-2, donc"
"59280","61080"," c'est la masse fois l'accélération."
"61560","63620"," L'unité, c'est le newton, l'unité"
"63620","66920"," du système international, c'est le kilogramme fois"
"66920","69160"," le mètre fois le seconde moins deux. "
"71600","75400"," La photo en dessous montre la force musculaire"
"75400","80380"," qui est une intensité au niveau des tendons"
"80380","81300"," des muscles."
"81700","83840"," Le point d'application, c'est l'insertion"
"83840","86620"," des muscles et donc c'est cette force"
"86620","89840"," qui permet le déplacement de tous les segments"
"89840","94340"," de notre squelette."
"95880","102420"," Et bien sûr également les muscles respiratoires et"
"102420","103240"," autres. "
"105600","109380"," Donc le champ de force, il dérive des"
"109380","109640"," forces."
"109780","112160"," Le champ de force, c'est une région"
"112160","114620"," de l'espace où s'exerce une force"
"114620","117340"," à distance sans liaison matérielle."
"117680","121280"," Donc le cas du champ magnétique ou du"
"121280","124340"," champ terrestre, c'est un champ de force. "
"127039","131180"," Donc soit un point A qui exerce une"
"131180","132320"," force sur un point B."
"133260","139540"," Le Z est la force qui s'exerce"
"139540","141940"," par une unité de quantité."
"144080","146900"," Par exemple, la masse c'est la quantité"
"146900","151740"," de matière de la masse."
"152320","155120"," Et le Z c'est la force ou"
"155120","158180"," c'est l'accélération de la pesanteur. "
"159540","161560"," Dans les cas particuliers, il y a le"
"161560","162240"," champ de pesanteur."
"162940","165680"," Donc la force égale la masse fois l "
"165680","167040","'accélération de pesanteur."
"167040","169740"," Il y a le champ électrique produit par"
"169740","174200"," une charge ponctuelle Q telle que la force"
"174200","175900"," égale Q fois E."
"178680","181580"," Et il y a le champ électrique produit"
"181580","185500"," par un dipôle QQ'. "
"185500","190440"," D'ailleurs le champ électrique E égale E"
"192140","195880"," au niveau du point K plus le champ"
"195880","198480"," E au niveau du point Q'."
"199600","202940"," Le champ électrique produit par une charge ponctuelle."
"204660","206760"," Lorsque la charge est placée en un point"
"206760","207100"," O."
"208580","213940"," Le champ électrique produit par la charge Q"
"213940","214880"," en un point P."
"214880","218240"," Et également de direction au P."
