"start","end","text"
"2310","4990"," Les solutions dans le milieu intérieur de l "
"4990","5550","'organisme."
"10950","14530"," Comme définition, une solution c'est un ensemble"
"14530","16250"," de solvants plus soluté."
"17090","20170"," Le solvant, généralement, c'est un liquide. "
"21870","26570"," Les solutés, généralement également, c'est des solides,"
"26710","28490"," mais ils peuvent être liquides ou gaz."
"28490","32110"," Donc le schéma c'est de soumettre le"
"32110","35050"," solvant qui est l'eau et le soluté"
"35050","35910"," qui est un sel."
"36230","39990"," Donc la solution c'est l'eau salée. "
"40890","43690"," Les types de solutions, on peut avoir une"
"43690","44870"," solution liquide-liquide."
"45930","49230"," On parle de miscibilité, c'est lorsqu'il"
"49230","51610"," existe des forces d'attraction entre les molécules"
"51610","52930"," des deux liquides."
"56810","58850"," Exemple, l'eau plus l'alcool. "
"58970","62150"," L'alcool, il est miscible totalement à l "
"62150","64530","'eau, ça veut dire qu'il se dissout"
"64530","67150"," complètement, donc c'est une solution homogène."
"68090","71450"," L'eau et l'huile, c'est deux"
"71450","73010"," liquides qui sont non miscibles."
"75340","79340"," Donc mélange de deux liquides, soit ils sont"
"79340","87460"," miscibles lorsqu'il y a une dissociation de"
"87460","88720"," l'un dans l'autre. "
"90620","94920"," Et on parle de non miscibilité lorsqu'il"
"94920","96540"," n'y a pas de dissociation de l "
"96540","101020","'un d'une solution ou d'un solvant"
"101020","102380"," dans un autre solvant."
"102380","107650"," C'est le cas de l'huile et"
"107650","110750"," l'eau qui sont des liquides partiellement miscibles."
"111730","113890"," Les solutions solides-liquides. "
"114610","118750"," La solution solide-liquide, on parle de solubilité"
"118750","121330"," ou de saturation."
"122330","126230"," Donc la solubilité, exemple le sel dont l "
"126230","129050","'eau se dissout facilement, il est soluble dans"
"129050","129310"," l'eau."
"130130","133030"," Donc quand on met une petite pincée de"
"133030","135110"," sel dans un verre d'eau, il va"
"135110","139710"," se dissoudre complètement, on parle d'une dissociation"
"139710","140530"," totale. "
"141770","144770"," Mais si on prend par exemple un caillot"
"144770","146250"," ou un morceau de bois, il n'est"
"146250","147290"," pas soluble dans l'eau."
"148710","150570"," Si cette fois-ci on met une grande"
"150570","152290"," quantité de sel dans un peu d'eau,"
"153050","156130"," la totalité ne se dissout pas, c'est"
"156130","157610"," le phénomène de saturation."
"158710","163110"," Donc le schéma, il montre le phénomène de"
"163110","168250"," saturation lorsqu'on met abondamment du sel. "
"171480","175020"," Remarque, l'eau c'est des molécules polaires,"
"175940","179800"," H2O, qui ont des forces d'attraction."
"181720","187320"," Donc pour les différents sels, l'eau, on"
"187320","188700"," parle d'un bon solvant."
"188700","194720"," A température élevée, la solubilité est élevée et"
"194720","195340"," vice versa. "
"195740","198500"," Si la température est basse, la solubilité diminue."
"199340","201680"," A la saturation, si la température est basse,"
"202400","204120"," la solubilité passe à l'état solide."
"206380","208160"," C'est le cas de l'eau et"
"208160","210140"," du sel, ou de l'eau et du"
"210140","210660"," sucre. "
"211970","215870"," Alors, la solution gaz liquide."
"218410","223470"," Il faut savoir que les gaz dans notre"
"223470","226070"," organisme, il y a surtout l'oxygène, le"
"226070","228230"," CO2, ils sont à l'état dissous dans"
"228230","231070"," le sang pour aller vers les tissus."
"231070","237050"," Donc il passe de l'alvéole vers les"
"237050","241390"," capillaires alvéolaires et puis vers les vaisseaux sanguines,"
"241510","243650"," puis vers le cœur pour être distribué à"
"243650","245710"," toutes les cellules de l'organisme. "
"246710","249690"," Et donc la solution gaz liquide, à la"
"249690","253430"," température donnée, et lorsqu'il y a une"
"253430","255690"," saturation, la quantité de gaz dissous dans un"
"255690","259110"," liquide, il est proportionnel à la pression exercée"
"259110","261190"," par ce gaz sur le liquide."
"263200","269380"," Donc, exemple, cette figure, il montre deux compartiments."
"270100","276220"," Le premier, il y a une balance qui"
"276220","281600"," mesure à masse égale la quantité du liquide"
"281600","284840"," à une pression bien déterminée de 1 bar,"
"284920","285400"," par exemple. "
"285400","288200"," Si on augmente la pression jusqu'à 3"
"288200","291580"," bar, au niveau de ce compartiment, on va"
"291580","295900"," trouver que le liquide devient lourd, ça veut"
"295900","297800"," dire qu'il y a un passage de"
"297800","301800"," l'air du gaz du compartiment vers le"
"301800","302220"," liquide."
"307050","312850"," Donc, cette expérience montre qu'il y a"
"312850","316790"," un échange gazeux qui se fait dans les"
"316790","319870"," deux sens, de l'air ou du milieu"
"319870","325450"," externe atmosphérique vers le liquide ou du liquide"
"325450","328290"," vers le milieu extérieur en fonction des différences"
"328290","328950"," de pression."
"329950","332470"," Donc, la loi de Henry, c'est une"
"332470","336430"," loi qui fait l'étude de cette différence"
"336430","345350"," de pression ou de variation de déplacement de"
"345350","346550"," l'air dans les liquides. "
"346550","350590"," A température constante et à saturation, la quantité"
"350590","354130"," de gaz dissous dans un liquide est proportionnelle"
"354130","358350"," à la pression qu'exerce ce gaz sur"
"358350","358970"," le liquide."
"359850","362610"," En pratique, la concentration du gaz dissous se"
"362610","367610"," présente par une valeur VI qui est le"
"367610","369690"," rapport de volume."
"370270","373470"," Il est exprimé par le volume du gaz,"
"373830","377190"," I, c'est-à-dire VI, exprimé en"
"377190","379670"," STPD, c'est-à-dire standard température, pression"
"379670","382690"," et drag, par unité de volume V de"
"382690","383130"," la solution. "
"383130","384570"," Donc, c'est un rapport de volume."
"385430","386950"," Et ce rapport de volume, M."
"387130","389750"," Henry, qui est un Anglais, il a mis"
"389750","392130"," une loi, c'est la loi de Henry"
"392130","399010"," pour les gaz ou la solubilité des gaz."
"399010","402910"," Donc, la loi de Henry est la suivante,"
"403030","404510"," VI égale SI. "
"404830","406790"," SI, c'est la coefficient de solubilité du"
"406790","408010"," gaz, I, dans le liquide."
"410650","413310"," Et VI, c'est le volume du gaz,"
"413530","416170"," VI sur le volume total."
"416970","419270"," C'est la pression, PI, c'est la"
"419270","420690"," pression partielle du gaz. "
"420690","427210"," Et donc, la pression ou le rapport des"
"427210","433390"," volumes d'un gaz déterminé I sur un"
"433390","442170"," ensemble de volumes est égale à la coefficient"
"442170","444450"," de solubilité de ce gaz."
"444770","446630"," Donc, il y a une coefficient fois la"
"446630","447790"," pression partielle de ce gaz."
"449230","451650"," Or, SI, c'est la coefficient de solubilité. "
"452030","453910"," Il est caractéristique du gaz."
"454370","456550"," Par exemple, dans le plasma à 37,6°C,"
"458570","462490"," une pression qui est exprimée en atmosphère."
"463710","466190"," La coefficient de solubilité est égale à 0 "
"466190","469150",",023 pour l'oxygène. "
"471340","473280"," Et la coefficient de solubilité de CO2 est"
"473280","474240"," de 0,51."
"474240","481920"," Donc, le CO2 se dissout plus facilement au"
"481920","484580"," niveau du plasma que l'oxygène."
"485000","486960"," C'est pour ça qu'on peut expliquer"
"486960","490000"," par les accidents des intoxications au CO ou"
"490000","497160"," CO2 dans les sujets qui utilisent le charbon"
"497160","497680"," ou autre. "
"500720","507680"," Donc, ce schéma montre ce rapport de pression"
"507680","512620"," partielle d'un gaz libre qui va se"
"512620","519580"," dissoudre dans une solution."
"519580","524140"," En application de la loi de Henry, la"
"524140","528120"," dissolution des gaz lorsqu'un gaz contacte des"
"528120","534100"," liquides, les molécules de ce gaz se dissolvent"
"534100","535020"," dans ce liquide."
"536320","538660"," Et la concentration en mol par litre du"
"538660","539840"," gaz, I, dissout. "
"541400","543440"," Et lorsqu'un équilibre est réalisé, c'est"
"543440","546120"," proportionnel à la pression partielle PI du gaz,"
"546980","549060"," I, à l'état gazeux."
"549060","554620"," Donc, CI, c'est la concentration de ce"
"554620","557140"," gaz en mol par litre, égale à I,"
"557320","561180"," la coefficient de solubilité du gaz, I, fois"
"561180","563840"," la pression partielle de ce gaz."
"564920","567700"," Et la coefficient de solubilité dépend de la"
"567700","571760"," nature du gaz, de la nature du liquide"
"571760","573260"," et de la température. "
"573400","575800"," Lorsque la température augmente, la solubilité diminue."
"580340","583080"," Donc, la quantité de gaz dissout est en"
"583080","588420"," fonction des chocs de molécules de gaz à"
"588420","589540"," la surface du liquide."
"590580","592540"," C'est en fonction également des forces d "
"592540","594440","'attraction entre les molécules de gaz et du"
"594440","594900"," liquide. "
"595820","599100"," On parle de coefficient de solubilité qui diminue"
"599100","602400"," quand l'agitation thermique augmente."
"609790","615650"," Donc, comme remarque, la dissolution des gaz, c "
"615650","618890","'est un phénomène relativement long et progressif."
"619230","621870"," Jusqu'à ce que la pression du gaz"
"621870","623890"," dissout soit égale à celle du même gaz"
"623890","627550"," dans l'atmosphère gazeux ou à l'extérieur"
"627550","628850"," de la solution. "
"630070","632950"," Donc, si la pression partielle dans l'atmosphère"
"632950","638210"," gazeux baisse, ou dans l'extérieur de la"
"638210","641490"," solution, une partie du gaz dissout dans la"
"641490","643130"," solution passe à l'état gazeux."
"644010","646050"," C'est le cas qu'on peut observer"
"646050","647630"," dans les boissons gazeuses."
"648890","652170"," Lorsqu'on ouvre les bouteilles de l'eau"
"652170","654390"," gazeuse, il y a formation des bulles, parce"
"654390","660330"," que la pression au niveau de la bouteille"
"660330","662370"," du gaz est supérieure à celle du milieu"
"662370","663030"," atmosphérique. "
"663510","667030"," Donc, on va parler de phénomène de dédissolution."
"668370","673210"," Une dédissolution est de deux types."
"673410","677390"," Soit il est progressif, sans formation de bulles"
"677390","678050"," dans le liquide. "
"678170","679710"," C'est le cas de diminution de la"
"679710","680530"," pression partielle."
"681790","684750"," Cette fois-ci, il est lent au niveau"
"684750","686590"," atmosphérique ou à l'extérieur du liquide."
"687250","690990"," Lorsque la diminution de la pression partielle est"
"690990","695990"," rapide, la dédissolution est brutale avec formation de"
"695990","697150"," bulles dans le liquide. "
"699290","701290"," Et donc, ceci, on peut l'appliquer dans"
"701290","703250"," les accidents de la plongée sous-marine."
"703250","707250"," Lors de la plongée, l'augmentation de la"
"707250","711710"," pression d'un atmosphère pour chaque 10 mètres"
"711710","712590"," de profondeur."
"714660","718400"," Et la pression partielle des gaz respirés augmente"
"718400","722580"," d'un atmosphère pour chaque 10 mètres de"
"722580","723860"," profondeur de l'eau. "
"725260","728180"," Et donc, les quantités de gaz dissous dans"
"728180","729820"," le plasma augmentent."
"732760","736700"," Or, lors de la remontée, la pression diminue"
"736700","740240"," et il y a les deux cas de"
"740240","740580"," figure."
"740720","742520"," Soit la remontée est trop rapide, soit elle"
"742520","743360"," est très lente. "
"744100","746640"," Lorsqu'elle est trop rapide, le phénomène de"
"746640","751100"," dédissolution est appelé surdissolution."
"752400","756560"," Et il se produit une formation de gaz"
"756560","758500"," dissous en excès formant des bulles de gaz"
"758500","761560"," qui va induire ce qu'on appelle une"
"761560","763520"," embolie plus gazeuse."
"764200","767620"," Formation de bulles au niveau du petit capillaire"
"767620","771880"," et qui est de très mauvais pronostic. "
"771880","776430"," Et la remontée est très lente."
"776810","779570"," Après la plongée, le gaz dissous en excès"
"779570","782450"," passe progressivement au niveau des poumons sans formation"
"782450","783830"," des bulles dans le sang."
"784770","786710"," Et donc, il ne va pas y avoir"
"786710","787590"," d'embolie gazeuse. "
"788850","792170"," Donc, le schéma montre la formation de bulles"
"792170","796010"," sous forme d'embolie gazeuse qui est mortelle."
"797310","799410"," Donc, la loi de Henry joue un rôle"
"799410","802410"," primordial en plongée car il permet de déterminer"
"802410","805130"," la dissolution de l'azote dans l'organisme."
"805490","809570"," Puisque dans les bouteilles de respiration, c'est"
"809570","811910"," de l'azote qui est plus important que"
"811910","813170"," l'oxygène. "
"813790","816850"," En fonction des paramètres cités ci-dessus."
"817530","819530"," Et plus particulièrement en fonction de la variation"
"819530","820450"," de pression du temps."
"822400","825960"," Donc, à la pression atmosphérique, les liquides de"
"825960","827680"," notre organisme se trouvent dans un état de"
"827680","831220"," saturation vis-à-vis des gaz composants l "
"831220","833320","'air contenant dans nos poumons. "
"836210","843770"," Et enfin, c'est la dernière diapo de"
"843770","847750"," ce cours qui montre un plongeur avec les"
"847750","852250"," gaz émis à travers son masque à gaz."
"852250","854810"," Et devant une grosse baleine."
