"start","end","text"
"900","4160"," Bonjour, le cours d'aujourd'hui est la"
"4160","7440"," suite des phénomènes de déplacement libre de la"
"7440","10700"," matière à l'intérieur de l'organisme humain."
"13320","16980"," C'est les mouvements de convection des fluides."
"18280","21160"," D'abord des définitions, un mouvement de convection"
"21160","23600"," est un déplacement de l'ensemble de la"
"23600","26800"," matière, en général un fluide. "
"26800","31640"," Donc on peut inclure à la fois le"
"31640","34040"," déplacement de l'ensemble de la matière, du"
"34040","35780"," son par exemple, le son au niveau des"
"35780","36160"," vaisseaux."
"38260","41820"," Et pour les liquides, il y a le"
"41820","46880"," liquide céphalo-rachidien, il y a la lymphe,"
"47000","49060"," le liquide lymphatique au niveau des vaisseaux lymphatiques."
"49060","51560"," Donc c'est un déplacement de convection en"
"51560","55240"," fonction des différents facteurs qu'on a vu,"
"55420","57880"," donc de force, de pression et autres. "
"58780","60820"," Et également le déplacement de l'air au"
"60820","63660"," niveau des branches, au niveau des poumons."
"64480","66960"," C'est un déplacement de l'ensemble de"
"66960","68760"," l'air qui est un phénomène de convection."
"75380","78880"," Déjà le phénomène de convection fait intervenir la"
"78880","81160"," notion de débit, le débit d'un fluide"
"81160","82160"," en mouvement. "
"82580","85580"," Donc le débit d'un fluide en mouvement,"
"86300","88260"," c'est la quantité de fluide qui traverse"
"88260","91780"," une section S d'une canalisation par unité"
"91780","94040"," de temps T."
"94040","98320"," Et donc le débit c'est un volume,"
"98500","99860"," c'est des variations de volume, donc c "
"99860","101900","'est des deux v par unité de temps,"
"101980","102400"," des deux T."
"103000","107420"," Et donc l'unité est le mètre cube"
"107420","111420"," ou le litre par seconde."
"111960","115720"," Les dimensions c'est l à la puissance"
"115720","118820"," 3 et T-1."
"123140","132710"," Donc le débit égale les variations de"
"132710","134550"," volume, donc des deux v."
"135010","138690"," On peut décomposer le volume en surface fois"
"138690","144150"," le déplacement, l, donc surface fois la longueur. "
"144230","147910"," Et donc on va avoir le débit égale"
"147910","152070"," surface fois d2l sur d2t, or d2l sur"
"152070","153730"," d2t c'est la vitesse."
"153730","159730"," Donc le débit c'est la vitesse fois"
"159730","164730"," une surface ou une section."
"165350","169850"," Et enfin on a le débit égale la"
"169850","171630"," section fois la vitesse. "
"176400","185940"," Donc le débit dans une canalisation unique"
"185940","191200"," apparaît non élastique de forme et orientation quelconque."
"191840","194440"," En régime permanent, c'est à dire lorsque"
"194440","197900"," la canalisation est déjà remplie de fluide."
"198640","202620"," Dans ce cas là, le schéma montre qu "
"202620","207960","'au même instant, la même valeur du débit"
"207960","211700"," est notée tout au long de la canalisation. "
"211700","215600"," Donc le débit du temps ou du liquide"
"215600","218980"," au niveau du point A, donc au niveau"
"218980","221260"," de la section A, est la même qu "
"221260","222960","'au niveau de la section B, est la"
"222960","227100"," même qu'au niveau de la section D,"
"227200","227780"," et ainsi de suite."
"228260","231180"," D'où le débit est une valeur constante."
"235450","237270"," Et le débit égale la section fois la"
"237270","237690"," vitesse. "
"238870","241270"," Le débit dans des ramifications."
"242590","246490"," Considérant une canalisation mère qui se divise en"
"246490","249070"," plusieurs autres canalisations phi."
"249750","253110"," Si la paroi des canalisations ne sont pas"
"253110","256350"," élastiques et si le régime est permanent. "
"257730","261050"," Le débit dans la canalisation mère est égal"
"261050","263710"," à la somme des débits dans les canalisations"
"263710","264370"," phi."
"265170","268110"," Au même instant, quelles que soient les formes"
"268110","270550"," et les orientations des canalisations."
"274730","280110"," Donc, de la canalisation mère, ici par exemple,"
"280270","284930"," le débit au niveau de la vente, il"
"284930","287410"," est de 5 litres par minute, égale le"
"287410","292970"," débit au niveau des artères coronaires, des artères"
"292970","295730"," qui irriguent les muscles squelettiques, des artères des"
"295730","296950"," autres organes. "
"296950","304250"," Et des vaisseaux qui"
"304250","307730"," se ramifient."
"308050","310330"," Donc, le débit de la canalisation mère égale"
"310330","312790"," la somme des débits des ramifications."
"316170","320250"," Le rôle de la section sur la vitesse. "
"322330","324490"," Le débit, on a dit, qui est égal"
"324490","328590"," à la vitesse fois la section."
"329590","335500"," Et donc, le débit, quand il est constant,"
"337300","342590"," on aura, lorsque la vitesse diminue, la section"
"342590","343570"," va augmenter."
"344550","349590"," Et inversement, si la section diminue, la vitesse"
"349590","350610"," va augmenter. "
"366130","369770"," Donc, on va étudier maintenant les natures des"
"369770","370150"," fluides."
"370350","375330"," Les fluides de viscosité négligeable et les autres"
"375330","379690"," types de fluides à viscosité non négligeable."
"380210","383290"," Donc, les fluides de viscosité négligeable, c'est "
"383290","385690","-à-dire le n coefficient de viscosité est"
"385690","387090"," très diminué. "
"388270","390050"," Alors, il y a ce qu'on appelle"
"390050","391710"," l'énergie totale d'un fluide."
"391710","396950"," L'énergie totale d'un fluide, c'est"
"396950","401690"," la somme des énergies cinétiques plus l'énergie"
