"start","end","text"
"780","6160"," Bonjour, ce cours de biophysique de transfert liquidien"
"6160","11220"," dans l'organisme fait suite au cours précédent"
"11220","19460"," de phénomènes osmotiques, donc des transferts"
"19460","23480"," liquidiens dans les différents tissus."
"26180","30420"," Pour introduire, l'eau de l'organisme représente"
"30420","33580"," 65% de la masse corporelle."
"34520","36980"," Il est composé de l'eau du milieu"
"36980","41460"," intercellulaire qui représente 47% et représente tous"
"41460","46040"," les tissus de l'organisme et du milieu"
"46040","48560"," extracellulaire qui représente 53%. "
"48560","53180"," Le milieu extracellulaire, c'est l'eau du"
"53180","56220"," plasma, c'est-à-dire tous les vaisseaux"
"56220","59100"," du sang à l'intérieur des vaisseaux et"
"59100","60860"," le liquide interstitiel."
"64120","67000"," L'eau diffuse dans les différents secteurs à"
"67000","71460"," travers des membranes, des membranes de dialyse, des"
"71460","77620"," membranes du globule rouge et autres, selon des"
"77620","78980"," pressions mécaniques et osmotiques."
"79660","85340"," Donc les transferts liquidiens permettent de faire un"
"85340","87380"," transfert entre le milieu extérieur et le plasma,"
"87500","90260"," c'est le cas de l'absorption digestive,"
"91140","94520"," entre le plasma et le liquide interstitiel et"
"94520","96300"," entre le plasma et le milieu extérieur, c "
"96300","98020","'est le cas de la filtration rénale. "
"101360","104520"," Les transferts à travers les membranes dialysantes."
"108020","112440"," Comme mécanisme général, on a vu que le"
"112440","113900"," flux entre un milieu 1 et un milieu"
"113900","116400"," 2, il est en fonction de la différence"
"116400","122660"," de pression transminérale ou de pression hydrostatique et"
"122660","125820"," la pression aquatique ou osmotique."
"126880","128800"," Donc le flux d'eau et des particules"
"128800","131400"," diffusibles résultent de la compétition entre ces deux"
"131400","132160"," types de pression. "
"133320","137440"," La pression oncotique du plasma sont limites."
"139380","142880"," La pression du plasma est de 2,5"
"142880","144600"," mmHg à 37°."
"145400","149000"," Elle est due au macro-ion et qui"
"149000","155180"," intervient par leur concentration moderne grâce principalement à"
"155180","156220"," l'albumine. "
"157140","158520"," Et puis il y a le volume exclu"
"158520","162580"," principalement lié au globuline et la pression de"
"162580","162920"," donant."
"165880","174480"," Ce schéma illustre les protéines intraplasmatiques qui permettent"
"174480","178500"," d'attirer les liquides du milieu interstitiel ou"
"178500","182360"," l'interstitium qui est le liquide qui sépare"
"182360","186480"," toutes les cellules de l'organisme vers le"
"186480","189280"," milieu plasmatique à travers la membrane capillaire."
"190120","198580"," Donc ce phénomène est dû à ce qu "
"198580","199780","'on appelle la pression oncotique. "
"203660","206900"," On a dit que cette pression oncotique est"
"206900","214520"," contrebalancée par la pression hydrostatique exercée par la"
"214520","218820"," pente cardiaque du plasma vers l'interstitium qui"
"218820","224220"," se fait au niveau des échanges des capillaires."
"226580","230820"," L'absorption intestinale de l'eau en dehors"
"230820","231540"," de la digestion."
"232620","237320"," La membrane de la muqueuse intestinale ou la"
"237320","240820"," villosité intestinale se comporte comme des membranes de"
"240820","242780"," dialyse, c'est à dire qu'elle fait"
"242780","248940"," passer l'eau et les petites électrolytes telles"
"248940","252540"," que les ions, sodium, potassium, calcium, phosphore et"
"252540","253180"," ainsi de suite. "
"254180","257800"," Et ne laisse pas traverser les protéines."
"258040","263200"," Les protéines vont être dégradées par l'acidité"
"263200","270160"," gastrique et l'hydratation du muqueuse digestif."
"271200","273480"," Donc le transfert se fait à travers les"
"273480","279340"," villosités et les villosités, on a dit que"
"279340","281540"," c'est des membranes de dialyse. "
"283760","287000"," Entre deux qui séparent du milieu le contenu"
"287000","290480"," intestinal ou la lumière intestinale et le plasma"
"290480","291020"," sanguine."
"291020","297860"," Donc la lumière intestinale présente une pression hydrostatique"
"297860","302520"," de 2 mmHg alors que la pression en"
"302520","309060"," quantique est nulle puisque les macromolécules sont détruites"
"309060","309840"," par la digestion."
"310840","315460"," Pour la pression plasmatique, toujours la pression hydrostatique"
"315460","320580"," est de 20 mmHg alors que la pression"
"320580","322520"," en quantique est de 28 mmHg. "
"322520","327060"," Donc la pression P1 c'est la pression"
"327060","329940"," exercée par la paroi sur le contenu intestinal"
"329940","333580"," qui est de 2 mmHg, P1 c'est"
"333580","338680"," la pression en quantique du contenu intestinal qui"
"338680","341800"," est nulle et P2 c'est la pression"
"341800","345560"," sanguine des capillaires intestinaux, P2 c'est la"
"345560","347480"," pression en quantique plasmatique."
"348020","349720"," Donc le flux d'eau et des particules"
"349720","353360"," diffusibles se fait de l'intestin vers le"
"353360","353560"," sang."
"353560","358520"," Donc le flux de milieu 1 vers le"
"358520","365620"," milieu 2 est égal à K, la constante,"
"366380","373320"," fois la surface d'absorption intestinale, fois P1"
"373320","382800"," moins P2 moins P1 plus P2. "
"382800","386260"," Donc égal 10 fois K fois S qui"
"386260","387060"," est positif."
"387660","390180"," Il faut noter que S est très élevé"
"390180","399080"," puisque l'évilocité intestinale constitue des surfaces très"
"399080","402320"," étendues pour qu'il permette l'absorption intestinale."
"402320","408540"," Cette fois-ci en période de digestion, l "
"408540","412960","'intestin est rempli de nutriments, de l'eau"
"412960","415380"," lors de la digestion. "
"416020","419200"," Donc il se contracte et dans ce cas "
"419200","426980","-là la pression transmurale ou la pression intestinale"
"426980","429940"," est atteinte jusqu'à 100 mmHg."
"429940","435840"," Donc le flux de transfert d'équilibre entre"
"435840","442460"," la lumière intestinale et le milieu plasmatique devient"
"442460","443040"," plus grand."
"443780","447160"," Donc il est égal à K fois S"
"447160","451160"," fois P devient 100 mmHg moins 20 moins"
"451160","454160"," 0 plus 28 et ce qui va donner"
"454160","456100"," 108 fois K fois S."
"456320","457560"," Donc il est plus important. "
"457800","459300"," D'où c'est le phénomène d'absorption"
"459300","461400"," intestinale qui est très intense."
"462460","465500"," Les cas de figure où il y a"
"465500","468020"," une congestion intestinale, donc c'est le cas"
"468020","474860"," des infections intestinales, des infections bactériennes telles que"
"474860","477240"," la fièvre, typhoïdes, le choléra et autres."
"478160","480780"," On va assister à une vasodilatation avec augmentation"
"480780","482840"," de la pression sanguine au niveau des capillaires. "
"483840","487520"," Ça veut dire que P2 va devenir supérieur"
"487520","489760"," à 20 mmHg."
"490020","492460"," Et donc le flux de 1 vers 2"
"492460","494860"," va diminuer."
"495860","498880"," Donc l'absorption intestinale devient faible. "
"499760","501860"," Quand le P2 est trop élevé, ça veut"
"501860","503800"," dire que l'inflammation est étendue à l "
"503800","507580","'ensemble de l'intestin, le flux devient inférieur"
"507580","508320"," à 0."
"508600","509400"," C'est à dire qu'il n'y"
"509400","511179"," aura pas d'absorption intestinale."
"511760","515780"," Au contraire, il y aurait une exudation de"
"515780","516340"," l'eau."
"517580","520340"," Exudation de l'eau, c'est d'abord"
"520340","525540"," la malnutrition et également les hémorragies digestives, les"
"525540","526680"," diarrhées, les vomissements. "
"527540","529140"," C'est ce qui se voit dans les"
"529140","534080"," cas d'infections alimentaires ou d'infections digestives."
"538790","541750"," Le 4ème cas de figure, c'est les"
"541750","544230"," échanges de l'eau et des petites particules"
"544230","546230"," entre le sang et le milieu interstitiel."
"548630","551270"," Donc j'ai dit que la paroi capillaire,"
"551610","552890"," c'est une membrane de dialyse. "
"552990","554270"," Il laisse passer l'eau et les petites"
"554270","554950"," particules."
"555610","559690"," Et le schéma qui est devant nous, il"
"559690","563810"," illustre un peu cet échange entre le milieu"
"563810","567170"," interstitiel et la paroi capillaire à travers la"
"567170","569970"," membrane capillaire ou la membrane dialyse de la"
"569970","570770"," paroi capillaire."
"570770","573790"," Donc le sang, on a dit que la"
"573790","578550"," pression qui règne pour la pression hydrostatique au"
"578550","584020"," niveau artériel est de 35 mmHg et la"
"584020","586800"," pression encotique est constante. "
"587440","589760"," Il est de 28 mmHg."
"590380","593620"," Alors qu'au niveau du milieu interstitiel, la"
"593620","600900"," pression hydrostatique est de 6 mmHg et la"
"600900","604140"," pression encotique est de 6 mmHg."
"604280","605360"," Il y a peu de protéines. "
"605360","609440"," Donc au niveau du segment artériel du capillaire,"
"610960","614580"," on va avoir un bilan, un flux de"
"614580","625300"," 35-6 plus 6-28 qui est"
"625300","626260"," égal à 7 Ks."
"626500","627840"," Donc il y a un flux positif."
"627840","630420"," Ce qui fait qu'il y a la"
"630420","638320"," notion de transfert du milieu interstitiel vers les"
"638320","641680"," tissus pour qu'il y ait absorption des"
"641680","643340"," nutriments et de l'oxygène. "
"643340","647760"," Et inversement, le segment du veineux, on va"
"647760","650220"," voir que la pression veineuse est de 20"
"650220","654000"," mmHg et donc dans ce cas-là, le"
"654000","656720"," flux entre le milieu veineux et le milieu"
"656720","658180"," interstitiel est négatif."
"658180","660080"," Donc il va y avoir le retour."
"660940","663800"," Donc c'est ce qui explique les échanges"
"663800","670320"," artério-veineux au niveau des parois capillaires et"
"670320","674120"," au niveau du milieu interstitiel. "
"674800","676820"," Donc au niveau artériel, l'eau et les"
"676820","679600"," petites particules passent de 1 vers 2 à"
"679600","683080"," port d'éléments nutritifs, oxygène aux cellules."
"683200","685180"," Au niveau veineux, passage du milieu 2 vers"
"685180","688060"," le milieu 1, élimination des déchets du métabolisme."
"694050","698550"," Le cas particulier des oedèmes et de l "
"698550","698910","'acide. "
"700150","702930"," Par définition, l'oedème, c'est une accumulation"
"702930","705170"," de l'eau dans le milieu interstitiel qui"
"705170","708970"," entraîne une augmentation du volume, en particulier des"
"708970","713790"," membres inférieurs qui sont gonflés."
"713790","719770"," Donc l'oedème peut être un oedème qui"
"719770","721590"," prend le gourdin, c'est-à-dire un"
"721590","724510"," oedème qui est froid ou un oedème chaud"
"724510","726570"," qui ne prend pas le gourdin, c'est "
"726570","730490","-à-dire l'empreinte persiste au niveau des"
"730490","731610"," membres inférieurs."
"731610","735330"," Il y a également lorsque l'accumulation de"
"735330","738230"," l'eau au niveau du péritoine, il va"
"738230","739850"," donner ce qu'on appelle l'acide, c "
"739850","741770","'est l'accumulation de l'eau au niveau"
"741770","743610"," de la paroi abdominale. "
"745210","748970"," Les oedèmes d'origine rénale, c'est une"
"748970","751030"," rétention du sodium et de l'eau par"
"751030","755970"," défaut de son élimination urinaire, donc qui entraîne"
"755970","758890"," une rétention importante de l'eau."
"762180","765560"," Donc les oedèmes d'origine rénale, ils se"
"765560","767340"," voient lorsqu'il y a une insuffisance rénale,"
"767420","770960"," lorsqu'il y a un obstacle rénal ou"
"770960","771280"," autre."
"772420","775500"," Les oedèmes d'origine capillaire, c'est lorsqu "
"775500","777100","'il y a un mauvais retour du liquide"
"777100","780020"," dans les capillaires veineux, suite à une pression"
"780020","783960"," encotique plasmatique qui est diminuée, donc lorsqu'on"
"783960","789280"," a une hypoprotéinémie par dénutrition ou syndrome néphrotique. "
"789280","798600"," Ou lorsque la pression sanguine capillaire supérieure"
"798600","802180"," à la normale, c'est le cas de"
"802180","805280"," la compression en aval, tumeur en aval du"
"805280","806480"," vaisseau, lorsqu'il y a une tumeur qui"
"806480","811480"," va se mettre en obstacle du vaisseau, lorsqu "
"811480","813600","'il y a une congestion ou une stase"
"813600","815700"," veineuse, du cas d'une insuffisance cardiaque."
"815700","821620"," Donc dans ce cas-là, il y a"
"821620","826740"," une augmentation de la perméabilité capillaire."
"839770","844810"," Et enfin, il y a l'augmentation de"
"844810","847610"," la pression dans le système veineux portale, le"
"847610","851130"," système porte ou lavé-porte, lorsqu'il y"
"851130","853090"," a un départ d'eau vers la cavité"
"853090","855830"," abdominale qui entraîne ce qu'on appelle un"
"855830","859250"," acide ou une acide, c'est le cas"
"859250","860670"," de la cirrhose du foie, donc qui va"
"860670","864010"," bloquer le retour veineux au niveau du foie. "
"864010","868990"," Et l'eau et les électrolytes s'accumulent"
"868990","871790"," au niveau de la cavité abdominale."
"875530","877970"," Le cas de l'élimination rénale de l "
"877970","878130","'eau."
"878130","883630"," Il faut savoir que le glomérule, c'est"
"883630","889190"," le lieu de filtration du son, donc à"
"889190","896130"," travers les différentes artérioles glomérulaires. "
"896130","899170"," Donc le son, il est filtré spontanément par"
"899170","902150"," phénomène passif, c'est la filtration glomérulaire."
"903190","908630"," Et on assiste également à une ultrafiltration du"
"908630","911290"," plasma sanguine produit lorsqu'il y a une"
"911290","915550"," production de l'urine primitive sans macromolécules."
"920700","924220"," Et donc le transfert liquidien dans l'organisme"
"924220","927340"," à travers l'urine, il se fait par"
"927340","930860"," un flux entre le milieu interstitiel et le"
"930860","938000"," milieu glomérulaire et le milieu vasculaire. "
"940720","945680"," Donc le flux phi entre le milieu 1"
"945680","949200"," et 2 égale k fois S fois delta"
"949200","949560"," P."
"950660","953040"," P au niveau du glomérule, il est de"
"953040","957880"," 65 mmHg, moins 10, plus 0, moins 28,"
"958100","961760"," donc c'est 27 kS, il est supérieur"
"961760","963720"," à 0, donc il y a une pression"
"963720","964300"," de filtration."
"964300","968700"," Quand la variation de filtration est supérieure à"
"968700","975600"," 0, on parle de l'ultrafiltration qui se"
"975600","976760"," fait normalement."
"977060","979600"," En cas d'hypotension artérielle et quand la"
"979600","984520"," pression est inférieure à 38 mmHg, les variations"
"984520","986080"," de pression deviennent négatives. "
"986080","992000"," C'est le cas d'anurie ou d "
"992000","997160","'une diminution de l'illumination urinaire et on"
