"start","end","text"
"1610","6530"," Bonjour, le cours de ce matin intitulé signatifs"
"6530","12650"," de transformation radioactif, il fait suite au cours"
"12650","15170"," de la radioactivité."
"16710","20790"," Comme objectif du cours, on doit connaître l "
"20790","24790","'expression de cette loi de décroissance radioactive et"
"24790","28630"," l'activité d'une source d'un produit"
"28630","29510"," radioactif."
"29510","34310"," On doit aussi connaître la constante lambda de"
"34310","38950"," la décroissance radioactive, puis calculer la masse à"
"38950","41430"," partir d'une activité, et calculer l'activité"
"41430","43490"," à partir d'une masse. "
"47120","50220"," La loi de la radioactivité, on a vu"
"50220","52660"," que la radioactivité est un phénomène qui est"
"52660","56080"," aléatoire, et il est impossible de prévoir à"
"56080","59520"," quel moment un noyau radioactif peut se transformer."
"62400","65740"," Par contre, il est possible de déterminer une"
"65740","68420"," probabilité pour que ce noyau se transforme par"
"68420","69320"," l'unité de temps."
"69320","75440"," La probabilité, c'est un chiffre ou un"
"75440","78820"," nombre par unité de temps, c'est le"
"78820","83340"," second moisien, et qui représente la constante radioactive"
"83340","88600"," ou probabilité de désintégration, et qui caractérise les"
"88600","89500"," radionucléides. "
"91560","94860"," Cette constante radioactive lambda ne dépend ni des"
"94860","97620"," conditions physiques ou chimiques, ni de l'âge"
"97620","102480"," de l'atome, parce qu'elle caractérise les"
"102480","104500"," noyaux des atomes radioactifs."
"109480","114600"," La décroissance radioactive est une réduction du nombre"
"114600","117240"," de noyaux radioactifs dans un échantillon."
"118120","121060"," La décroissance radioactive se produit jusqu'à ce"
"121060","124080"," que tous les noyaux de l'échantillon soient"
"124080","124620"," stables. "
"127919","130880"," L'enjeu, c'est que c'est un"
"130880","134120"," paramètre qui est très important pour le secteur"
"134120","135720"," de la gestion des déchets nucléaires."
"136310","139980"," D'ailleurs, on n'a pas l'autorisation"
"139980","145100"," d'éjecter ou d'éliminer les déchets de"
"145100","149480"," produits radioactifs tels qu'utilisés au service de"
"149480","159380"," rayonnement, sans avoir une décroissance radioactive convenable."
"161240","168860"," Cette décroissance radioactive nous permet de pratiquer la"
"168860","178250"," radioprotection et de prévoir"
"178250","185390"," les effets radiotoxicologiques ou radioécologiques de l'exposition"
"185390","186170"," d'une population. "
"189230","194070"," Également, il faut tenir compte des phénomènes d "
"194070","196430","'absorption et des bioaccumulations."
