"start","end","text"
"900","2020"," Bonjour tout le monde."
"2880","5620"," Après le premier cours sur les effets biologiques"
"5620","8260"," des rayonnements ionisants, on va voir aujourd'hui"
"8260","10720"," un nouveau cours qui est celui de la"
"10720","11480"," radiopathologie."
"11720","14020"," Dans ce cours-là, on va suivre le"
"14020","14680"," plan suivant. "
"15360","17660"," Après l'introduction, on va voir les deux"
"17660","22120"," effets principaux, à savoir les effets déterministes, dans"
"22120","23080"," deux cas de situation."
"23280","26200"," La première en cas d'exposition globale du"
"26200","29080"," corps humain par les rayonnements ionisants et puis"
"29080","33200"," dans un deuxième chapitre, on va voir les"
"33200","36880"," effets observés en cas de radio-exposition partielle"
"36880","37900"," des rayonnements ionisants."
"38700","40800"," Après, on va voir les effets stochastiques. "
"40920","42380"," Ce sont des effets qui sont aléatoires."
"44520","47080"," Et surtout, on va voir les effets à"
"47080","47640"," deux échelles."
"47780","51460"," D'abord, sur les cellules somatiques et puis"
"51460","53260"," on va voir les effets génétiques. "
"54140","55920"," Et puis, avant de conclure, on va voir"
"55920","56700"," la chronologie."
"56700","59820"," Cela veut dire qu'après un rayonnement ionisant,"
"60800","64640"," en fonction du temps, on va voir la"
"64640","69000"," succession des événements de ces effets des rayonnements"
"69000","70900"," ionisants sur le corps humain."
"71680","76380"," Alors, en guise d'introduction, je rappelle que"
"76380","77940"," la radiopathologie, c'est quoi ?"
"77940","80160"," La radiopathologie, c'est une branche de la"
"80160","83640"," médecine qui étudie les maladies résultant d'une"
"83640","88820"," exposition excessive à des rayonnements ionisants, comme les"
"88820","93080"," rayonnements X ou les rayonnements issus de la"
"93080","95360"," matière ou des matières radioactives. "
"96220","99300"," Et ceci à l'échelle ou plutôt sur"
"99300","102940"," l'organisme du corps, sur l'organisme humain."
"104160","107500"," Pour cela, on peut observer deux effets."
"107920","110820"," D'abord, les effets déterministes et les effets"
"110820","111660"," stochastiques. "
"111660","115300"," Alors, je précise que les premiers, ce sont"
"115300","116560"," des effets qui sont obligatoires."
"116740","117540"," Cela veut dire quoi ?"
"117540","120640"," Cela veut dire qu'une fois les radiations"
"120640","122640"," ont été faites et qu'il y a"
"122640","125080"," un seuil qui a été dépassé, donc ces"
"125080","126240"," effets deviennent obligatoires."
"126980","129560"," Le deuxième effet, qui est l'effet stochastique,"
"131240","132680"," dans ce cas-là, il n'y a"
"132680","133320"," pas de seuil. "
"134160","136820"," Et dans ce cas, ces effets ne sont"
"136820","137500"," pas obligatoires."
"137500","140020"," Cela veut dire que certains patients ou certains"
"140020","142600"," malades peuvent développer ces effets, alors que d "
"142600","142980","'autres, non."
"144080","146580"," Quelques rappels de certaines dates historiques. "
"147160","150240"," Tout d'abord, en 1904, il y a"
"150240","154020"," la constatation des premiers décès suite aux rayonnements"
"154020","156400"," ionisants causés par les rayons X."
"157660","160560"," Quelques années plus tard, en 1911, il y"
"160560","162480"," a le premier cas de radiolocose."
"162580","163960"," Alors la radiolocose, c'est quoi ?"
"163960","165700"," C'est une leucémie qui est provoquée par"
"165700","166700"," les radiations ionisantes."
"166700","170440"," Et puis un peu plus tard, en 1966,"
"172040","176020"," une expérimentation in vitro qui a montré que"
"176020","177900"," suite à une irradiation d'une cellule normale,"
"179320","181260"," il y a une transformation de cette dernière"
"181260","183140"," en une cellule cancéreuse. "
"185060","188440"," Alors ici, avant de commencer, on va voir."
"188540","190760"," Vous avez une irradiation et une lésion de"
"190760","191340"," l'ADN."
"191780","193460"," Dans ce cas, il y a les processus"
"193460","194920"," de réparation qu'on a vus dans le"
"194920","196940"," cours précédent. "
"198780","201880"," Et on peut avoir soit une réparation fidèle,"
"203120","203960"," et dans ce cas, il n'y a"
"203960","204440"," pas d'effet."
"205780","207400"," Alors, ceci, c'est le premier cas de"
"207400","207700"," figure."
"208260","211320"," Par contre, on peut avoir les éléments suivants. "
"212480","214700"," Soit que la réparation n'est pas fidèle,"
"214780","216740"," mais il est fautif, et dans ce cas,"
"216820","218520"," il y a la mort de la cellule."
"219020","220220"," Et dans ce cas, on parle des effets"
"220220","220410"," obligatoires."
"221770","224350"," Soit que c'est une réparation fautive, soit"
"224350","225370"," qu'il n'y a pas de réparation"
"225370","226170"," du tout. "
"226850","228990"," Ça veut dire lorsqu'il y a des"
"228990","231330"," rayonnements avec une énergie qui est très importante,"
"231830","234450"," ou lorsque le rayonnement a causé plusieurs dégâts"
"234450","236530"," au niveau de l'ADN, que vous voyez"
"236530","236790"," là."
"238810","243950"," Alors, dans la réparation fautive, il y a"
"243950","246630"," une cellule qui est viable, d'accord, une"
"246630","248550"," cellule qui va rester quand même vivante, mais"
"248550","250210"," avec des altérations de son ADN."
"250670","252190"," Et dans ce cas, ce sont des effets"
"252190","257209"," qui sont aléatoires, qui peuvent se toucher, soit"
"257209","259450"," une cellule somatique, soit des effets qui sont"
"259450","260589"," génétiques. "
"261350","262910"," Ça, c'est un résumé, en fait, de"
"262910","264530"," ce chapitre-là, qui est celui de la"
"264530","265190"," radiopathologie."
"265430","269850"," Et je rappelle que c'est une science"
"269850","274310"," qui étudie les effets, d'accord, qui résultent"
"274310","277850"," d'un rayonnement ionisant, ici des matières radioactives,"
"277930","279590"," ou bien ici des rayonnements de type X."
"280330","280770"," Bien."
"281450","285510"," Alors, ici, on a les deux effets, donc"
"285510","286470"," avec plus de détails. "
"287530","290530"," On va commencer par le premier, qui est"
"290530","291610"," l'effet déterministe."
"291710","294170"," Alors, on l'appelle effet déterministe, ou bien"
"294170","297310"," obligatoire, d'accord, ou bien non stochastique."
"298350","300870"," Je rappelle que la cause, d'accord, de"
"300870","303410"," cet effet, il est lié à la mort"
"303410","303970"," de la cellule. "
"304110","307030"," Ça veut dire que les radiations étaient intenses,"
"307590","308850"," et du coup, la cellule n'a pas"
"308850","310770"," pu résister à ce rayonnement."
"311730","314630"," Et dans ce cas, les caractéristiques, c'est"
"314630","317230"," que cet effet s'observe lorsqu'il y"
"317230","319430"," a, d'abord, un seuil."
"320190","322370"," Ça veut dire que lorsque le seuil est"
"322370","326290"," très important, l'effet est observé. "
"328130","330530"," Ce sont des effets qui sont obligatoires, ce"
"330530","334090"," sont des effets qui sont généralement réversibles, ce"
"334090","336590"," sont des effets qui sont proportionnels à la"
"336590","339030"," dose, ce sont des effets qui sont caractéristiques,"
"339150","340990"," et ce sont des effets qui sont précoces."
"341350","342070"," Alors, je m'explique."
"342650","343990"," Donc, le seuil, c'est très important. "
"344070","344310"," Pourquoi?"
"344310","346870"," Parce que vous voyez ici, sur ce schéma"
"346870","350750"," qui est juste à votre droite, que, par"
"350750","354990"," exemple, vous avez ici, donc, un seuil, d "
"354990","361150","'accord, qui est là, et si, donc, le"
"361150","364050"," seuil ou l'énergie des rayonnements, donc, incident,"
"364210","365810"," il est inférieur à ce seuil, d'accord,"
"365910","366530"," il n'y a pas d'effet."
"367110","370410"," Mais par contre, chaque fois que le rayonnement"
"370410","372670"," dépasse ce seuil, vous avez donc une augmentation"
"372670","373750"," des effets."
"374170","376730"," Donc, c'est un effet, donc, à seuil. "
"377290","379310"," Ce sont des effets qui sont obligatoires, ça"
"379310","381150"," veut dire que, donc, une fois que le"
"381150","384730"," seuil a été franchi, donc, les effets, donc,"
"384850","387450"," touchent la population qui a été irradiée."
"388230","390910"," Ce sont des effets qui sont généralement réversibles,"
"391210","393730"," ça veut dire que, donc, une fois qu "
"393730","396330","'on a arrêté, donc, l'irradiation, donc, on"
"396330","397490"," peut revenir, donc, en arrière."
"398370","400370"," Et ce sont des effets qui sont proportionnels"
"400370","402110"," à la dose, ceci s'explique par le"
"402110","403310"," schéma suivant, d'accord. "
"403310","405130"," Chaque fois que la dose, que vous voyez"
"405130","406950"," là, d'accord, ça c'est le pourcentage"
"406950","408470"," des effets qui sont observés, ça c'est"
"408470","409190"," la dose, d'accord."
"409670","411730"," Chaque fois que la dose augmente, alors, l "
"411730","414650","'effet, donc, devient de plus en plus très"
"414650","415050"," important."
"415970","418450"," Ce sont des effets qui sont caractéristiques, on"
"418450","419890"," verra ça dans les slides suivantes. "
"420610","421950"," Et puis, ce sont des effets qui sont"
"421950","424610"," précoces ou bien qui surviennent, donc, à moyen"
"424610","424950"," terme."
"426330","428430"," Alors, on va prendre, donc, les deux graphiques"
"428430","430790"," de droite et on va expliquer tout ça."
"432270","434430"," Là, vous avez, donc, la dose, d'accord,"
"434550","435870"," qui est reçue et là c'est la"
"435870","436290"," gravité. "
"437250","441450"," Donc, vous constatez que lorsque la dose, donc,"
"441490","443810"," est inférieure, donc, au seuil, qui est des"
"443810","445390"," zéros, donc, il n'y a pas d "
"445390","446170","'effet, d'accord."
"446490","447910"," Donc, la gravité, en quelque sorte, donc, elle"
"447910","449310"," est nulle."
"449690","452230"," Mais chaque fois que la dose augmente, d "
"452230","455350","'accord, vous constatez que la gravité, donc, augmente"
"455350","455650"," aussi. "
"456050","461190"," Donc, ce sont des effets dont les conséquences,"
"461250","463690"," donc, sont proportionnelles, en quelque sorte, donc, à"
"463690","464090"," la dose."
"464850","465010"," Bien."
"466750","468810"," On va passer au plus tôt. "
"468950","470410"," Donc, on va insérer dans le premier et"
"470410","471650"," prendre quelques exemples."
"471790","473850"," Alors, là, vous avez deux types, soit un"
"473850","476250"," syndrome d'irradiation globale aiguë, ceci est dans"
"476250","477630"," le cas d'une radiation de tout le"
"477630","481970"," corps, ou bien exemple de brûlure radiologique en"
"481970","484250"," cas de radioexposition qui est partielle."
"485190","487870"," Alors, la notion de seuil, alors, c'est"
"487870","490670"," très important, elle est là, et on va"
"490670","492370"," prendre un exemple très simple, d'accord, vous"
"492370","494370"," prenez, donc, de l'eau chaude, d'accord,"
"495350","497390"," et puis, vous allez tremper votre main. "
"500530","503030"," Lorsque, par exemple, donc, l'eau est froide"
"503030","504330"," ou bien tiède, donc, il n'y a"
"504330","505830"," pas d'effet, mais lorsque l'eau est"
"505830","509590"," très chaude, d'accord, là, donc, la personne"
"509590","511929"," qui est radioexposée peut avoir, donc, des brûlures."
"511929","514610"," Et la gravité de ces brûlures, d'accord,"
"515309","517630"," elle fonctionne de la température de l'eau"
"517630","518150"," chaude."
"518710","519230"," Ok?"
"519929","520289"," Bien. "
"522190","526870"," Après, donc, on va passer, donc, aux effets."
"527150","528910"," Donc, suivant, alors, on va effacer ça."
"530510","534790"," Alors, là, par exemple, vous avez, alors, attendez,"
"535170","539010"," voilà, ce sont des effets qui sont liés"
"539010","541070"," à la survie des célèbres qui sont lésés. "
"541070","541770"," Ça veut dire quoi?"
"541950","545210"," Ça veut dire que les cellules sont irradiées"
"545210","547710"," et puis, donc, il y en a certaines"
"547710","549590"," qui vont résister, mais d'autres qui sont"
"549590","550030"," lésées."
"550710","553470"," Et celles qui sont lésées, donc, vont se"
"553470","556230"," développer par la suite, mais le problème, c "
"556230","558070","'est qu'il y a une anomalie, donc,"
"558190","559210"," au niveau de leur ADN."
"559790","561670"," Donc, ce sont des cellules qui sont lésées,"
"561790","563730"," mais qui restent quand même viables, qui peuvent"
"563730","564290"," se diviser. "
"564290","566710"," Le problème, c'est que lorsque ces cellules,"
"566850","569170"," donc, vont se diviser, donc, les conséquences, c "
"569170","570910","'est qu'elles vont provoquer d'autres pathologies,"
"571530","573610"," soit dans la descendance, c'est ce qu "
"573610","577810","'on appelle les effets génétiques, soit sur les"
"577810","580390"," cellules somatiques, et ceci en fonction de la"
"580390","580630"," dose."
"581570","583750"," Alors, on va commencer par le seuil, déjà."
"584610","587830"," Ce sont des effets où il n'y"
"587830","588450"," a pas de seuil. "
"588450","591710"," Ça veut dire que, comme vous le voyez"
"591710","597130"," ici, on va continuer et on va revenir"
"597130","599030"," sur les explications après."
"600950","602470"," Deuxièmement, ce sont des effets qui ne sont"
"602470","603730"," pas obligatoires."
"603890","605530"," Ça veut dire que certains sujets peuvent développer"
"605530","608010"," ces pathologies, mais d'autres non. "
"608470","611710"," Ce sont des effets qui sont irréversibles, d "
"611710","614270","'accord, dont la fréquence est proportionnelle, mais dont"
"614270","615530"," la gravité, donc, n'est pas liée à"
"615530","615930"," la dose."
"615930","618450"," Et ce sont des effets non caractéristiques, mais"
"618450","620430"," surtout, ce sont des effets qui sont très"
"620430","620890"," dardifs."
"623030","625930"," Alors, ces effets-là, on va les voir"
"625930","626990"," sur le schéma suivant. "
"627930","629970"," Alors, la notion de seuil, elle est très"
"629970","633550"," importante, c'est que là, il n'y"
"633550","634870"," a pas de seuil, comme vous le voyez."
"635810","636370"," Ça veut dire quoi?"
"636850","639770"," Ça veut dire que la personne qui éradie,"
"639870","642910"," donc, il peut développer, mais il ne va"
"642910","647270"," pas se rendre compte de ces anomalies-là."
"648090","649010"," Ce n'est qu'après. "
"649190","650170"," C'est pour cela que ce sont des"
"650170","651350"," effets qui sont très dardifs."
"652450","654210"," Et vous voyez ici, donc, la dose en"
"654210","655290"," fonction de la fréquence."
"656130","658050"," Comparativement, donc, au premier effet, donc, où il"
"658050","659770"," y a un seuil, là, donc, une fois"
