"start","end","text"
"2060","5300"," Bonjour, le cours de ce matin est intitulé"
"5300","8360"," les facteurs de déplacement de la matière dans"
"8360","10600"," l'organisme humain."
"11460","14720"," Comme introduction, le déplacement des substances et matières"
"14720","17940"," dans l'organisme, il se fait par plusieurs"
"17940","19060"," mécanismes."
"19060","24380"," Par des forces, des forces type mécaniques, telles"
"24380","30840"," que les forces de convection et de déplacement"
"30840","33260"," de l'ensemble de la matière au niveau"
"33260","33840"," des vaisseaux. "
"35540","40080"," Sanguine, lymphatique, respiratoire, donc de la masse de"
"40080","41380"," l'air, et ainsi de suite."
"42320","44880"," Et puis il y a les forces électriques,"
"45140","48160"," c'est le cas des déplacements des charges"
"48160","51520"," électriques à travers les neurones, à travers les"
"51520","52920"," fibres musculaires cardiaques."
"53800","58980"," Et des forces type mécaniques et chimiques, telles"
"58980","62420"," que les forces exercées au niveau des synapses"
"62420","64400"," par transport de médiateurs chimiques. "
"66670","70270"," En parallèle à ces forces de déplacement, il"
"70270","72690"," y a les phénomènes de pression."
"73430","76390"," Donc la pression qui s'exerce sur les"
"76390","76810"," fluides."
"78010","81750"," Puis tout ça, il nécessite une consommation d "
"81750","82070","'énergie. "
"82310","84990"," Donc on va voir les notions d'énergie."
"88390","89770"," Donc le travail et l'énergie."
"90070","92730"," Le travail d'une force, c'est un"
"92730","94950"," déplacement d'une quantité. "
"94950","96230"," Le travail, ça peut être une quantité de"
"96230","99790"," matière, ça peut être une quantité d'électricité"
"99790","101750"," dans un champ de force."
"103190","107930"," Et donc le travail égale la force fois"
"107930","110330"," les variations du déplacement."
"110330","115490"," Quand la force fait un angle α avec"
"115490","119730"," la trajectoire, les variations du travail égalent la"
"119730","123930"," force fois les variations du déplacement fois cos"
"123930","124830"," α."
"126210","129210"," Lorsque cos α égale 1, donc les variations"
"129210","131330"," du travail égalent la force fois les variations"
"131330","132090"," du déplacement. "
"132770","134030"," En cas d'un fluide."
"134830","138270"," Le fluide présente plusieurs points d'application."
"138690","142370"," Donc la force, dans ce cas là, est"
"142370","144730"," appliquée à plusieurs points, d'où on fait"
"144730","148310"," intervenir la notion de surface d'application. "
"149110","151370"," Et la surface d'application est en rapport"
"151370","153070"," avec la pression."
"153670","156230"," D'ailleurs la pression égale la force sur"
"156230","156890"," la surface."
"156890","160330"," Quand cos α égale 1, dans ce cas"
"160330","163030"," là, la relation qu'on a vu dans"
"163030","167230"," le travail d'une force, dW égale F"
"167230","172610"," fois les variations du déplacement dL, égale la"
"172610","176890"," pression fois la surface fois dL. "
"179200","181940"," Et donc la surface fois dL, c'est"
"181940","183000"," la variation du volume."
"183000","187560"," D'où les variations du travail d'un"
"187560","193080"," fluide égalent les variations d'énergie, égale la"
"193080","197040"," pression, fois dW, fois les variations du volume."
"197600","199920"," Son unité c'est le joule au système"
"199920","200680"," international. "
"201220","204520"," Les dimensions du travail et le grand M,"
"204660","206180"," L²T-2."
"206180","210300"," Donc c'est la masse fois l'accélération,"
"213420","215040"," fois la longueur."
"217220","221160"," Et le schéma illustre les variations du volume"
"221160","225880"," par une force, au niveau d'un tube"
"225880","228640"," ou d'un piston, qui permet de donner"
"228640","233500"," une pression ou une compression en fonction des"
"233500","234440"," variations du volume. "
"235700","238200"," Et donc la relation entre le travail et"
"238200","238680"," l'énergie."
"239760","242080"," Le travail est l'équivalent de l'énergie,"
"243020","248140"," sauf pour le signe, il est positif."
"248280","251700"," Quand le travail est positif, dans ce cas"
"251700","254100"," là, le travail est monteur. "
"255779","260680"," Et donc l'angle α égale à 0,"
"260880","262300"," c'est-à-dire le cos α égale"
"262300","262600"," à 1."
"263380","266120"," Et les variations de l'énergie, c'est"
"266120","266580"," l'inverse."
"266840","268660"," Donc ΔE est inférieur à 0."
"271200","273700"," Quand ΔE est supérieur à 0, c'est"
"273700","274160"," l'inverse."
"274800","278880"," Dans ce cas là, le travail est inférieur"
"278880","279520"," à 0."
"280260","282760"," Cela veut dire que l'angle α égale"
"282760","283980"," à π, donc égale à moins 1."
"284800","286640"," Et le travail est résistant. "
"287180","288980"," Pour les variations d'énergie d'un fluide,"
"289100","294380"," en fonction de la pression, ΔW égale ΔE,"
"294820","297180"," donc les variations de travail égale les variations"
"297180","299800"," d'énergie, égale moins la pression fois les"
"299800","300700"," variations du volume."
"301700","307720"," D'où cette notion de ΔW égale P"
"307720","309600"," fois ΔV."
"310960","313280"," Également, il y a les formes d'énergie. "
"314120","316480"," Les différentes formes d'énergie."
"316720","319860"," Il y a les énergies de masse, qui"
"319860","321640"," fait intervenir la célérité."
"321840","327620"," D'ailleurs, l'énergie cinétique égale les variations"
"327620","329300"," de masse fois c². "
"330700","333200"," C'est la fameuse relation d'Einstein."
"333760","340940"," Il y a l'énergie cinétique qui est"
"340940","347980"," égale, dans ce cas là, la vitesse de"
"347980","352220"," la particule ou du corps est plus petite"
"352220","353840"," par rapport à la célérité de la lumière."
"354400","358660"," Et dans ce cas là, l'énergie cinétique,"
"358660","360600"," elle est égale à 1,5 fois la"
"360600","362540"," masse fois la vitesse au carré. "
"364830","367510"," L'énergie potentielle et les différences de potentiel."
"370340","373660"," Le travail dans un champ."
"374660","378200"," Un travail étant une différence d'énergie entre"
"378200","379180"," deux points A et B."
"379960","382380"," Lorsque le travail de quantité x varie de"
"382380","386160"," WA à WB, son énergie va varier d "
"386160","389560","'un travail de W égale la force fois"
"389560","394120"," les variations de déplacement, égale fois la quantité"
"394120","400600"," x fois z, le champ de ce champ,"
"401260","405500"," fois, bien sûr, fois d²L, puisque f égale"
"405500","406680"," x fois z."
