"start","end","text"
"6020","6900"," Les fluides de l'air sont des fluides"
"6900","16730"," de fibrine ou de protéines à l'intérieur."
"16950","20720"," Les fluides tels que le sang, ou le"
"20720","24260"," liquide cephalorachidiaire, ou la lymphe, sont des déplacements"
"24260","27080"," de ces particules, ou de certaines particules, alors"
"27080","28640"," que d'autres restent immobiles."
"30260","32520"," Dans ce cas, on va assister à une"
"32520","38160"," résistance de déplacement de ces particules à l "
"38160","39740","'intérieur du fluide. "
"40480","44720"," soit un corps solide S qui est en"
"44720","49580"," mouvement dans un liquide de viscosité n, il"
"49580","51640"," va être soumis à deux forces."
"51740","55660"," Une force motrice F qui va déplacer le"
"55660","61300"," solide ou la particule et une force résistante,"
"61640","63260"," c'est la résistance au déplacement."
"64099","68100"," Donc cette force de résistance égale une constante"
"68100","72520"," K fois la viscosité fois la vitesse. "
"74580","82080"," Avec la constante K qui peut prendre des"
"82080","85700"," valeurs selon la forme de la particule."
"87780","92200"," Et donc lorsqu'il a une forme de"
"92200","95060"," sphère de sphère, dans ce cas-là, la"
"95060","100460"," force de résistance égale moins 6pi fois le"
"100460","104560"," petit rayon qui est égal à K fois"
"104560","109580"," la vitesse de déplacement de cette particule multipliée"
"109580","112660"," par le coefficient de viscosité."
"113980","118100"," Donc la migration de ces particules sous l "
"118100","122720","'effet de l'apesanteur est appelée l'accélération. "
"124120","126780"," L'accélération est appelée la sédimentation."
"128280","131320"," C'est une migration des particules sous l "
"131320","133380","'effet de l'accélération de l'apesanteur et"
"133380","134780"," qui est une cause externe."
"136840","139780"," Donc on peut voir cette expérience que lorsqu "
"139780","142580","'on met du sable ou des particules de"
"142580","145660"," sable dans de l'eau, dans un récipient,"
"146920","152020"," après un certain moment, les particules qui étaient"
"152020","157240"," déplacées d'une manière aléatoire, ils vont se"
"157240","162080"," déposer au fond du récipient pour donner un"
"162080","162460"," sédiment. "
"162580","164040"," C'est ce qu'on appelle la sédimentation."
"164620","166720"," Donc la sédimentation c'est un déplacement sous"
"166720","169240"," l'action de l'accélération de l'apesanteur."
"170100","172780"," La vitesse de sédimentation c'est une vitesse"
"172780","178120"," qui va mesurer le déplacement de ces particules"
"178120","180380"," à l'intérieur d'un fluide tel que"
"180380","184780"," les globules rouges lorsqu'ils sont sédimentés au"
"184780","188720"," niveau d'un flacon pour donner une sédimentation. "
"189480","193840"," Donc la vitesse de sédimentation est calculée d "
"193840","197080","'après les relations qu'on a vues, la"
"197080","200160"," loi de Stokes qui dit que la résistance"
"200160","203320"," est également 6 pi nR fois la vitesse"
"203320","208360"," puisqu'on a pris comme corps de déplacement"
"208360","209100"," cette sphère."
"210300","212800"," Et la force motrice c'est la masse"
"212800","217600"," fois l'apesanteur moins la masse du liquide"
"217600","221820"," ou du volume déplacé fois l'accélération de"
"221820","222320"," l'apesanteur."
"222320","225780"," Et donc on peut faire lorsqu'il y"
"225780","227840"," a l'équilibre, l'égalité entre les deux"
"227840","231580"," forces, on va calculer la vitesse de déplacement"
"231580","234640"," de cette sphère qui est égale à 2"
"234640","237600"," fois R au carré fois l'accélération de"
"237600","241820"," l'apesanteur fois la différence de masse volumique"
"241820","246500"," du corps et du liquide sur 9 fois"
"246500","247840"," la coefficient de viscosité. "
"248400","252720"," Et donc cette vitesse est appelée vitesse de"
"252720","255980"," sédimentation et qui applique le milieu biomédical."
"256420","261180"," Donc on utilise la sédimentation globulaire des globules"
"261180","268340"," rouges lorsqu'on va les mettre dans des"
"268340","274200"," petits tubes gradués et on va calculer la"
"274200","278780"," hauteur du plasma débarrassé des globules rouges pendant"
"278780","279820"," une durée d'une heure."
"280520","285200"," Et c'est la vitesse de sédimentation qui"
"285200","289300"," est très utilisée au milieu médical surtout en"
"289300","294820"," rheumatologie, en médecine interne pour mesurer la sédimentation"
"294820","295300"," du sang. "
"295700","299880"," Et donc la vitesse de sédimentation il est"
"299880","302560"," normalement en une heure inférieure à 10 mm."
"304660","311960"," On peut faire une autre mesure de la"
"311960","313700"," vitesse de sédimentation après 2 heures."
"314460","317320"," Donc on parle de vitesse de sédimentation de"
"317320","317860"," contrôle. "
"319980","322820"," Lorsque la vitesse de sédimentation est élevée, on"
"322820","327120"," va assister à une accélération ou une augmentation"
"327120","332940"," de cette hauteur du plasma qui est débarrassé"
"332940","333620"," des globules rouges."
"334580","338980"," Donc pourquoi il y a une augmentation de"
"338980","340340"," la vitesse de sédimentation?"
"340800","344080"," D'après l'expérience, on a vu que"
"344080","348300"," la vitesse de sédimentation est augmentée surtout lorsque"
"348300","354020"," le plasma n'est pas normal et le"
"354020","355940"," nombre de globules rouges ou des globules rouges"
"355940","359020"," surnormaux, c'est-à-dire que le plasma"
"359020","361980"," n'est pas normal, ça veut dire qu "
"361980","366100","'il est pathologique et un plasma pathologique, ça"
"366100","368280"," veut dire qu'il y a beaucoup de"
"368280","372640"," particules ou de fibrines à l'intérieur de"
"372640","375980"," ce plasma puisque le plasma contient surtout les"
"375980","377840"," produits."
"378100","386500"," Donc un plasma qui est très visqueux, on"
"386500","389600"," va dire, et on assiste à une augmentation"
"389600","392480"," de la vitesse de sédimentation lorsqu'il y"
"392480","395840"," a une augmentation des macromolécules linéaires telles que"
"395840","398520"," les fibrines non gènes, les alphas de globuline"
"398520","405540"," et le collagène par exemple également et qui"
"405540","408580"," sont responsables de l'empilement des globules rouges"
"408580","412960"," qui vont sédimenter plus facilement au niveau de"
"412960","416740"," la partie inférieure du typion. "
"417500","423760"," Deuxième type de facteur de déplacement des particules"
"423760","426940"," d'origine externe, il y a l'effet"
"426940","430260"," de l'accélération centrifuge ou centrifugation."
"430920","434140"," Donc la centrifugation, c'est une migration sous"
"434140","438460"," l'effet d'une accélération centrifuge."
"438880","442240"," On va faire tourner le son qui contient"
"442240","444400"," du plasma et des globules rouges à une"
"444400","448840"," vitesse angulaire, omega au carré fois R, R"
"448840","450940"," c'est le rayon de l'axe de"
"450940","455300"," rotation de cet appareil qui va faire tourner"
"455300","463000"," le son pour accélérer la sédimentation ou ce"
"463000","466240"," qu'on appelle l'accélération de la centrifugation. "
"466440","471560"," Donc l'intérêt biomédical de la centrifugation c "
"471560","473940","'est qu'il permet de séparer le plasma"
"473940","479220"," des globules rouges dans un temps très bref,"
"479780","489640"," donc plus rapidement que la sédimentation par l "
"489640","491260","'accélération de la pesanteur."
"491960","497280"," Également il permet de séparer les urines ou"
"497280","504700"," le cul urinaire, surtout lorsqu'il contient des"
"504700","508280"," particules visibles au microscope telles que les globules"
"508280","509340"," rouges ou les particules."
"509340","514380"," Donc l'appareil utilisé c'est une centrifugeuse"
"514380","517799"," qui fait tourner, on met les flacons à"
"517799","520940"," l'intérieur de la centrifugeuse et sa rotation"
"520940","525600"," va induire une sédimentation des particules. "
"526320","532800"," Le troisième mode de sédimentation ou de migration"
"532800","535500"," des particules à l'intérieur d'un fluide"
"535500","538280"," c'est l'ultracentrifugation, c'est une migration"
"538280","544380"," des macromolécules qui va aboutir à une séparation"
"544380","547180"," cette fois-ci des protéines à l'intérieur"
"547180","547940"," du plan."
"549080","552760"," Le deuxième type de migration des particules chargée"
"552760","555260"," cette fois sous l'effet d'un champ"
"555260","561160"," électrique qui représente une cause externe toujours."
"562180","568000"," Donc avant d'entamer cette migration il y"
"568000","570720"," a les notions de vitesse de la particule"
"570720","573720"," chargée donc la migration dans un champ électrique. "
"574000","575800"," On a la force d'un champ électrique"
"575800","579960"," égale q fois le champ donc c'est"
"579960","584480"," la charge fois le champ et la résistance"
"584480","585440"," lorsqu'on a vu M."
"585440","587640"," Stokes il a dit qu'il est égale"
"587640","589940"," moins k fois n fois la viscosité fois"
"589940","592180"," la vitesse donc lorsqu'il y a équilibre"
"592180","599100"," ou lorsque la particule il est en état"
"599100","602020"," d'équilibre la force de déplacement et la"
"602020","604600"," force de résistance sont égaux et donc qe"
"604600","609760"," égale moins 7k fois n fois v et"
"609760","612860"," donc la vitesse de déplacement égale la charge"
"612860","619660"," q fois e sur kn or la charge"
"623880","626740"," q sur k fois la viscosité est à"
"626740","628760"," peine la mobilité de la particule chargée."
"629640","634300"," Si q est supérieur à 0 alors le"
"634300","641220"," potentiel ou la vitesse égale la mobilité fois"
"641220","643600"," e si la charge est négative la vitesse"
"643600","646560"," de déplacement de la particule égale moins la"
"646560","649320"," mobilité fois e donc la mobilité ionique c "
"649320","654720","'est également un élément très utilisé au milieu"
"654720","660700"," médical il permet et dépend déjà d'abord"
"660700","663860"," de la nature de l'ion et de"
"663860","668540"," la viscosité du milieu exemple pour l'ion"
"668540","670320"," H plus qui est le plus petit le"
"670320","672860"," plus léger il a une mobilité plus importante"
"673560","679180"," également pour le H moins de même la"
"679180","682380"," mobilité du potentiel et du chlore qui sont"
"682380","686620"," ils sont plus rapides mais d'une manière"
"686620","688820"," moins importante que le H plus et le"
"688820","689200"," H moins."
"689800","692680"," Les macromolécules ils ont une mobilité puisqu'ils"
"692680","696260"," sont plus lourds et leur mobilité donc il"
"696260","698100"," est plus faible par rapport à l'ion"
"698100","702560"," H plus et donc le champ électrique par"
"702560","705180"," conséquence permet la séparation des ions en fonction"
"705180","708980"," de la mobilité donc on parle de l "
"708980","710100","'électrophorese. "
"710340","713500"," L'électrophorese c'est une technique qui permet"
"713500","719220"," de séparer les céramiques des différentes vertébrés donc"
"719220","723320"," au niveau de l'ombre on utilise l "
"723320","729240","'électrophorese pour dans le diagnostic déjà donc des"
"729240","739180"," gammapathies ou des maladies hématologiques donc ici c "
"739180","742460","'est un schéma de l'électrophorese en fonction"
"742460","745700"," de placement des particules dans un champ électrique."
"746660","750100"," Le flux des particules dans un champ donc"
"750100","751880"," pour une particule on a dit il y"
"751880","754240"," a l'électrophorese pour le flux de particules"
"754240","759800"," dans un champ électrique c'est le flux"
"759800","761420"," de particules chargées c'est le nombre de"
"761420","766760"," particules traversant la surface S par unité de"
"766760","766980"," temps."
"770660","774560"," Donc le mouvement qui va se réaliser est"
"774560","777440"," un mouvement de convection et ça veut dire"
"777440","780340"," que le débit égale dv donc la vitesse"
"780340","782800"," pardon le volume c'est la variation du"
"782800","785780"," volume sur la variation du temps égale la"
"785780","788160"," section ou la surface fois la vitesse. "
"790080","796340"," Donc on peut multiplier par d2t on va"
"796340","802540"," voir que les variations du volume égale la"
"802540","806300"," section fois la vitesse fois les variations de"
"806300","806540"," temps."
"806720","812080"," Pour l'amégration des particules la concentration égale"
"812080","815740"," le nombre de molles par le volume et"
"815740","824520"," donc on peut multiplier d2ni par d2v et"
"824520","828820"," on va voir d2ni égale ci la concentration"
"828820","831500"," fois d2v et d2v on a dit c "
"831500","834820","'est s fois vi fois d2t donc le"
"834820","839860"," nombre de particules dans un volume égale d2ni"
"839860","844000"," sur d2t c'est is fois la vitesse."
"845840","852160"," Si d2v sur d2x est le gradient de"
"852160","855880"," potentiel électrique e c'est un champ électrique"
"855880","862930"," v est le potentiel électrique et d2x la"
"862930","865710"," distance donc si q il est supérieur à"
"865710","868830"," 0 alors vi égale la mobilité fois e"
"868830","874730"," et le flux égale ci fois s fois"
"874730","879750"," u fois e égale ci fois s fois"
"879750","887810"," la mobilité fois les variations du potentiel électrique"
"887810","892930"," cette fois ci sur les variations de la"
"892930","897630"," distance de d2x et inversement si la charge"
"897630","898250"," est négative. "
"899450","904330"," Donc là on va entamer la migration sous"
"904330","906510"," l'effet d'une cause interne c'est"
"906510","913590"," à dire à l'intérieur du fluide par"
"913590","916470"," opposition aux autres migrations qu'on a vu"
"916470","920050"," de l'apesanteur de la centrifugation d'ultracentrifugation"
"920050","922070"," et du champ électrique c'est des causes"
"922070","922750"," externes."
"923350","925390"," Donc la migration sous l'effet d'une"
"925390","930710"," différence de concentration on va voir que la"
"930710","934110"," concentration c'est surtout pour les solutions mais"
"934110","937950"," elle est appliquée également pour les autres fluides"
"937950","941210"," tels que les gaz ou sous l'action"
"941210","943090"," de différence de pression donc on parle de"
"943090","943830"," la loi de Fick."
"944530","950390"," La loi de Fick intéresse les solutés c "
"950390","952610","'est à dire les petits ions ou les"
"952610","957430"," petits électrolytes à travers une membrane de surface"
"957430","959690"," S lorsqu'il y a une différence de"
"959690","963370"," concentration il y a un déplacement de ces"
"963370","967850"," solutés d'un compartiment A1 et d'un"
"967850","972950"," compartiment 2 jusqu'à ce qu'il y"
"972950","975790"," ait égalité de la concentration entre les deux"
"975790","976430"," compartiments. "
"977050","979570"," Si on pose la distance entre A et"
"979570","982790"," B égale d2x donc la différence de concentration"
"982790","990930"," c'est d2c alors le flux égale d2ni"
"990930","995130"," le nombre de modes sur d2t égale moins"
"995130","1003530"," dis donc dis fois le gradient de concentration"
"1003530","1007450"," ou d2ci sur d2x."
"1007850","1010770"," Alors d2ci sur d2x c'est le gradient"
"1010770","1020690"," de concentration qui est un paramètre"
"1020690","1025410"," très utilisé dans la diffusion, le phénomène de"
"1025410","1026730"," diffusion de la loi de Fick."
"1026730","1030089"," Ddi c'est la coefficient de diffusion de"
"1030089","1039190"," I qui est en fonction de"
"1039190","1044150"," la coefficient de viscosité et de la nature"
"1044150","1047170"," du ion et également de la température. "
"1048330","1050650"," Donc pour un gaz cette fois-ci donc"
"1050650","1054090"," le gaz également il répond à la loi"
"1054090","1061370"," de Fick qui est le flux d'un"
"1061370","1065250"," gaz à travers une membrane égale d2ni sur"
"1065250","1068790"," d2t égale moins le coefficient de diffusion fois"
"1068790","1073030"," la surface fois d2 la variation donc cette"
"1073030","1074650"," fois-ci c'est la variation de pression"
"1074650","1079210"," sur d2x ou le gradient de pression."
"1081210","1083910"," Donc à l'état d'issue les molécules"
"1083910","1085670"," de gaz ils se comportent comme n'importe"
"1085670","1089370"," quelle soluté d'où le flux de ces"
"1089370","1094590"," ions égale la concentration fois la surface fois"
"1094590","1100390"," la vitesse de l'ion et il y"
"1100390","1104950"," a égale la coefficient de diffusion fois la"
"1104950","1110070"," surface fois d2ci sur d2x le gradient de"
"1110070","1110710"," concentration."
"1111350","1113430"," Or la loi de Henry il dit que"
"1113430","1119670"," vi ça veut dire la concentration égale et"
"1119670","1124510"," la coefficient de diffusion fois la pression de"
"1124510","1125130"," ce gaz. "
"1125130","1127590"," Pour une molle un gaz il a 22 "
"1127590","1131410",",4 litres donc pour une molle ci et"
"1131410","1134810"," donc ci ça va devenir vi sur 22 "
"1134810","1141630",",4 on divise par le volume d'une"
"1141630","1146150"," molle il est égale à sipi donc le"
"1146150","1149410"," facteur de diffusion la coefficient de diffusion fois"
"1149410","1154470"," la pression partielle sur 22,4."
"1155130","1161870"," Donc finalement le flux de la particule est"
"1161870","1168070"," égale à dis fois si fois le gradient"
"1168070","1172270"," de pression sur d2x sur 22,4 pour"
"1172270","1175970"," la coefficient de diffusion de co2 il est"
"1175970","1179130"," 25 fois plus grand que la coefficient de"
"1179130","1180990"," diffusion de l'oxygène."
"1180990","1185410"," D'où on a les accidents d'intoxication"
"1185410","1187710"," par le co2 où le co2 sont plus"
"1187710","1190890"," fréquents et plus grands. "
"1191830","1195390"," Enfin donc la migration des ions sous l "
"1195390","1197350","'effet à la fois des gradients de concentration"
"1197350","1200210"," et de potentiel électrique."
"1201470","1204650"," L'ion est ici soumis à un gradient"
"1204650","1208810"," de potentiel électrique et un potentiel chimique donc"
"1208810","1212970"," si l'ion est positif alors la vitesse"
"1212970","1219330"," de la particule va être égale à la"
"1219330","1224890"," mobilité de cette particule fois la différence de"
"1224890","1230090"," potentiel électrique et le potentiel chimique."
"1230090","1235750"," C'était que d2v sur d2x donc comme"
"1235750","1239170"," ça on a vu ces migrations des particules"
"1239170","1244270"," à l'intérieur d'un fluide et je"
"1244270","1244950"," vous remercie. "
