"start","end","text"
"330","3050"," Bonjour, on se retrouve pour la partie 2"
"3050","4930"," du tissu nerveux."
"6530","9410"," Les objectifs de cette partie, c'est d "
"9410","12610","'identifier les différents types de cellules gliales ainsi"
"12610","15350"," que leur rôle et d'expliquer le niveau"
"15350","17910"," d'organisation du nerf périphérique."
"23020","26780"," On va faire la névroglie des centres nerveux"
"26780","29260"," et la névroglie périphérique. "
"29660","32220"," On va voir la structure du nerf périphérique"
"32220","35560"," et on va passer à quelques applications pratiques."
"37220","41000"," L'ensemble des cellules non nerveuses sont appelées"
"41000","45860"," cellules gliales ou cellules névrogliques ou encore la"
"45860","46540"," névroglie."
"47240","50040"," Elles sont plus nombreuses, 10 fois plus que"
"50040","53360"," les neurones et établissent des contacts étroits avec"
"53360","55000"," les neurones et leur prolongement. "
"55640","58100"," Les cellules gliales ne transmettent pas d'influx"
"58100","60040"," nerveux, par contre elles jouent un rôle très"
"60040","63099"," important dans la nutrition, dans le soutien et"
"63099","64560"," la protection des neurones."
"66630","70170"," On va commencer par la névroglie des centres"
"70170","70930"," nerveux."
"72690","76890"," Premier type de cellules gliales du système nerveux"
"76890","80050"," central, les épendymocytes ou cellules épendymaires. "
"80570","83130"," Ce sont des cellules qui forment un pseudoépithélium"
"83130","86630"," cubique ou prismatique simple qui a un pôle"
"86630","88230"," apical cilié."
"88230","93930"," Il revêt les cavités ventriculaires du système nerveux"
"93930","94430"," central."
"96870","99010"," Alors regardez sur cette image, on a le"
"99010","102330"," système ventriculaire qui est représenté par les ventricules"
"102330","107390"," latéraux, troisième ventricule et quatrième ventricule qui se"
"107390","110350"," continue avec le canal de l'épendyme. "
"110950","114490"," Toutes ces cavités là sont bordées par des"
"114490","118170"," épendymocytes ou des cellules épendymaires."
"121790","128530"," Alors regardez sur ce schéma, les épendymocytes qui"
"128530","131470"," forment une sorte de pseudoépithélium."
"132390","134830"," Regardez les cellules comment elles sont. "
"135370","139410"," Elles ont un pôle apical avec une différenciation"
"139410","142590"," ciliée et un pôle basal qui émet un"
"142590","143250"," prolongement."
"143670","145970"," Donc ce prolongement va aller s'entremêler avec"
"145970","150650"," les autres prolongements cellulaires du parenchyme cérébral."
"151790","155950"," Ou du parenchyme du système nerveux central. "
"156950","160130"," C'est des cellules qui vont avoir un"
"160130","162970"," rôle très important dans les échanges entre le"
"162970","168130"," liquide céphalorachidien contenu dans les cavités ventriculaires et"
"168130","169750"," le système nerveux central."
"171390","174010"," Ils vont aussi avoir une activité de phagocytose"
"174310","178670"," de quelques protéines et particules pouvant se retrouver"
"178670","185400"," dans le SR. Alors ces épendymocytes au niveau"
"185400","190380"," du toit des ventricules vont former un épithélium"
"190380","193700"," glandulaire qui revêt ce qu'on appelle les"
"193700","195620"," plexus choroïdes."
"196140","199680"," Ces plexus choroïdes ce sont des replis de"
"199680","203380"," tissus conjonctifs qui sont richement vascularisés et qui"
"203380","206500"," vont se projeter dans la cavité ventriculaire et"
"206500","208880"," dans le canal médulaire. "
"209520","211720"," Ils vont être bordés par ces cellules-là"
"211720","214140"," qui vont avoir cette fois-ci une fonction"
"214140","218720"," glandulaire avec une différenciation en langue micro-vilosité."
"219580","222720"," Ils vont produire le liquide céphalorachidien."
"222880","225880"," Ce liquide céphalorachidien est fait d'eau et"
"225880","228560"," de quelques protéines, de sel minéraux et de"
"228560","229040"," glucose. "
"229660","231820"," Ils vont avoir un rôle mécanique qui va"
"231820","235500"," protéger le cerveau des traumatismes."
"237060","240960"," Regardez ici au niveau du toit ventriculaire vous"
"240960","242120"," avez des replis."
"243400","247220"," Sur l'image histologique, regardez ces replis qui"
"247220","253020"," sont comme des projections avec un axe conjonctif"
"253020","255240"," qui comporte des capillaires sanguins. "
"255740","264120"," Ces replis vont être bordés par ces épendymocytes"
"264120","268760"," sous forme d'un épithélium glandulaire avec une"
"268760","275300"," différenciation apicale en micro-vilosité qu'on ne"
"275300","277280"," voit pas très bien sur l'image et"
"277280","279740"," dont le rôle cette fois-ci est vraiment"
"279740","282580"," la production du liquide céphalorachidien."
"284520","289700"," Deuxième type de cellules gliales du système nerveux"
"289700","292020"," central, ce sont les astrocytes."
