"start","end","text"
"10","3630"," Aujourd'hui, on va voir la troisième semaine"
"3630","5650"," du développement embryonnaire."
"6960","10570"," Comme objectif de ce cours-là, c'est"
"10570","16130"," définir la gastrulation, expliquer le mécanisme de cette"
"16130","22290"," gastrulation, identifier l'origine du mésoblaste intra-embryonnaire"
"22620","26790"," et décrire les modifications observées au niveau du"
"26790","27950"," corps maternel."
"29170","34050"," Comme introduction, le principal événement survenu au cours"
"34050","37350"," de la troisième semaine du développement embryonnaire, c "
"37350","38130","'est la gastrulation. "
"38910","40630"," C'est quoi la gastrulation ?"
"40630","42110"," C'est la mise en place d'un"
"42110","46450"," troisième feuillet embryonnaire qu'on appellera le mésoblaste."
"46630","50730"," Donc, on aura un disque embryonnaire qui sera"
"50730","51730"," tridermique."
"52610","54790"," On aura aussi la mise en place de"
"54790","58230"," certains ébauches d'organes, comme le cœur, par"
"58230","62550"," exemple, et des phénomènes apparents qui vont apparaître"
"62550","65930"," et disparaître après, comme la lignée primitive, le"
"65930","68770"," nœud de Hansen et le prolongement céphalique. "
"69830","74870"," Donc, la troisième semaine du développement embryonnaire, le"
"74870","77570"," phénomène le plus important, c'est la gastrulation."
"78450","79010"," C'est quoi ?"
"79010","80410"," C'est la mise en place d'un"
"80410","84050"," troisième feuillet embryonnaire qu'on appellera le mésoblaste."
"84050","87530"," Donc, le résultat, c'est un disque embryonnaire"
"87530","88430"," tridermique. "
"89870","93910"," Vers la fin de la deuxième semaine, on"
"93910","96630"," avait un disque embryonnaire qui est didermique."
"96850","98650"," Ça veut dire qu'il est fait de"
"98650","103630"," deux feuillets, l'ectoblast et l'ontoblast, qui"
"103630","106130"," forment un disque embryonnaire didermique."
"106710","109450"," Ici, on aura la cavité amniotique, comme rappel. "
"109830","112150"," Ici, c'est le cytocèle secondaire."
"112150","114150"," Ici, c'est l'amnioblaste."
"114930","120470"," Ici, c'est le pédicule de fixation, la"
"120470","127270"," lame coréale, somatopleur extra-embryonnaire, splanchnopleur extra "
"127270","132810","-embryonnaire, le célum externe, reliquat de l'isotocèle"
"132810","133290"," primaire. "
"134430","137870"," Ici, c'est le cytotrophoblaste, qui va former"
"137870","139250"," des villosités."
"139250","143830"," Et on aura le syncytiotrophoblaste, avec des lacunes"
"143830","146710"," qui vont se communiquer avec les capillaires sanguins"
"146710","150150"," de l'endomètre pour former la circulation utéro "
"150150","154050","-lacunaire au sein de l'endomètre de la"
"154050","154250"," femme."
"155590","158530"," Vers le sixième jour, on aura cet aspect"
"158530","160670"," tridimensionnel d'un embryon humain. "
"161270","163790"," Le 16e jour, après l'excision du toit"
"163790","167530"," de la cavité amniotique et le plancher de"
"167530","170670"," l'isotocèle secondaire, on aura ces phénomènes apparents."
"171790","176990"," Le prolongement céphalique, le nœud de Hensen, la"
"176990","180250"," ligne primitive, le nœud de Hensen et le"
"180250","181730"," prolongement céphalique."
"184410","187750"," Donc, vers la fin de la 12e semaine,"
"188330","191070"," on avait un disque embryonnaire didermique formé de"
"191070","194130"," deux feuillets, l'ectoblast et l'ontoblast. "
"194490","196650"," Mais à partir du 16e jour, c'est "
"196650","198350","-à-dire le début de la 3e semaine"
"198350","201050"," de développement, on aura une augmentation de la"
"201050","204430"," taille du disque qui devient ovulaire."
"205070","208650"," Donc, on aura une région large qui constituera"
"208650","212150"," la future région céphalique et une région effilée"
"212150","214670"," qui constituera la future région caudale."
"215570","218290"," En ce moment, on aura un épicissement de"
"218290","220650"," l'ectoblast dans sa région postérieure. "
"221370","223130"," Le premier phénomène apparent, c'est la ligne"
"223130","226850"," primitive qui va apparaître vers le 13e jour"
"226850","230370"," de développement embryonnaire au niveau du tiers postérieur"
"230370","231910"," du disque embryonnaire."
"232230","234470"," Sa ligne primitive est le résultat d'une"
"234470","239370"," multiplication puis la migration d'océlyles épiblastiques qui"
"239370","241870"," vont se progresser jusqu'à le deux tiers"
"241870","244410"," de l'axe longitudinal de l'embryon et"
