"start","end","text"
"1980","7180"," Bonjour, alors comme prévu, on va faire les"
"7180","9460"," tp d'histologie sous forme de quiz."
"10480","14140"," Alors on va commencer dans deux minutes, et"
"14140","14620"," on commence."
"15740","17720"," Allez, s'il vous plaît, connectez-vous. "
"20500","24040"," Vous rentrez monty.com, vous connaissez maintenant, et"
"24040","28180"," le code 336606."
"28180","32770"," Alors on va commencer."
"33170","34530"," Allez, concentrez-vous. "
"35810","39910"," Alors regardez vos téléphones, et suivez."
"40170","42030"," Alors première question."
"56810","59630"," Alors la coupe histologique que vous avez, est "
"59630","60870","-ce qu'il s'agit d'un tissu"
"60870","65170"," musculaire, d'un épithélium pseudo-stratifié, d'un"
"65170","67730"," épithélium pavimenteux stratifié ?"
"68530","71270"," Très bien, donc c'est un épithélium qui"
"71270","72810"," est pavimenteux stratifié. "
"72810","75850"," On voit que la couche la plus superficielle,"
"76010","79690"," c'est la pavimenteuse, et plus il est"
"79690","81010"," stratifié."
"88440","95760"," Alors, Aziz en premier, on passe."
"98150","99850"," Alors concentrez-vous, on n'aura que des"
"99850","100290"," images. "
"104650","115020"," Alors cette coupe histologique, s "
"115020","119020","'agit d'un tissu musculaire, épithélium pseudo-stratifié"
"119020","122260"," cilié, pavimenteux stratifié."
"122260","126460"," Très bien, c'est un épithélium qui est"
"126460","129539"," pseudo-stratifié, cilié."
"129979","132080"," Donc on voit que les cils, on voit"
"132080","135100"," que les noyaux sont de position, sont superposés,"
"135280","137240"," mais toutes les cellules ont un point d "
"137240","139490","'attache au niveau de la lame basale. "
"140220","140880"," Alors on passe."
"148300","149300"," Alors c'est Aziz."
"151080","151620"," Premier. "
"154750","155670"," Alors on passe."
"164280","166620"," Alors la même chose, c'est une coupe"
"166620","167320"," histologique."
"168060","168960"," Correspond à quoi?"
"170280","175560"," Tissu conjonctif ordinaire, un épithélium glondulaire, un tissu"
"175560","180660"," musculaire, un tissu osseux, un tissu cartilagineux hialin. "
"184640","187720"," Très bien, c'est un tissu cartilagineux hialin,"
"188200","190760"," donc on ne voit pas les fibres, donc"
"190760","192220"," ça donne un aspect hialin."
"192800","195920"," Très bien, donc la majorité, ils ont répondu"
"195920","197600"," tissu cartilagineux hialin."
"197740","198020"," Bravo. "
"205860","207440"," Alors, même classement."
"211640","214360"," Voilà, on passe."
"220220","221520"," Alors ici, c'est un schéma. "
"221760","224260"," Oubliez les chiffres, les numéros que vous avez."
"224660","225880"," Donnez-moi ce qu'est le tissu qu "
"225880","226340","'il s'agit."
"226980","231760"," Tissu conjonctif ordinaire, un épithélium glondulaire, un tissu"
"231760","236680"," musculaire, un tissu osseux, un tissu cartilagineux hialin. "
"240480","243260"," Très bien, donc c'est un schéma qui"
"243260","246560"," montre l'aspect d'un tissu conjonctif ordinaire"
"246560","249200"," qui est fait de fibres, des cellules qui"
"249200","251520"," sont fixes et des cellules qui sont mobiles,"
"251920","254420"," mais aussi il fait des substances fondamentales et"
"254420","256579"," des fibres, différents types de fibres."
"257640","258680"," On passe."
"272430","274730"," Très bien, donc on va continuer. "
"283950","286230"," Toujours une copiste logique."
"287270","288450"," Donc elle correspond à quoi?"
"288450","296130"," Tissu conjonctif spécialisé, tissu nerveux, tissu musculaire lisse,"
"296570","300510"," tissu osseux, tissu musculaire strié-squelettique."
"304510","306890"," Très bien, ici c'est le muscle strié "
"306890","307510","-squelettique. "
"307650","309970"," On voit les striations et les noyaux sont"
"309970","313550"," de position périphérique et les butinuclées."
"324440","325600"," Très bien, on passe."
"333770","336350"," Donc le numéro 1, il correspond à quoi?"
"337010","340530"," Donc seulement le numéro 1, canal de Volkmann,"
"340730","343490"," canal de Havers, périoste, ondoste, ostéocyte. "
"344430","348470"," Donc le numéro 1 du schéma correspond à"
"348470","348690"," quoi?"
"353660","356100"," Très bien, c'est un ostéone avec le"
"356100","358120"," centre, c'est le canal de Havers, ce"
"358120","360120"," n'est pas le canal de Volkmann, c "
"360120","360980","'est un cylindre."
"361240","362880"," Donc l'ostéone, c'est un cylindre qui"
"362880","365300"," est centré par le canal de Havers et"
"365300","367480"," qui doit être traversé par des canaux de"
"367480","367920"," Volkmann."
"368740","371160"," Très bien, c'est le canal de Havers. "
"393710","396630"," Toujours, oubliez les chiffres, les numéros, c'est"
"396630","399150"," une coupe histologique qui correspond à quel tissu?"
"400170","404790"," Donc tissu conjonctif spécialisé, tissu nerveux, tissu musculaire"
"404790","408650"," lisse, tissu osseux, tissu musculaire strié-squelettique."
"409390","411270"," Donc c'est facile ici, on voit bien"
"411270","414750"," la structure principale de ce tissu, bravo."
"414750","417130"," Donc c'est tissu nerveux, on voit bien"
"417130","419930"," le neurone avec ses différentes structures. "
"431830","438800"," Très bien, donc on passe."
"442160","446080"," Donc ici, il s'agit de quel tissu"
"446080","446540"," ici?"
"446980","452520"," Conjonctif spécialisé, tissu nerveux, tissu musculaire lisse, tissu"
"452520","455200"," adipeux, tissu musculaire strié-cardiaque."
"462260","464880"," Très bien, c'est un tissu musculaire cardiaque. "
"464880","466240"," Donc on voit bien les striations et les"
"466240","469060"," noyaux sont de localisation centrale et surtout qui"
"469060","472220"," sont caractérisés par la présence de stri Scaralifar."
"486770","497020"," Très bien, voilà."
"498360","502260"," Toujours une coupe histologique, correspond à quoi?"
"502620","508840"," Un tissu conjonctif ordinaire, cartilagineux fibreux, tissu osseux"
"508840","513059"," compact, tissu musculaire lisse ou tissu osseux spongieux. "
"514320","515919"," Là aussi c'est simple."
"515919","519539"," Très bien, c'est un tissu osseux trabiculaire,"
"519600","520400"," osseux spongieux."
"520900","522419"," Très bien, on passe. "
"544400","546360"," Donc ici, toujours une coupe histologique."
"547120","548520"," Regardez bien ici s'il vous plaît."
"549440","550980"," Est-ce que c'est un tissu conjonctif"
"550980","556700"," ordinaire, cartilagineux élastique, musculaire lisse, cartilagineux fibreux,"
"557280","557960"," osseux compact?"
"563780","564860"," Très bien, bravo. "
"564860","568700"," Effectivement, c'est un tissu cartilagineux élastique."
"569300","572640"," Donc on voit quelques fibres élastiques au sein"
"572640","574560"," d'un tissu cartilagineux."
"574780","587570"," Très bien, toujours"
"587570","589290"," Sarah première. "
"596700","599680"," Donc ici, il s'agit de quelle?"
"599920","601440"," Toujours c'est une coupe histologique."
"602320","606040"," Il s'agit de tissu conjonctif ordinaire, tissu"
"606040","611680"," cartilagineux élastique, tissu musculaire lisse, tissu cartilagineux fibreux"
"611680","613440"," et tissu osseux compact."
"616780","617200"," Bravo. "
"617580","621240"," Donc effectivement, c'est un tissu musculaire lisse."
"621360","622640"," La majorité, très bien."
"623420","625480"," Alors bravo, on passe. "
"638430","640930"," Donc Aziz, il a pris la relève."
"641430","643250"," Donc vous voyez que le classement change de"
"643250","646050"," façon très rapide."
"646390","646910"," On passe. "
"652320","655690"," Alors cette image correspond à quelles cellules?"
"658250","663610"," Astrocytes, oligodendrocytes, épandémocytes, cellules de Schwann ou cellules"
"663610","664710"," microgliales."
