"start","end","text"
"71180","73640"," Connectez-vous, on commence dans deux minutes."
"149880","156320"," Alors on va commencer, on va commencer."
"184820","186660"," Très bien, bravo. "
"187460","190720"," Donc le tissu cartilagineux, c'est un tissu"
"190720","196080"," conjonctif spécialisé, il est non vascularisé, non calcifié"
"196080","197180"," et non innervé."
"197620","198580"," Très bien, bravo."
"199020","201280"," Donc c'est pas un tissu fondamental, donc"
"201280","204680"," les 25% qui ont rencontré fondamentale, non,"
"205100","209780"," les tissus fondamentaux sont les tissus épithéliales, conjonctifs,"
"211360","212900"," musculaires et nerves. "
"213280","222580"," Très bien, très bien."
"222780","225180"," On va laisser à la fin pour le"
"225180","225840"," classement."
"235670","238370"," Alors quel type de cartilage daner, ça c "
"238370","241370","'est les chondrocytes avec les chondroblastes dans un"
"241370","245010"," espace virtuel qu'on appelle chondroblastes et la"
"245010","246070"," matrice elle est là. "
"247110","249010"," Donc on ne voit pas les fibres."
"251500","253340"," Donc il est transparent, il est IALA."
"254280","255200"," Très bien, bravo. "
"255640","258320"," C'est un cartilage IALA, c'est bien."
"263500","266580"," Je laisse le classement jusqu'à la fin."
"274160","276300"," Donc regardez, il y a un cartilage, toujours"
"276300","279960"," le même principe, chondrocytes, chondroblastes dans un espace,"
"280040","282300"," on peut avoir 1, 2, 3 dans le"
"282300","286560"," même espace mais ici, regardez, on voit des"
"286560","289720"," choses qui apparaissent au sein d'un fond. "
"290380","292400"," Donc des fibres qui sont minces, qui sont"
"292400","294500"," un petit peu courtes."
"294780","298100"," C'est élastique, donc fibreux, c'est pas"
"298100","298660"," fibreux."
"299200","300660"," Donc fibreux, c'est des fibres qui sont"
"300660","303400"," très denses, très épais, qui s'organisent en"
"303400","304940"," faisceaux, d'accord. "
"304940","307260"," Donc effectivement, elle est élastique."
"314480","316060"," Très bien, donc le premier reste premier."
"323190","327050"," Voilà, maintenant, regardez, des faisceaux qui vont s "
"327050","327670","'organiser. "
"329230","332770"," Donc c'est des faisceaux de collagène avec"
"332770","336610"," des chondrocytes, chondroblastes, donc avec des véritables faisceaux."
"339060","342020"," Donc c'est un cartilage, donc il reste"
"342020","343860"," cartilage fibreux."
"344060","354220"," Très bien, donc très bien, très"
"354220","354440"," bien. "
"355260","364040"," Donc on passe, c'est quoi le périchandre?"
"364480","366940"," Donc le périchandre, ça veut dire péris, il"
"366940","370420"," entoure les pièces cartilagineuses, donc il va les"
"370420","373560"," entourer, il va assurer leur croissance, leur nutrition."
"374480","375200"," Donc c'est quoi?"
"380380","381520"," Faut bien réfléchir."
"381920","391890"," Périchandre, donc lorsque vous entendez"
"391890","393770"," périchandre, ça veut dire c'est la paroi"
"393770","395730"," qui entoure les pièces cartilagineuses. "
"396190","398450"," On sait bien que le cartilage n'est"
"398450","401310"," pas vascularisé, n'est pas énervé, donc ils"
"401310","403510"," doivent se nourrir à travers le périchandre."
"404130","406070"," Donc ce périchandre-là, c'est un tissu"
"406070","410910"," conjonctif ordinaire, classique, qui renferme des vaisseaux, des"
"410910","412110"," fibroblastes et tout ça."
"412570","415230"," Il renferme des cellules mesenchémateuses, donc il ne"
"415230","416750"," va pas renfermer de chondrocytes. "
"416950","419250"," Donc péris, ça veut dire à la surface"
"419250","422650"," de cartilage, c'est un tissu conjonctif ordinaire"
"422650","424950"," qui est vascularisé, qui n'assure pas la"
"424950","426410"," destruction et qui assure quoi?"
"426830","430490"," La nutrition, la croissance du cartilage et il"
"430490","431790"," est fait de deux couches."
"432110","434610"," On a la couche interne qui est cellulaire"
"434610","437150"," et une couche externe qui est fibreuse."
"437530","441130"," Donc lorsque vous entendez un périchandre, ça veut"
"441130","444710"," dire que c'est un tissu conjonctif ordinaire"
"444710","449190"," qui entoure les pièces cartilagineuses, sauf le cartilage"
"449190","450150"," articulaire. "
"450290","452410"," On ne trouvera pas ce périchandre parce que"
"452410","454010"," s'il y a, il va empêcher la"
"454010","457790"," mobilisation articulaire, donc on trouvera le liquide synovial"
"457790","461570"," qui prend la relève de nourrir le cartilage."
"462630","465530"," Donc c'est un tissu conjonctif ordinaire."
"473120","483860"," Toujours au meima, il"
"483860","484940"," y a une croissance. "
"489660","491680"," Ici on a une cellule qui va donner"
"491680","493880"," 2, 2 vont donner 4, 4 vont donner"
"493880","494140"," 8."
"494440","497280"," Ils vont se positionner selon une position ésogénique"
"497280","497940"," axiale."
"498520","500560"," Il y a l'ésogénique circulaire."
"501280","502160"," Donc ils vont se diviser. "
"502320","504860"," C'est une croissance qui est à l "
"504860","506360","'intérieur du cartilage."
"506900","509080"," Effectivement, c'est quoi l'option 3?"
"509560","510540"," Il n'y a pas d'option 3."
"511640","512760"," Il y a des gens qui sont à"
"512760","512980"," côté."
"513400","516559"," Donc interstitiel et l'autre croissance qui est"
"516559","521380"," appositionnelle, elle se fait à travers le périchandre. "
"526400","528420"," Très bien, alors on passe."
"537920","540840"," On trouve le cartilage fibreux au niveau du"
"541940","542460"," fibreux."
"542700","544180"," Ça veut dire que c'est un cartilage"
"544180","546280"," qui résiste à l'étirement et à la"
"546280","547680"," compression répétée. "
"548300","550100"," Donc c'est un cartilage qui est très"
"550100","554420"," très important, qui joue un rôle important aussi"
"554420","555520"," dans la stabilité."
"555720","558880"," Très bien, donc on le trouve au niveau"
"558880","560340"," du disque intervertebral."
"560580","563780"," Donc le cartilage articulaire, c'est un cartilage"
"563780","564280"," hiala. "
"565740","569400"," Donc hiala, c'est un petit peu, il"
"569400","571120"," permet la mobilité."
"571400","572580"," C'est une armature."
"572780","573720"," Il donne une armature. "
"574380","575780"," Pavillon de l'oreille, ici."
"576780","580400"," Donc elle résiste à la flexion répétée."
"580720","582420"," Donc ici, au niveau du pavillon de l "
"582420","583900","'oreille, elle est élastique. "
"584920","587300"," L'aile de nez, la même chose, on"
"587300","589200"," peut bouger un petit peu, elle est élastique."
"589200","591720"," Et l'épiglotte aussi, c'est un cartilage"
"591720","592320"," élastique."
"592420","594380"," L'épiglotte, c'est elle qui va passer"
"594380","596760"," dans les voies respiratoires lorsqu'il mange et"
"596760","598580"," va passer dans les voies digestives lorsqu'on"
"598580","599080"," respire. "
"599280","601040"," Donc c'est au niveau du larynx."
"601100","603480"," Très bien, c'est le disque intervertebral."
"619020","621340"," Lequel de ces cartilages n'est pas hiala"
"621340","621740"," ?"
"621740","624580"," Donc il y a quatre cartilages qui sont"
"624580","625600"," hiala, sauf un. "
"641620","644480"," Très bien, donc le menisque, c'est pas"
"644480","649820"," hiala, articulaire, cartilage de conjugaison, c'est un"
"649820","652160"," cartilage de la croissance au niveau chez l "
