"start","end","text"
"530","3410"," Aujourd'hui, on va voir le cours concernant"
"3410","5910"," le tissu conjonctif ordinaire."
"6730","10490"," Comme objectif de ce cours, c'est définir"
"10490","13570"," le rôle et la répartition du tissu conjonctif"
"13570","17550"," ordinaire dans le corps humain, décrire les différentes"
"17550","23310"," cellules du tissu conjonctif ordinaire, identifier les constituants"
"23310","27830"," de la matrice extracellulaire et leurs propriétés, et"
"27830","31810"," énumérer les différents types de tissu conjonctif commun"
"31810","33230"," ou ordinaire."
"35570","37750"," C'est quoi le tissu conjonctif ordinaire ?"
"37750","38970"," C'est un tissu de soutien. "
"40350","43690"," Il est formé de cellules non-jointives, à"
"43690","47030"," la différence du tissu hypothélial qui est formé"
"47030","48090"," de cellules jointives."
"49130","51850"," Il est d'origine mésodermique ou mésoblastique."
"52670","56650"," On distingue plusieurs types ou variétés de tissu"
"56650","57910"," conjonctif ordinaire. "
"60650","63010"," Sa répartition est ubiquitaire."
"63530","66010"," Il se situe autour et dans les organes,"
"66090","67550"," au-dessus des épithéliums."
"68110","72130"," Il a un rôle important de défense, de"
"72130","75830"," protection, un rôle nourricier, respiratoire. "
"77050","78610"," C'est le lieu où il aura une"
"78610","80330"," accumulation de graisse."
"80790","85650"," Il a un rôle important dans la cicatrisation"
"85650","86630"," des blessures."
"89030","92630"," Les constitutions du tissu conjonctif ordinaire Il y"
"92630","95030"," a deux types de constitutions. "
"95570","99630"," On a les cellules et une matrice extracellulaire."
"100490","104670"," On distingue les cellules qui sont fixes et"
"104670","106330"," les cellules qui sont mobiles."
"107230","111070"," Une matrice extracellulaire est formée de trois types"
"111070","111870"," de constitutions. "
"112510","117570"," On distingue les fibres protéiques, une substance fondamentale"
"117570","118770"," ou bénie."
"120030","122850"," Et des protéines d'adhérence qui permettent le"
"122850","125230"," lien entre ces différentes constitutions."
"126630","130610"," Ce schéma montre les différentes constitutions du tissu"
"130610","132030"," conjonctif ordinaire. "
"132690","134290"," On distingue les cellules."
"134790","136770"," On a ces cellules qui sont fixes."
"137050","141750"," L'exemple de fibroblast, les adipocytes, fibrocytes et"
"141750","143030"," cellules mesenchymateuses. "
"143310","144850"," Et des cellules qui sont mobiles."
"144850","149030"," On distingue les macrophages, les globules blancs, tout"
"149030","152170"," ce qui vient de la circulation."
"152550","158170"," On distingue les fibres, fibres de collagène, fibres"
"158170","163150"," élastiques, fibres de rétuculine, qui constituent les principales"
"163150","166470"," constitutions de la matrice extracellulaire et une substance"
"166470","168210"," fondamentale ou bénie. "
"168210","170030"," Et ces différents constituants."
"172430","175110"," Parmi les cellules, on a dit que les"
"175110","177110"," cellules fixes et les cellules mobiles."
"177570","180370"," Les cellules fixes, on distingue quatre variétés de"
"180370","180750"," cellules. "
"181550","187190"," Les cellules mesenchymateuses, les fibroblasts, les fibrocytes et"
"187190","188370"," les adipocytes."
"189510","193290"," Les cellules mesenchymateuses et le dérive du mesoblast,"
"193530","198790"," ce sont des cellules étoilées, anastomosées entre elles,"
"199430","201400"," indifférenciées et totipotentes."
"202450","204070"," Indifférenciées, ça veut dire qu'on ne sait"
"204070","206190"," pas ce qu'ils vont donner à la"
"206190","206390"," suite. "
"206450","209070"," Ce sont des cellules indifférenciées et totipotentes."
"209190","211090"," Ça veut dire qu'ils peuvent donner plusieurs"
"211090","213450"," types de cellules selon le stimulus."
"215250","219390"," Les fibroblasts qui constituent la cellule principale du"
"219390","223210"," tissu conjonctif ordinaire, ce sont les cellules ubiquitaires. "
"223210","224950"," Imbiquitaires, ça veut dire qu'ils sont toujours"
"224950","228030"," là dans le tissu conjonctif ordinaire et on"
"228030","230670"," les trouve quelles que soient les variétés de"
"230670","231290"," ce tissu."
"232030","234210"," Elles dérivent des cellules mesenchymateuses."
"235490","239290"," Elles ont un aspect physiforme étoilé avec des"
"239290","244990"," longs prolongements cytoplasmiques avec un noyau ovoïde allongé"
"244990","248330"," contenant un ou deux nucléoles. "
"249410","251570"," Sur le plan microscopique électronique, c'est une"
"251570","255089"," cellule qui contient les organites habituelles mais qui"
"255089","258070"," sont très développées, celles qui sont impliquées dans"
"258070","259310"," la synthèse protéique."
"259570","262910"," L'exemple des ribosomes, des reticulums endoplasmiques granuleux"
"262910","265430"," et l'appareil de Golgi et ainsi de"
"265430","269310"," squelettes bien sûr qui renferment des microfilaments orientés"
"269310","270790"," selon le grand axe de la cellule."
"271270","274130"," Le rôle principal de cette cellule-là, c "
"274130","277190","'est la synthèse de l'ensemble constitution de"
"277190","278570"," la matrice extracellulaire. "
"278570","281170"," C'est elle qui va élaborer les différents"
"281170","284210"," précurseurs protéiques des fibres et de la substance"
"284210","285410"," fondamentale."
"286670","290130"," A la fin de la ruie, cette fibroblaste"
"290130","291670"," va devenir fibrocyte."
"292490","296030"," Regardez la différence entre fibroblaste et fibrocyte. "
"296390","298530"," La fibroblaste est une cellule de grande taille"
"298530","302110"," avec de longs prolongements cytoplasmiques qui peuvent être"
"302110","305650"," soit physiformes soit étoilés, avec un noyau qui"
"305650","310230"," est bien développé, qui est riche de nucléoles"
"310230","312670"," par exemple, avec un cytoplasme qui est très"
"312670","315490"," riche en organites qui témoignent d'une activité"
"315490","317490"," très importante de cette cellule-là."
"317910","320890"," Par contre, le fibrocyte, qui est une cellule"
"320890","324530"," qui dérive du fibroblaste à la fin de"
"324530","326110"," leur vie, devient fibrocyte."
"326430","329290"," C'est une cellule qui est physiforme, petite"
"329290","331690"," taille, avec un noyau qui est petit, qui"
"331690","334050"," épouse la forme de la cellule et des"
"334050","337230"," organismes qui sont très peu développés, donc peu"
"337230","340010"," d'activités de synthèse protéique. "
"340730","343130"," Sur ce tableau-là, qui montre la différence"
"343130","345770"," entre ce qu'on a vu, fibroblaste d "
"345770","347310","'un côté, ce qui concerne la taille de"
"347310","350010"," la cellule, l'état de la cellule, la"
"350010","352650"," taille, la forme de la cellule, le noyau,"
"352770","354730"," l'activité et les mitoses."
"356950","359810"," Troisième ou quatrième cellule fixe, c'est les"
"359810","360510"," adéposites."
"360510","364870"," Les adéposites, ce sont des cellules spécialisées dans"
"364870","366070"," le stockage des lépides. "
"366490","368630"," On peut trouver soit des cellules isolées au"
"368630","371350"," sein de ce tissu conjonctif ordinaire, soit ce"
"371350","374370"," qu'on regroupe pour former un véritable tissu"
"374370","374990"," adipe."
"375450","378090"," On distingue deux types de tissus adipe."
"378570","380990"," Chez l'adulte, on parle de l'adipocite"
"380990","383230"," de la graisse blanche, et chez le jeune"
"383230","385830"," individu, on parle de l'adipocite de la"
"385830","386670"," graisse brune. "
"386670","389110"," Voilà sur ce tableau-là, qui montre la"
"389110","392430"," différence entre l'adipocite de la graisse brune"
