"start","end","text"
"460","3160"," Bonjour, aujourd'hui on va faire un cours"
"3160","6140"," d'histologie générale concernant le tissu osseux et"
"6140","8240"," on va commencer par la première partie."
"11090","15590"," Comme introduction, le tissu osseux est un tissu"
"15590","18970"," conjonctif spécialisé, c'est une variété du tissu"
"18970","22990"," conjonctif, dont la matrice extracellulaire est calcifiée ou"
"22990","27010"," minéralisée, ce qui lui confère un caractère rigide"
"27010","28410"," et imperméable."
"29230","31509"," Le tissu osseux est la seule partie du"
"31509","33570"," corps humain qui persiste après la mort et"
"33570","37390"," malgré son aspect minéral qui paraît figé, le"
"37390","39810"," tissu osseux est très vivant, il est en"
"39810","42150"," perpétuel remaniement tout au long de la vie. "
"42770","46270"," Il a trois principales fonctions, une fonction mécanique"
"46270","50210"," de soutien du corps, de protection des organes"
"50210","54530"," nobles, une fonction métabolique, il intervient de façon"
"54530","57890"," primordiale dans le métabolisme phosphocalcique, c'est un"
"57890","62050"," réservoir principal de ces minéraux, et aussi il"
"62050","64670"," va assurer une fonction hématopolitique parce qu'il"
"64670","68490"," va abriter les différentes cellules hématopolitiques."
"69550","71750"," Pour les objectifs de cette partie, tout d "
"71750","73410","'abord c'est de connaître et de décrire"
"73410","76730"," les différentes cellules du tissu osseux, connaître les"
"76730","80890"," critères de classification du tissu osseux et différencier"
"80890","84190"," l'os lamellaire de l'os non lamellaire."
"86730","89970"," On va voir les types cellulaires du tissu"
"89970","93650"," osseux, les cellules ostéoformatrices et les ostéoclastes, la"
"93650","98610"," matrice extracellulaire avec sa caractéristique de minéralisation du"
"98610","102890"," calcification, comment s'organise le tissu osseux et"
"102890","105350"," comment on classe ce tissu osseux, c'est "
"105350","107470","-à-dire quels sont les différents critères de"
"107470","109510"," classification de ce tissu osseux. "
"110910","114990"," Pour les types cellulaires, on a deux principaux"
"114990","117970"," types cellulaires avec des actions qui sont antagonistes"
"117970","120210"," et des origines qui sont différentes."
"120210","122090"," Il y a des cellules qui vont être"
"122090","126850"," ostéoformatrices, qui vont former, synthétiser de l'os"
"126850","129710"," et qui sont d'origine mésenchymateuse à partir"
"129710","132830"," de cellules ostéoprogénétrices, c'est-à-dire qui"
"132830","135370"," sont différenciées dans le sens de la formation"
"135370","136850"," de l'os."
"137930","140890"," Ces cellules sont principalement l'ostéoblaste qui est"
"140890","144310"," la cellule active et qui va synthétiser toute"
"144310","147870"," la matrice extracellulaire, l'ostéocyte qui est une"
"147870","151950"," cellule moins, beaucoup moins active que l'ostéoblaste"
"151950","153370"," et dont les rôles, on va voir que"
"153370","155610"," ça se limite surtout aux échanges et communications"
"155610","160130"," avec les autres cellules, cellules bordantes qui sont"
"160130","164190"," des cellules, ou si vous voulez, des cellules"
"164190","167270"," ostéoblastiques au repos qui essentent, qui ne sont"
"167270","168350"," pas actives. "
"168770","170790"," Pour le deuxième type des cellules, c'est"
"170790","174030"," le type ostéorésorbant, ça détruit l'os, ça"
"174030","177430"," résorbe l'os, on parle d'ostéoclastes, ce"
"177430","179050"," sont des cellules qui ont cette fois-ci"
"179050","182030"," une origine hématopoïétique à partir de la lignée"
"182030","183690"," sanguine monocytaire."
"188800","190180"," Alors qu'est-ce qu'on voit sur"
"190180","192240"," cette image histologique ?"
"192240","194380"," On voit ici une travée osseuse d'un"
"194380","194800"," os trabéculaire."
"195900","198980"," Regardez cette travée osseuse, elle est constituée d "
