"start","end","text"
"2890","5590"," Bonjour, aujourd'hui on va traiter un cours"
"5590","8970"," introductif à la psychologie médicale et générale."
"10090","11170"," A la fin de ce cours, vous devez"
"11170","13070"," être capable de définir les différents types de"
"13070","15630"," psychologie, reconnaître les différents champs de la médecine"
"15630","18730"," étudiés par la psychologie, définir une équipe médicale"
"18730","21050"," et reconnaître le rôle d'une équipe médicale."
"23210","26130"," Les notions psychologiques sont des notions décrites depuis"
"26130","26850"," des siècles. "
"27150","30570"," Déjà à l'époque d'Hippocrate, médecin et"
"30570","33650"," philosophe grec, il a parlé des tempéraments."
"33650","36850"," Pour Hippocrate, l'univers est composé de quatre"
"36850","39230"," éléments, l'eau, l'air, le feu et"
"39230","41770"," la terre, et chacun de ces éléments a"
"41770","42650"," une double nature."
"42890","44790"," L'eau est la nature froide et humide,"
"45210","47490"," l'air la nature chaude et humide, le"
"47490","49770"," feu la nature chaude et sèche, la terre"
"49770","51230"," la nature froide et sèche. "
"51830","54410"," Et le corps humain, pour Hippocrate, est composé"
"54410","58370"," de quatre humeurs, l'humeur lymphatique qui correspond"
"58370","60470"," à l'eau, le son qui correspond à"
"60470","62510"," l'air, la bile jaune qui correspond au"
"62510","65590"," feu et la bile noire qui correspond à"
"65590","65990"," la terre."
"66150","69150"," De ces deux notions, il a décrit différents"
"69150","71510"," types de tempéraments chez l'être humain."
"72050","74750"," Donc le tempérament lymphatique, ce sont des gens"
"74750","78890"," peu émotifs, le tempérament sanguin, des gens communicatifs,"
"79430","81370"," le tempérament bilion en rapport avec la bile"
"81370","84910"," jaune, des gens colériques, tempérament nerveux en rapport"
"84910","87450"," avec la bile noire, des gens critiques et"
"87450","88270"," mélancoliques. "
"89510","93450"," Arazi, qui est un savant et médecin philosophe"
"93450","96010"," iranien, il a parlé de l'intérêt des"
"96010","96850"," psychothérapies."
"97510","99730"," Donc déjà à cette époque là, l'intérêt"
"99730","102290"," de traiter la maladie organique et de traiter"
"102290","105230"," aussi le psychique du patient pour avoir une"
"105230","106490"," bonne amélioration."
"107030","110090"," Ibn Sina, qui est un philosophe et médecin"
"110090","112690"," persan, il a parlé de l'importance du"
"112690","114570"," psychisme sur le somatique. "
"114570","116510"," Il y a des maladies somatiques qui vont"
"116510","119250"," s'aggraver ou bien qui vont s'améliorer"
"119250","121570"," en fonction de l'état psychique du patient."
"121910","123550"," Donc ça c'est une notion très importante."
"123970","125570"," Il y a un lien entre les deux,"
"125910","128030"," donc il faut s'intéresser et traiter les"
"128030","128229"," deux. "
"128930","133770"," Ibn Taufayl, philosophe, médecin, mathématicien, Andalou qui est"
"133770","136350"," décédé et enterré à Marrakech, il a parlé"
"136350","138850"," d'une notion importante, c'est la socialisation"
"138850","140210"," de l'être humain."
"140210","142110"," Il ne suffit pas de s'occuper de"
"142110","145450"," la maladie organique ni uniquement du psychisme du"
"145450","150030"," patient, mais il faut aussi aider la réinsertion"
"150030","152930"," et l'adaptation du patient à son milieu"
"152930","155510"," familial, professionnel et social."
"159400","162040"," Binette et Simon, des psychologues français, ils ont"
"162040","162620"," posé la question. "
"163820","168540"," Et plus récemment, Freud, il était le fondateur"
"168540","170940"," de la psychanalyse et il a parlé des"
"170940","173500"," différents stades orales, anales et phalliques."
"173680","176420"," Il a expliqué certaines pathologies par la fixation"
"176420","178500"," de certains sujets à ces différents stades."
"178820","182300"," Par exemple, la boulimie et l'alcoolisme pour"
"182300","184900"," Freud, il a expliqué que ces gens-là"
"184900","186980"," se sont fixés et n'ont pas dépassé"
"186980","187760"," le stade oral. "
"189080","191820"," Balint, c'est un médecin généraliste hongrois, il"
"191820","193780"," a parlé de la relation médecin-malade."
"194340","195680"," C'est une notion qui est très importante,"
"195780","197700"," qu'on va voir dans un cours particulier."
