"start","end","text"
"3850","6130"," L'équipe médicale est un groupe de personnes"
"6130","8530"," unies dans une même tâche qui agissent ensemble."
"9090","11430"," Un groupe de personnes qui travaillent de manière"
"11430","14090"," concertée et vont se mettre d'accord pour"
"14090","16610"," réaliser une même tâche qui est l'activité"
"16610","17250"," de soins."
"19720","22700"," Vous faites aussi partie de l'équipe médicale,"
"22820","25160"," donc vous avez aussi un rôle autant qu "
"25160","27760","'externe quand vous allez être dans les différents"
"27760","30140"," stages au cours de votre cursus médical. "
"30140","33840"," Les autres membres de l'équipe médicale sont"
"33840","36380"," composés de médecins, d'infirmiers, de personnes de"
"36380","39980"," services, d'assistantes sociales, de psychologues, de secrétaires."
"40340","42260"," On peut voir d'autres personnes qui peuvent"
"42260","43000"," être impliquées."
"43480","47680"," Donc, toutes ces personnes doivent travailler ensemble pour"
"47680","49780"," la même tâche qui est l'activité de"
"49780","50020"," soins. "
"50700","53300"," Chaque membre de l'équipe participe selon son"
"53300","56600"," niveau, ses compétences à la réalisation d'une"
"56600","57720"," action commune."
"57720","61160"," Donc, au cours de votre cursus, vous serez"
"61160","65200"," affecté dans différents services à différents niveaux de"
"65200","68000"," vos études et à chaque niveau, vous aurez"
"68000","69180"," une compétence."
"69780","73080"," Vous allez avoir des compétences particulières et vous"
"73080","75420"," pouvez participer aussi à l'amélioration. "
"75540","78700"," Vous pouvez participer aux soins selon vos compétences."
"82870","85230"," Entre les différents membres de l'équipe, il"
"85230","86390"," y a deux types de fonctionnement."
"86390","90050"," Un fonctionnement autocratique, c'est une pyramide hiérarchique"
"90050","92330"," avec un rapport de dépendance et d'obéissance"
"92330","93870"," avec l'autorité. "
"94450","97110"," Un fonctionnement démocratique où il y a le"
"97110","100210"," dialogue, la concertation dans la prise de décision"
"100210","104470"," et la discussion des différents problèmes dans les"
"104470","106010"," réunions institutionnelles."
"110790","113530"," L'équipe médicale permet de gérer les tâches"
"113530","118250"," en organisant et en repartissant les rôles inhérents"
"118250","121550"," à ces tâches dans un cadre élaboré, défini"
"121550","123130"," et négocié collectivement."
"123590","125410"," L'équipe, ce n'est qu'un instrument"
"125410","129530"," de responsabilité, d'autogestion, d'autonomie et de"
"129530","130830"," respect mutuel. "
"133850","136110"," Il y a différents types de relations que"
"136110","138110"," va avoir le malade avec l'équipe."
"138690","139990"," Il y a une relation de soumission."
"140190","141910"," Le malade va être soumis à l'équipe,"
"142450","143850"," c'est-à-dire qu'il va exécuter"
"143850","145130"," à 100% tout ce qu'on lui"
"145130","145310"," dit. "
"145310","147630"," On a besoin d'un degré de soumission,"
"148110","149650"," mais en même temps, il faut un degré"
"149650","151670"," d'autonomie pour que le malade prend les"
"151670","153930"," décisions par lui-même."
"154710","157310"," Le malade, il peut entrer dans un jeu"
"157310","160590"," de séduction avec l'équipe médicale, de manipulation"
"160590","162170"," pour avoir ce qu'il veut."
"162350","164070"," Il peut même aller jusqu'à négocier les"
"164070","164390"," traitements. "
"164830","166650"," Non, je ne vais prendre qu'un comprimé"
"166650","168210"," par jour, pas trop à comprimer."
"168610","170290"," Je ne vais prendre que le traitement pendant"
"170290","173250"," une semaine, pas pendant neuf mois et ainsi"
"173250","173690"," de suite."
"173690","177090"," Il peut y avoir une relation de revendication. "
"177330","179990"," Le patient va réclamer plusieurs choses."
"180270","183010"," Donc, il faut savoir gérer chaque type de"
"183010","184230"," comportement du patient."
"184810","187030"," Il peut y avoir une relation d'indifférence"
"187030","190050"," comme il peut y avoir une relation équilibrée. "
"193500","196500"," Une bonne relation entre les équipes permet de"
"196500","198440"," mieux traiter les patients, d'aider à la"
"198440","199740"," formation médicale continue."
"199740","203820"," Et peut-être aussi une relation pluridisciplinaire ou"
"203820","208420"," interdisciplinaire entre les différentes spécialités ou bien dans"
"208420","211780"," une même spécialité entre les différents membres de"
"211780","212400"," l'équipe."
"214630","218570"," Une équipe homogène, cohérente à fonctionnement démocratique est"
"218570","219450"," plus efficace. "
"220210","223410"," Il permet de développer une bonne identité au"
"223410","224770"," sein de l'hôpital."
"225490","225750"," Merci. "
