"start","end","text"
"10","2430"," En général tout le temps pour l'adulte"
"2430","5090"," ou bien pour l'enfant, et le stress."
"5650","7170"," Un cours sur le stress."
"12790","14730"," Alors, un peu de calme s'il vous"
"14730","14890"," plaît. "
"15670","17370"," Il y a beaucoup de données, beaucoup d "
"17370","18010","'informations."
"18670","21190"," Je vais vous demander de bien suivre et"
"21190","24590"," de suivre surtout sur quoi j'insiste."
"25270","27010"," D'accord ?"
"27990","34690"," Alors, dans le développement cognitif, on va voir"
"34690","41190"," les différences mentales du développement cognitif, notamment l "
"41190","47810","'intelligence et les deux concepts qui font partie"
"47810","50430"," de la théorie de ce développement cognitif chez"
"50430","53410"," l'enfant qui sont l'assimilation et l "
"53410","54230","'accommodation. "
"54790","56730"," On va voir la définition d'un chef,"
"56810","59570"," c'est quoi un chef selon Piaget, les"
"59570","63250"," différents stades de développement de l'intelligence et"
"63250","65990"," puis les stades d'acquisition du langage."
"67330","68350"," Et on va indiquer..."
"68350","69670"," Ah, c'est ouvert, c'est ouvert."
"70210","71390"," On va aérer un peu. "
"72750","73910"," Ça ne vous dérange pas ?"
"73910","76430"," Il n'y a pas de bruit."
"77430","80710"," Alors, on va voir les repères précis concernant"
"80710","84850"," le développement du langage et le développement cognitif"
"84850","85230"," aussi."
"86790","91790"," Je vais insister sur ce que vous allez"
"91790","92390"," obtenir. "
"93650","95430"," Alors, tout d'abord, qu'est-ce que"
"95430","96910"," c'est la cognition ?"
"96910","101250"," Alors, la cognition, quand vous entendez « cognition"
"101250","104670"," », c'est en rapport avec quoi ?"
"104670","107150"," Le cerveau, les pensées."
"107790","108270"," D'accord ?"
"108270","108970"," C'est surtout ça."
"109590","111870"," Alors, c'est l'ensemble des activités mentales"
"111870","115290"," qui sont associées à la pensée, au savoir,"
"115930","119150"," aux connaissances, aux souvenirs et à la communication. "
"119790","121490"," C'est des activités mentales."
"122490","127789"," Et un développement cognitif signifie l'acquisition des"
"127789","129610"," différentes activités mentales."
"130090","133230"," Retenez bien cette définition, c'est l'acquisition"
"133230","136370"," des différentes activités mentales. "
"136930","139710"," Et dans cette acquisition, on va voir en"
"139710","143810"," pathologie qu'il va y avoir des enfants"
"143810","148730"," qui ont un retard dans l'acquisition des"
"148730","150190"," différentes activités mentales."
"150570","152790"," Au biais des enfants, il va y avoir"
"152790","156670"," un développement et une acquisition mentale qui est"
"156670","157530"," désarmorieuse."
"157990","161970"," C'est ça qui va être produit au"
"161970","163590"," cours des pathologies de l'enfant. "
"164690","168750"," Donc, développement cognitif, c'est l'acquisition d "
"168750","170850","'un ensemble d'activités mentales."
"170850","174670"," Et pour un développement normal chez l'enfant,"
"174870","176710"," un développement cognitif, il faut que ce soit"
"176710","179830"," harmonieux et qu'il faut que ce soit"
"179830","183470"," aussi correct dans le temps, c'est-à "
"183470","184770","-dire en fonction de l'âge."
"185590","188510"," Quelles sont ces activités mentales que l'enfant"
"188510","190770"," doit accueillir ?"
"190770","193890"," Que l'enfant doit assimiler ou bien où"
"193890","195850"," l'enfant doit se développer ?"
"195850","197290"," Il y a l'attention. "
"198510","199960"," C'est quoi l'attention ?"
"200610","206810"," Vous faites attention, vous suivez, vous vous concentrez."
"207170","210510"," Pour faire attention, vous utilisez aussi des mécanismes"
"210510","212530"," de développement cognitif."
"213610","216350"," Alors, les développements chez l'enfant, donc en"
"216350","219350"," dehors des développements cognitifs, il va y avoir"
"219350","223150"," aussi des développements dans d'autres domaines, notamment"
"223150","228670"," moteur et sensoriel, du langage et social et"
"228670","229270"," affectif. "
"229630","231290"," Donc, social et affectif, c'est ce qu "
"231290","233170","'on va avoir dans le développement psycho-affectif."
"233830","235170"," Moteur et sensoriel, c'est ce qu'on"
"235170","238390"," va avoir dans le développement psycho-moteur."
"238850","241130"," Alors, dans tous les domaines, il y a"
"241130","242810"," un développement en parallèle. "
"243770","247450"," L'enfant va progresser en parallèle sur le"
"247450","248950"," plan cognitif, tout ce qu'on a vu,"
"249090","252890"," toutes les activités mentales, sur le plan moteur,"
"253170","255850"," sur le plan du langage, le langage fait"
"255850","258450"," partie du développement cognitif, et sur le plan"
"258450","261290"," social et affectif."
"261810","264370"," Donc, le développement se fait en parallèle dans"
"264370","267990"," les quatre domaines de façon harmonieuse et en"
"267990","269250"," fonction de l'âge."
"270250","272950"," L'enfant est un agent actif dans l "
"272950","275650","'interprétation de l'information qu'il reçoit et"
"275650","277370"," la construction du sens. "
"278350","280110"," Il est actif, c'est-à-dire qu "
"280110","283690","'il va inter-réagir avec l'environnement pour"
"283690","285490"," développer toutes ses capacités."
"286390","289490"," Et bien sûr, pour avoir un développement cognitif"
"289490","291990"," normal, plusieurs facteurs interviennent."
"292630","294170"," Il y a un facteur organique. "
"295090","297570"," Pour que l'enfant développe, rappelez-vous toujours"
"297570","299990"," ces activités mentales."
"300690","303170"," Pour que l'enfant développe les différentes activités"
"303170","305770"," mentales, il doit y avoir une maturité cérébrale"
"305770","307690"," qui est correcte."
"307990","309290"," Il ne doit pas y avoir un développement"
"309290","311790"," cérébral qui est pathologique. "
"312470","314970"," Donc, le développement cérébral, déjà, il doit être"
"314970","319510"," correct en fonction de l'âge et il"
"319510","321370"," doit y avoir aussi un développement des organes"
"321370","322770"," de sens qui sont corrects."
"322990","326290"," La vision, pour qu'il puisse lire, pour"
"326290","331010"," qu'il puisse avancer, explorer le monde extérieur."
"331010","333770"," L'audition, pour qu'il puisse développer son"
"333770","334370"," langage. "
"335030","337710"," Donc déjà, tout ce qui est organique et"
"337710","340790"," qui gère ses activités mentales doit être normal."
"341510","343470"," Il y a aussi des facteurs psycho-affectifs,"
"343830","344990"," les interactions sociales."
"346430","350290"," On va voir les différentes théories qui expliquent"
"350290","351870"," le développement cognitif de l'enfant. "
"352370","353870"," Et parmi les théories, il y a la"
"353870","356710"," théorie où il y a une grande importance"
"356710","358930"," de l'interaction avec l'environnement."
"358930","362130"," Et surtout, l'interaction psycho-affective."
"362730","366270"," Donc, un bon développement psycho-affectif par rapport"
"366270","369850"," à la mère ou bien par rapport à"
"369850","374990"," l'entourage, il permet un bon développement cognitif. "
"375990","377490"," C'est la même chose par rapport à"
"377490","378070"," l'environnement."
"378330","380990"," S'il y a un environnement stimulant, l "
"380990","382010","'enfant peut développer."
"382730","385130"," Par exemple, rien que pour le langage. "
"386290","388150"," S'il n'y a pas de communication"
"388150","389490"," au sein de la famille, on ne parle"
"389490","391450"," pas, est-ce que l'enfant peut développer"
"391450","392610"," son langage ?"
"392610","392870"," Non."
"393570","397390"," Donc, le développement cognitif dépend du développement psycho "
"397390","400270","-affectif et du développement de l'environnement qui"
"400270","402590"," va stimuler l'enfant pour qu'il progresse."
"404230","405950"," Alors, il y a des facteurs biologiques et"
"405950","406490"," génétiques. "
"407490","412150"," Aussi, certains de nos gènes vont définir nos"
"412150","416750"," comportements et vont aussi être responsables du développement"
"416750","419990"," des différentes activités mentales."
"428170","431330"," Le facteur psycho-affectif, c'est surtout en"
"431330","432330"," rapport avec la maman."
"432330","433990"," La relation de l'enfant, on va le"
"433990","435150"," voir dans un groupe à part. "
"436490","439890"," C'est toutes les interactions avec la maman"
"439890","441410"," au biais du système maternel."
"441550","443190"," C'est l'affection qu'on va donner"
"443190","443630"," à la maman."
"443950","445730"," Quand on parle de l'environnement, il n "
"445730","446950","'y a pas que le foyer, il n "
"446950","447650","'y a pas que la maman. "
"448070","449290"," Il y a tous les membres de la"
