"start","end","text"
"1860","4780"," Chers étudiants, j'ai le plaisir de vous"
"4780","8860"," retrouver pour continuer notre série de situations de"
"8860","12620"," communication cliniques spécifiques entrant dans le cadre des"
"12620","13760"," techniques de communication."
"14480","17660"," Aujourd'hui, on va voir la situation de"
"17660","19200"," l'éducation thérapeutique."
"22380","26160"," Les objectifs du cours sont définir l'éducation"
"26160","29720"," thérapeutique, citer les domaines d'intervention de l "
"29720","33600","'éducation thérapeutique, décrire les étapes de la démarche"
"33600","37060"," de l'éducation thérapeutique et planifier une séance"
"37060","38460"," d'éducation thérapeutique. "
"41720","44380"," Tu me dis et j'oublie, tu m "
"44380","47900","'apprends et je me souviens, tu m'impliques"
"47900","50680"," et j'apprends et c'est ce qui"
"50680","51360"," est important."
"56320","60000"," Selon l'ONS, l'éducation thérapeutique du patient"
"60000","64580"," est un processus continu intégré dans la démarche"
"64580","66940"," de soins et il est centré sur le"
"66940","67300"," patient."
"67740","70140"," Rappelez-vous de l'approche centrée sur le"
"70140","71920"," patient qu'on a vu dans les chapitres"
"71920","72940"," précédents. "
"73820","77420"," Il comprend des activités organisées, il est surtout"
"77420","78240"," structuré."
"79080","83980"," Ces activités concernent la sensibilisation, l'information, l "
"83980","90280","'apprentissage, l'accompagnement psychosocial et le traitement et"
"90280","90700"," les soins."
"96420","99140"," L'éducation thérapeutique du patient a avant tout"
"99140","102660"," pour objectif de développer les capacités du patient"
"102660","105900"," à prendre en charge sa maladie. "
"105900","109420"," C'est-à-dire rendre le patient autonome"
"109420","111640"," face à sa maladie."
"112520","116180"," L'OMS précise que ce processus vise à"
"116180","120060"," aider le patient et son entourage à comprendre"
"120060","123180"," la maladie et le traitement, à mieux coopérer"
"123180","126920"," avec les soignants et à maintenir ou améliorer"
"126920","128080"," sa qualité de vie."
"132140","134920"," Éduquer ou enseigner ?"
"134920","136620"," Quelle différence ?"
"139280","142280"," L'éducation thérapeutique du patient est un processus"
"142280","144340"," qui ne peut pas se résumer en la"
"144340","148400"," délivrance d'une information, même si cette information"
"148400","149420"," est de qualité. "
"150420","153840"," Selon l'OMS, l'éducation est l'action,"
"154320","159780"," mais surtout le processus, facilitant la formation et"
"159780","163880"," le développement d'aptitudes et de caractéristiques physiques,"
"164300","168460"," intellectuelles, motrices, sensorielles et affectives d'une personne."
"169800","173580"," Éduquer ne peut donc pas se résumer en"
"173580","176820"," la transmission de savoir ou de savoir-faire."
"176820","182000"," Cet ensemble de connaissances doit être transformé en"
"182000","186460"," savoir-être, conduisant à l'acquisition de compétences"
"186460","189000"," d'auto-soins et de compétences psychosociales. "
"190480","194520"," Par exemple, éduquer un patient diabétique ne se"
"194520","198560"," résume pas en lui expliquant les symptômes de"
"198560","201620"," la maladie ou les différents modalités de traitement"
"201620","204120"," ou les choix thérapeutiques."
"204120","210460"," Non, éduquer un malade diabétique concerne avant tout"
"210460","216800"," un savoir-être et comment vivre avec sa"
"216800","217300"," maladie."
"222110","225350"," Il existe plusieurs modèles de santé. "
"226320","229530"," D'abord le modèle biomédical de santé qui"
"229530","232430"," se centre sur la maladie et l'organe"
"232430","235750"," en souffrance, sans prendre compte de l'ensemble"
"235750","241090"," des facteurs sociaux, environnementaux et personnels qui interagissent"
"241090","242130"," dans la maladie."
"243550","247430"," Par exemple, dans l'obésité, l'approche uniquement"
"247430","250030"," centrée sur la diététique apporte un savoir et"
"250030","253350"," un savoir-faire, mais pas un savoir-être."
"254890","258490"," Quant au modèle biopsychosocial, il s'intéresse à"
"258490","262230"," l'ensemble des facteurs qui interagissent dans l "
"262230","263850","'évolution de la maladie chronique. "
"264570","266850"," Il est plus centré sur le patient que"
"266850","267990"," sur la maladie."
"272460","274380"," Quels sont les domaines d'intervention de l "
"274380","275680","'éducation thérapeutique?"
"276680","281720"," D'abord, toutes les pathologies chroniques, diabète, asthme,"
"282120","287060"," insuffisance rénale, lombalgie, hangore et infarctus, pathologies"
"287060","290540"," psychiatriques comme la schizophrénie, la maladie d'Alzheimer"
"290540","291580"," et autres."
"292960","295920"," Et ce, quel que soit le type, le"
"295920","298500"," stade et l'évolution de la maladie. "
"299940","303760"," L'intervention de l'éducation thérapeutique peut également"
"303760","308920"," concerner l'entourage, surtout lors de pathologies psychiatriques."
"315330","321070"," Les étapes de l'éducation thérapeutique sont d "
"321070","326630","'abord l'élaboration d'un diagnostic éducatif et"
"326630","328730"," non pas diagnostic maladie."
"328730","334600"," Ce diagnostic est indispensable à la connaissance du"
"334600","338700"," patient, à l'identification de ses besoins et"
"338700","341820"," de ses attentes et à la formulation avec"
"341820","345240"," lui des compétences à acquérir ou à mobiliser. "
"346440","348160"," C'est-à-dire, de quoi ce patient"
"348160","352320"," a-t-il besoin pour bien vivre sa"
"352320","352800"," maladie?"
"353640","358100"," L'objectif principal de cette étape est de"
"358100","361480"," savoir comment le patient vit avec sa maladie"
"361480","364820"," et surtout comment il la perçoit."
"367840","371920"," En effet, le diagnostic éducatif permet d'accéder"
"371920","374400"," aux connaissances qu'a le patient concernant sa"
"374400","378500"," maladie, qu'elles soient fausses ou vraies."
"379700","383100"," Il permet aussi d'accéder aux représentations de"
"383100","383700"," la maladie. "
"383920","388540"," Par exemple, chez plusieurs patients, la maladie cancéreuse"
"388540","390440"," représente la mort."
"391640","395880"," Et aux logiques explicatives de la maladie."
"396480","401940"," Dans beaucoup de situations, les patients expliquent les"
"401940","406660"," pathologies psychiatriques comme étant de l'ensorcellement, un"
"406660","407720"," mauvais oeil, etc. "
"408800","413300"," Le diagnostic éducatif permet aussi d'accéder au"
"413300","415580"," ressenti du patient, c'est-à-dire comment"
"415580","416960"," il ressent sa maladie."
"418300","421800"," Il permet aussi de percevoir sa manière de"
"421800","426380"," réagir à sa situation, les diverses étapes de"
"426380","429080"," son évolution psychologique par rapport à sa maladie."
"430380","435040"," Il favorise aussi l'implication du patient, soutient"
"435040","438300"," sa motivation pour le changement. "
"438300","441120"," Rappelez-vous qu'on avait dit que l "
"441120","444840","'entretien motivationnel est le cœur de l'éducation"
"444840","446800"," thérapeutique."
"447660","450440"," Et il permet aussi de rechercher avec le"
"450440","453200"," patient les modalités de gestion personnelle de sa"
"453200","456380"," maladie qui sont les plus adaptées à sa"
"456380","457140"," situation."
"463080","468800"," Deuxièmement, définir un programme personnalisé, c'est-à "
"468800","472260","-dire formuler avec le patient les compétences à"
"472260","475460"," acquérir ou à mobiliser au regard de son"
"475460","477700"," projet, c'est-à-dire de quoi a "
"477700","478340","-t-il besoin. "
"479720","486240"," Cela nécessite planifier, organiser des séances d'éducation"
"486240","492880"," thérapeutique en individuelle, en groupe ou en combinaison"
"492880","494100"," avec d'autres outils."
"496920","501820"," Troisièmement, planifier et mettre en œuvre les séances,"
"502340","506100"," et ce, de façon pratique, avec horaire des"
"506100","509940"," séances, la durée, l'ordre de jour, etc."
"509940","519400"," À la fin, il est impératif de réaliser"
"519400","524360"," une évaluation individuelle qui permet de faire le"
"524360","526760"," point avec le patient sur ce qu'il"
"526760","529080"," a compris, sur ce qu'il sait faire"
"529080","532520"," maintenant et comment il vit au quotidien avec"
"532520","533340"," sa maladie. "
"533340","536300"," Sur ce qu'il lui reste éventuellement à"
"536300","541560"," acquérir comme compétences qu'on peut proposer dans"
"541560","546400"," une nouvelle offre d'éducation thérapeutique en tenant"
"546400","551200"," compte des résultats de l'évaluation de l "
"551200","552980","'éducation thérapeutique actuelle."
"556660","560180"," Les techniques les plus utilisées, comme on pouvait"
"560180","563040"," très bien facilement le déduire, c'est les"
"563040","565560"," techniques de communication centrées sur le patient."
"565960","568300"," On avait vu déjà dans la définition de"
"568300","573080"," l'OMS que l'éducation thérapeutique est centrée"
"573080","573770"," sur le malade. "
"574400","577220"," Et l'entretien motivationnel, comme on a vu"
"577220","578480"," dans les chapitres précédents."
"583330","586450"," Comment se déroule de façon pratique une séance"
"586450","587350"," d'éducation thérapeutique?"
"588830","591390"," D'abord, il faut préciser le cadre, c "
"591390","595430","'est-à-dire présenter les participants, que ce"
"595430","597230"," soit les soignants, les patients."
"599230","601670"," Faire un rappel des règles éthiques, c'est"
"601670","603310"," très important, c'est impératif. "
"604650","606290"," Qu'il n'y ait pas de jugement"
"606290","609190"," de la part ni des soignants ni des"
"609190","610110"," patients entre eux."
"611670","613850"," Écoute et respect de la parole de l "
"613850","618990","'autre et respecter les termes de confidentialité, c "
"618990","621370","'est-à-dire ne pas divulguer les informations"
"621370","625890"," traitées au cours de la séance."
"629240","631980"," L'équipe soignante a un rôle important dans"
"631980","633640"," la valorisation du patient. "
"633640","638980"," Comment on valorise le patient?"
"639340","642920"," On reformule ses propos pour lui signifier l "
"642920","644440","'importance de sa parole."
"647370","650410"," On relance la discussion à partir des paroles"
"650410","650990"," du patient."
"652490","656170"," Et on laisse la séance se dérouler selon"
"656170","658870"," le rythme qu'on appelle le rythme du"
"658870","659270"," groupe. "
"661660","666460"," Les soignants doivent avoir une attitude empathique et"
"666460","669800"," bienveillante envers tous les participants."
"673080","675560"," En conclusion des séances, comme on a dit,"
"676160","679420"," l'animateur va utiliser une technique qui est"
"679420","682160"," très importante en communication qui est le résumer."
"683360","689160"," Cela permet de mettre en exergue, en évidence,"
"689700","694500"," les principales informations, les principales techniques qu'on"
"694500","697380"," a acquis au cours de la séance d "
"697380","698640","'éducation thérapeutique. "
"699020","701420"," Avec un tour de table qui est proposé"
"701420","704420"," où chaque participant indique ce qu'il a"
"704420","707020"," marqué au cours de la réunion et comment"
"707020","709380"," il se sent à l'issue de cette"
"709380","709820"," séance."
"715670","720570"," Pour être de qualité, l'éducation thérapeutique du"
"720570","723350"," patient doit être centrée sur le patient."
"723790","727310"," Chose de très important, vous le comprenez maintenant,"
"727810","728310"," très bien. "
"729470","732570"," Elle doit être élaborée par le patient, avec"
"732570","736750"," le patient et impliquant autant que possible les"
"736750","739730"," proches qui jouent un rôle important dans la"
"739730","741610"," prise en charge des maladies chroniques."
"741610","749580"," Elle doit être issue d'une évaluation des"
