"start","end","text"
"520","2920"," Bonjour et bienvenue dans ce cours qui porte"
"2920","4780"," sur le résumé de l'article original."
"6400","8500"," Le résumé, c'est une partie de l "
"8500","12540","'article qui va rapporter les faits importants pour"
"12540","15219"," que le lecteur puisse comprendre l'article."
"16020","18560"," La structure du résumé va suivre la structure"
"18560","20420"," de l'article original que nous avons déjà"
"20420","22900"," vu, à savoir la structure MRED, avec l "
"22900","25300","'introduction qui va décrire pourquoi on a fait"
"25300","27840"," cet article, les méthodes qui expliquent comment nous"
"27840","33840"," avons réalisé l'étude, les résultats qui rapportent"
"33840","35440"," ce que nous avons observé, et enfin la"
"35440","39720"," discussion qui apporte le sens ou l'interprétation"
"39720","40960"," que nous donnons au résultat. "
"41600","44060"," De manière générale, le résumé doit être concis,"
"44320","45240"," clair et précis."
"48650","50990"," Dans la partie introduction du résumé, il faut"
"50990","53310"," rappeler le contexte de l'étude et énoncer"
"53310","56050"," son objectif en utilisant une ou deux phrases"
"56050","56470"," courtes."
"56470","58690"," Si on prend l'exemple de l'article"
"58690","59630"," que l'on a vu lors de la"
"59630","63370"," dernière présentation, au niveau du résumé, ils ont"
"63370","66870"," énoncé directement l'objectif étant d'évaluer l "
"66870","70010","'influence du petit-déjeuner sur la consommation d "
"70010","72610","'aliments sélectionnés et la prévalence du surpoids chez"
"72610","75110"," les adolescents de différents groupes d'âge. "
"76370","78330"," Au niveau de la section méthode, il faut"
"78330","80550"," s'assurer d'inclure le schéma ou l "
"80550","83390","'outil d'étude, la population d'études en"
"83390","89750"," précisant les caractéristiques importantes pour son choix avec"
"89750","92250"," le type d'échantillon et le nombre de"
"92250","92910"," sujets inclus."
"93890","97070"," Il faut préciser les variables d'intérêt et"
"97070","99150"," les méthodes statistiques utilisées."
"99410","102610"," Je vous laisse découvrir la partie méthode de"
"102610","104570"," l'article que nous avons pris en exemple"
"104570","110170"," et essayer d'identifier les différents éléments qui"
"110170","112890"," ont été rapportés par les auteurs. "
"113170","115950"," Donc voilà la suite de la partie méthode"
"115950","117170"," au niveau du résumé."
"118410","120610"," En ce qui concerne la partie résultats, il"
"120610","124430"," faut résumer les résultats principaux, s'assurer d "
"124430","126410","'avoir inclus le nombre de sujets qu'on"
"126410","127270"," a recrutés."
"128949","131970"," Il faut mettre des résultats chiffrés, donc en"
"131970","134630"," fonction de la question de recherche, que ce"
"134630","137070"," soit des mesures de risque, des prévalences, des"
"137070","137870"," incidences, etc. "
"139170","141610"," Là encore, vous avez la partie résultats du"
"141610","142970"," résumé de l'article."
"143510","147750"," Je vous invite à examiner cette partie et"
"147750","153350"," à vérifier si elle correspond aux recommandations que"
"153350","154270"," nous avons présentées."
"155630","158530"," Cette diapo concerne la deuxième partie de la"
"158530","159950"," section résultats du résumé. "
"161510","164290"," Quand on arrive à la partie discussion-conclusion"
"164290","169930"," du résumé, et voici la partie discussion de"
"169930","170670"," notre exemple."
"172570","174570"," Enfin, quelles sont les erreurs à éviter dans"
"174570","175650"," un résumé ?"
"175650","178090"," Il ne faut pas utiliser les abréviations."
"179270","181930"," Il faut éviter de rapporter des résultats qui"
"181930","184210"," ne sont pas présentés dans le corps de"
"184210","184710"," l'article. "
"185250","187390"," Il faut éviter les phrases-langues sans signification,"
"187390","190270"," le mauvais emploi du temps des verbes, et"
"190270","194090"," il faut éviter aussi le commentaire des résultats."
"196200","200900"," En conclusion, de manière générale, la rédaction scientifique,"
"201060","203260"," c'est un exercice important pour le médecin"
"203260","204080"," et le scientifique."
"205180","207640"," Elle doit répondre à des exigences de rigueur"
"207640","208520"," scientifique. "
"209700","211540"," Il y a des recommandations pratiques qui sont"
"211540","215320"," disponibles et qui doivent nous permettre, avec de"
"215320","219380"," l'entraînement, de maîtriser la méthode de rédaction"
"219380","220300"," avec le temps."
"220720","222360"," Je vous remercie pour votre attention et vous"
"222360","224720"," donne rendez-vous pour la séance interactive. "
