"start","end","text"
"1420","4300"," Chers étudiants, j'ai le plaisir de vous"
"4300","7900"," enseigner les cours de la communication professionnelle faisant"
"7900","10160"," partie du module des techniques de communication."
"10880","13820"," Je suis Imena Adeli, professeure de psychiatrie."
"14720","18140"," La deuxième partie du module concernant la communication"
"18140","22420"," scientifique vous sera enseignée par professeur Adelmouch. "
"23880","26700"," Le cours d'aujourd'hui est intitulé «"
"26700","29200"," Les bases théoriques de la communication »."
"32360","34860"," À la fin de ce cours, vous serez"
"34860","38860"," capables de connaître les définitions de la communication,"
"40260","43040"," citer les différents types de communication et leurs"
"43040","49680"," outils, connaître les différentes situations de communication, connaître"
"49680","54320"," les caractéristiques de la communication interne, connaître les"
"54320","59200"," enjeux de la communication, et enfin analyser les"
"59200","61360"," dysfonctionnements dans la communication."
"66130","70770"," La communication est une activité humaine fondamentale."
"71490","73570"," On ne peut pas ne pas communiquer. "
"75070","78270"," Elle est définie comme étant un ensemble de"
"78270","81710"," processus par lesquels s'effectuent les échanges d "
"81710","86570","'informations et de significations entre des personnes dans"
"86570","88410"," une situation sociale donnée."
"94240","98540"," La psychologie sociale définit la communication comme le"
"98540","102640"," fondement des phénomènes qui régissent l'élaboration et"
"102640","105360"," la pérennité des relations sociales et de leurs"
"105360","110460"," produits, comme les attitudes, les représentations, les idéologies"
"110460","111360"," et autres."
"113920","116740"," Une action de communication peut être définie en"
"116740","121140"," répondant aux questions suivantes Qui dit quoi ?"
"121140","122960"," Par quel canal ?"
"122960","124360"," À qui ?"
"124360","126240"," Et avec quel effet ?"
"126240","132160"," Il faut noter l'aspect pluridimensionnel, cognitif, émotionnel,"
"132560","134820"," comportemental de la communication. "
"142550","146950"," Les mots communiquer et communication apparaissent dans la"
"146950","150630"," langue française signifiant partage à deux ou à"
"150630","151010"," plusieurs."
"152490","157070"," Le mot communiquer commence aussi à signifier transmettre."
"157970","160630"," C'est alors que les transports, les téléphones"
"160630","164570"," et les médias deviennent des moyens de communication. "
"170320","175320"," En 1949, une formule mathématique a été appliquée"
"175320","177540"," à la communication par télégraphe."
"178180","181260"," Cette théorie admet un schéma de base où"
"181260","185000"," la communication consiste en la transmission par un"
"185000","189660"," émetteur d'un signal à un récepteur, transmettant"
"189660","192240"," en son tour le signal reçu sous forme"
"192240","194220"," de messages indestinataires."
"195700","198680"," Moins de 30 ans plus tard, la notion"
"198680","201820"," de communication se retrouve définie de plus de"
"201820","205040"," son façon différente et étudiée dans une vingtaine"
"205040","208480"," de disciplines, y compris les études médicales. "
"214220","218480"," Maintenant, on va aborder le chapitre communication professionnelle."
"219580","222800"," Il existe plusieurs types de communication professionnelle."
"223860","225860"," D'abord, la communication orale. "
"226900","230960"," En personne, elle est plus riche, s'ajuste"
"230960","233580"," facilement aux réactions de l'interlocuteur."
"234860","237800"," Au téléphone, elle est moins riche car l "
"237800","239400","'information visuelle est perdue."
"240260","242620"," On va voir dans les chapitres suivants que"
"242620","245620"," le contact visuel est un élément très important"
"245620","246920"," de la communication. "
"248460","252440"," Le deuxième type de communication est la communication"
"252440","252860"," écrite."
"253860","257120"," Par rapport à la communication orale, la quantité"
"257120","260399"," d'informations partagées est plus restreinte."
"262480","264920"," Par exemple, la rédaction d'une demande de"
"264920","268520"," consultation ou d'un examen paraclinique, la rédaction"
"268520","270820"," d'un rapport médical ou autre. "
"275890","279430"," Le troisième outil est l'utilisation de supports"
"279430","281290"," visuels et audiovisuels."
"282490","285630"," La communication par vidéo est riche dans la"
"285630","288150"," mesure où elle permet de retrouver l'image,"
"288350","290690"," c'est-à-dire le nom verbal, et"
"290690","292230"," la conversation en direct."
"293090","294870"," Par exemple, la télémédecine. "
"295930","297910"," Je vous demande de faire une recherche concernant"
"297910","300110"," la signification du terme télémédecine."
"300770","303550"," On va discuter ça lors des séances interactives."
"305790","308410"," En ce qui concerne les présentations, elles sont"
"308410","311770"," plus efficaces de par la rétention et la"
"311770","314270"," compréhension de l'information par les participants. "
"314270","319090"," Par exemple, les séances d'éducation thérapeutique."
"325690","328070"," Il existe deux situations de communication."
"329130","333790"," La communication interpersonnelle mettant en relation deux personnes. "
"334630","338170"," Exemple, entretien avec un malade ou entretien avec"
"338170","339210"," un parent d'un malade."
"342000","345300"," La communication dans un groupe met en relation"
"345300","346320"," plusieurs personnes."
"347080","351400"," Exemple, les groupes de psychoéducation ou la communication"
"351400","353200"," au sein d'une équipe de garde. "
"354640","358420"," Maintenant, on va passer aux formes de la"
"358420","359060"," communication."
"365800","368480"," Concernant les formes de la communication, on va"
"368480","371040"," traiter d'abord la communication interne."
"373300","375320"," Elle a pour objectif de mettre en relation"
"375320","379420"," des individus afin de faciliter leur action collective. "
"381020","383640"," Il existe deux types de rapports entre les"
"383640","384180"," communicants."
"384180","389290"," Ce qu'on appelle un rapport asymétrique qui"
"389290","391190"," induit la distance dans la relation."
"392070","394730"," En effet, l'information est partagée de la"
"394730","395610"," façon suivante. "
"397090","400330"," Une information descendante d'un supérieur qui donne"
"400330","404850"," des consignes à un subordonné et une information"
"404850","408070"," ascendante d'un subordonné qui rend compte à"
"408070","409610"," un supérieur hiérarchique."
"415140","417640"," Le deuxième type de rapport entre les communicants"
"417640","421540"," est le rapport symétrique qui induit de la"
"421540","423060"," proximité dans la relation."
"424480","426860"," C'est une relation d'égalité et de"
"426860","428880"," coopération sur un projet commun. "
"431580","434240"," Le degré de convergence ou de divergence entre"
"434240","438140"," les personnes peut se voir au niveau des"
"438140","438680"," opinions."
"439380","441140"," On peut être en accord ou en désaccord."
"442400","445500"," Au niveau des intérêts qui peuvent être partagés"
"445500","446760"," ou incompatibles. "
"447630","452540"," Au niveau des affinités, attirance versus répulsion."
"453700","456400"," Et au niveau du rapport des positions."
"456940","459640"," Par exemple, chef-subordonné. "
"464850","468750"," Ce schéma explique le rapport asymétrique dans la"
"468750","470290"," communication interne."
"471250","475370"," Lors de la communication descendante, l'émetteur en"
"475370","479650"," position de supérieur donnera des ordres, des informations,"
"480230","483270"," des conseils écrits ou ruraux sous forme de"
"483270","487030"," notes de service, d'informations, de consignes et"
"487030","487330"," autres."
"489580","492900"," Dans la communication ascendante, l'émetteur en position"
"492900","496860"," de subordonné informera de son travail en donnant"
"496860","500060"," des comptes rendus, une synthèse ou des rapports. "
"503520","506980"," En plus de la communication interne, il y"
"506980","510620"," a la communication externe qui concerne les actions"
"510620","512940"," sociales, les médias et autres."
"516870","519750"," Plusieurs modèles ont été élaborés pour expliquer le"
"519750","521169"," processus de la communication."
"523570","526010"," Selon le modèle linéaire de transmission de l "
"526010","530730","'information, la transmission de l'information serait assurée"
"530730","532510"," par une chaîne de plusieurs éléments. "
"533710","537710"," Une source d'information, un émetteur qui transforme"
"537710","541170"," le signal en un code, un canal de"
"541170","547030"," transmission, un récepteur qui décode les signaux, une"
"547030","551130"," rétroaction ou un feedback qui permet le maintien"
"551130","553830"," ou perturbe l'équilibre de la communication."
"555920","558640"," Pour illustrer ce modèle, on va prendre l "
"558640","561360","'exemple d'un médecin qui informe son patient"
"561360","563520"," sur les symptômes du diabète."
"564420","567160"," Je vous demande de préciser les éléments de"
"567160","569580"," ce modèle à partir de l'exemple. "
"570320","572390"," On va traiter ça lors des séances interactives."
"578840","580860"," Les théories et modèles de l'école de"
"580860","584420"," Palo Alto ont mis en évidence la complexité"
"584420","586360"," du processus de communication."
"587560","591060"," D'abord, il faut décoder les contenus implicites. "
"592540","596380"," La relation entre les personnes influence en permanence"
"596380","598020"," le contenu du message."
"599240","603360"," Et enfin, la communication est un processus dynamique"
"603360","604920"," et non pas figé dans le temps."
"610820","615120"," Le modèle associant partage du sens et contexte"
"615120","617560"," met l'accent sur le rôle prépondérant du"
"617560","621720"," récepteur dans l'interprétation des signes verbaux et"
"621720","622880"," non verbaux. "
"622880","626420"," Exemple, les signes d'impatience et les signes"
"626420","631410"," d'encouragement sur les enjeux que chacun projette"
"631410","633270"," dans la relation qu'il établit avec les"
"633270","633490"," autres."
"634510","637630"," Exemple, donner une image valorisée de soi-même"
"637630","638210"," aux autres."
"639970","642530"," Et enfin, ce modèle a mis l'accent"
"642530","648670"," sur les codes, valeurs, normes, différences socioculturelles qui"
"648670","650370"," influencent la communication. "
"651530","655870"," La communication, justement, varie en fonction des statuts"
"655870","659830"," des acteurs, des lieux, du temps disponible et"
"659830","660130"," autres."
"665690","668290"," Le premier enjeu de la communication est de"
"668290","672510"," se faire comprendre, émettre et recevoir des signaux"
"672510","676010"," auxquels nous accordons tous la même signification."
"677010","680050"," En effet, tout est porteur de sens. "
"680050","685330"," Les vêtements, le regard, l'attitude, l'expression,"
"686190","688950"," le sourire, le lieu et autres."
"690330","694550"," Exemple, de par la tenue, le comportement, on"
"694550","697770"," montre à la société qu'on connaît les"
"697770","699150"," règles de la courtoisie."
"704440","707000"," Les relations échangées au sein d'une société"
"707000","709220"," obéissent à des codes et à des rites. "
"710480","713220"," Ceux-ci sont liés aux besoins de proposer"
"713220","716540"," une image de soi conforme aux normes de"
"716540","718380"," la société en vigueur."
"719520","722640"," Leur transgression peut être vécue comme un signe"
"722640","723580"," d'une agression."
"724520","727500"," Exemple, respect à l'égard d'un supérieur"
"727500","731720"," hiérarchique, fumer dans un espace non fumeur, on"
"731720","734800"," communique aux autres qu'on respecte les normes"
"734800","735480"," de la société. "
"741570","746250"," On décrit plusieurs types de distances interpersonnelles, intimité,"
"746930","750350"," distance sociale, distance publique ou autres."
"751430","754350"," La distance interpersonnelle diffère selon les cultures."
"755230","757670"," On va détailler cette partie dans les chapitres"
"757670","758290"," ultérieurs. "
"759530","763510"," Les enjeux de la communication sont l'enjeu"
"763510","768230"," informatif qui consiste à communiquer une ou des"
"768230","768890"," informations."
"770490","774290"," L'enjeu d'expression de son identité par"
"774290","776270"," le besoin d'intégration au sein d'un"
"776270","780510"," groupe, de valorisation personnelle, de reconnaissance sociale."
"787120","790100"," Par l'enjeu de pouvoir, on assure son"
"790100","793600"," autorité sur une personne, son leadership sur les"
"793600","795940"," membres d'une équipe ou d'un groupe. "
"797750","800250"," Dans l'enjeu d'influence, celui qui s "
"800250","802670","'exprime a des idées qu'il souhaite voir"
"802670","804050"," adoptées par les autres."
"805470","808710"," Et dans l'enjeu de séduction, l'intervenant"
"808710","812710"," souhaite se faire apprécier aimé par les autres"
"812710","814430"," par le biais de la séduction."
"816150","820250"," Pour le chapitre enjeu de la communication, veuillez"
"820250","823570"," préparer lors de la prochaine séance interactive des"
"823570","825750"," exemples qui illustrent chaque enjeu. "
"831580","833820"," On avait parlé lors de l'introduction de"
"833820","836220"," la complexité du processus de communication."
"836220","838920"," Maintenant, on va détailler comment."
"840540","844860"," D'abord, il faut prendre en compte le"
"844860","846060"," contexte de réception. "
"847200","849800"," Au niveau du contenu, il faut sélectionner les"
"849800","852180"," informations les plus pertinentes à transmettre."
