"start","end","text"
"1220","3480"," Chers étudiants, j'ai le plaisir de vous"
"3480","7760"," retrouver pour ce cours faisant partie des situations"
"7760","11420"," de communication clinique spécifique qui est la gestion"
"11420","13180"," des entretiens triangulaires."
"15510","18190"," L'influence sur la communication de la présence"
"18190","20190"," d'une troisième personne ou bien de la"
"20190","22730"," famille du malade dans nos consultations est très"
"22730","24190"," peu étudiée."
"25070","27330"," Cependant, 20% des personnes de plus de"
"27330","30790"," 65 ans sont accompagnées quand elles rendent visite"
"30790","31990"," à leur médecin. "
"33110","34650"," 20% des patients ayant un cancer sont"
"34650","38090"," accompagnés indépendamment de leur âge ou de leur"
"38090","38390"," sexe."
"39810","42030"," L'étude de la relation triangulaire et de"
"42030","45490"," l'entretien systémique est encore très peu développée"
"45490","46330"," en médecine."
"49840","52660"," En effet, l'alliance avec le proche accompagnant"
"52660","56040"," peut se révéler particulièrement judicieuse pour le patient"
"56040","58900"," et pour le soignant et ce dans le"
"58900","61640"," cadre d'une prise en charge collective. "
"62940","65740"," Le plus souvent, il est en effet un"
"65740","68360"," témoin privilégié de la vie quotidienne du patient"
"68360","71000"," et de ses modes d'adaptation face à"
"71000","71540"," la maladie."
"74530","76730"," Une des premières variables à prendre en compte"
"76730","78930"," est le lien de parenté qui unit le"
"78930","81050"," malade à la personne qui l'accompagne."
"82050","84750"," L'accompagnant sera le plus fréquemment le conjoint"
"84750","85270"," du patient. "
"86390","88790"," Moins fréquemment et de manière équivalente, il s "
"88790","91810","'agira d'un enfant, d'un parent ou"
"91810","92910"," d'un membre de la fratrie."
"93910","96890"," Cet accompagnant est très souvent le preneur en"
"96890","98830"," charge primaire du patient, c'est-à-dire"
"98830","101010"," c'est celui qui s'en occupe le"
"101010","101450"," plus."
"102970","105710"," La présence d'un proche en consultation est"
"105710","108730"," plus fréquente lorsque la situation médicale est difficile,"
"109830","114050"," maladie grave ou bien lors des premières consultations. "
"118190","120130"," Le patient se tourne vers sa famille quand"
"120130","122130"," son état se dégrade pour trouver une aide"
"122130","124410"," psychologique et aussi matérielle."
"124410","128729"," Cet accompagnement peut aussi servir la famille en"
"128729","132630"," diminuant sa propre anxiété et ses incertitudes face"
"132630","134190"," à la maladie de son proche."
"135630","139790"," La faiblesse du patient, son opposition au traitement"
"139790","142650"," ou le déni de la maladie sont d "
"142650","145390","'autres cas de figure possible dans lesquels les"
"145390","148250"," soignants sont amenés à rencontrer les proches. "
"149250","153070"," Et l'épuisement émotionnel des proches est aussi"
"153070","157070"," une cause de leur présence dans les entretiens."
"160820","162600"," L'impact sur la communication."
"164060","166460"," La présence d'une tierce personne introduit des"
"166460","170120"," modifications importantes dans l'interaction entre médecin et"
