"start","end","text"
"1100","8820"," Donc, on va commencer, donc je suis professeur"
"8820","10820"," Amine Benjeloun, vous le savez ça, les échanges"
"10820","11780"," gazeux respiratoires."
"12160","12260"," OK."
"13360","15520"," Alors ça, vous l'avez dans le cours,"
"15880","18720"," il faut essayer de le relire et puis"
"18720","20320"," essayez d'aller sur Internet si vous n "
"20320","22580","'avez pas compris certaines choses, essayez d'aller"
"22580","24540"," sur Internet, il y a beaucoup d'explications,"
"25100","26260"," soit en anglais, soit en français. "
"27440","30680"," Alors ça, vous l'avez déjà vu, je"
"30680","32660"," pense que même le professeur Bouchnitsov a dû"
"32660","33380"," vous l'expliquer."
"34740","37880"," Nous, on se situe au niveau des échanges"
"37880","40400"," respiratoires, mon cours, il est à peu près"
"40400","40780"," ici."
"41220","44060"," Les échanges respiratoires, c'est-à-dire les"
"44060","49040"," échanges gazeux, c'est-à-dire l'oxygène,"
"49140","51560"," le passage de l'oxygène des alvéoles vers"
"51560","54440"," le sang et le passage du CO2, du"
"54440","55780"," sang vers les alvéoles. "
"57580","60580"," Alors ça, ce sont des rappels qui sont"
"60580","63580"," essentiels dans mon cours, le professeur Bouchnitsov a"
"63580","64780"," dû vous les faire, je vous les ai"
"64780","68260"," refait dans mon cours, c'est juste pour"
"68260","70840"," vous rappeler, il faut savoir que selon la"
"70840","74000"," loi de Boyle-Mariotte, le produit de la"
"74000","76620"," pression et du volume, PV, est une constante,"
"77040","79280"," ça ne bouge pas, d'accord ?"
"80910","85390"," Il faut aussi savoir que le volume est"
"85390","87950"," directement proportionnel à la température, ça c'est"
"87950","90490"," des notions que vous avez dû voir en"
"90490","92110"," terminale, d'accord ?"
"92110","95730"," Plus la température augmente, plus le volume augmente,"
"96290","97470"," d'accord ?"
"97470","99990"," Et plus elle diminue, plus le volume diminue."
"102710","105550"," Alors, la loi d'Avogadro, il y a"
"105550","109790"," deux conditions, les conditions standards STPD, c'est "
"109790","112710","-à-dire Standard Temperature Pressure and Dry, ça"
"112710","115790"," veut dire une température 0°C sec, il n "
"115790","118230","'y a pas de vapeur d'eau, d "
"118230","118710","'accord ?"
"118710","120090"," Il y a d'autres conditions qui sont"
"120090","122590"," dans le corps humain, BTPS, c'est-à "
"122590","124870","-dire que c'est saturé en eau et"
"124870","126590"," les pressions sont différentes, très bien."
"127289","132790"," La molle d'un gaz parfait occupe exactement"
"132790","135770"," 22,4 litres, ils l'ont mesuré par"
"135770","140710"," rapport au carbone, 12 grammes de carbone ont"
"140710","143590"," un volume de 22,4 litres et c "
"143590","146410","'est au fait exactement 6 10 puissance 23"
"146410","151510"," molécules, c'est ça une molle, c'est"
"151510","154970"," 10 puissance 23 molécules, c'est 22,4"
"154970","155190"," litres. "
"155510","157610"," Alors en fonction du gaz, de chaque gaz,"
"159010","166150"," par exemple 22,4 litres, 16 grammes d "
"166150","168230","'oxygène, mais elle va être occupée juste par"
"168230","169890"," 12 grammes de carbone, parce que ce sont"
"169890","172110"," des gaz différents, mais la molle et le"
"172110","175430"," volume ne se modifient pas, ils sont immuables,"
"175750","176650"," inchangés."
"178500","179960"," Et là c'est la loi des gaz"
"179960","182260"," parfaits, vous avez dû voir ça en terminale,"
"182840","187780"," PV égale nRT, la pression, le volume, égale"
"187780","189680"," à n qui est le nombre de molles"
"189680","192700"," du gaz, R la constante des gaz parfaits"
"192700","195380"," et T la température du gaz en kelvin,"
"195740","196260"," d'accord ?"
"196260","198260"," C'est 1°C plus 273."
"203710","205570"," La pression partielle d'un gaz, la loi"
