"start","end","text"
"70","3910"," Bonjour, nous voici arrivés à notre dernier cours"
"3910","7189"," qui va traiter de la physiologie hépatique, c "
"7189","10250","'est-à-dire quelles fonctions va exercer ce"
"10250","13230"," foie, surtout sur le plan digestif, mais vous"
"13230","17310"," verrez qu'on va citer les autres fonctions."
"18490","21970"," Alors, pour traiter ce cours, nous allons définir,"
"22130","24490"," comme d'habitude, un certain nombre d'objectifs"
"24490","26510"," pédagogiques qui sont les suivants."
"26510","32840"," Alors, ce foie est une énorme usine de"
"32840","36100"," l'organisme qui intervient dans la plupart des"
"36100","39980"," fonctions vitales, en passant par le métabolisme des"
"39980","43400"," nutriments que vous avez apportés par votre tube"
"43400","45780"," digestif et qui ont été absorbés et qui"
"45780","50240"," vont traverser ce foie via la circulation portale. "
"51780","54240"," En plus, il va y avoir d'autres"
"54240","57960"," fonctions, notamment des fonctions endocrines, des fonctions immunitaires,"
"57960","61040"," des fonctions dont l'hémostase, la détoxification."
"61540","64080"," Bien sûr, il a également une sécrétion exocrine"
"64080","66240"," représentée par la sécrétion biliaire."
"66660","68780"," Il intervient dans la synthèse et le stockage"
"68780","73360"," de différentes substances vitales et importantes pour la"
"73360","74000"," vie humaine. "
"75360","78800"," Ce foie, il assure ses différentes fonctions parce"
"78800","81660"," que, justement, il a une structure anatomo-histologique"
"81660","82360"," adaptée."
"82360","85560"," Il a un arsenal et une machinerie cellulaire"
"85560","88500"," très développée qui va permettre à une seule"
"88500","91860"," cellule, essentiellement représentée par les pathocytes, d'assurer"
"91860","93080"," ses différentes fonctions."
"93640","97000"," Et il obéit à une régulation neuro-hormonale"
"97000","97840"," très fine. "
"99680","101880"," Alors, comme vous le savez, sur le plan"
"101880","106400"," anatomique, le foie est cette énorme glande située"
"106400","110000"," dans l'étage sous-diaphragmatique au niveau de"
"110000","111020"," l'hypocondre droit."
"111020","113440"," Donc là, je vous ramène à vos cours"
"113440","116920"," d'anatomie et d'histologie pour les différents"
"116920","117600"," rappels."
"118060","121660"," Donc, essentiellement, concernant tout d'abord la circulation"
"121660","122500"," hépatique. "
"124540","127520"," Et pour bien reprendre ce qui est la"
"127520","130900"," circulation splanchnique et ce débit sanguin qui vient"
"130900","132580"," via la veine porte."
"137360","141060"," De même que vos cours d'histologie qui"
"141060","146340"," vont vous permettre de connaître cette organisation architecturale"
"146340","149460"," avec l'unité fonctionnelle représentée par les lobules"
"149460","154380"," hépatiques et leur constitution avec les différents travées"
"154380","158460"," des pathocytes, avec la triade portale en périphérie"
"158460","161140"," et les veines centraux lobulaires au centre."
"162920","169020"," Les différentes structures sont une vascularisation et une"
"169020","172860"," sécrétion biliaire qui va permettre aussi bien à"
"172860","176400"," cette cellule d'assurer sa fonction, et ses"
"176400","180280"," différentes fonctions métaboliques de même qu'assurer sa"
"180280","181720"," fonction exocrine. "
"183060","186520"," Et cet hépatocyte qui est une cellule qui"
"186520","189200"," est riche en termes d'organites, ce qui"
"189200","192100"," va lui permettre d'assurer toutes ses différentes"
"192100","192580"," fonctions."
"192760","195160"," Bien sûr, au niveau du tissu hépatique, on"
"195160","197360"," va trouver d'autres types de cellules, notamment"
"197360","202060"," les cellules de dilo et les cellules macrophagiques"
"202060","209320"," qui interviennent surtout dans les défenses immunitaires et"
"209320","211940"," dans le stockage de certaines substances."
"214340","218520"," Alors, ces fonctions métaboliques du foie, ils ont"
