"start","end","text"
"1260","3800"," On va la concentrer cette fois-ci sur"
"3800","8120"," la partie hémodynamique cardiaque."
"9100","11760"," Aujourd'hui, on va commencer par la première"
"11760","12120"," notion."
"12260","13440"," Vous vous rappelez, dans le cours, on avait"
"13440","15180"," parlé de l'équation de continuité. "
"16960","18880"," Je vais plutôt la développer un peu plus"
"18880","22060"," en mettant l'équation du Bernoulli, qui nous"
"22060","23540"," apporte encore plus d'éléments."
"25740","27420"," Est-ce que vous voyez le tableau ?"
"27420","28880"," Oui, j'ai bien compris le mot."
"30600","34440"," Selon l'équation du Bernoulli, elle est importante"
"34440","35860"," parce qu'elle nous permet de dire que"
"35860","41840"," dans un tube donné, l'énergie totale d "
"41840","45600","'un liquide en mouvement, en fait, elle est"
"45600","47320"," partagée en trois types d'énergie. "
"47580","49360"," Il y a la pression, il y a"
"49360","53420"," l'énergie potentielle, et il y a l "
"53420","54960","'énergie, bien sûr, cinétique."
"54960","58260"," L'énergie avec laquelle, je vais passer ça,"
"60660","62260"," l'énergie cinétique."
"71700","73500"," Là, c'est intéressant parce que ça va"
"73500","75500"," vous donner une idée sur ce qui nous"
"75500","76020"," intéresse. "
"76520","78640"," L'énergie cinétique, bien sûr, vous le savez"
"78640","83100"," déjà, c'est N2 sur la vitesse du"
"83100","85100"," son au carré, puis l'énergie potentielle, c "
"85100","88040","'est tout ce qui est Rho, H, SG."
"89300","91600"," Mais pour une hauteur donnée, c'est-à "
"91600","93560","-dire quand on a un patient en position"
"93560","96760"," horizontale, on peut éliminer la hauteur et finalement"
"96760","98480"," on peut se passer de l'énergie potentielle."
"98600","99640"," Et qu'est-ce qu'on retient ?"
"99640","102160"," Que l'énergie d'un liquide, elle est"
"102160","104380"," déterminée par la pression avec laquelle il s "
"104380","106160","'écoule et sa vitesse. "
"106440","108380"," Voilà pourquoi je vous ai montré l'équation"
"108380","108980"," du Bernoulli."
"108980","112760"," Et plus intéressant, c'est que quand un"
"112760","115500"," liquide s'écoule généralement selon une différence de"
"115500","118120"," pression, c'est-à-dire, on va effacer"
"118120","123180"," ça, c'est-à-dire finalement entre un"
"123180","125920"," point A et un point B d'un"
"125920","126540"," tube donné."
"127880","131690"," Je vais effacer le tableau. "
"132830","134790"," Entre un point A et un point B."
"139010","141610"," Imaginez qu'à l'entrée, vous avez une"
"141610","143590"," pression A et à la sortie, vous avez"
"143590","144570"," une pression B."
"145190","147230"," Selon l'équation du Bernoulli qui vous dit"
"147230","149290"," que l'énergie se conserve."
"150190","153710"," Donc si l'écoulement se fait d'un"
"153710","155910"," gradient de pression élevé disons à l'entrée,"
"156030","160210"," on est à 90 mmHg et le son"
"160210","162410"," va s'écouler vers l'endroit B où"
"162410","164770"," la pression est plus basse, à 70 mmHg."
"165630","168210"," Si par hasard la pression est plus basse,"
"169030","172390"," forcément selon l'équation de Bernoulli, la pression"
"172390","175090"," en A est plus élevée que la pression"
"175090","175530"," en B."
"175630","178710"," Si vous voulez avoir la même énergie totale,"
"178790","180890"," vous devez avoir une énergie cinétique en B"
"180890","181890"," plus élevée qu'en A."
"182290","183850"," C'est-à-dire finalement la vitesse B"
"183850","185850"," est plus importante que la vitesse en A."
"186470","188010"," Ce qui vous donne quoi ?"
"188010","189850"," Ce qui vous donne que la vitesse va"
"189850","190410"," augmenter. "
"190410","193370"," Et ceci arrive quand on a par exemple"
"193370","195230"," un tube comme ça et on a une"
"195230","198450"," sténose qui s'est installée en un point"
"198450","198770"," B."
"199910","202950"," Cette sténose va entraîner une chute de la"
"202950","204830"," pression et donc au lieu d'avoir 90"
"204830","208430"," ici, on va à 70 et automatiquement la"
"208430","210830"," vitesse du son va augmenter au niveau de"
"210830","211410"," la sténose."
"211650","213130"," C'est la manière avec laquelle on se"
"213130","215810"," détermine et on calcule les sténoses actuellement."
"215810","218570"," En basant sur le Doppler, il suffit de"
"218570","220830"," calculer la vitesse entre un point A et"
"220830","221390"," un point B."
"221570","223590"," Et s'il s'élève, ça témoigne certainement"
"223590","226290"," d'une diminution du diamètre. "
"226770","232390"," Diminution du diamètre et puis chuter le niveau"
"232390","232810"," de pression."
"233430","235110"," C'est bon ?"
"235110","239230"," Dans le cours, vous avez eu l'équivalent"
"239230","241030"," de l'équation de Bernoulli qui était l "
"241030","242250","'équation de continuité."
"243310","246350"," Je vais effacer le tableau ou alors on"
"246350","247690"," peut prendre une autre page. "
"253250","255529"," Dans l'équation de continuité, vous aviez à"
"255529","256510"," peu près la même chose."
"256649","258810"," Ici, j'ai parlé de l'énergie totale"
"258810","259470"," qui se conserve."
"260329","262250"," Dans l'équation de continuité, vous avez eu"
"262250","264330"," une conservation du débit. "
"267100","269580"," Donc le débit en A va être égal"
"269580","270560"," au débit en B."
"270560","272700"," Le débit, on peut le décliner de deux"
"272700","273040"," façons."
"273420","275360"," Dans le cours du cycle cardiaque, je vous"
"275360","277060"," ai montré que le débit se calcule par"
"277060","280280"," le volume éjecté que multiplie la fréquence cardiaque."
"280840","283780"," Mais dans un conduit, dans un vaisseau, plutôt"
"283780","286260"," on le calcule simplement par le volume du"
"286260","288360"," son qui traverse un diamètre de section d "
"288360","288740","'un vaisseau. "
"288900","291720"," Donc finalement, ça va être la vitesse avec"
"291720","295600"," laquelle le son passe que multiplie l'air"
"295600","297980"," ou la surface, l'air en A."
"297980","300700"," Vous allez avoir exactement la même chose en"
"300700","302660"," A et en B, c'est-à-dire"
"302660","304520"," la vitesse que multiplie l'air en B."
"305860","307540"," Ça revient à ce qu'on vient de"
"307540","309720"," dire, c'est-à-dire que si vous"
"309720","315580"," avez une sténose ici, ça va diminuer l "
"315580","319340","'air en B, et pour conserver le même"
"319340","320960"," débit, la vitesse doit augmenter."
"322580","325320"," C'est la même formule, mais en fait,"
"325580","328400"," au vrai, c'était l'équivalence de Bernouillet"
"328400","330120"," à partir de laquelle on a déduit l "
"330120","331860","'équivalence de continuité."
"333260","334160"," C'est bon ?"
"337230","340150"," Alors ça d'une part, ce que j "
"340150","341950","'ai envie que vous ne mélangez pas dans"
"341950","344570"," le cours de l'hémodynamique cardiaque, c'est"
"344570","345530"," les notions suivantes. "
"345930","346890"," Je sais que vous allez avoir beaucoup de"
"346890","349570"," formules, mais en tout cas, il ne faut"
"349570","351230"," absolument pas faire le mélange."
"351710","355330"," Quand on parle de pression artérielle, on va"
"355330","360750"," absolument devoir la différencier du débit artériel, la"
"360750","364310"," différencier de la notion de vitesse avec laquelle"
"364310","366750"," le son s'écoule, la différencier par la"
"366750","369410"," suite de la notion, alors vous avez la"
"369410","373830"," pression, le débit, la vitesse et les résistances."
"376210","378750"," Ce sont des notions fondamentales qui vont changer"
"378750","381530"," à chaque fois et qui vont nous permettre"
"381530","384250"," de comprendre beaucoup de phénomènes dans la circulation"
"384250","384890"," artérielle. "
"385390","388250"," Exemple, avant de développer un peu plus ça,"
"388830","391350"," on va parler d'organes qui sont vascularisés"
"391350","392570"," avec une résistance faible."
"392830","394950"," Par exemple, le cerveau doit être vascularisé avec"
"394950","398030"," une résistance faible, alors que dans les muscles,"
"398510","400130"," la résistance doit être plus élevée."
"401190","402330"," Ça veut dire quoi ?"
"402330","404830"," Ça veut dire qu'on doit décliner toutes"
"404830","407670"," les formules de l'hémodynamique qui nous permettent"
"407670","408430"," de comprendre ça. "
"408950","410390"," On a vu tout à l'heure l "
"410390","412790","'équation du Bernouillet et l'équation de continuité."
"413490","414630"," Il y a une autre formule qu'il"
"414630","417670"," faut connaître absolument qui relie la pression artérielle,"
"417730","419570"," la résistance et le débit, qui dit que"
"419570","422750"," la pression est le produit du débit qui"
"422750","423850"," multiplie la résistance."
"425390","427890"," Donc automatiquement, la pression qui règne à l "
"427890","429530","'intérieur d'un vaisseau, c'est-à-dire"
"429530","432970"," qui s'exerce finalement sur les parois de"
"432970","435470"," ce vaisseau, elle va être dépendante de deux"
"435470","436010"," paramètres. "
"436010","438950"," Un des paramètres importants, c'est les résistances."
"440210","445630"," Les résistances, donc, finalement, comme si je dessine"
"445630","448350"," une main ici, je ne dessine pas très"
"448350","450430"," bien, mais bon, et vous avez un liquide"
"450430","452770"," qui veut s'écouler, il rentre avec une"
"452770","455470"," pression donnée, mais si je le gêne au"
"455470","458410"," point B, je crée une résistance à son"
"458410","458890"," écoulement."
"459410","461450"," Pour pouvoir vaincre ceci, il va falloir que"
"461450","463110"," la pression augmente, et l'équation me le"
"463110","463270"," dit. "
"463270","465990"," Elle me dit que la pression égale le"
"465990","467270"," débit qui est multiplié par la résistance."
"467350","469230"," Si vous voulez maintenir le même débit, il"
"469230","471410"," va falloir que les résistances..."
"471910","474190"," Si les résistances augmentent et vous voulez maintenir"
"474190","475530"," le même débit, il faut que la pression"
"475530","475850"," monte."
"476670","478610"," Et donc, si vous voulez, c'est un"
"478610","481770"," premier moyen qui vous explique la situation pathologique"
"481770","483090"," de l'hypertension artérielle. "
"483470","486490"," Je peux avoir une hypertension artérielle simplement par"
"486490","489690"," élévation, soit des résistances, soit des débits, et"
"489690","491170"," dans l'exemple que je vous ai montré"
"491170","493290"," ici, c'était les résistances."
"493450","496890"," Sur l'arbre artériel, où se situent exactement"
"496890","498550"," les résistances ?"
"498550","500970"," Alors ça, ça me ramène au cours de"
"500970","501690"," la dernière fois."
"501850","504590"," Vous vous rappelez, on a comparé l'élastance"
"504590","505650"," avec l'accompliance. "
"506150","507710"," Je prends une autre couleur, le blanc, ça"
"507710","508150"," passe mieux."
"509530","512030"," Vous vous rappelez qu'on avait dessiné une"
"512030","514770"," courbe qui relie le volume à la pression."
"516450","518169"," Je vous ai dit que dans les veines,"
"518809","520090"," j'aurais une droite comme ça. "
"520909","524310"," Ça veut dire que le volume augmente, mais"
"524310","526050"," pour une pression qui n'augmente pas beaucoup."
"527250","531340"," Et ça, on l'a appelé, on ne"
"531340","533180"," l'a pas appelé élastance, parce que ce"
"533180","546480"," qui nous intéresse dans les veines, c "
"546480","547060","'est l'inverse."
"547820","549600"," C'est de mettre le volume ici et"
"549600","551320"," la pression ici et d'avoir une droite"
"551320","551780"," comme ça. "
"552500","553840"," Donc ce qui nous intéresse, c'est plutôt"
"553840","554540"," là."
"555740","561800"," Compliance des veines, leur capacité à se distendre,"
"561900","564740"," et on l'a appelé aussi la capacitance."
"567160","568260"," Et c'est ce qui explique une notion"
"568260","573420"," très importante, puisque les veines se distendent facilement,"
"574480","577040"," ils emmagasinent à peu près 80% du"
"577040","578200"," volume sanguin. "
"578780","585440"," Alors que pour les artères, vous allez avoir"
"585440","586380"," une droite comme ça."
"586680","589060"," C'est à dire pour une modification pas"
"589060","591100"," très importante du volume, vous avez une augmentation"
"591100","592440"," de la pression assez élevée."
"593660","595560"," Et donc forcément, la paroi des artères doit"
"595560","597760"," être différente de celle des veines, et aussi"
"597760","600440"," la caractéristique qui va différencier les artères des"
"600440","601220"," veines doit être différente. "
"601740","605000"," Donc la relation pression sur volume va déterminer"
"605000","606940"," ce qu'on a appelé l'élastance."
"608160","611520"," On va l'appeler aussi, dans le jargon,"
"612440","614060"," la distensibilité."
"614620","615860"," Mais je vais vous dire quelle est la"
"615860","616660"," différence entre les deux. "
"617560","618820"," Et pour ce qui m'intéresse ici, l "
"618820","620920","'élastance c'est pour la pression sur le"
"620920","621960"," volume pour les artères."
"623120","624680"," Et donc les artères, à cause de cette"
"624680","627780"," élastance, ils contiennent à peu près, ils restent"
"627780","629860"," 20% du volume sanguin, moi je mettrais"
"629860","631560"," 15% parce que les 5% qui"
"631560","633620"," restent, on va les retrouver dans les vaisseaux"
"633620","633940"," lymphatiques."
"633940","643520"," Alors ces notions sont très importantes. "
"644320","646160"," Elles vont nous ramener à la notion suivante."
"647980","656060"," Si je prends le cœur, et je prends"
"656060","664020"," la circulation aortique, je prends l'aorte comme"
"664020","672730"," ça, en train d'éjecter, à la sortie"
"672730","676210"," de l'aorte, au début de l'aorte,"
"676250","677910"," à la sortie du ventricule gauche, le sang"
"677910","679470"," va sortir avec une pression donnée."
"681210","683650"," Et cette pression va permettre de propager le"
"683650","684730"," sang dans l'aorte. "
"685850","687190"," J'aurai deux cas de figure."
"687430","689810"," Le premier, j'ai une aorte comme ça,"
"691230","692870"," qui ne se distend pas."
"694570","696750"," Donc si je prends la relation pression volume,"
"696750","700850"," je vais trouver que pour un volume éjecté"
"700850","703710"," dans l'aorte X, la pression, par exemple,"
"703870","705090"," monte de façon importante. "
"705650","706610"," L'artère est rigide."
"708370","711230"," Et je prends en bas un autre exemple"
"711230","714670"," de cœur, mais cette fois-ci avec une"
"714670","717490"," aorte qui est souple, qui est dispensable."
"718750","720110"," Et donc à chaque fois que j'ai"
"720110","723930"," une systole, je prends le rouge, chaque fois"
"723930","726490"," que j'ai une systole, l'artère arrive"
"726490","727270"," à faire comme ça. "
"732540","733040"," Pourquoi ?"
"733040","736480"," Parce que sa compliance, son élastance, par exemple,"
"739340","741540"," est plus importante que celle à côté."
"741680","743680"," Et donc elle permet de se distendre un"
"743680","743800"," peu."
"744140","745140"," Elle n'est pas très élevée. "
"745920","746960"," Elle est moins élevée."
"747200","748020"," Je vais la mettre comme ça."
"749340","750500"," Et donc elle arrive à se distendre. "
"750680","751780"," Qu'est-ce que ça change selon l "
"751780","753940","'équation du Bernouilli qu'on a vue au"
"753940","756060"," début, avec laquelle j'ai commencé ?"
"756060","758660"," Vous savez que l'écoulement correspond à trois"
"758660","759240"," types d'énergie."
"759820","761960"," Moi, j'enlève l'énergie, comme je vous"
"761960","763100"," ai dit, l'énergie potentielle."
"763220","765040"," Je vais garder l'énergie cinétique. "
"766900","769160"," Et une deuxième énergie, qui est la pression."
"769660","771440"," Donc je vais dire qu'ici, j'ai"
"771440","774740"," une pression donnée avec laquelle le sang va"
"774740","775300"," circuler."
"776200","778040"," Et en bas, la même chose. "
"779440","781200"," D'accord ?"
"781200","784260"," Et puis je prends une autre couleur pour"
"784260","787960"," dessiner l'énergie cinétique."
"788520","789740"," Donc le sang doit circuler."
"798390","799190"," Alors qu'est-ce qui se passe ?"
"799190","801810"," Quelle est la différence entre les deux ?"
"801810","804250"," C'est que ici, vous avez une artère"
"804250","806010"," qui n'est pas distensible. "
"806810","809510"," Ici, j'ai l'impression qu'une partie"
"809510","813790"," de l'énergie cinétique s'est transformée en"
"813790","818670"," une autre énergie qu'on va appeler, qu "
"818670","820210","'on va lui donner un autre nom, l "
"820210","821470","'énergie élastique."
"826250","827290"," Elastique pourquoi ?"
"827290","829430"," Parce que ça nous renvoie à l'élasticité"
"829430","830410"," de l'artère."
"831570","834570"," Et donc finalement, cette énergie, la pression va"
"834570","838050"," prendre une partie, parce que c'est une"
"838050","840170"," énergie qui est venue de l'énergie cinétique. "
"840870","844810"," Je vais pouvoir diminuer un petit peu de"
"844810","849590"," la pression dans l'artère pour la transformer,"
"851990","854750"," pour finalement la mettre dans l'énergie cinétique."
"855430","858510"," C'est ça, dans l'énergie élastique."
"858610","859650"," Et comme il n'y a pas de"
"859650","862510"," distensibilité dans le premier vaisseau, en gros, il"
"862510","868090"," est rigide, je vais avoir aucune énergie élastique. "
"868230","870850"," Donc mon énergie de pression va être la"
"870850","871050"," même."
"871530","873190"," Qu'est-ce que vous remarquez ?"
"873190","875150"," Ici, si la pression dans l'artère est"
"875150","879130"," à 100, par exemple, 100 mmHg, parce qu "
"879130","881550","'une partie s'est transformée en énergie élastique,"
"882050","883530"," en haut, elle va rester à 160."
"886530","889710"," La première conséquence d'une diminution de l "
"889710","894130","'élasticité artérielle, c'est que la pression artérielle,"
"894170","895670"," et là on est en systole, donc on"
"895670","899050"," peut l'appeler la pression artérielle systolique, va"
"899050","900690"," être de plus en plus élevée dans les"
"900690","903470"," artères rigides que dans les artères souples. "
"906320","909620"," La deuxième conséquence, on va la voir en"
"909620","912880"," diastole, si je garde le même schéma, et"
"912880","917000"," cette fois-ci j'enlève la systolique, qu "
"917000","918160","'est-ce qu'il se passe ?"
"918160","922520"," En diastole, la valve va se fermer, la"
"922520","924880"," valve qui vient sur se fermer, il y"
"924880","927920"," aura une pression minimale qui va rester dans"
"927920","932420"," la worthe, elle va être avec une pression"
"932420","932980"," plus faible."
"933960","936280"," Et bien sûr, une énergie cinétique, oui, il"
"936280","937440"," y aura un écoulement, mais qui n'est"
"937440","938860"," pas très important."
"939280","942200"," Donc mettons ici, je ne sais pas moi,"
"942260","944120"," 70 mm d'ouverture qu'il reste. "
"945840","948080"," Pour le cas de l'artère qui est"
"948080","950660"," souple, je vais avoir ce qu'on appelle"
"950660","954720"," une restitution, je vais mettre le 1, je"
"954720","957080"," vais avoir cette énergie qui s'est emmagasinée"
"957080","960960"," dans la paroi, énergie élastique, va se transformer"
"960960","963380"," en une énergie cinétique, parce qu'elle va"
"963380","967240"," être restituée, c'est exactement le phénomène de"
"967240","967820"," l'élastique."
"968280","971400"," Vous tirez sur les vaisseaux, et rapidement, les"
"971400","973800"," vaisseaux vont par la suite se restituer, et"
"973800","977940"," reprendre ou retransformer l'énergie qui les a"
"977940","979500"," distendus en une énergie inverse."
"980080","983140"," Donc je vais avoir une bonne cinétique, mais"
"983140","987740"," aussi une pression artérielle diastolique, une pression, attendez,"
"987900","993000"," la gomme, pression diastolique, qui est un peu"
"993000","999600"," plus élevée, parce qu'à la pression habituelle,"
"1000140","1006060"," c'est rajouté la pression nouvelle, l'énergie"
"1006060","1007700"," de pression nouvelle qui est venue de la"
"1007700","1009760"," transformation de l'énergie élastique qui s'est"
"1009760","1012600"," emmagasinée dans la paroi lors de l'éjection. "
"1013060","1014400"," Je rêve, c'est dans le 90."
"1015080","1017840"," Donc le constat que je vais avoir, regardez,"
"1018360","1021020"," si vous faites la différence, je vais reprendre"
"1021020","1023260"," la pression systolique, ça c'est la diastolique,"
"1023720","1025740"," dans les deux cas c'est la diastolique,"
"1026720","1029000"," mais si vous reprenez les deux, la systolique"
"1029000","1030480"," de tout à l'heure était à 160,"
"1031500","1035180"," la diastolique ici était à 100, bon, elle"
"1035180","1040880"," est à 100, là on dirait 80, et"
"1040880","1042819"," là on va la mettre habituellement à 120."
"1043599","1046760"," Donc 100 ce n'est pas très exact,"
"1047620","1048320"," mettons 120. "
"1049440","1050540"," Pour faire quoi ?"
"1050540","1052540"," Je vais m'intéresser à la différence entre"
"1052540","1052860"," les deux."
"1053260","1054400"," La différence, c'est-à-dire que je"
"1054400","1058440"," prends la systolique moins la diastolique, et ça,"
"1058640","1059860"," elle a un nom, on l'appelle la"
"1059860","1060640"," pression pulsée."
"1061720","1063480"," La pression pulsée, qu'est-ce que je"
"1063480","1064460"," vais avoir ?"
"1064460","1068220"," 160 moins 70, ça va me faire quelque"
"1068220","1072600"," chose comme, allez, 60, 90, il y a"
"1072600","1076120"," même du mercure, alors qu'en bas, je"
"1076120","1078520"," vais 120 moins 80, ça en fait 40. "
"1079820","1081240"," Donc qu'est-ce que vous remarquez ?"
"1081240","1082080"," Deux conséquences."
"1082820","1084560"," Quand l'élastique, et tout ceci on l "
"1084560","1086560","'a obtenu à partir, bien sûr après, à"
"1086560","1089020"," partir de l'écosystème, on a compris que,"
"1090600","1092720"," quand l'artère est rigide, c'est-à "
"1092720","1095920","-dire son élastance, elle est malheureusement élevée, donc"
"1095920","1098820"," la rigidité artérielle est plus élevée, vous allez"
"1098820","1101760"," avoir à la fois une pression artérielle systolique"
"1101760","1105240"," plus importante, donc la systolique est plus élevée,"
"1105640","1108480"," et aussi la pression pulsée est plus élevée."
"1109240","1111460"," A tel point qu'il suffit maintenant de"
"1111460","1115420"," juste prendre la pression artérielle du patient, et"
"1115420","1119920"," ça va me refléter l'état de l "
"1119920","1122000","'aorte, est-ce qu'elle est rigide, peu"
"1122000","1123560"," rigide, ou est-ce qu'elle est souple"
"1123560","1123820"," ?"
"1123820","1127960"," C'est un moyen simple, sans être obligé"
"1127960","1130400"," d'aller faire des cathétérismes ou des examens"
"1131100","1131740"," invasifs. "
"1132460","1135660"," Cliniquement, je peux déjà retirer des notions importantes"
"1135660","1139020"," juste en voyant le niveau de pression systolique"
"1139380","1141880"," et en calculant la pression pulsée."
"1142220","1144980"," Donc la pression pulsée est corrélée à la"
"1144980","1148520"," rigidité artérielle et l'élévation isolée de la"
"1148520","1151660"," pression systolique, encore une fois, selon l'équation"
"1151660","1155300"," de Berglier, elle est aussi corrélée à une"
"1155300","1157720"," augmentation de la rigidité artérielle."
"1162120","1163180"," Voilà pour ces notions. "
"1171850","1179740"," Il y a un autre principe qu'il"
"1179740","1181300"," faut connaître, c'est qu'on a dit"
"1181300","1189660"," que la pression artérielle, l'écoulement sanguin, il"
"1189660","1194080"," est à la fois, on va sortir la"
"1194080","1199020"," notion, il est laminaire et aussi l'écoulement"
"1199020","1203480"," sanguin, c'est vrai, au niveau de la"
"1203480","1208420"," horte, il est pulsatif, mais au niveau des"
"1208420","1211800"," capillaires et des artérioles, des petits vaisseaux, il"
"1211800","1212580"," est continu."
"1213680","1216040"," On ne peut pas quand même imaginer que"
"1216040","1219340"," le sang dans la horte évolue comme ça"
"1219340","1223900"," par pulsation, laquelle va se transmettre le long"
"1223900","1228600"," de la horte vers les gros vaisseaux, les"
"1228600","1231600"," grosses artères comme l'artère radiale, cubitale, fémorale,"
"1231700","1231920"," etc."
"1232700","1235140"," Et j'arrive aux artérioles et à partir"
"1235140","1235620"," des..."
"1235620","1237960"," Je vais faire des biches en question pour"
"1237960","1238780"," que vous me suivez. "
"1240000","1242560"," Et j'arrive ici par exemple au niveau"
"1242560","1245000"," des artérioles et à partir des artérioles encore"
"1245000","1247600"," une fois, j'aurai des capillaires."
"1247960","1249540"," Je ne peux pas imaginer que le même"
"1249540","1255480"," régime pulsatif se transmet jusqu'aux capillaires."
"1255720","1257160"," Les capillaires, je peux les mettre en rouge. "
"1263500","1264660"," Pour quelles raisons ?"
"1264660","1266840"," Parce que quand même, si une pulsation arrive"
"1266840","1269680"," au niveau des capillaires, elle va certainement l "
"1269680","1270020","'éclater."
"1271540","1273200"," Donc il faut que l'écoulement au niveau"
"1273200","1275140"," des capillaires, au niveau de la micro-circulation,"
"1275340","1276600"," soit un écoulement qui est continu."
"1277560","1279520"," Alors comment passe-t-on d'un écoulement"
"1279520","1282700"," pulsatif à un écoulement continu ?"
"1283320","1285900"," Alors les vaisseaux, les organes ont besoin d "
"1285900","1288340","'être perfusés en permanence, donc ils ont besoin"
"1288340","1291300"," au moins d'une composante continue. "
"1292480","1294020"," Peut-être avec des vagues au cours de"
"1294020","1296020"," la systole, mais il faut une composante continue."
"1296920","1297860"," Ça, c'est ce qu'on appelle le"
"1297860","1300120"," principe de Windkessel."
"1301760","1303660"," Ça, c'est un principe qui est appliqué"
"1303660","1305180"," notamment chez les pompiers. "
"1307780","1309840"," C'est un principe simple et qui est"
"1309840","1312280"," dû d'ailleurs à cette élasticité artérielle."
"1313620","1315200"," C'est le principe qui consiste à ce"
"1315200","1317680"," que quand j'ai une pompe qui entraîne"
"1317680","1320500"," des pulsations, quand j'ai une pompe qui"
"1320500","1324480"," envoie des pulsations, cette pompe doit être dotée"
"1324480","1327600"," en même temps d'un système qui emmagasine"
"1327600","1329920"," une partie de l'énergie de la pression,"
"1330400","1330920"," si vous voulez."
"1332980","1335700"," J'imagine qu'ici j'ai..."
"1335700","1337300"," Ça, c'est chez les pompiers, un domaine"
"1337300","1337800"," de système. "
"1338580","1341140"," J'ai ici un piston et j'ai"
"1341140","1343060"," ici une cavité où il y a de"
"1343060","1343380"," l'air."
"1344760","1348300"," Le sang qui passe ici crée une énergie"
"1348300","1349920"," qui va pousser sur les pistons."
"1350340","1352260"," Ça va comprimer l'air qui est là. "
"1354320","1356840"," Et une fois la pulsation se termine, l "
"1356840","1358740","'air comprimé n'est plus sous compression."
"1358740","1364180"," Il repousse les pistons et le liquide continue"
"1364180","1366680"," à couler même après l'éjection."
"1367420","1369900"," Ceci se retrouve où, chez l'être humain"
"1369900","1370180"," ?"
"1370180","1372560"," Il se retrouve essentiellement, comme je vous l "
"1372560","1374560","'ai dit, dans l'artère qui est distensible. "
"1375480","1378580"," Une artère distensible, c'est une artère qui"
"1378580","1381180"," à la fois à chaque systole va se"
"1381180","1385640"," dilater, et à la diastole va restituer cette"
"1385640","1389380"," énergie et ça va se transformer en une"
"1389380","1392640"," nouvelle énergie cinétique qui va permettre de maintenir"
"1392640","1399520"," une pression entre les éjections, de transformer le"
"1399520","1401320"," système pulsatif en un système continu."
"1405740","1407820"," Alors, qu'est-ce qu'il nous reste"
"1407820","1408580"," ?"
"1408580","1411620"," On a parlé de l'effet de Windkessel."
"1413460","1414300"," Il y a une question. "
"1419250","1420890"," Alors, qu'est-ce qui rigidifie les artères"
"1420890","1420990"," ?"
"1420990","1423070"," Parfait, j'étais sur le point."
"1432440","1433520"," Très bonne question."
"1434560","1436720"," Avec laquelle je voulais enchaîner, c'est de"
"1436720","1438840"," faire la différence entre la paroi d'une"
"1438840","1439960"," artère et la paroi d'une veine. "
"1440080","1441600"," On va dessiner tout ça ensemble."
"1442700","1445080"," Comme j'aimerais bien garder la couleur rouge"
"1445080","1447000"," pour les artères, on va faire comme ça."
"1447960","1452520"," On va dessiner une artère en diamètre transverse. "
"1452520","1453500"," Qu'est-ce que vous voyez ?"
"1453500","1456440"," Vous voyez ici ce que j'appelle..."
"1456440","1458340"," Je vais faire les deux à la fois"
"1458340","1459280"," pour en finir."
"1460580","1462900"," Ça, c'est les deux limitantes élastiques, les"
"1462900","1465080"," limitantes élastiques internes et externes."
"1465500","1466900"," Et en jaune..."
"1466900","1474040"," Je vais mettre ici la couche interne qu "
"1474040","1475760","'on appelle de plusieurs noms. "
"1476720","1478600"," On l'appelle l'intima et on l "
"1478600","1481780","'appelle aussi l'endothélium vasculaire ou la couche"
"1481780","1485760"," endothéliale qui est une simple couche de cellules"
"1487300","1489660"," endothéliales qui ont des fonctions très importantes pour"
"1489660","1491380"," les artères parce qu'elles permettent de les"
"1491380","1497380"," relâcher, de libérer des substances comme le monoxyde"
"1497380","1499900"," d'azote, comme la prostacytlie, etc."
"1500580","1503880"," Ça permet de réguler, entre autres, ils ont"
"1503880","1507140"," aussi des fonctions sur la coagulation sanguine, mais"
"1507140","1507860"," ce n'est pas le moment d'en"
"1507860","1508080"," parler."
"1509300","1511600"," En dessous de l'intima, il y a"
"1511600","1514040"," une limitante élastique interne en dessous de laquelle,"
"1514180","1515520"," vous savez, il y a la média. "
"1515720","1517380"," Je ne sais pas quelle couleur je vais"
"1517380","1517720"," mettre."
"1518500","1520220"," Mais la média, vous savez qu'elle est"
"1520220","1525680"," essentiellement constituée de cellules musculaires lisses."
"1526000","1528300"," C'est peut-être l'occasion aussi pour"
"1528300","1529520"," qu'on rappelle tout à l'heure la"
"1529520","1532480"," différence entre les muscles lisses et les muscles"
"1532480","1533200"," squelettiques. "
"1533200","1542060"," Et après cette média, vous avez la limitante"
"1542060","1544760"," élastique externe qui serait simplement l'adventice."
"1544980","1546280"," On va rappeler plutôt l'adventice."
"1546860","1549200"," Et au niveau de l'adventice, vous avez"
"1549200","1554820"," bien sûr les vaisseaux qui vont vasculariser l "
"1554820","1556920","'artère parce que l'artère a besoin de"
"1556920","1560780"," réseaux qui la vascularisent et ne se nourrit"
"1560780","1563780"," pas directement des flux sanguins qui la traversent"
"1563780","1566300"," mais plutôt à partir de ces vaisseaux qui"
"1566300","1568800"," sont dans l'adventice et qui s'appellent"
"1568800","1572060"," les vasavasaurins. "
"1579550","1582050"," Et puis au niveau de l'adventice, vous"
"1582050","1588950"," avez aussi des terminaisons nerveuses qui vont venir"
"1588950","1594030"," assurer la régulation nerveuse de la vasomotricité d "
"1594030","1594470","'un vaisseau."
"1594990","1596890"," Donc ça c'est la paroi de l "
"1596890","1597410","'artère."
"1598410","1601450"," La veine a pratiquement la même chose sauf"
