"start","end","text"
"2120","5820"," Bonjour, aujourd'hui nous allons voir la dernière"
"5820","9140"," partie du cours concernant les gestes et soins"
"9140","12200"," d'urgence niveau 1 pour la deuxième année"
"12200","13100"," de médecine."
"14260","16180"," Lors de la première partie, on a vu"
"16180","19060"," l'alerte à protection, on a vu l "
"19060","21980","'obstruction des voies IA supérieures, on a vu"
"21980","25080"," l'hémorragie, on a vu un patient inconscient."
"26120","28120"," Sur ce cours d'aujourd'hui, on va"
"28120","30340"," voir l'arrêt cardiaque de l'adulte en"
"30340","31360"," cours de secourisme. "
"32120","36020"," L'arrêt cardiaque est défini par une efficacité"
"36020","41440"," hémodynamique du cœur et va être source d "
"41440","43400","'un arrêt de la perfusion des organes vitaux"
"43400","47400"," et aussi un arrêt de l'oxygénation cellulaire"
"47400","48700"," et par conséquent la mort."
"48700","52560"," L'arrêt cardio circulatoire ou l'arrêt cardio"
"52560","58000"," respiratoire constitue une urgence absolue en pratique médicale,"
"58000","60160"," parce qu'au delà d'un certain délai"
"60160","63819"," de non démarrage de la réanimation cardiopulmonaire de"
"63819","68820"," base initialement, il y a un risque avéré"
"68820","72900"," de séquelles neurologiques et aussi de mort cérébrale."
"76800","79660"," Les étiologies de l'arrêt cardiaque chez l "
"79660","82820","'adulte sont dominées essentiellement par les causes cardio "
"82820","86400","-musculaires, notamment les infarctus de Myocard. "
"86400","91800"," Les causes respiratoires peuvent être aussi d'origine"
"91800","95620"," de l'arrêt cardiaque, notamment les crises endasévères,"
"95920","98780"," les patients qui ont une insuffisance respiratoire chronique,"
"99520","102960"," les corps étrangers avec l'obstruction totale de"
"102960","107880"," la trachée, les pendaisons et autres étiologies, notamment"
"107880","110820"," la cause traumatique lors des accidents de la"
"110820","111380"," voie publique."
"111380","115860"," Les causes neurologiques, les accidents vasculaires cérébrales et"
"115860","118620"," d'autres causes d'origine toxique."
"121660","125080"," Il faut savoir que la gestion de l "
"125080","130480","'arrêt cardio respiratoire ou circulatoire répond à ce"
"130480","132400"," qu'on appelle le respect de la chaîne"
"132400","133040"," de survie. "
"133040","137140"," En effet, en milieu extra-hospitalier, la chaîne"
"137140","139880"," de survie est fait, c'est un maillon"
"139880","143120"," de gestes qu'il faut faire."
"143760","147580"," Initialement, il faut reconnaître l'arrêt cardiaque et"
"147580","148940"," appeler les secours."
"149740","153220"," Démarrer la réanimation cardio-pulmonaire de base d "
"153220","155400","'une façon immédiate et sans retard. "
"156400","161120"," Troisième maillon de la chaîne, la défibrillation rapide."
"161960","166840"," Après viendra les gestes spécialisés des services médicaux"
"166840","168340"," avancés."
"170180","172740"," Comment on va faire le diagnostic?"
"173020","177020"," Une fois que vous êtes devant une victime"
"177020","180600"," qui a perdu la conscience, il faut évaluer"
"180600","181580"," la conscience. "
"181580","184900"," Si la victime réagit, il ne s'agit"
"184900","186280"," pas d'un arrêt cardiaque."
"186960","189260"," Si la victime ne réagit pas, il faut"
"189260","190880"," lancer l'appel de secours."
"192020","195940"," Il faut libérer les voies aériennes supérieures, évaluer"
"195940","196680"," la ventilation. "
"197500","200260"," Si le patient respire, dans ce cas là,"
"200460","203280"," nous serons devant un patient, une victime qui"
"203280","205940"," a perdu conscience et qui respire."
"205940","208260"," Et le geste à faire, comme on l "
"208260","213580","'a vu précédemment, c'est la mise en"
"213580","215440"," position latérale de sécurité."
"216060","220140"," Si par contre la victime ne respire pas,"
"220640","223260"," dans ce cas là, il s'agit bien"
"223260","226440"," et bien d'un arrêt cardio-circulatoire. "
"226440","230760"," Et il faut démarrer sans attendre la réanimation"
"230760","234520"," cardio-pulmonaire de base, tout en alertant, en"
"234520","236040"," demandant de renfort médical."
"236600","242920"," La réanimation cardio-pulmonaire médicalisée doit donc ramener"
"242920","244900"," un défibrillateur semi-automatique."
"245020","248240"," Pour commencer la défibrillation qui constitue la troisième"
"248240","249740"," maillon de la chaîne de survie. "
"249740","253580"," Et la réanimation cardio-pulmonaire avec le massage"
"253580","255640"," cardiaque externe et l'insufflation."
"256100","259240"," A raison de 30 compressions pour 12 insufflations,"
"259700","262400"," on va étaler cet algorithme point par point."
"264380","265960"," Pourquoi il est important?"
"266120","268620"," Parce que le meilleur traitement de l'arrêt"
"268620","271260"," cardiaque, en attendant l'arrivée d'une équipe"
"271260","275140"," spécialisée, c'est le massage cardiaque externe. "
"275140","278520"," Il faut savoir aussi qu'une réanimation précoce"
"278520","282760"," maintient, entre autres, l'oxygénation à la fois"
"282760","286180"," du cœur et à la fois du cerveau."
"286660","291200"," Et le secouriste, le témoin, doit reconnaître l "
"291200","295020","'inconscience et l'arrêt de la ventilation, qui"
"295020","300440"," signifie qu'il s'agit d'un arrêt"
"300440","304920"," cardio-respiratoire et par contre démarrer la RCP"
"304920","308920"," de base tout en alertant les secours spécialisés."
"310420","312440"," La question qui se pose c'est comment"
"312440","314180"," on va reconnaître un arrêt cardiaque de l "
"314180","315200","'adulte?"
"315300","317720"," Quand on a vu dans l'algorithme, premier"
"317720","320540"," élément, il faut évaluer la conscience. "
"320540","325620"," La conscience est évaluée en secourisme sur trois"
"325620","328040"," paramètres importants."
"328120","330460"," La première question qu'on pose, est-ce"
"330460","331820"," que la victime peut parler?"
"332600","334920"," La deuxième, est-ce que la victime peut"
"334920","337540"," me serrer la main et est-ce que"
"337540","339560"," la victime peut ouvrir mes yeux?"
"340300","343780"," Si en répondant à ces trois questions, on"
"343780","346520"," répond non, dans ce cas là, il faut"
"346520","349480"," appeler au secours ou appeler le secours."
"350880","355140"," Sur ces diapositives, on vous montre en simulation"
"355140","357900"," comment on va évaluer l'état de la"
"357900","358480"," conscience. "
"358900","362780"," En demandant à la victime, et monsieur, monsieur,"
"363020","364100"," est-ce que vous m'entendez?"
"366060","368600"," La deuxième question qui se pose, qu'on"
"368600","371220"," posera à la victime, si vous m'entendez,"
"371600","372400"," serrez-moi la main."
"372400","375880"," Serrer la main, c'est une demande très"
"375880","376360"," simple."
"376620","378260"," Et si la victime est consciente, il va"
"378260","380460"," vous serrer la main ou il va essayer"
"380460","381300"," de serrer la main. "
"381700","384640"," Dans ce cas là, la victime est consciente."
"385060","387240"," Si par contre, la victime ne peut pas"
"387240","389440"," serrer la main, dans ce cas là, c "
"389440","391100","'est une victime qui est inconsciente."
"392260","395560"," Une fois la victime est diagnostiquée comme étant"
"395560","398700"," ou évaluée comme étant inconsciente, l'autre geste"
"398700","401380"," à faire, c'est libérer les voies aériennes"
"401380","402000"," supérieures. "
"402400","402620"," Pourquoi?"
"403000","405600"," Parce qu'une fois la victime est inconsciente,"
"406080","409560"," on va avoir une obstruction de voies aériennes"
"409560","412280"," supérieures et la victime peut avaler sa langue."
"412380","415040"," Dans ce cas là, il va obstruer la"
"415040","415660"," trachée."
"415980","417560"," Et par conséquent, il y a un risque"
"417560","420840"," important d'asphyxie et d'arrêt respiratoire. "
"421200","423740"," Et par conséquent, d'un arrêt cardiaque."
"423740","426340"," Le geste Salvatore à faire, c'est d "
"426340","429580","'essayer de subluxer le montant pour essayer de"
"429580","433180"," ramener le massif inférieur ou le maxillaire inférieur"
"433180","436180"," vers l'avant afin de libérer les voies"
"436180","437620"," aériennes supérieures."
"439220","443140"," Une fois les voies aériennes supérieures évaluées, il"
"443140","446960"," faut en second lieu évaluer la respiration. "
"446960","450180"," Pour évaluer la respiration, il y a trois"
"450180","453780"," verbes à essayer de finaliser."
"454440","457220"," Il faut voir le patient respirer et regarder"
"457220","459860"," sur la photo à droite que le sauveteur"
"459860","462240"," voit les mouvements thoraciques."
"462520","463480"," Est-ce qu'il y a un mouvement"
"463480","464260"," thoracique?"
"464780","468040"," Deuxièmement, il faut se pencher pour écouter la"
"468040","471960"," respiration de la victime et sentir la respiration. "
"471960","474820"," Lorsqu'on respire, il y aura un dégagement"
"474820","478340"," de l'air et le sauveteur va sentir"
"478340","481640"," cet air chaud sur les joues."
"481920","483880"," Et dans ce cas-là, si la victime"
"483880","486960"," peut respirer, on est devant une victime qui"
"486960","489060"," est inconsciente et qui respire."
"489380","491980"," Et par conséquent, le geste à faire, c "
"491980","494000","'est de le mettre en position latérale de"
"494000","494500"," sécurité. "
"494500","498480"," Si la victime ne peut pas respirer après"
"498480","501600"," avoir dégagé les voies aériennes supérieures, dans ce"
"501600","504220"," cas-là, nous serons devant une victime qui"
"504220","506860"," est inconsciente et qui ne respire pas."
"507200","509200"," Donc, il est en arrêt cardiaque."
"511539","515600"," Une fois le diagnostic posé, il faut donner"
"515600","516080"," de l'alerte. "
"516080","517620"," Quand on a vu dans la chaîne de"
"517620","520640"," survie, l'alerte doit être passée après l "
"520640","524120","'évaluation du bilan vital, auprès des services prévus"
"524120","529340"," pour ceci, ou auprès du SAMU si c "
"529340","530840","'était un préhospitalier."
"531380","534380"," Une fois le diagnostic de l'arrêt cardiaque"
"534380","537080"," a été posé, il faut donner l'alerte"
"537080","540680"," en demandant les secours et en demandant d "
"540680","543400","'apporter un défibrillateur semi-automatique."
"543400","548260"," La défibrillation constitue la troisième chaîne ou le"
"548260","551460"," troisième maillon de la chaîne de survie. "
"551680","556180"," En attendant l'arrivage du défibrillateur semi-automatique,"
"556420","558340"," il faut commencer ce qu'on appelle la"
"558340","564400"," réanimation cardiopulmonaire de base, axée essentiellement sur le"
"564400","566460"," massage cardiaque externe."
"567280","569040"," Comment on va aborder ça?"
"569200","571460"," Il faut dénuer le patient en coupant les"
"571460","575840"," vêtements, en arrachant et en déboutonnant les ceintures"
"575840","578220"," et en déboutonnant les chemises."
"578580","580300"," Il faut mettre le talon de la main"
"580300","581700"," au centre de la poitrine. "
"582140","584380"," La hauteur de compression doit être aux alentours"
"584380","587440"," de 5 cm en faisant des compressions et"
"587440","588360"," des décompressions."
"588360","591700"," Les bras du sauveteur doivent être tendus et"
"591700","595060"," verrouillés avec un rythme de 100 compressions par"
"595060","598860"," minute suivant un cycle de 30 compressions thoraciques"
"598860","600420"," pour 2 insufflations."
"601520","604100"," A quel moment on va contrôler le pouls"
"604100","605360"," quotidien du patient?"
"605960","609040"," Pas au bout de chaque compression mais surtout"
"609040","611600"," au bout de 5 minutes jusqu'à l "
"611600","614120","'arrivée du défibrillateur semi-automatique. "
"614900","617400"," Les compressions thoraciques, pourquoi on les fasse?"
"617400","620220"," Parce qu'il permet d'éjecter le sang"
"620220","623540"," hors du coeur vers les artères au cours"
"623540","624800"," du temps de compression."
"625400","627660"," Et au temps de la décompression, ça va"
"627660","630340"," permettre au coeur de se remplir de sang."
"631400","634120"," La technique de massage cardiaque externe, on la"
"634120","634840"," récapitule. "
"635140","637400"," Le sauveteur va mettre les deux bras en"
"637400","640960"," crochet, les deux mains en crochet sur la"
"640960","641500"," poitrine."
"641500","645100"," Les deux bras sont vraiment tendus et tout"
"645100","647780"," le poids du corps du sauveteur va se"
"647780","649980"," pencher sur un point précis au niveau du"
"649980","650440"," thorax."
"651000","654060"," Comme ça on va faire un massage cardiaque"
"654060","655280"," externe de qualité. "
"656460","659940"," Sur ces diapositives là, on vous montre aussi"
"659940","663420"," en simulation comment on va aborder, comment on"
"663420","666100"," va commencer, quelle est la technique du massage"
"666100","667440"," cardiaque externe."
"671730","675610"," Le massage cardiaque externe doit alterner encore une"
"675610","679450"," fois 30 compressions pour deux insufflations."
"679890","682430"," Il faut donner deux insufflations en pinçant le"
"682430","684390"," nez de la victime et couvrant sa bouche"
"684390","687270"," avec la vôtre puis souffler deux fois d "
"687270","688370","'une façon très lente. "
"688770","691450"," La victime, la poitrine de la victime doit"
"691450","694750"," se soulever à chaque fois que vous soufflez."
"695190","697830"," C'est l'efficacité de votre insufflation."
"709790","713890"," Une fois le défibrillateur sous vos mains, il"
"713890","716510"," faut réaliser ce qu'on appelle une défibrillation"
"716510","720270"," par un défibrillateur automatisé externe. "
"720590","725170"," Les défibrillateurs automatisés externes regroupent un ensemble différent"
"725170","728350"," de défibrillateurs à caractère automatique."
"729350","731970"," Une fois qu'on l'ouvre, on fait"
"731970","734650"," brancher le défibrillateur avec les deux palettes au"
"734650","736870"," niveau du thorax et puis on va l "
"736870","737190","'allumer."
"737790","742010"," Et le défibrillateur va analyser le rythme cardiaque"
"742010","746630"," du patient et il va ordonner, soit délivrer"
"746630","751890"," un choc, soit demander au sauveteur de réaliser"
"751890","755890"," la réanimation cardiopulmonaire de base, notamment le massage"
"755890","756850"," cardiaque externe. "
"756850","760150"," Le défibrillateur, il analyse encore une fois le"
"760150","762990"," rythme et permet de choquer de façon précoce"
"762990","766050"," une fibrillation ventriculaire, ce qui accroît d'une"
"766050","769150"," façon considérable les chances de survie de la"
"769150","773730"," victime qui sont retrouvées en arrêt cardio-respiratoire."
"776050","778010"," Rappelons la séquence encore une fois."
"778630","781270"," Si vous êtes devant une victime où il"
"781270","783750"," y a une absence de réaction et pas"
"783750","787230"," de respiration normale, une victime qui est inconsciente"
"787230","789150"," et qui ne respire pas, c'est le"
"789150","790970"," diagnostic de l'arrêt cardiaque. "
"790970","792530"," C'est pas la peine d'aller chercher"
"792530","795310"," le pouls carotidien ou fémoral ou radial."
"795870","798390"," Juste une patiente ou une victime qui est"
"798390","801890"," inconsciente et qui ne respire pas fera le"
"801890","806190"," diagnostic de l'arrêt cardiaque et commencer la"
"806190","809830"," réanimation cardiopulmonaire de base en alertant les services"
"809830","812830"," de secours et réaliser les compressions."
"813250","815610"," Les compressions, encore une fois, c'est un"
"815610","819110"," rythme de 30 compressions thoraciques pour 2 insufflations. "
"819110","823490"," On poursuivra la réanimation cardiopulmonaire de base avec"
"823490","827590"," cette séquence jusqu'à l'arrivage du défibrillateur"
"827590","828550"," sommier automatique."
"829750","831890"," Dès qu'il est disponible, on va le"
"831890","834470"," brancher et on va suivre les instructions."
"836430","837710"," Y a-t-il des règles pour le"
"837710","841850"," bon déroulement de cette réanimation cardiopulmonaire de base?"
"842490","845150"," Il faut qu'une personne dirige la réanimation,"
"845270","846350"," ce qu'on appelle le leadership. "
"846350","849570"," Il faut discuter d'une façon préalable le"
"849570","852010"," rôle de chacun de l'équipe, connaître les"
"852010","853070"," gestes de secourisme."
"853410","856330"," Et là, c'est un point important qu "
"856330","859110","'il faut avoir une formation et une mise"
"859110","859530"," à niveau."
"859950","862270"," Il faut que le matériel doit être connu"
"862270","863490"," et en bon fonctionnement. "
"864530","867330"," Seul le personnel nécessaire reste dans le lieu,"
"867550","868170"," dans la chambre."
"868170","872230"," Si l'arrêt cardiaque a été diagnostiqué au"
"872230","874590"," niveau d'un hôpital, par exemple, il faut"
"874590","879210"," évacuer les curieux et les témoins curieux."
"879550","881990"," Mais surtout, éthiquement, il ne faut pas que"
"881990","885710"," l'infamie soit présente durant la prise en"
"885710","886090"," charge. "
"886510","890330"," Mais il faut essayer de les abandonner pour"
"890330","893590"," que l'équipe travaillera d'une façon harmonieuse. "
