"start","end","text"
"140","2040"," S'il vous plaît, désactivez le son."
"6470","8630"," Alors, l'objectif de cette séance, c'est"
"8630","12610"," de faire une révision sur les chapitres que"
"12610","16410"," je vous ai enseignés, à savoir l'anatomie"
"16410","19150"," de la moelle épinière, l'anatomie du tronc"
"19150","22610"," cérébral et l'anatomie du cervelet."
"23510","27790"," Je vais procéder de la façon suivante. "
"27790","32130"," Je vais essayer de reprojeter mes slides, de"
"32130","36550"," faire une petite révision durant, disons, une heure."
"37770","41070"," Et puis, je vous cèderai la main pour"
"41070","44370"," essayer de répondre et donner des explications si"
"44370","47970"," vous avez des questions, si vous n'avez"
"47970","50730"," pas compris des choses."
"51870","53210"," Est-ce que ça vous va comme ça?"
"59730","59950"," Allô?"
"63640","64500"," Oui, monsieur. "
"67580","68520"," Ça vous va?"
"76860","77740"," Oui, monsieur."
"79620","80380"," Très bien."
"80580","82280"," Donc, on va commencer. "
"86880","89120"," Alors, le premier cours que nous avions traité,"
"89220","91540"," c'était la neuroanatomie de la moelle épinière."
"93540","94760"," Alors, je vous ai dit que c'est"
"94760","97220"," la partie caudale du système nerveux central, c "
"97220","99420","'est-à-dire, c'est la partie inférieure."
"100700","104940"," La moelle a la forme d'un tube"
"104940","108220"," comme un tuyau à paroi épaisse et à"
"108220","110800"," lumière à peu près obstruée. "
"111080","112400"," Vous le voyez là."
"113400","116360"," Il est contenu dans le canal rachidien."
"116680","118100"," Et quel est l'intérêt de la moelle"
"118100","118620"," épinière?"
"118720","122620"," Cette structure a un rôle important dans la"
"122620","125620"," mesure où elle représente un lieu de passage"
"125620","129320"," de toutes les voies nerveuses, sensitives et motrices,"
"129400","132380"," c'est-à-dire, tous les faisceaux nerveux,"
"132480","133760"," moteurs et sensitifs. "
"134140","138940"," Il effectue un passage obligatoire par la moelle"
"138940","139360"," épinière."
"139500","141560"," Et donc, vous imaginez très bien que si"
"141560","144120"," la moelle épinière est malade pour une raison"
"144120","146960"," ou pour une autre, c'est le siège"
"146960","152760"," d'une pathologie, le malade va présenter des"
"152760","160120"," troubles moteurs, des troubles nerveux moteurs et ou"
"160120","162620"," sensitifs, en fonction du siège de l'atteinte,"
"163320","169120"," parce que ces voies qui passent obligatoirement par"
"169120","172600"," la moelle épinière vont être envahies et atteintes"
"172600","173620"," par la pathologie."
"174640","176460"," Alors ça c'est les objectifs. "
"178280","180800"," Sur le plan topographique, nous avons dit que"
"180800","183580"," la moelle est contenue dans le canal rachidien."
"184880","188960"," Elle s'étend depuis le trot occipital jusqu "
"188960","191640","'en regard de la deuxième vertèbre lambert, c "
"191640","194740","'est-à-dire qu'au-dessous de L2,"
"195660","196780"," on n'a plus de moelle, on n "
"196780","197960","'a que les racines de la queue de"
"197960","198360"," cheval."
"198360","201980"," Donc la moelle s'arrête sur le plan"
"201980","205360"," topographique au niveau en regard de L2. "
"206920","211460"," Elle suit les courbures du rachis, elle oppose"
"211460","216700"," la forme du rachis, et là on lui"
"216700","220360"," décrit une courbure cervicale et une courbure dorsale."
"220360","222900"," Ça c'est l'émensuration que vous devez"
"222900","224460"," être capable de connaître."
"224840","226760"," Et ça c'est son poids, c'est"
"226760","228980"," 26 à 30 grammes. "
"229960","232260"," Alors, 5 segments."
"233340","238060"," On a le segment cervical supérieur, on a"
"238060","242540"," un segment au-dessous du segment cervical, on"
"242540","245580"," a un autre segment qui s'appelle renflement"
"245580","247100"," cervical."
"247760","250340"," Ensuite, au-dessous de ce renflement cervical, on"
"250340","253520"," a un autre segment appelé segment ou moelle"
"253520","254160"," dorsale. "
"255279","256459"," Et puis au-dessous de la moelle dorsale,"
"256560","260300"," vous avez la moelle épinière lambert, et puis"
"260300","262780"," la partie tout inférieure porte le nom de"
"262780","266100"," cône midulaire ou de cône terminale."
"270030","274470"," Alors sur le plan configuration antérieure, on la"
"274470","275730"," divise en trois compartiments."
"275730","279410"," On a un compartiment antérieur qui s'appelle"
"279410","284050"," cordon antérieur, un compartiment postérieur qui s'appelle"
"284050","287450"," cordon postérieur, et deux compartiments latéraux, droit et"
"287450","290070"," gauche, qui s'appellent les cordons latéraux. "
"290270","294030"," Et ces cordons sont délimités par des sillons."
"294690","302350"," Entre le sillon collatéral antérieur droit et le"
"302350","305730"," sillon collatéral gauche, il va délimiter le cordon"
"305730","306370"," antérieur."
"307130","310330"," Entre le sillon collatéral postérieur droit et le"
"310330","314030"," sillon collatéral postérieur gauche, il va délimiter le"
"314030","315170"," cordon postérieur. "
"316050","318470"," Et entre chaque côté, à droite ou à"
"318470","322170"," gauche, entre le sillon collatéral antérieur et le"
"322170","327290"," sillon collatéral postérieur, va se délimiter le cordon"
"327290","330190"," latéral droit et gauche."
"331270","337630"," Ça, c'est une information que vous devez"
"337630","341310"," reconnaître, il est de votre devoir de connaître"
"341310","343910"," les rapports de la moelle épinière avec les"
"343910","346010"," structures adjacentes, notamment le rachis."
"346670","350250"," En avant, la moelle répond au corps vertébral"
"350250","352090"," parce qu'il est contenu dans le canal"
"352090","352710"," rachidien. "
"354010","357450"," En avant, il répond au corps vertébral et"
"357450","360530"," au disque intervertebral qui séparent le corps."
"361890","368450"," Latéralement, on a les pédicules vertébrales et les"
