"start","end","text"
"840","7240"," Bonjour, nous allons continuer notre programme sur l "
"7240","11960","'anoranatomie en traitant aujourd'hui l'anatomie du"
"11960","12480"," cervelet."
"16190","20190"," Alors, le cervelet, c'est une formation nerveuse"
"20190","22190"," qui est médiane."
"23530","27910"," Elle est située dans l'étage sous-tentoriel,"
"28110","29910"," c'est-à-dire dans la fosse cérébrale"
"29910","30830"," postérieure. "
"30830","37930"," Derrière le tronc cérébral, dont il est séparé"
"37930","44880"," par le quatrième ventricule, le cervelet est relié"
"44880","49820"," au reste du névrax par des structures nerveuses"
"49820","52480"," appelées les pédoncules cérébelles."
"54320","57880"," Cette formation nerveuse qui est le cervelet est"
"57880","61360"," placée en dérivation des grandes voies du névrax,"
"61360","63500"," c'est-à-dire qu'elle est placée"
"63500","68160"," sur le trajet des principales voies nerveuses, sensitives"
"68160","71540"," et motrices, et nous allons le voir plus"
"71540","71780"," tard."
"72600","76700"," Quel est le rôle de cette formation anatomique"
"76700","78620"," qui est le cervelet ?"
"78620","82360"," Le cervelet intervient dans plusieurs fonctions nerveuses. "
"83500","87720"," Il gère la régulation des tonus musculaires."
"87720","93240"," Il gère la fonction de l'équilibre dans"
"93240","95440"," l'espace du corps."
"96820","100740"," Et il intervient dans la coordination des mouvements"
"100740","103500"," dans le temps et dans l'espace. "
"107370","113050"," Sur cette diapositive sont représentés les objectifs pédagogiques"
"113050","114170"," de ce cours."
"114170","117650"," Au terme de ce cours, vous devez être"
"117650","122550"," capable de connaître la morphologie du cervelet, de"
"122550","126490"," préciser ses rapports avec les structures cérébrales avoisinantes,"
"127550","131770"," et de connaître son organisation fonctionnelle, c'est "
"131770","133190","-à-dire sa systématisation."
"139560","144320"," Nous allons commencer par étudier la configuration extérieure"
"144320","145040"," du cervelet. "
"145820","149100"," Sur le plan topographique, nous avons dit que"
"149100","155360"," le cervelet est une formation nerveuse située dans"
"155360","158160"," la fosse cérébrale postérieure."
"159060","160740"," C'est une structure qui, à l'état"
"160740","163520"," normal, a une coloration grisâtre."
"163520","168760"," Il a un aspect lamelleux, c'est-à "
"168760","172200","-dire qu'il est constitué de plusieurs lamelles"
"172200","175680"," séparées par des sillons, comme vous le voyez"
"175680","178260"," sur ce schéma. "
"178900","182740"," Il y a plusieurs lamelles séparées par des"
"182740","187500"," dépressions à la surface du cervelet appelées sillons."
"188400","191760"," Le cervelet est formé de trois segments."
"191760","196900"," Un premier segment s'appelle le vermice, qui"
"196900","199060"," est médian et étroit. "
"199800","203500"," Voici le vermice, c'est la partie centrale"
"203500","207420"," du cervelet qui a une situation médiane, centrale,"
"207600","210220"," et qui a la particularité d'être étroit"
"210220","213200"," par rapport aux deux autres segments."
"213600","216810"," Les deux autres segments s'appellent hémisphères cérébelleux."
"216810","222830"," Ces hémisphères cérébelleux sont latéraux par rapport au"
"222830","227810"," vermice et sont plus volumineux que le vermice. "
"228810","234650"," Sur le plan monstération, cet organe anatomique nerveux"
"234650","238650"," mesure 8 à 10 centimètres de droite à"
"238650","243030"," gauche, sur 5 à 6 centimètres de hauteur"
"243030","248290"," et sur 6 centimètres de profondeur."
"248290","251550"," C'est-à-dire que son diamètre transversal"
"251550","258510"," mesure 8 à 10 centimètres, sa hauteur mesure"
"258510","261630"," 5 à 6 centimètres et sa profondeur mesure"
"261630","262630"," 6 centimètres."
"262870","266010"," En moyenne, il pèse 140 grammes. "
"266750","269170"," On lui décrit trois faces."
"269970","274730"," Une face supérieure qui est inclinée en bas"
"274730","275750"," et en dehors."
"275750","282090"," Une face inférieure qui est convexe et une"
"282090","287120"," face antérieure qui surplombe le quatrième ventricule. "
"287450","290290"," Le quatrième ventricule, c'est une cavité ventriculaire"
"290290","294160"," qui sépare le cerveau du tronc cérébral."
"299490","303870"," Toujours dans ce chapitre de configuration extérieure, nous"
"303870","308230"," avons dit que le cerveau a un aspect"
"308230","309130"," lamelleux."
"309810","313190"," Parce qu'il est formé par plusieurs lamelles"
