"start","end","text"
"840","4260"," Du coup, on va traiter le chapitre relatif"
"4260","4980"," à l'immunité aînée."
"5120","6380"," Si on a un peu de temps, on"
"6380","10840"," peut aborder le système HLA, sinon on va"
"10840","13440"," le reporter pour la séance prochaine."
"14200","16480"," Alors, en parlant de l'immunité aînée, maintenant"
"16480","20140"," que vous avez tous les ingrédients nécessaires pour"
"20140","24700"," comprendre comment le système immunitaire va agir, puisqu "
"24700","26660","'on a vu les antigènes, les anticorps, le"
"26660","30640"," complément, les cellules, les organes d'influide, donc"
"30640","31860"," maintenant on va voir un petit peu comment"
"31860","35400"," agencer tout ça dans une dynamique de réponse"
"35400","36000"," immunitaire. "
"36740","38820"," Comme vous connaissez, il y a une réponse"
"38820","42980"," immunitaire aînée, naturelle, et puis après on va"
"42980","45000"," voir l'immunité adaptative, spécifique."
"45940","47920"," Alors, l'immunité aînée, on peut l'appeler"
"47920","51680"," aussi réponse immunitaire aînée ou naturelle."
"51680","55800"," Tout simplement, il est considéré comme une première"
"55800","56460"," ligne de défense. "
"56560","58820"," Chaque fois qu'on est confronté à une"
"58820","62620"," stimulation antigénique par un microbe, par autre, ou"
"62620","65040"," par autre antigène, c'est toujours la première"
"65040","66460"," ligne de défense qui se met en jeu."
"66840","70340"," Donc il intervient de façon immédiate et va"
"70340","71760"," mettre en jeu plusieurs acteurs."
"72100","72920"," Vous allez voir qu'il y a des"
"72920","77600"," acteurs qu'on appelle acteurs plasmatiques, des protéines"
"77600","81460"," en l'occurrence, du complément, des anticorps et"
"81460","84520"," autres, des cétokines, de l'inflammation, énormément d "
"84520","86500","'acteurs qui circulent dans le plasma. "
"87040","89000"," Il y a également des acteurs cellulaires."
"90020","91960"," L'action de ces acteurs va être bien"
"91960","93400"," évidemment non spécifique."
"94980","98800"," Il ne pourra pas être ciblé contre un"
"98800","102820"," agent particulier, mais il agit de façon commune"
"102820","107800"," par rapport à un groupe ou famille de"
"107800","109620"," pathogènes de façon générale. "
"110480","112100"," Comme il n'a pas de mémoire, il"
"112100","114700"," ne confère pas de mémoire immunologique, ce sont"
"114700","116760"," des réactions qui risquent de se répéter à"
"116760","118520"," chaque fois qu'il y a un intrus,"
"118680","120460"," un agent pathogène qui pénètre dans l'organisme."
"120660","123380"," Donc on va reprendre les mêmes acteurs de"
"123380","127680"," façon un petit peu sélective, sans spécificité, dans"
"127680","130060"," la mesure où on n'a pas retenu"
"130060","133000"," cette mémoire de reconnaissance qui va servir à"
"133000","137040"," développer des anticorps ou des lymphocytes spécifiques."
"137220","139220"," Ce sont des acteurs qui vont revenir de"
"139220","143580"," façon stéréotypée pour faire face à un agent"
"143580","144140"," pathogène. "
"145200","147740"," Nul ne peut ignorer l'intérêt de cette"
"147740","150720"," question, parce qu'il est très efficace dans"
"150720","152720"," la mesure où il permet à l'organisme"
"152720","155800"," humain de se débarrasser des milliers d'agents"
"155800","158980"," pathogènes auxquels il fait face chaque jour, chaque"
"158980","159940"," minute, chaque seconde."
"161120","162940"," On ne se rend pas compte qu'on"
"162940","165340"," croit que c'est notre organisme intact, notre"
"165340","169160"," immunité et nos épargnes d'infection."
"169260","170540"," Lorsqu'on arrive à faire une infection, ça"
