"start","end","text"
"18890","21490"," Bien alors, je vois beaucoup de D, B,"
"21610","30870"," D, alors on va peut-être reprendre les"
"30870","33130"," éléments de la question, d'accord ?"
"33130","36370"," Alors, vous avez tous raison pour ne pas"
"36370","39270"," cocher le A, bien c'est de l "
"39270","40850","'immunité active, tout simplement, d'accord ?"
"40850","42690"," Ce qui est l'immunité passive, j'essaie"
"42690","45150"," de passage de m'arrêter un petit peu"
"45150","47930"," sur des choses, des séquences, des chapitres, l "
"47930","50250","'introduction au système immunitaire pour que vous puissiez"
"50250","51430"," vous rappeler de l'essentiel."
"51910","55110"," Alors, la vaccination, c'est la stimulation du"
"55110","57910"," système immunitaire, en l'occurrence l'immunité active,"
"58030","60610"," l'immunité B, l'immunité T, donc à"
"60610","61070"," dire clair."
"61610","63069"," Lorsqu'on parle de l'immunité passive, c "
"63069","65630","'est surtout la sérothérapie, lorsqu'on administre des"
"65630","69610"," anticorps spécifiques, qui sont dirigés contre des toxines"
"69610","72390"," ou bien des choses un peu déjà connues,"
"72510","72650"," etc. "
"73210","75570"," Donc le système immunitaire, du coup, n'intervient"
"75570","75830"," pas."
"77330","79910"," Vise l'induction d'anticorps protecteurs, bien évidemment,"
"80050","82590"," oui, vous avez tous coché B pour certains."
"83150","83770"," Je vois qu'il y a des gens"
"83770","86710"," qui ont coché que D, non ?"
"86710","91670"," Toute vaccination vise la genèse ou la production"
"91670","92310"," d'anticorps. "
"93890","96470"," Troisièmement, c'est intervenir uniquement des lymphocytes B."
"98890","100490"," Alors, vous avez raison, on ne veut pas"
"100490","102330"," cocher C, non ?"
"102330","104630"," On vise l'activation des lymphocytes B, bien"
"104630","109170"," évidemment, on cherche toujours des lymphocytes T, pour"
"109170","112770"," collaborer avec les lymphocytes B pour induire des"
"112770","115510"," anticorps de différentes classes, parce que s'il"
"115510","116930"," n'y a pas d'intervention des lymphocytes"
"116930","119370"," T, on n'aura pas les autres classes"
"119370","120710"," d'anticorps."
"121090","123070"," On va avoir que les IgM lorsque uniquement"
"123070","124210"," les lymphocytes B qui stimulent."
"124950","127009"," Donc il faut les lymphocytes T pour pouvoir"
"127009","130050"," produire des IgG, des IgA, des IgE, etc. "
"132010","134830"," Alors, les lymphocytes T interviennent aussi."
"135750","137430"," Génère les cellules de mémoire, bien évidemment, oui."
"138330","140830"," Et l'efficace contre les virus ?"
"142400","143060"," Bon, très bien. "
"144040","145760"," Alors, les gens qui n'ont pas coché"
"145760","151460"," le B ont tort."
"151740","153460"," Donc c'est le B et le D,"
"154020","155560"," vous comprenez ?"
"155560","159560"," Si, par exemple, dans une question, on met"
"159560","163640"," les lymphocytes T, la vaccination fait intervenir les"
"163640","166360"," lymphocytes T, vous allez cocher, d'accord ?"
"167340","169760"," Parce que, on l'a dit, l'idéal"
