"start","end","text"
"1029","5350"," Bonjour, cette séance de travaux dirigée porte sur"
"5350","7690"," la phase préanalytique en bactériologie."
"12480","15460"," Nous allons traiter les différentes étapes de la"
"15460","20500"," phase préanalytique en bactériologie, définir les informations que"
"20500","24080"," doit comporter la prescription médicale d'une analyse,"
"25840","29200"," connaître les conditions nécessaires à respecter pour l "
"29200","35040","'exécution d'un prélèvement bactériologique et enfin, nous"
"35040","39140"," allons voir les éléments qui peuvent fausser un"
"39140","40800"," résultat bactériologique."
"41540","45900"," L'objectif principal des analyses en bactériologie est"
"45900","48680"," d'évoluer et d'identifier les micro-organismes"
"48680","52700"," pathogènes et de mesurer leur sensibilité aux antibiotiques. "
"53400","55940"," Le GBA a défini ces analyses comme un"
"55940","60000"," ensemble d'étapes successives allant du prélèvement de"
"60000","63019"," l'échantillon biologique jusqu'à la remise des"
"63019","63560"," résultats."
"64099","68760"," La qualité de ces résultats dépend ainsi étroitement"
"68760","72900"," de celles des phases préanalytiques et analytiques ainsi"
"72900","74860"," que la phase post-analytique."
"76160","80520"," La figure suivante illustre le cheminement ou la"
"80520","85020"," chronologie de l'analyse depuis le patient jusqu "
"85020","87640","'à l'interprétation des résultats. "
"88380","93640"," La phase préanalytique comprend plusieurs étapes dont la"
"93640","97960"," séquence et la coordination doivent être sans faille."
"98800","100940"," Il s'agit en effet d'une phase"
"100940","104320"," critique pour laquelle le choix de l'échantillon"
"104320","108480"," et de ses modalités de prélèvement, de transport"
"108480","112380"," et de conservation doivent être de qualité optimale."
"113080","116300"," Dans le cas contraire, les résultats des analyses"
"116300","119500"," risquent de n'avoir aucune utilité clinique. "
"120360","123900"," J'insiste aussi sur la traçabilité dans le"
"123900","127660"," respect de la confidentialité qui est une des"
"127660","132100"," garanties des démarches effectuées par les professionnels de"
"132100","132400"," santé."
"135700","140020"," La figure 2 montre les principales étapes du"
"140020","140800"," préanalytique."
"141700","145600"," Nous allons détailler les éléments de cette phase"
"145600","151700"," un par un, à savoir la prescription médicale,"
"152700","157820"," l'exécution du prélèvement, bien évidemment les conditions"
"157820","162340"," de transport et de conservation et enfin les"
"162340","166060"," modalités de réception du prélèvement au laboratoire. "
"169000","172280"," La première étape consiste à la prescription médicale."
"172820","176720"," Elle permet le dialogue et la communication entre"
"176720","179400"," le clinicien et le biologiste."
"180520","186880"," L'analyse microbiologique doit être prescrite explicitement sur"
"186880","191060"," l'ordonnance selon la nomenclature des actes de"
"191060","192780"," biologie médicale. "
"194570","197850"," Le prescripteur, son nom, sa qualité et la"
"197850","201850"," manière de le contacter doivent être clairement identifiés."
"202710","206430"," Il doit mentionner l'identité du patient, nom,"
"206670","208690"," prénom, sexe, date de naissance."
"210110","214230"," Le prescripteur doit préciser la recherche de micro "
"214230","215850","-organismes particuliers. "
"215850","220230"," Il doit mentionner également la nature des manifestations"
"220230","225270"," pathologiques, le site d'élisions infectieuses et leur"
"225270","226550"," date d'apparition."
"228270","232010"," Il doit préciser éventuellement l'état physiologique du"
"232010","235990"," malade et l'existence d'infections associées telles"
"235990","239530"," que l'intolérance aux produits utilisés pour le"
"239530","245750"," prélèvement, une allergie aux antibiotiques, sont aussi utiles"
"245750","248670"," à préciser l'éventualité d'un six jours"
"248670","252790"," dans un pays endémique et le risque d "
"252790","256870","'infection ou de colonisation par un agent potentiellement"
"256870","261210"," épidémique ou résistant aux agents thérapeutiques."
"262170","266410"," Ces renseignements contribuent au choix des techniques de"
"266410","269870"," prélèvement et d'analyse et la prévention des"
"269870","273530"," incidents liés à la nature des prélèvements ainsi"
"273530","276210"," qu'à la limitation des risques de la"
"276210","276870"," dissémination. "
"280660","288680"," Le tableau suivant détaille l'ensemble de ces"
"288680","291540"," renseignements avec leurs intérêts."
"293400","296340"," Il y a des prélèvements à visée diagnostique"
"296340","298820"," et d'autres à visée épidémiologique."
"298820","302900"," Les prélèvements à visée diagnostique cherchent le diagnostic"
"302900","306500"," par exemple d'une infection, le diagnostic étiologique"
"306500","309960"," d'un syndrome infectieux ou le choix et"
"309960","312720"," le suivi d'un traitement anti-infectieux. "
"313540","317740"," Alors que les prélèvements à visée épidémiologique, ils"
"317740","319960"," s'intéressent à l'épidémiologie d'un patient"
"319960","323380"," ou d'un service, la recherche des bactéries"
"323380","330580"," nominément désignées comme des bactéries multi-résistantes Voilà"
"330580","334260"," un exemple des prélèvements à visée épidémiologique."
"337350","340150"," Le prélèvement d'un produit pathologique est un"
"340150","342570"," acte-clé de la phase préanalytique."
"343410","347710"," Il doit respecter le processus infectieux ou pathologique"
"347710","350710"," de la zone anatomique prélevée. "
"351330","355090"," De plus, il doit conserver la viabilité des"
"355090","358570"," bactéries pour les échantillons destinés à la culture,"
"358570","364370"," l'antigénicité pour les examens microscopiques par immunofluorescence"
"364370","369790"," et conserver les molécules spécifiquement recherchées comme les"
"369790","372310"," acides nucléiques, l'ADN et l'ARN."
"375350","378970"," Le prélèvement doit être effectué au début du"
"378970","380550"," processus infectieux."
"381510","387490"," Avant l'administration d'agents antimicrobiens, les répétitions"
"387490","392510"," des prélèvements sont recommandées surtout lorsqu'il s "
"392510","396630","'agit d'une charge bactérienne faible ou variable"
"396630","399630"," dans le temps comme pour la recherche par"
"399630","403430"," exemple des mycobactéries ou leurs décepticides. "
"406000","409620"," Les sites anatomiques appropriés sont généralement les plus"
"409620","414200"," proches du foyer infectieux et des localisations secondaires"
"414200","417660"," ou bien ceux qui constituent la porte d "
"417660","421840","'entrée, les voies d'excrétion ou d'évacuation"
"421840","425160"," de l'infection comme les festules et le"
"425160","425520"," drainage."
"429570","433790"," Le matériel du prélèvement doit être stérile, à"
"433790","436830"," usage unique, étanche et non périmée."
"436830","441510"," A noter aussi que chaque récipient doit être"
"441510","446150"," identifié par une étiquette comportant le nom, le"
"446150","448370"," prénom et la date de naissance du malade"
"448370","451750"," ainsi que la date, l'heure, la nature"
"451750","453570"," et le site de prélèvement. "
"454810","457990"," Il existe un très grand nombre de méthodes"
"457990","458910"," de prélèvement."
"459890","463730"," Lorsque les visions infectieuses sont profondes et que"
"463730","468190"," leur pronostic est sévère, le prélèvement invasif le"
"468190","472190"," plus proche du foyer infectieux et comportant peu"
"472190","475690"," de risques de contamination sera le plus approprié."
"476770","481270"," Les prélèvements par écovillonnage sont des techniques utilisées"
"481270","484730"," au niveau des plaies, les muqueuses, les cavités. "
"485490","489350"," Cependant, on récolte un peu de volume d "
"489350","489910","'échantillons."
"490670","493270"," Il faut noter aussi que si on vise"
"493270","497770"," la recherche des bactéries anaïrobies strictes, les échantillons"
"497770","504010"," doivent immédiatement conditionner en évitant tout contact avec"
"504010","504770"," l'air."
"510550","514630"," Il faut noter aussi que des précautions particulières"
"514630","518429"," doivent être prises pour éviter la contamination des"
"518429","521230"," prélèvements par des bactéries et par une grande"
"521230","523450"," variété de micro-organismes comme le seau. "
"523450","528150"," Les procédés de décontamination de surface comportent soit"
"528150","531530"," le simple rinçage avec du sérum physiologique stérile,"
"532230","535010"," soit l'utilisation sur la peau ou même"
"535010","538410"," sur une muqueuse d'une solution antiseptique."
"539090","544390"," Mais il faut éliminer ce produit après avec"
"544390","547790"," du sérum physiologique stérile afin de ne pas"
"547790","551630"," inhiber la culture des bactéries pathogènes."
"553450","556010"," Voilà l'exemple de quelques prélèvements. "
"556570","559670"," Le prélèvement urinaire chez la femme et chez"
"559670","562070"," l'homme à travers des sangles urinaires."
"562850","567790"," La procédure de prélèvement direct des flacons d "
"567790","568490","'hémoculture."
"570170","570890"," Le cul. "
"571990","572770"," Les fonctions."
"574450","578370"," Donc à noter que chaque prélèvement a ses"
"578370","582690"," spécificités et il faut les bien respecter."
"582690","587960"," En règle générale, les bactéries ne résistent pas"
