"start","end","text"
"1160","3180"," Très bien, alors les papillons avec le virus"
"3180","9620"," humain, on peut voir d'abord qu'en"
"9620","14220"," fait que là, les trois quarts des individus"
"14220","17240"," et des personnes sexuellement actives seront infectés à"
"17240","18760"," un moment de leur vie par le papillon"
"18760","19120"," avec le virus."
"19280","23060"," Ça c'est une réalité, malheureusement, les trois"
"23060","24000"," quarts de la population."
"24820","28900"," 10% de femmes restent saines, 10%"
"28900","29380"," seulement. "
"30060","32880"," Nous, l'intérêt du dépistage, c'est que"
"32880","33760"," les papillons avec le virus humain."
"34540","37060"," Et pourquoi on parle de ce virus ?"
"37060","39320"," Parce qu'il est à l'origine de"
"39320","41640"," 270 000 décès par an."
"42460","46300"," 270 000 décès par an dus au cancer"
"46300","48160"," du col de l'utérus et d'apartheid. "
"50000","52040"," Un demi-million d'entre elles sont touchées"
"52040","55300"," à travers le monde chaque année et 270"
"55300","57900"," 000 sont décédées chaque année par le cancer"
"57900","58700"," du col de l'utérus."
"59160","60520"," Heureusement qu'il y a la vaccination."
"62750","63129"," On va voir. "
"63550","66730"," Alors le premier qui a découvert, en fait,"
"66810","68350"," qui a fait le lien entre le virus"
"68350","70190"," et le cancer du col de l'utérus,"
"70230","73470"," c'est le professeur Harald Zollhausen, qui est"
"73470","76370"," en fait un virologue allemand et qui a"
"76370","79250"," eu le prix Nobel de médecine en 2008."
"79250","81990"," C'est grâce à lui, ces travaux des"
"81990","85610"," années 80, qu'il a fait le lien"
"85610","87870"," entre le cancer du col de l'utérus"
"87870","89090"," et le papillomavirus."
"89750","93530"," Comme ça, il est à l'origine de"
"93530","96490"," son prix Nobel de médecine en 2008. "
"99550","102110"," Il y a à peu près plus de"
"102110","106670"," 160 voire 200 génotypes de papillomavirus."
"106670","110430"," C'est important de voir ceux qui sont"
"110430","115850"," les plus impliqués dans les cancers, dans les"
"115850","117150"," autres pathologies."
"119560","121480"," Le problème des papillomavirus, c'est que le"
"121480","123240"," plus souvent, ils sont asymptomatiques. "
"124860","126460"," C'est d'abord des virus, c'est"
"126460","127460"," la famille des papillomavirus."
"127680","130700"," C'est des virus nus à ADN bicathénaire."
"131320","133620"," Ils ont une capsite mycosaïdrique asymétrique. "
"134280","135380"," D'accord ?"
"135380","136260"," C'est des virus nus."
"141300","145100"," La caractéristique des papillomavirus, comme les herpès virides,"
"145300","148660"," c'est la multiplication, la réplication intranucléaire."
"148980","150380"," Ça se multiplie. "
"150720","154480"," Le processus de réplication principale se fait au"
"154480","155160"," niveau du noyau."
"155800","160320"," Même le bourgeonnement, la libération, bien sûr, du"
"160320","163900"," noyau se fait au niveau du noyau avant"
"163900","165360"," de faire éclater la cellulose."
"165580","167260"," Il y a des milliers d'épidémiocytes aussi. "
"169380","173620"," Alors, ce qui est intéressant aussi, c'est"
"173620","176340"," que la majorité des cas sont bénignes."
"177600","181360"," Les infections sont bénignes par le papillomavirus, puisqu "
"181360","185980","'il y a une guérissance spontanée dans 70 "
"185980","188740","% des cas au bout d'un an"
"188740","190740"," et 90% au bout de deux ans."
"191060","192280"," Donc, au bout de deux ans, il y"
"192280","193480"," a la guérissance spontanée. "
"193480","196620"," Même si on est touché par le papillomavirus,"
"197340","197680"," d'accord."
"198520","200320"," Parce qu'en fait, il y a cette"
"200320","202060"," clairance virale qui est remise à la guérissance"
"202060","202640"," spontanée."
"205110","209710"," Donc, cette réponse immunitaire qui est efficace, on"
"209710","210910"," parle de clairance virale. "
"211870","213670"," C'est à la guérissance spontanée d'infection"
"213670","215250"," au bout de deux ans."
"215770","219370"," Dans 90% des cas, des personnes vont"
"219370","219810"," en guérir."
"220050","221250"," Le problème, c'est que les 10%"
"221250","221530"," restent. "
"223490","225150"," 10%, c'est considérable."
"226950","232160"," 10% de la population, c'est féminine"
"232160","235160"," bien sûr, vont persister au niveau du COVID "
"235160","235600","-19."
"235980","237120"," C'est ça qui pose le problème. "
"237620","239360"," Alors, on revient au génome du virus, c "
"239360","239800","'est important."
"240360","242020"," Alors, le génome, c'est un virus à"
"242020","242840"," ADN, nul."
"243320","245460"," Donc, il a un génome qui est de"
"245460","247560"," l'ADN et il est organisé comme suit. "
"247560","254900"," Vous avez les gènes, le gène tardif, le"
"254900","258160"," gène L1 qui code pour la protéine L1,"
"258360","259779"," qui est une protéine majeure de capacité."
"259980","261560"," C'est elle qui va être à l "
"261560","264460","'origine de la coprotéine qui va protéger l "
"264460","264840","'ADN."
"265320","269480"," Donc, c'est la L1, le gène L1"
"269480","271000"," qui code pour la protéine L1. "
"271300","272540"," Et puis, vous avez le gène L2 aussi"
"272540","273560"," qui code pour la protéine L2."
"273560","277740"," Et vous avez cette gène E, ou E"
"277740","279880"," d'hygiène, c'est les gènes précoces."
"280140","281900"," Donc, vous avez les gènes tardif et les"
"281900","285480"," gènes précoces, qui, eux, vont chacun coder pour"
"285480","287640"," une protéine qui a une caractéristique. "
"288040","291360"," On va retenir ici la recette qui sont"
"291360","294420"," des oncoprotéines, c'est-à-dire des protéines"
"294420","295360"," à l'origine du cancer."
"295800","297680"," D'ailleurs, on les retrouve aussi sous cette"
"297680","297940"," recette."
"298340","299360"," À chaque fois qu'il y a un"
"299360","300360"," cancer, il faut que vous l'étudiez. "
"300360","303080"," On retrouve ces protéines aussi."
"308300","311400"," Alors, les génotypes d'HPV dont on parle"
"311400","315880"," principalement, l'HPV-16."
"315960","318300"," Alors, dans 60% des cas de cancer"
"318300","320460"," qui codent l'utérus, on retrouve l'HPV "
"320460","320940","-16. "
"321980","324420"," Et puis, vous avez 7% d'HPV "
"324420","324820","-18."
"325100","325840"," C'est pour ça qu'il y a,"
"325900","331020"," au départ, un vaccin à base de ces"
"331020","333200"," deux génotypes, le 16 et le 18."
"334560","338320"," Maintenant, on a des vaccins qui vont regrouper"
"338320","339400"," jusqu'à 9 génotypes. "
"339960","342320"," 9 génotypes de haut risque oncogène."
"347360","348060"," D'accord ?"
"348060","353140"," Donc, voilà les papillomavuloses à bas risque oncogène,"
"353260","355160"," comme le 6 et le 11, et les"
"355160","357780"," hauts risques oncogènes, comme le 16, 18, 31,"
"357900","359260"," 33 et 45."
"360680","362880"," On les retrouve dans la majorité des situations"
"364020","365520"," dont les cancers ne codent pas. "
"367940","370600"," Vous voyez ici que les papillomavuloses, on a"
"370600","372000"," parlé qu'il y a plus de 160"
"372000","372660"," génotypes."
"373940","376600"," Vous avez les verrues communes, les verrues plates."
"378080","380960"," C'est tous les verrues. "
"381520","383340"," C'est les verrues."
"383360","384860"," En fait, c'est plus aux papillomavuloses."
"384960","386480"," À certains génotypes, les papillomavuloses. "
"387820","391460"," Vous avez aussi les verrues anogénitales, les candidats,"
"391560","392800"," en particulier les candidats."
"395100","397480"," Et puis, vous avez les cancers du côte"
"397480","400760"," du vétérus, notamment à travers le 16, le"
"400760","403120"," 18, le 31, le 33, le 45, le"
"403120","403860"," 71, 72."
"405280","410160"," Principaux génétiques, qui sont impliqués dans les cancers"
"410160","410940"," du côte du vétérus. "
"412040","414000"," Ce qui est important aussi à souligner, c "
"414000","416900","'est que vous voyez que 100% des"
"416900","418760"," cancers du côte du vétérus sont dus aux"
"418760","420200"," virus papillomavuloses."
"420600","422080"," 100%, à peu près 100%."
"422080","423240"," Comme les candidats. "
"424340","425840"," C'est toujours le papillomavulose."
"425960","428480"," Alors que certains cancers, comme le cancer du"
"428480","431040"," vagin, ou par exemple le cancer du pénis,"
"431840","434500"," 45% des cancers du pénis sont dus"
"434500","436280"," à des papillomavuloses."
"437440","437920"," Papillomavuloses. "
"438920","439640"," C'est-à-dire qu'il y a"
"439640","442240"," 55% à peu près qui ne sont"
"442240","444740"," pas des théologies infectieuses, qui sont dus à"
"444740","448680"," un processus tumoral, comme facteur génétique, etc."
"450860","451800"," Et ça, c'est important."
"451800","453880"," Si on regarde les cancers ORL, on peut"
"453880","456260"," atteindre jusqu'à 70% de situations dues"
"456260","457720"," aux papillomavuloses. "
"461000","462660"," Ce qui est important ici, c'est que"
"462660","465040"," la majorité, enfin les cancers du côte du"
"465040","467920"," vétérus et les candidats, sont dus aux..."
"467920","469240"," C'est-à-dire l'éthiologie de ces"
"469240","473440"," cancers, c'est la transformation cellulaire due aux"
"473440","474780"," virus papillomavuloses."
"478620","480600"," Alors les modes de transmission, c'est les"
"480600","484880"," transmissions cutanées, ou par exemple les transmissions directes,"
"484880","486680"," c'est skin-to-skin, comme on dit,"
"487000","490440"," skin-peau-à-peau, le contact intime des"
"490440","493400"," peaux, ou indirectement par les objets suppliés, par"
"493400","496020"," les habits, les changes des habits."
"496640","500220"," C'est une mauvaise habitude aussi lorsqu'il"
"500220","502160"," s'agit d'une personne qui a le"
"502160","503960"," papillomavulose, qui a des bébés, etc. "
"505380","509880"," La transmission par la muqueuse, là, par exemple,"
"510040","514039"," 16 et 18, 31, 33, c'est des"
"514039","515679"," infections sexuellement grandes."
"516200","518580"," C'est des IST. C'est la transmission"
"518580","519960"," par la muqueuse principale. "
"521240","523580"," Elle peut se transmettre aussi lors de l "
"523580","526900","'accouchement, bien évidemment, envers une muqueuse."
"527540","528720"," C'est pour ça qu'une césarienne est"
"528720","535220"," programmée lorsqu'il y a la suspicion de"
"535220","535900"," papillomavulose."
"537040","539980"," Donc vous voyez ici que la transmission muqueuse,"
"539980","543620"," et bien sûr, on retrouve le 16, le"
"543620","544380"," 18, le 31. "
"544760","547820"," C'est des papillomavuloses à haut risque oncogènes"
"547820","551260"," qu'on considère comme des infections sexuellement transmissibles."
"558220","562660"," Alors, quelle est bien sûr la place des"
"562660","565280"," cancers à travers le monde dans les pays"
"565280","565900"," développés ?"
"565900","567520"," Vous voyez, comme pour les pays en bas"
"567520","569180"," de développement, le cancer du sein, il arrive"
"569180","572880"," en première position, suivi du cancer du cône"
"572880","574760"," de l'héteros, dans nos pays."
"576160","578380"," Alors que ça vient en cinquième position pour"
"578380","580920"," les pays développés, puisque le deuxième cancer, c "
"580920","582400","'est le cancer du côlon, après celui du"
"582400","582660"," sein. "
"583400","585020"," Dans les pays développés, il y a aussi"
"585020","586560"," le cancer du poumon, le cancer de l "
"586560","590620","'estomac, avant le cône de l'héteros."
"591360","592600"," Le cancer du cône de l'héteros, on"
"592600","594280"," le retrouve en deuxième position dans le pays."
"594640","595760"," C'est pour ça qu'on en parle"
"595760","598600"," aujourd'hui, et c'est principalement du papillomavulose. "
"608640","612580"," Donc les moyens, bien sûr, les moyens de"
"612580","617480"," prévention, c'est le dépistage, bien sûr, à"
"617480","620320"," travers le frottis-cervique vaginal."
"620480","623260"," On considère qu'il est impératif, voire très"
"623260","627020"," recommandé, que les femmes fassent un frottis-cervique"
"627020","631500"," vaginal tous les trois ans minimum, entre 25"
"631500","632280"," et 65 ans."
"632420","636840"," Ça permet de réduire considérablement les cancers du"
"636840","637700"," cône de l'héteros, ce qui est de"
"637700","638800"," les détecter bien avant. "
"646900","650600"," Donc vous avez le dépistage, et vous avez,"
"650900","653360"," bien évidemment, la vaccination."
"654080","656600"," Chez les jeunes filles de 14 ans, ou"
"656600","658420"," les jeunes femmes entre 15 et 23 ans,"
"658540","663480"," on rattrape le rattrapage vaccinal avant les premiers"
"663480","664100"," rapports sexuels."
"664860","666640"," Ça c'est important, c'est les moyens"
"666640","669600"," de prévention qui sont les plus efficaces. "
"670720","672460"," Voilà pour les papillomaviruses."
"708440","709560"," Les hépatites virales."
"717370","719850"," Alors les hépatites virales, on va voir, bien"
"719850","721470"," sûr, que c'est des virus qui vont"
"721470","724310"," être à l'origine de maladies inflammatoires du"
"724310","726310"," foie, qui sont dus à des virus, parce"
"726310","729410"," qu'il y a des hépatites qui ne"
"729410","734530"," sont pas étiologies infectieuses, des hépatites médicamenteuses, etc. "
"736480","738420"," Donc nous, ici, on va parler juste des"
"738420","740100"," hépatites, des étiologies virales."
"747560","749760"," Les hépatites virales représentent un problème de santé"
"749760","751840"," publique nationale et mondiale."
"752880","755620"," Elles engendrent, bien sûr, un impact socio-économique"
"755620","756860"," majeur. "
"757240","759500"," Et puis, elles peuvent engager le pronosticulat dans"
"759500","760380"," certaines situations."
"761800","763560"," On va voir les principaux."
"764020","766840"," Vous voyez ici, vous avez le virus de"
"766840","768940"," l'hépatite A, le virus de l'hépatite"
"768940","770660"," B, C, D, E."
"771980","772720"," D'accord ?"
"772720","775160"," On va commencer par le virus de l "
"775160","776380","'hépatite A et l'hépatite E."
"776380","780400"," Alors, bien sûr, ici, les hépatites virales appartiennent"
"780400","781560"," à des familles différentes. "
"782880","785060"," On va essayer de faire la synthèse pour"
"785060","786160"," faciliter la chose."
"786980","789180"," L'hépatite A, vous connaissez qu'il appartient"
"789180","790420"," à la famille des coronavirus B."
"790980","792880"," C'est des virus ARN qui sont nus,"
"793260","794720"," comme pour le virus de l'hépatite E"
"794720","796540"," qui, oui, appartient à la famille des calcivirus."
"797160","799700"," La transmission est orophécale principalement. "
"800240","800780"," D'accord ?"
"800780","803160"," C'est le virus qui donne une hépatite"
"803160","805480"," qui ne passe jamais à la grande-cité."
"805720","806700"," D'accord ?"
"806700","809620"," L'hépatite B, vous voyez ici que c "
"809620","810820","'est la famille des hépatite C."
"810900","812580"," C'est important, c'est un virus enveloppé,"
"812680","814400"," contrairement au virus de l'hépatite A et"
"814400","815880"," E qui sont des virus nus."
"816500","818340"," C'est des virus enveloppés qui ont une"
"818340","820820"," transmission sexuelle principalement. "
"820920","823740"," C'est une infection sexuellement transmissible, l'hépatite"
"823740","824120"," B."
"824220","827000"," Néanmoins, aussi, elle peut être transmise parfois par"
"827000","828680"," l'enterrage toxico-mal ou de la mère"
"828680","828940"," à l'enfant."
"832350","834110"," L'hépatite C appartient à la famille des"
"834110","834810"," flaviviridés."
"834810","838510"," C'est une transmission principalement parentale lors des"
"838510","839330"," gestes qui approchent. "
"841270","844910"," Donc, c'est pour ça que ça touche"
"844910","847950"," principalement toxico-mal et les sujets âgés qui"
"847950","850990"," ont lors de..."
"850990","854350"," chez les polytransfusés, chez les..."
"854350","858150"," Donc, elle est rarement sexuelle et transmise de"
"858150","859850"," la mère à l'enfant aussi, mais plus"
"859850","861670"," rarement que les autres virus qu'on peut"
"861670","862130"," se passer."
"862810","865210"," Retenez bien que c'est une transmission parentale."
"869360","869840"," Principalement. "
"869880","873140"," L'hépatite D, c'est un viroïde dépendant"
"873140","873920"," de l'hépatite P."
"874220","874820"," D'accord ?"
"874820","879780"," Donc, on retrouve principalement dans les hépatites virales"
"879780","881780"," chez le toxico-mal, avec l'hépatite P"
"882360","882840"," éliminale."
"883480","887860"," Puisque il est dérivé de l'enveloppe de"
"887860","889200"," l'hépatite A."
"894930","896390"," Alors, comme on a bien dit, le virus"
"896390","897890"," de l'hépatite A et E ne passent"
"897890","899110"," jamais à l'achronicité."
"899930","904830"," L'incubation, elle est d'une semaine à"
"905310","907990"," un mois, parfois, pour l'hépatite A."
"908570","909870"," Elle est souvent asymptomatique. "
"909970","912250"," Mais lorsque le sujet est asymptomatique, il y"
"912250","915970"," a une phase éctérique qui s'installe après"
"915970","917370"," une phase pré-éctérique."
"920680","925000"," L'hépatite P peut donner des hépatites chroniques."
"925140","927480"," Elle donne d'abord une hépatite virale aiguë,"
"927540","929200"," mais elle peut passer à l'achronicité comme"
"929200","929780"," l'hépatite C."
"932010","935450"," Pour l'histoire naturelle, vous voyez que lorsqu "
"935450","938910","'une personne est contaminée par l'hépatite P,"
"939070","943410"," dans 90% des situations, il est asymptomatique. "
"943890","945930"," C'est ça le problème de ces virus."
"946370","948510"," Dans la majorité des situations, le sujet est"
"948510","949130"," asymptomatique."
"949210","951950"," 10% seulement sont asymptomatiques avec une phase"
"951950","953570"," éctérique, pré-éctérique, etc. "
"955070","956730"," Mais biologiquement, il est actif."
"956730","959810"," Biologiquement, on peut le détecter."
"960510","962750"," Même si cliniquement, il est asymptomatique. "
"963670","965950"," Ce qui est important à souligner, c'est"
"965950","969810"," que 90% guérit spontanément."
"970410","974310"," Pour les patients directs, 90% guérit spontanément."
"974610","977790"," Et 5 seulement peuvent passer à une infection"
"977790","978430"," chronique. "
"979930","983310"," Une infection chronique peut passer éventuellement dans des"
"983310","985970"," situations à un cirrhose, soit un cancer, et"
"985970","986450"," pas tout seul."
"990550","993950"," Retenez bien que c'est une infection sexuellement"
"993950","996630"," transmissible, plus souvent asymptomatique."
"996890","999930"," 90% vont guérir spontanément. "
"1000510","1002830"," 5% seulement vont donner une infection."
"1006950","1009650"," Pour l'hépatite C, l'hépatite virale C,"
"1009830","1011670"," c'est un peu différent."
"1012330","1014950"," On reste dans la majorité des situations asymptomatiques. "
"1016090","1019050"," Et 30% seulement guérit spontanément."
"1019430","1021330"," Par rapport à l'hépatite virale B, on"
"1021330","1022790"," a 90% qui guérit."
"1024410","1024869"," 30%. "
"1024869","1026730"," Parce qu'en fait, le problème de l "
"1026730","1029349","'hépatite C, c'est que 70% passent"
"1029349","1029970"," à la chronicité."
"1030530","1031810"," Ce qui est considérable."
"1032670","1033790"," C'est là où on voit très bientôt. "
"1035490","1036950"," D'accord ?"
"1037690","1039790"," Donc, qui dit l'hépatite chronique, elle risque"
"1039790","1041930"," du cirrhose, du cancer, et pas tout seul."
"1044650","1047390"," Alors, bien sûr, il y a les circonstances"
"1047390","1049390"," diagnostiques où il y a l'augmentation des"
"1049390","1050310"," transaminases."
"1050930","1051510"," Vous allez voir ça. "
"1051690","1054270"," 10 fois la normale, voire 100 fois la"
"1054270","1054630"," normale."
"1055130","1057030"," Sans augmenter l'hépatite virale."
"1059990","1062090"," Alors, les marqueurs diagnostiques. "
"1064250","1066230"," Pour l'hépatite 1, on va rechercher les"
"1066230","1067990"," IgM et les IgG."
"1068410","1070730"," Principalement les IgM qui sont responsables de..."
"1070730","1074230"," qui sont des marqueurs de l'infection précoce."
"1074230","1075310"," D'accord ?"
"1075310","1076290"," L'infection récente. "
"1077270","1079630"," L'hépatite B, c'est plutôt l'antigène"
