"start","end","text"
"390","6150"," La constipation, les objectifs c'est reconnaître une"
"6150","11410"," constipation, reconnaître les signes d'alarme, être capable"
"11410","14210"," de mener une enquête diagnostique, et être capable"
"14210","15970"," de hiérarchiser les examens complémentaires."
"19100","22780"," La constipation est un symptôme qui correspond à"
"22780","24600"," une insatisfaction lors de la défecation."
"26720","29200"," C'est basé sur la fréquence, moins de"
"29200","32140"," 3 selles par semaine, ou bien la difficulté"
"32140","34940"," d'exonération, la difficulté d'aller à la"
"34940","36760"," selle, ou bien les deux. "
"38320","40440"," C'est un motif de constipation qui est"
"40440","43300"," très fréquent, et il faut savoir faire la"
"43300","46540"," part des choses entre la constipation primitive et"
"46540","47120"," secondaire."
"50480","54040"," C'est l'insatisfaction, que ce soit par"
"54040","56860"," le nombre de selles peu fréquente, ou par"
"56860","60200"," la nécessité d'un effort de poussée, ou"
"60200","62040"," bien par la sensation qu'on n'a"
"62040","65060"," pas été satisfait par cette selle, qui définit"
"65060","65900"," la constipation."
"70270","73170"," Deux types de constipation peuvent être déterminés. "
"74870","77050"," Il y a la constipation maladie, qui est"
"77050","79630"," la plus fréquente, isolée, ancienne."
"80590","82410"," Elle reconnaît deux mécanismes."
"82670","85450"," Soit une anomalie de progression due à une"
"85450","87430"," inertie colique, c'est-à-dire un colon"
"87430","89950"," qui ne fonctionne pas correctement, ou bien un"
"89950","91190"," colon qui est spastique. "
"92970","95590"," Deuxième mécanisme, c'est l'anomalie d'évacuation,"
"96390","97430"," c'est-à-dire la dyskésie."
"98110","101290"," On l'appelle également la constipation terminale."
"102050","105570"," Donc deux types de constipation, soit une constipation"
"105570","110990"," de progression, soit une constipation terminale due à"
"110990","112170"," un problème d'évacuation. "
"114970","117130"," Il y a également la constipation symptôme."
"118130","121850"," Celle-ci est généralement récente, ou bien d "
"121850","122990","'aggravation récente."
"122990","124450"," C'est quelqu'un qui avait une selle"
"124450","126810"," normale et qui devient constipé. "
"127990","131250"," Elle est secondaire et peut relever de, ou"
"131250","133810"," accompagner des processus pathologiques."
"136450","139430"," Pour poser le diagnostic de la constipation, il"
"139430","143610"," faut passer par l'interrogatoire, savoir poser les"
"143610","146170"," deux questions fondamentales, quand est-ce que ce"
"146170","151390"," symptôme a été ou est apparu, et comment"
"151390","152070"," il est apparu."
"153770","158990"," L'interrogatoire va rechercher les antécédents personnels, chirurgicaux,"
"159510","162410"," notamment la chirurgie proctologique, c'est-à-dire"
"162410","166630"," la chirurgie de fissures, d'hémorroïdes, les incisions"
"166630","171190"," d'abcès, de chirurgie digestive colorectale, de chirurgie"
"171190","173130"," urologique ou bien gynécologique. "
"174670","178190"," L'interrogatoire va rechercher les antécédents médicaux, la"
"178190","180990"," notion d'aliment ou de prise de médicaments,"
"181530","184490"," et bien sûr les antécédents familiaux, notamment les"
"184490","186370"," antécédents de cancer colorectal."
"189330","192010"," Il précisera également les circonstances, la date de"
"192010","195370"," survenue de ce symptôme, si la constipation est"
"195370","198310"," ancienne ou récente, les changements des conditions de"
"198310","201130"," vie et d'hygiène alimentaire, pour rechercher notamment"
"201130","206090"," une sédentarité récente, et la prise médicamenteuse, ou"
"206090","209370"," les prises médicamenteuses, notamment de l'axatif, ou"
"209370","212330"," bien d'autres médicaments, qui sont les OPSC,"
"212490","213690"," qui sont les neuroleptiques, etc."
"215710","218910"," L'interrogatoire va également rechercher les signes associés,"
"219390","222890"," notamment les douleurs abdominales, les évacuations anormales, que"
"222890","224970"," ce soit le sang ou les glaires, et"
"224970","227270"," bien sûr le retentissement sur l'état général,"
"227810","232390"," l'amaigrissement, la perte d'appétit. "
"234960","237720"," L'examen physique est important, il passe par"
"237720","240620"," l'examen abdominal, la vérification de l'état"
"240620","241740"," de la peau abdominale, s'il y a"
"241740","245520"," des cicatrices, une hernie, une éventration, et bien"
"245520","248480"," sûr l'examen de la région anopérinéale, à"
"248480","250720"," la recherche de fissures, d'abcès ou de"
"250720","251380"," prolapsus."
"252040","253920"," Donc vous voyez ici en haut à gauche"
"253920","256300"," un prolapsus rectal, en haut à droite une"
"256300","259279"," fissure anal, et en bas un prolapsus hémorragulaire."
"260000","261500"," Donc il est évident que si l'on"
"261500","263200"," a ce genre de pathologie, on ne peut"
"263200","265380"," pas aller à la selle de manière correcte,"
"265460","266960"," et ça peut être une cause de constipation. "
"269270","272090"," L'examen physique passera impérativement par le toucher"
"272090","274450"," rectal, qui va rechercher la présence d'une"
"274450","276650"," sténose anal ou rectale, s'il y a"
"276650","279170"," une contracture paradoxale du sphincter anal, on peut"
"279170","282550"," suspecter un anisme, et la présence de matière"
"282550","286190"," dans l'ampoule rectale sera en faveur d "
"286190","287290","'une dyskésie rectale."
"288070","290610"," L'examen ou le toucher rectal sera complété"
"290610","293290"," par le toucher vaginal, à la recherche de"
"293290","298430"," lésions gynécologiques qui peuvent envahir ou comprimer le"
"298430","300090"," rectum et entraîner une constipation."
"301650","304050"," Quels sont les examens complémentaires à réaliser quand"
"304050","306090"," on est face à une constipation ?"
"306090","308010"," Ces examens sont en fonction de l'orientation,"
"308950","311830"," et ils visent essentiellement à éliminer une cause"
"311830","316010"," organique, c'est-à-dire une constipation secondaire"
"316010","317350"," à une maladie d'encane. "
"318050","320910"," L'anuscopie permet d'explorer l'anus, la"
"320910","324810"," rectoscopie le rectum, et la coloscopie l'ensemble"
"324810","328390"," du cadre colique, permettant ainsi d'éliminer un"
"328390","331230"," cancer ou une sténose, et même de réaliser"
"331230","331830"," des biopsies."
"332670","336670"," En fonction de l'orientation clinique, on peut"
"336670","339670"," doser les hormones thyroïdiennes, parce qu'une hypothyroïdie"
