"start","end","text"
"1300","4620"," C'est quoi la particularité du rachisme ?"
"6480","8360"," Les postures, ça veut dire les postures."
"16400","18000"," Plutôt, mais c'est une posture."
"19080","21980"," Il est corrompu, il est paisible, il est"
"21980","22580"," corrompu. "
"24500","25580"," C'est un vital, qu'est-ce qu "
"25580","26980","'on a pour un vital ?"
"26980","28740"," Une psychose, une psychose."
"31820","34620"," Une lordo, cervical."
"36820","39600"," Très bien, elles ont un lordo cervical. "
"40560","45720"," Dorsal via, petite psychose et la lordose."
"47600","50800"," Quelle est la particularité du rachisme ?"
"50800","54140"," Le livre agit, ça veut dire."
"59100","60960"," Système nerveux central. "
"62180","64340"," Vous vous approchez, c'est ça."
"66060","68760"," Alors la particularité du rachisme, c'est l "
"68760","71020","'atteinte nerveuse."
"71460","73560"," L'atteinte nerveuse. "
"74200","76180"," Plus la racine."
"76900","80120"," Parce que vous pouvez avoir des atteintes et"
"80120","82020"," au moins superficielles."
"82520","83780"," Les lèvres superficielles. "
"83780","87920"," Mais là, si on a une attention au"
"87920","90000"," rachisme, ça va être au niveau de la"
"90000","91180"," racine."
"92320","96040"," Est-ce que vous connaissez un exemple de"
"96040","96740"," névragie ?"
"96740","100200"," Névragie, c'est la douleur liée au nerf."
"100680","101920"," Hernie discale. "
"101940","103620"," Hernie discale, c'est l'étiologie."
"105980","109660"," Le nerf sciatique, on l'appelle la sciatique."
"111220","113700"," Si j'ai une hernie discale au niveau"
"113700","115920"," du rachisme cervical, je vais avoir quoi ?"
"115920","119080"," Des douleurs. "
"120480","123660"," Le ventre supérieur, on appelle ça névragie."
"124400","127240"," Névragie, toujours, c'est la douleur liée au"
"127240","127660"," nerf."
"127940","128240"," Cervical. "
"128580","131000"," Cervical, il prend l'essence au niveau du"
"131000","131840"," rachisme cervical."
"132900","133500"," Brachial."
"133960","135860"," Névragie cervical, brachial. "
"136280","137960"," Et irradilement du bras."
"137960","139300"," D'accord ?"
"139560","140200"," Très bien."
"140860","141420"," On commence. "
"149860","151160"," Petit rappel."
"151700","153740"," Le rachisme est constitué de trois segments."
"154300","156740"," Le rachisme cervical avec 5 vertèbres. "
"157520","160340"," Dorsal ou thoracique, 12 vertèbres."
"160660","162700"," Et le lombaire avec 5 vertèbres."
"163660","166740"," Les trois segments sont reliés par des charnières. "
"166740","171540"," Et il y a un agencement qui confère"
"171540","173240"," au rachisme une grande mobilité."
"174720","176840"," Vous reconnaissez ici ?"
"177320","178200"," Une vertèbre."
"179220","180240"," D'accord ?"
"180240","181180"," Ça c'est ?"
"181180","182960"," Le corps vertébral. "
"183260","183900"," D'accord ?"
"184320","186700"," On appelle ça le mur antérieur."
"187000","189760"," Il est constitué par le corps vertébral et"
"189760","194160"," le disque intervertébral."
"194160","197300"," Le mur postérieur est constitué par quoi ?"
"198940","199520"," Les lames. "
"201520","202260"," Les ?"
"202260","203760"," Ça c'est ?"
"203760","204540"," Les apophyses postérieures."
"204560","210700"," Les apophyses articulaires postérieures qui font, celle d "
"210700","212220","'en bas et celle d'en haut, font"
"212220","213400"," une articulation."
"213960","218460"," On appelle ça l'articulation des apophyses postérieures. "
"218740","219240"," D'accord ?"
"219240","221480"," Il y a les épineux et il y"
"221480","223460"," a ce trou de conjugaison."
"224080","228040"," Alors, au niveau du talon vertébral, il y"
"228040","231900"," a la moine entourée du mur vert."
"233060","236780"," Et, de part et d'autre, vont partir"
"236780","239320"," les racines nerveuses. "
"239820","240740"," D'accord ?"
"240740","243000"," Les racines nerveuses sortent où ?"
"243000","246300"," Elles ne sortent plus du trou de conjugaison."
"246660","247320"," D'accord ?"
"247320","250000"," Et là, il y a un ganglion qui"
"250000","251240"," est hyper agile."
"251240","254340"," Donc, s'il y a un ganglion, la"
"254340","255800"," douleur est très intense. "
"256899","260500"," Elles vont se diviser en deux petites racines."
"261220","265700"," La racine postérieure qui va en postérieure, elle"
"265700","266780"," est motrice."
"267500","269120"," Et celle en dernière, sensitive. "
"270740","274140"," Et cette racine, elle va passer à côté"
"274140","276540"," du disque intervertebral."
"277320","279400"," Alors, dedans, on comprend."
"280480","282500"," Votre camarade a parlé tout à l'heure"
"282500","283180"," de l'érignie. "
"283260","286740"," C'est quoi l'érignie distincte ?"
"286740","287360"," C'est ?"
"287360","288580"," C'est l'atteinte d'une âme."
"288720","289700"," D'écravement ?"
"289700","290100"," D'une âme."
"291080","291720"," Plutôt ?"
"291720","292960"," Ce n'est pas un écravement. "
"293180","294100"," C'est plutôt ?"
"294100","294780"," Épanchement."
"295220","295900"," C'est l'épanchement."
"299240","300280"," Disparaître ?"
"300280","301540"," Rupture du disque. "
"302180","303300"," Rupture du disque."
"303300","306240"," Alors, finalement, le disque, il est fait comment"
"306240","306560"," ?"
"307000","310020"," Il a un nanofibreux périphérique."
"310840","313720"," Mais à l'intérieur, le disque où il"
"313720","315560"," est, il est plus peu. "
"315980","317200"," D'accord ?"
"317200","320240"," C'est l'intérieur du disque qui va"
"320240","322080"," sortir."
"322580","323860"," Il va faire érignie."
"324620","325620"," D'accord ?"
"325620","326660"," Ce n'est pas un choc. "
"326660","330400"," Le rachis cervical, c'est soit un frein."
"330580","331520"," C'est le cou de lapin."
"331760","332760"," Soit un arrêt. "
"333120","333760"," D'accord ?"
"335080","337860"," Il faut que ça soit très violent pour"
"337860","340740"," que j'ai une érignie."
"341100","342440"," Surtout le jeune âge."
"343000","347420"," Après, quand on est grand, c'est là"
"347420","349460"," où il va y avoir la sécheresse de"
"349460","350000"," ce disque. "
"350160","352500"," Parce qu'il est très très hydraté quand"
"352500","353980"," on est petit, quand on est jeune."
"354600","357060"," Et il va, au fil des années, il"
"357060","357940"," va s'assécher."
"358440","359420"," D'accord ?"
"359420","363520"," Et ça va être plus facile, vers l "
"363520","366040","'âge de 40-50 ans, d'avoir une"
"366040","367340"," érignie disque. "
"367500","369420"," Ce n'est pas comme chez le jeune."
"369760","370720"," D'accord ?"
"370720","373080"," Vous imaginez, si j'ai une érignie ici,"
"373620","376760"," il va y avoir le conflit avec le"
"376760","377300"," rachis."
"377780","378180"," Pareil. "
"378900","380060"," Pourquoi j'ai dit tout à l'heure"
"380060","381960"," que c'est une articulation ?"
"381960","384280"," C'est là où je peux avoir les"
"384280","385140"," signes de l'arthrose."
"385920","389260"," Ce disque, ce trou de conjugaison, si j "
"389260","392840","'ai une arthrose, il va y avoir..."
"392840","394500"," Vous vous rappelez, il y a les signes."
"394820","395560"," Qu'est-ce qu'il va y avoir"
"395560","396940"," de l'arthrose ?"
"396940","397900"," La condensation. "
"399680","401680"," Les surfaces, elles vont s'agrandir."
"402060","403800"," Il va y avoir une condensation."
"404580","405540"," Et les ostéophytes. "
"405560","410240"," Les ostéophytes, c'est comme les épines."
"410240","412260"," Des fleurs."
"413040","417220"," Vous imaginez la racine qui était très..."
"417220","418760"," C'est-à-dire, l'espace était très"
"418760","419380"," spacieux. "
"419820","423400"," Il va se retrouver à l'étroite."
"423800","424400"," D'accord ?"
"424400","427420"," Et ça, c'est les écologies qui peuvent"
"427420","429320"," causer une émerge."
"429600","430660"," D'accord ?"
"430660","433200"," Les trous de conjugaison sont en latéral. "
"433320","434060"," De part et d'autre."
"434240","437000"," C'est pourquoi qu'au cours de la"
"437000","441240"," préparation, pratiquement tous les étudiants font des positions"
"441240","442040"," prononcées."
"442580","443800"," D'accord ?"
"443800","445860"," Ils ne maintiennent pas leur position dans l "
"445860","447320","'évidence normale. "
"448100","450980"," Ils vont avoir toujours mal au niveau du"
"450980","451540"," rachis."
"451880","454680"," Ils peuvent avoir mal au niveau des doigts."
"454840","456420"," Des bras. "
"456880","457440"," D'accord ?"
"461760","462480"," Alors..."
"462480","465440"," La douleur au niveau du rachis s'appelle..."
"467440","468160"," Rachiandi."
"469440","470220"," Rachis cervical."
"471220","472500"," On parle de..."
"472500","473860"," Cervicalgi. "
"474760","475680"," Dorsal."
"476060","476980"," Dorsalgi."
"477480","480580"," Et lombargi au niveau du rachis lombaire. "
"481740","485320"," Quand j'ai une douleur du rachis avec"
"485320","487180"," une atteinte radiculaire..."
"487180","490180"," Radiculaire, c'est par rapport à la racine"
"490180","491020"," du nerf."
"491600","492780"," D'accord ?"
"492780","495200"," Je parle du névralgi."
"495720","496840"," D'accord ?"
"497640","498240"," Alors..."
"498240","500620"," Le névralgi qui est le rachis..."
"500620","502500"," Au niveau du rachis cervical, c'est le"
"502500","503920"," névralgi cervical..."
"503920","504520"," Brachial. "
"504780","505380"," Brachial."
"505920","506420"," Je..."
"506420","507840"," Elle prend naissance..."
"508580","511299"," Je peux avoir un corticole au matin."
"511799","512440"," D'accord ?"
"512440","514799"," Puis après, je vais sentir..."
"514799","516480"," Découvrir un joint. "
"516900","520860"," Je vais sentir un muscle qui est contracté."
"521039","521720"," Une douleur."
"521980","522380"," D'accord ?"
"522380","523680"," Ça vient tout doucement. "
"523820","524540"," Là, ça va venir."
"525380","528000"," D'accord ?"
"528000","529140"," Le rachis dorsal."
"529500","534400"," On appelle ça le névralgi intercostal. "
