"start","end","text"
"1420","8390"," La diarrhée aiguë Les objectifs pédagogiques sont argumentés"
"8390","11390"," les principales hypothèses diagnostiques, justifiées les examens"
"11390","15410"," complémentaires, argumentées l'attitude thérapeutique et planifiée, le"
"15410","16270"," suivi de l'évolution."
"17550","19570"," Une diarrhée aiguë est définie comme étant une"
"19570","22270"," modification brutale de la fréquence, de l'abondance"
"22270","23710"," et ou de la consistance des selles."
"24890","26870"," On parle d'une fréquence élevée, quand il"
"26870","28210"," y a plus de 3 selles par jour,"
"29090","30950"," le tout évoluant bien sûr depuis moins de"
"30950","31430"," 3 semaines. "
"33190","35550"," On distingue deux types de diarrhées."
"36870","40970"," La diarrhée sécrétoire, dite aussi colériforme hydroélectrolytique."
"41750","45370"," Les germes seront responsables d'un syndrome colériforme. "
"46490","48630"," Et ils vont adhérer en fait à la"
"48630","51350"," muqueuse, mais ne la pénètrent pas, ne la"
"51350","51830"," laissent pas."
"52190","54270"," Ils vont agir par sécrétion d'une toxine"
"54270","57690"," antéropathogène, qui agit au niveau de l'intestin"
"57690","61010"," et provoque une hyper-sécrétion hydroélectrolytique."
"61910","65470"," Les selles seront aqueuses, abondantes et le risque"
"65470","67210"," sera la déshydratation. "
"68350","70550"," Deuxième type de diarrhées aiguës, ce sont les"
"70550","74770"," diarrhées antérons invasives ou gysanthériques, où il y"
"74770","76870"," aura une lésion de la muqueuse, puisque les"
"76870","79790"," germes vont adhérer à cette muqueuse et donc"
"79790","80870"," entraîner des lésions."
"82390","85470"," Et donc les selles seront glérosanglantes, avec des"
"85470","86910"," débris muqueux."
"86910","91170"," Et les principales complications risquent d'être l "
"91170","95030","'hémorragie, la perforation, la colectasie, qui est une"
"95030","98450"," dilatation du côlon, et le sepsis. "
"102800","105120"," Le diagnostic positif est extrêmement simple."
"106780","110440"," Les diarrhées se manifesteront par des selles qui"
"110440","111980"," sont anormalement aqueuses."
"111980","115400"," Il est important, bien sûr, de noter si"
"115400","118600"," ces selles contiennent des débris, du sang ou"
"118600","119420"," bien de la glace. "
"121960","124460"," Le diagnostic différentiel est la fausse diarrhée de"
"124460","126560"," constipation, c'est-à-dire qu'après plusieurs"
"126560","129660"," jours de constipation, une débâcle peut mimer une"
"129660","130380"," diarrhée aiguë."
"134440","136260"," Quel est le diagnostic de gravité ?"
"136260","137380"," C'est essentiellement la déshydratation."
"138600","143020"," Il faut toujours évaluer le retentissement, la tachycardie,"
"143160","143520"," l'hypotension. "
