"start","end","text"
"1800","4400"," Chers étudiants, j'ai le plaisir de vous"
"4400","7620"," présenter ce cours intitulé l'entretien psychiatrique."
"8140","10820"," Je suis Imen Adeli, professeur de psychiatrie."
"16270","19230"," Les objectifs de ce cours sont connaître les"
"19230","22950"," spécificités d'un examen psychiatrique, citer les objectifs"
"22950","26570"," d'un examen psychiatrique, connaître les différents domaines"
"26570","30830"," de la sémiologie psychiatrique, conduire un entretien psychiatrique,"
"31830","34950"," et enfin organiser l'observation psychiatrique sur le"
"34950","35870"," dossier médical. "
"39800","42840"," Les circonstances de l'examen psychiatrique sont différentes"
"42840","44600"," par rapport aux autres spécialités."
"45680","48480"," En effet, la demande de soins peut émaner"
"48480","50980"," soit du sujet lui-même, à l'occasion"
"50980","54120"," d'une souffrance psychique, une angoisse ou autre."
"55220","57660"," Elle peut émaner aussi de l'entourage, à"
"57660","60020"," la suite de conflits familiaux ou au cas"
"60020","60860"," d'arrêt de traitement. "
"62260","64519"," On peut aussi se retrouver en situation d "
"64519","68220","'expertise médico-légale ou expertise demandée par un"
"68220","70760"," employeur ou un organisme d'assurance."
"73410","77870"," La consultation psychiatrique nécessite un endroit calme en"
"77870","81570"," prévoyant un temps suffisant, environ une heure, pour"
"81570","82610"," un premier entretien."
"88280","91420"," Si d'autres soignants sont présents, il faut"
"91420","95640"," en expliquer les raisons, préciser leurs fonctions et"
"95640","97560"," s'assurer que cela ne gêne pas le"
"97560","97840"," patient. "
"98940","101340"," La prise de note est souvent utile vu"
"101340","102720"," la longueur de l'entretien."
"104020","107320"," Le médecin doit penser à se présenter clairement"
"107320","108760"," comme étant médecin."
"109980","113080"," Il fera preuve d'empathie, de respect et"
"113080","114640"," de chaleur envers son malade. "
"115780","118920"," Une confiance mutuelle est nécessaire permettant par la"
"118920","120400"," suite une alliance thérapeutique."
"126930","130210"," Lors du recueil des informations, il faut d "
"130210","132590","'abord laisser un ton d'écoute neutre et"
"132590","136350"," bienveillant permettant au patient d'exprimer librement ses"
"136350","136750"," plaintes."
"136750","139190"," Et au médecin de l'observer. "
"140530","144470"," On peut relancer avec des questions ouvertes."
"144970","147430"," Dans un second temps, on pose des questions"
"147430","149830"," fermées à la recherche d'un complément d "
"149830","150430","'informations."
"152130","155030"," Si possible, il faut d'abord voir le"
"155030","158290"," patient seul, puis voir l'entourage, et cela"
"158290","160510"," dans le respect du secret médical. "
"164760","169040"," La rencontre avec le malade permet d'observer"
"169040","172180"," le patient et d'entendre ses plaintes, de"
"172180","174120"," rechercher des signes et des symptômes."
"175560","177860"," La rencontre avec l'entourage est importante."
"179300","182220"," Elle complète l'examen du patient et permet"
"182220","185360"," d'évaluer la qualité de l'entourage, soutenant"
"185360","187360"," ou déstabilisant pour le malade. "
"188680","191400"," À la fin, il faut apporter un feed "
"191400","194100","-back au patient ou à sa famille concernant"
"194100","199380"," son état, ses symptômes, le diagnostic et autres."
"200360","202560"," Quoiqu'il n'ait pas toujours possible de"
"202560","206260"," donner une réponse définitive dès le premier entretien"
"206260","206580"," psychiatrique."
"213100","216760"," En effet, le plus important est de reconnaître"
"216760","220120"," les plaintes et les difficultés du patient et"
"220120","221920"," d'expliquer ce que vous pensez qu'il"
"221920","224720"," faut faire dans l'immédiat concernant les rendez "
"224720","228480","-vous, la possibilité d'hospitalisation, les bilans cliniques"
"228480","230420"," ou paracliniques à demander, etc. "
"232580","236600"," Dans la sémiologie psychiatrique adulte, on va étudier"
"236600","241620"," la présentation, le comportement, les conduites sociales, les"
"241620","246460"," conduites instinctuelles, la pensée, les perceptions, le langage,"
"246460","250980"," les fonctions supérieures, l'état émotionnel, l'humeur"
"250980","254420"," et l'anxiété, et l'insight et jugement."
"258810","261330"," Les aspects de la présentation permettent d'orienter"
"261330","262170"," vers un diagnostic."
"263350","266830"," Dans l'aspect extérieur, on évalue l'hygiène"
