"start","end","text"
"1350","4810"," Nous continuons les cours de la sémiologie rénale"
"4810","9990"," et nous allons aborder aujourd'hui les classifications"
"9990","11870"," des maladies rénales."
"14920","16960"," Comme j'ai dû vous l'avoir dit"
"16960","20740"," lors des premiers cours de la sémiologie, il"
"20740","23000"," faut savoir que les signes et les symptômes"
"23000","28560"," des maladies rénales sont pauvres et que cette"
"28560","34760"," pathologie donne peu de signes cliniques fonctionnels mais"
"34760","37980"," également peu de signes physiques."
"39200","41800"," Donc si on regarde globalement de point de"
"41800","46520"," vue sémiologique, quels sont les symptômes qui peuvent"
"46520","49900"," nous orienter vers une maladie rénale ?"
"49900","53720"," En chef de file, nous avons les oedèmes,"
"54100","59940"," les syndromes odémateurs, nous avons l'hypertension artérielle"
"59940","63200"," qui est un signe qui ne doit pas"
"63200","65940"," être pris à la légère, notamment chez les"
"65940","66600"," sujets jeunes. "
"67740","72800"," Après, nous avons l'anomalie des sédiments urinaires"
"72800","77080"," avec la présence d'une protéinerie et ou"
"77080","81340"," une ématurie sous réserve que l'examen clinique"
"81340","85860"," ait été complet et a été complété par"
"85860","88100"," une bandelette urinaire."
"88100","92640"," Si on attend l'installation d'une altération"
"92640","95320"," ou d'un affaiblissement de l'état général"
"95320","99960"," ou une anomalie de mixtion à type d "
"99960","103220","'oligurie, c'est qu'on arrive un peu"
"103220","106280"," en retard et à ce stade-là, la"
"106280","111780"," maladie rénale est trop évoluée."
"113160","118640"," Ainsi, en se basant sur les signes cliniques"
"118640","124600"," précédents, nous allons essayer en rassemblant le peu"
"124600","129880"," de signes cliniques dont nous disposons pour avoir"
"129880","133580"," un diagnostic syndromique en néphrologie. "
"133580","139060"," Ce diagnostic syndromique est à la base de"
"139060","143180"," l'orientation de prise en charge et de"
"143180","143660"," traitement."
"144740","148360"," Ainsi, si on va essayer de se répéter,"
"148900","150520"," qu'est-ce que nous avons comme signes"
"150520","151000"," cliniques?"
"151300","155680"," Nous avons les oedèmes, l'hypertension artérielle et"
"155680","158100"," l'anomalie des sédiments urinaires."
"158100","163680"," En rassemblant ces signes cliniques, nous allons essayer"
