"start","end","text"
"1150","4030"," Chers étudiants et étudiantes, bonjour."
"5130","8050"," Nous allons introduire l'étude de l'anatomie"
"8050","9930"," 4, la partie thermologie."
"10750","12910"," Nous abordons plusieurs chapitres. "
"13310","15149"," Tout d'abord, l'étude de l'anatomie"
"15149","15810"," de l'oblique."
"16950","19310"," Puis, nous allons par la suite traiter les"
"19310","20570"," annexes du globe oculaire."
"21650","23430"," Dans un premier temps, les paupières. "
"23850","26850"," Puis, le système d'acryma, la conjonctive."
"26850","30150"," Et enfin, les muscles oculomoteurs."
"31570","40120"," L'orbite osseuse sont deux cavités quadrangulaires. "
"40820","45100"," Elles contiennent les bulles oculaires, les muscles oculomoteurs,"
"45380","48360"," les nerfs, la graisse orbitaire et les vaisseaux"
"48360","48820"," sanguins."
"49020","50920"," Ils sont situés de chaque côté de la"
"50920","53780"," racine nez, entre les os du crâne et"
"53780","55000"," ceux de la face."
"55760","59140"," Chaque orbite est constituée par l'ensemble des"
"59140","61600"," os de voisinage, qui sont en nombre de"
"61600","61860"," sept. "
"62960","65800"," L'os finida, la petite et la grande"
"65800","66180"," aile."
"66600","67800"," L'os malaire."
"68200","69100"," L'os éthmoidal. "
"69260","69880"," L'os frontal."
"70060","70860"," L'os palatin."
"71540","72000"," L'os maxillaire. "
"73020","75320"," Et l'os lacrymal."
"77340","81180"," Sur cette coupe, vous voyez ici, l'orbite"
"81180","84860"," se forme de bois."
"85080","88200"," Il filait vers l'arrière au niveau de"
"88200","90200"," l'apexe orbitaire du crâne atlantique. "
"91520","95520"," Il se situe de chaque côté de la"
"95520","99200"," racine du nez, entre les os du crâne"
"99200","102040"," et les os de la face."
"102040","109190"," Alors, pourquoi l'étude de l'orbite ?"
"109190","112530"," D'abord, sur le plan anatomique, des rapports"
"112530","116230"," qui contiennent avec la force cérébrale antérieure."
"117330","121050"," Les ménages, les sinuses frontales en haut, les"
"121050","122150"," sinuses maxillaires en bas. "
"122850","125850"," Et les sinuses finidales en arrière, puis le"
"125850","126990"," labyrinthe éthmoidal."
"126990","129870"," Sur le plan physiologique, le rôle de l "
"129870","133250","'orbite, donc de protection du globe oculaire et"
"133250","133870"," leurs annexes."
"134890","137930"," Les ménages lacrymales et l'expression mimique. "
"139310","143750"," En plus, plusieurs pathologies qui peuvent intéresser l "
"143750","146610","'orbite, à savoir les pathologies inférieures, la pathologie"
"146610","149590"," inflammatoire, tumoral et traumatique."
"152060","154560"," L'anatomie descriptive de l'orbite."
"154560","161790"," L'orbite a la forme triangulaire à la"
"161790","165510"," coupe, à base antérieure et à sommet postérieur. "
"168390","171250"," La base ici, conscrite par le robot orbital"
"171250","173670"," en avant, est présente à décrire quatre parois."
"175010","177290"," La paroi supérieure, au bas de l'orbite."
"177990","180350"," La paroi inférieure, au plancher de l'orbite. "
"181130","182170"," La paroi interne."
"182870","184090"," La paroi externe."
"184090","186230"," Ces parois sont séparées par quatre angles. "
"186750","188810"," Donc le support interne et le support externe."
"189250","190950"," Un ferroi interne et un ferroi externe."
"191490","192950"," Et quatre robots orbitaires. "
"196210","197910"," Ici, vous voyez l'orbite."
"198330","200850"," Donc le plancher, le plancher de l'orbite."
"202010","202830"," La paroi inférieure. "
"203790","205990"," La paroi supérieure, au lotoir de l'orbite."
"206210","207250"," La paroi externe."
"207890","210790"," Et la paroi interne, sur le schéma de"
"210790","211790"," l'orbite droit. "
"213650","216390"," L'orientation et la monturation de l'orbite"
"216390","218150"," dans le sens antérieur ou extérieur."
"220200","222440"," La profondeur de l'orbite est de 40"
"222440","223680"," mm en moyenne."
"225180","227660"," L'orifice antérieur ou la base de l "
"227660","227940","'orbite. "
"228020","229540"," L'orifice antérieur ou la base de l "
"229540","229820","'orbite."
"230540","233560"," Mesure 40 mm de large."
"234200","236160"," Pour 35 mm de haute. "
"236700","238960"," La distance qui sépare les deux orbites au"
"238960","240300"," espace intercontact."
"240300","243560"," Est de 25 à 33 mm chez l "
"243560","243900","'adulte."
"244180","245080"," Le volume de la cavité. "
"245640","249900"," Estimée en moyenne entre 26 et 28 cm."
"252690","255130"," Sur cette coupe, vous voyez ici qu'on"
"255130","256670"," appelle l'espace intercontact."
"257850","260930"," Elle est 25 mm chez l'adulte. "
"261530","263250"," Et l'angle qui fait la paroi interne."
"263950","265410"," Avec la paroi externe."
"265830","267330"," Est environ 40 degrés. "
"271120","273240"," Par quoi est construite l'orbite?"
"273240","275880"," D'abord, la paroi orbitaire."
"276120","278440"," Ils sont recouverts en dedans par une couche"
"278440","280140"," fibreuse."
"281640","283200"," Une couche fibreuse. "
"283380","286900"," Elle recouvre le périus des orbes orbitaires."
"287300","288660"," Au niveau de l'apexe orbitaire."
"289440","293440"," Ion avec la dure mer qui recouvre le"
"293440","293900"," roti. "
"296140","297660"," La paroi supérieure."
"299280","301280"," Il est la forme d'un triangle à"
"301280","302160"," base antérieure."
"302160","305080"," Cette paroi est constituée derrière, en avant. "
"305400","308400"," Par la petite aile de l'os sphénidale."
"309500","312200"," La portion horizontale de l'os frontal."
"313060","315220"," Ces deux os sont séparés par la structure"
"315220","316940"," sphénique frontale. "
"318420","322140"," Dans sa partie, sa portion antérieure frontale."
"322220","323900"," Le toit devient plus convexe."
"324100","326060"," Et présente deux éléments anatomiques. "
"326280","329800"," En dehors, la force de la grande et"
"329800","330280"," de celui."
"330280","332700"," La force de la grande et de celui."
"332860","335160"," Iront dedans la faussette anculaire. "
"336340","337980"," L'épaisseur de toit de l'orbite est"
"337980","339160"," d'environ un millimètre."
