"start","end","text"
"1420","4960"," Bonjour, dans l'enchaînement de l'étude de"
"4960","7560"," l'appareil monducateur, nous allons étudier le système"
"7560","13060"," dentaire qui est la pièce maîtresse de l "
"13060","14160","'appareil monducateur."
"14620","16000"," Pourquoi système dentaire ?"
"16000","17780"," Parce que la dent est constituée par un"
"17780","22100"," certain nombre de tissus dont le rôle principal"
"22100","26000"," est de constituer la dent mais aussi de"
"26000","29900"," la soutenir pour qu'elle puisse effectuer son"
"29900","31439"," rôle de la mastication."
"34360","41320"," Il convient de définir deux notions avant de"
"41320","42640"," continuer notre cours. "
"43380","45120"," Il faut faire la distinction en ce qui"
"45120","48340"," est denture et dentition."
"48340","54220"," Denture, c'est la formule dentaire, c'est"
"54220","57900"," les dents qui sont sur l'arcade maxillaire"
"57900","63500"," et mandibulaire, qui sont différentes selon l'âge"
"63500","66600"," de l'individu, qui seront des dents de"
"66600","71000"," lait chez l'enfant de bas âge, des"
"71000","76060"," dents permanentes chez le sujet adulte et aussi"
"76060","79960"," une denture mixte chez l'enfant âgé qui"
"79960","83140"," commence à avoir des dents permanentes sur l "
"83140","87700","'arcade et aussi de perdre ses dents temporaires"
"87700","88760"," qui sont les dents de lait."
"89420","92980"," La dentition, c'est l'action par laquelle"
"92980","97280"," les dents se mettent sur l'arcade dentaire. "
"99650","103150"," La formule dentaire est différente qu'il s "
"103150","105730","'agisse d'un adulte ou d'un enfant."
"106610","111990"," La nomenclature des dents va se faire selon"
"111990","117610"," quatre cadrans, 1, 2, 3, 4, dont l "
"117610","121550","'orientation est dirigée dans le sens de rotation"
"121550","122890"," des aiguilles de la menthe."
"123650","126830"," Ainsi, on nommerait les dents par leur numéro"
"126830","130850"," 11, 12, 13, 14, 15, 16, 17, 18"
"130850","136010"," pour les dents supérieures droites, donc les dents"
"136010","145210"," maxillaires supérieures droites et aussi par leur numéro. "
"145510","148050"," Ainsi, on va dire qu'une dent a"
"148050","150550"," un numéro de cadran, qui est le premier"
"150550","153230"," chiffre, le 1, le 2, le 3 ou"
"153230","156190"," le 4 et le deuxième numéro, c'est"
"156190","158970"," le numéro de la dent par rapport à"
"158970","160330"," son emplacement sur l'arcade."
"160970","164450"," Ainsi, une incisive centrale a un numéro 1,"
"164810","168370"," la latérale a le numéro 2, la canine"
"168370","171310"," a le numéro 3, ainsi de suite, jusqu "
"171310","172990","'à ce qu'on termine par la dent"
"172990","174410"," sagesse qui a le numéro 8."
"175090","178410"," Donc, quand on va dire une dent 22,"
"178970","180850"," ça veut dire que c'est une dent"
"180850","185550"," incisive latérale supérieure gauche."
"186410","189530"," Si on dit par exemple 45, c'est"
"189530","192390"," une deuxième prémolaire, c'est-à-dire la"
"192390","196070"," cinquième dent, c'est une deuxième prémolaire du"
"196070","199580"," bas à droite. "
"200760","206420"," Donc, les cadrans sont orientés dans le sens"
"206420","209820"," de rotation de l'aiguille de la montre."
"210260","213520"," Chez l'enfant, on passera sur des numéros"
"213520","214920"," supplémentaires de cadrans."
"215440","220160"," Ainsi, on nommera le premier cadran 5, 6,"
"220640","221960"," 7 et 8."
"222100","225000"," Et du moment que l'enfant n'a"
"225000","228480"," que 5 dents sur l'arcade, il a"
"228480","234380"," deux incisives, une centrale et une latérale, une"
"234380","238480"," canine, une prémolaire et une petite molaire. "
"239280","239860"," Donc, il a cinq."
"240160","242820"," Au fur et à mesure, apparaissent la dent"
"242820","244580"," de 6 ans qui est la sixième dent"
"244580","247160"," et il commence à perdre les dents de"
"247160","248760"," l'époque pour qu'il soit remplacé par"
"248760","250780"," les dents permanentes."
"252540","256300"," Il convient de rappeler le calendrier ou bien"
"256300","259060"," la chronologie d'éruption dentaire qui est l "
"259060","264440","'action de la dentition qu'en pédiatrie est"
"264440","270780"," utile pour pouvoir établir l'âge chronologique et"
"270780","273640"," l'âge physiologique de l'enfant pour voir"
"273640","274880"," s'il n'y a pas de retard,"
"275260","276620"," s'il n'y a pas des carences,"
"276760","277440"," s'il n'y a pas de retard"
"277440","278420"," d'éruption dentaire. "
"278920","283620"," Pour cela, on pourrait dire que, grosso modo"
"283620","286340"," et en moyenne, l'apparition des incisives centrales"
"286340","288480"," va se faire entre le sixième et le"
"288480","289300"," douzième mois."
"290140","291740"," Si les dents n'apparaissent pas de là,"
"292200","294740"," on devrait s'inquiéter parce qu'il y"
"294740","296800"," a des situations pathologiques où il n'y"
"296800","297960"," a pas de dents, où il y a"
"297960","299420"," des manques de dents."
"300140","304200"," Ce qu'on appelle les anodensis, anodensis, A"
"304200","305040"," privatif. "
"306200","307880"," Puisqu'il y a un O, pour qu "
"307880","308720","'il y ait de la liaison, on ne"
"308720","312180"," peut pas dire anodensis mais anodensis."
"312640","316520"," Ou bien, il n'y a pas de"
"316520","320800"," dents, on peut appeler ça oligodensis ou bien"
"320800","324460"," polydensis s'il y a des dents surnuméraires."
"324640","324860"," D'accord?"
"325340","328840"," Donc, chaque dent a un temps d'apparition"
"328840","329740"," et d'éruption. "
"330380","332180"," Si jamais elle se retarde, il faut se"
"332180","333080"," poser la question."
"333940","338460"," Donc, en pédiatrie, ces tableaux sont très importants"
"338460","341480"," pour voir l'âge de l'enfant."
"342100","344060"," Elles peuvent être associées à d'autres tablatures"
"344060","346320"," qui sont en rapport avec les noyaux d "
"346320","351000","'oxyfication, soit des poignées, soit du numérus, du"
"351000","352820"," fémur pour voir est-ce que l'âge"
"352820","355560"," chronologique de l'enfant correspond bien à l "
"355560","356960","'âge physiologique de cet enfant. "
"358560","361980"," Sur le plan embryologique, la dent est composée"
"361980","365040"," de plusieurs types de cellules."
"365420","369020"," Des cellules qui sont d'origine ectoblastique mais"
"369020","371180"," aussi d'autres cellules qui résultent de l "
"371180","375680","'induction du tissu mesenchymatoque qui dépend du mesoblast."
"375920","379520"," Cette richesse tissulaire est à l'origine de"
"379520","383480"," l'apparition de certains tumeurs au niveau de"
"383480","389140"," la mandibule qui sont très polymorphes et très"
"389140","390280"," variés. "
"397090","402270"," Pour étudier proprement cette dent, il convient de"
"402270","406270"," faire la séparation et la distinction entre la"
"406270","411350"," dent, le tissu dentaire réellement et proprement dit,"
"411790","414650"," mais aussi de son environnement et les tissus"
"414650","417930"," de soutien dentaire qu'on appelle le parodente,"
"418490","420810"," le tissu autour le parodente, c'est-à "
"420810","422490","-dire autour de la dent."
"424370","430450"," Donc la dent est constituée essentiellement de trois"
"430450","435550"," parties, notamment la couronne, le collet et la"
"435550","435990"," racine."
"436610","442930"," La couronne est constituée par l'émail qui"
"442930","444910"," apparaît sur la radio comme étant un tissu"
"444910","446770"," très blanc, ça veut dire qu'il est"
"446770","449330"," très minéralisé, très riche en calcium. "
"450130","451870"," C'est un organe qui est très dur"
"451870","456730"," qui permet de préserver la dent contre les"
"456730","459770"," attaques microbiennes et notamment l'apparition de caries."
"460590","461630"," Au-dessous de la dent, il y a"
"461630","464910"," la dentine qui est un tissu minéralisé qui"
"464910","467630"," est dense, mais moins dense que l'émail."
"470190","473410"," Il apparaît grisâtre au niveau de la radiologie. "
"480100","481540"," Au-delà de l'émail et de la"
"481540","485120"," dentine, on a un tissu pulpaire qui est"
"485120","486880"," un tissu qui est vascularisé qui apparaît au"
"486880","489080"," niveau de la radio comme étant un tissu"
"489080","492160"," radioclair qui peut minéraliser ou qui n'est"
"492160","493440"," pas minéralisé du tout."
"494640","496640"," Donc la couronne est constituée de trois types"
"496640","499820"," de tissus, l'émail, la dentine et la"
"499820","500200"," pulpe."
"501580","504620"," Au niveau du collet, on a disparition de"
"504620","506840"," l'émail et apparition du sémant. "
"507160","510100"," Ainsi, les racines de la dent sont composées"
"510100","512740"," de trois types de tissus, c'est le"
"512740","515220"," sémant, à l'intérieur du sémant il y"
"515220","517419"," a la dentine qui se continue avec la"
"517419","521700"," dentine de la couronne et le canal pulpaire"
"521700","525240"," qui se continue en bas avec les apex,"
"525920","527160"," c'est-à-dire le sommet de la"
"527160","531040"," racine qui reçoit les vaisseaux sanguins qui proviennent"
"531040","535220"," des branches, des artères qui passent dans la"
"535220","537440"," mandibule ou dans le maxillaire."
"538640","542300"," Ces canaux pulpaires se conflètent au niveau de"
"542300","545120"," la chambre pulpaire qui est à l'intérieur"
"545120","546780"," de la couronne."
"547620","551460"," Remarquez qu'au niveau de la région du"
"551460","555580"," collet, il y a une faiblesse, il y"
"555580","560220"," a disparition de l'émail et commencement du"
"560220","560640"," sémant. "
"561140","563200"," Au niveau de ces zones, c'est une"
"563200","566740"," zone de faiblesse, les caries peuvent pénétrer rapidement"
"566740","569180"," à l'intérieur de la dentine et attaquer"
"569180","571340"," rapidement la pulpe, donc c'est des zones"
