"start","end","text"
"710","3970"," Toujours dans la partie ORL de l'anatomie"
"3970","6250"," 4, on va traiter aujourd'hui l'anatomie"
"6250","8110"," de la loge parotidienne."
"8390","11010"," La loge parotidienne est une région de transition"
"11010","13590"," entre l'œil et le cou."
"14710","16570"," C'est une région qui doit son nom"
"16570","20050"," à la présence de la glande parotide, qui"
"20050","25000"," est une glande salivaire principale, et elle constitue"
"25000","28060"," aussi une zone de passage de certains éléments"
"28060","32680"," nerveux et vasculaires très importants, et plus précisément"
"32680","37960"," le nerf facial qui a une importance capitale"
"37960","42200"," et qui rend très difficile la chirurgie au"
"42200","42940"," niveau de cette région. "
"43760","47420"," La fréquence des tumeurs au niveau de cette"
"47420","52800"," glande parotide fait que le traficien ORL est"
"52800","56200"," fréquemment confronté à cette chirurgie, à cette région,"
"56920","59020"," et à la dissection du nerf facial."
"59340","61880"," Donc la connaissance de l'anatomie à ce"
"61880","65420"," niveau là est très importante pour éviter les"
"65420","66340"," paralysies faciales."
"66800","68860"," Alors quelles sont les limites de la loge"
"68860","69760"," parotidienne ?"
"69760","72240"," C'est un quadrilatère qui est situé à"
"72240","74380"," la partie supérieure et latérale du cou. "
"75620","78720"," C'est une dépression lorsqu'on la regarde"
"78720","79320"," de l'extérieur."
"79400","81700"," C'est une dépression cutanée qui est située"
"81700","86620"," entre la branche montante de la mandibule en"
"86620","86980"," avant."
"87540","91780"," En arrière c'est la mastoïde avec le"
"91780","95480"," quart supérieur du muscle sternoclédo-mastoïdien. "
"97040","102220"," En haut le conduit auditif externe et la"
"102220","105940"," partie postérieure de l'os zygomatique."
"106420","107720"," Là c'est la limite supérieure."
"108640","111080"," En bas c'est une ligne horizontale qui"
"111080","113880"," passe par l'angle mandibulaire. "
"114800","117980"," Et en profondeur c'est l'apophyse sur"
"117980","120200"," le vide avec les espaces qu'on verra"
"120200","120900"," par la suite."
"121400","123560"," L'espace latéraux paralgien."
"123560","129500"," Alors la loge parotidienne, dans le plan 3D,"
"129660","132340"," a une forme prismatique triangle. "
"132920","141660"," On lui décrit une paroi externe, une paroi"
"141660","147480"," antérieure et une paroi postéromédiale."
"147480","152480"," Avec trois bords, un bord antérieur, un bord"
"152480","156360"," interne et un bord postérieur."
"156700","161000"," Et deux extrémités supérieures et inférieures. "
"161880","164600"," Et en même temps la glande présente des"
"164600","165240"," prolongements."
"165940","167640"," C'est à dire que la glande parotide"
"167640","170680"," au sein de la loge parotidienne va présenter"
"170680","173720"," des prolongements qui vont dépasser la loge parotidienne."
"173720","178920"," Par exemple un prolongement antérieur, un prolongement interne,"
"179180","182840"," un prolongement postérieur et d'autres prolongements supérieurs"
"182840","183940"," et inférieurs. "
"184540","185520"," On les verra par la suite."
"186320","188320"," Alors quelles sont les parois de la loge"
"188320","189560"," parotidienne ?"
"189560","192600"," D'abord il y a une paroi externe"
"192600","198440"," qui est constituée par l'aponébrose cervicale superficielle."
"200600","205240"," Recouverte par le système musculo-aponébrotique superficiel qu "
"205240","206320","'on appelle le SMAS. "
"207700","210220"," Recouverte aussi par le tissu subversif titané et"
"210220","210820"," par la peau."
"211940","214220"," Là c'est la paroi externe."
"214940","217360"," C'est la zone à travers laquelle on"
"217360","221540"," peut palper la glande parotide et explorer la"
"221540","223080"," région parotidienne uniquement. "
"223080","227820"," Donc la partie externe et superficielle de la"
"227820","231060"," loge parotidienne reste accessible à la palpation."
"232820","235140"," C'est un clinique où toucher au doigt"
"235140","237380"," nous permet d'explorer la loge ici pour"
"237380","241120"," rechercher des nodules, des tumeurs, des douleurs, d "
"241120","242940","'inflammations locales, etc."
"242940","245720"," Là c'est la paroi externe qui est"
"245720","250620"," tendue entre le masséter en avant et le"
"250620","252720"," sternocleux de mastibule en arrière. "
"253740","259140"," La paroi antérieure est ostéomusculaire."
"260500","261780"," C'est à dire qu'elle est constituée"
"261780","264360"," par deux deux rondes dents."
"266080","270580"," Le masséter qui est recouvert par son appendymose. "
"270980","272340"," Le muscle masséter."
"273500","276540"," La branche montante de la mandibule."
"279310","282410"," Le nerf sphénomaxillaire. "
"283290","285270"," En parlant pas le nerf mais le ligament."
"285590","287730"," Le ligament sphénomaxillaire."
"288090","290290"," Donc on a le muscle masséter, la branche"
"290290","291590"," montante de la mandibule. "
"292710","294330"," Le ligament sphénomaxillaire."
"294330","297750"," Et le muscle péréglédien interne."
"298650","302150"," Le muscle péréglédien interne et le muscle masséter"
"302150","303930"," sont des muscles masticateurs. "
"304790","308230"," Ces quatre éléments forment la paroi antérieure."
"309150","315130"," La paroi antérieure de la loge paroxydienne."
"315810","318570"," Cette partie là, le muscle péréglédien, c'est"
"318570","319750"," partie de notre région. "
"320310","322710"," Ce qu'on appelle la force péréglomaxillaire."
"322710","327270"," Le muscle péréglédien appartient exactement à la loge"
"327270","328830"," péréglomaxillaire."
"328830","331970"," La paropocéromédiale est dite en deux parties. "
"333070","337390"," Un segment externe et un segment interne."
"337790","342210"," Le segment externe est formé par le muscle"
"342210","345490"," sternoclédome massélien, en dehors."
"346850","350450"," Et le muscle digastrique en dedans, c'est "
"350450","352750","-à-dire le ventre postérieur du muscle digastrique. "
