"start","end","text"
"1670","6610"," Toujours dans la partie ORL de l'anatomie"
"6610","9870"," 4, on va traiter aujourd'hui l'anatomie"
"9870","11310"," des sinus paranasaux."
"13580","16660"," Les sinus paranasaux sont des cavités creusées dans"
"16660","19180"," certains os de la face, et affichées par"
"19180","22880"," une nucleus de type respiratoire annexé aux fosses"
"22880","23240"," nasales."
"24380","28960"," Chaque sinus communique avec les fosses nasales par"
"28960","29980"," un ostillon. "
"31259","33200"," On appelle ça un ostillon de drainage."
"34060","38840"," Les sinus paranasaux ont des rapports très importants,"
"38880","41840"," surtout avec les orbites et la base du"
"41840","42280"," crâne."
"43040","44000"," On verra ça en détail. "
"45200","47040"," La pathologie qui touche les sinus est surtout"
"47040","49360"," la pathologie inflammatoire, qu'elle soit d'origine"
"49360","52820"," thermo-inflammatoire ou surtout d'origine infectieuse, qu "
"52820","55120","'on appelle les sinusites, ou bien parfois la"
"55120","56220"," pathologie tumorale."
"57160","59800"," Quels sont les objectifs pédagogiques de ce cours"
"59800","60460"," ?"
"60460","63160"," C'est connaître les différents sinus paranasaux, c "
"63160","65900","'est-à-dire leur localisation dans quels os,"
"67220","69620"," leur drainage et leurs rapports."
"73410","75890"," Le premier sinus qu'on va traiter, c "
"75890","78150","'est le sinus ethmoudin, ce qu'on appelle"
"78150","79570"," le labyrinthe ethmoudin. "
"80230","81490"," Pourquoi on l'appelle labyrinthe ?"
"81490","83590"," Parce qu'il est constitué de plusieurs cellules,"
"83590","86290"," d'une façon un petit peu complexe, ça"
"86290","89010"," ressemble à un vrai labyrinthe, où il est"
"89010","90720"," difficile de s'orienter."
"91870","94090"," C'est le premier sinus à se développer,"
"94450","96550"," en général, il est présent dès la naissance,"
"96810","99070"," c'est pour ça que les sinusites de"
"99070","101570"," l'enfant, bien des nourrissons, c'est surtout"
"101570","103090"," des ethmoudites."
"103670","106670"," Des ethmoudites qui peuvent parfois être associées avec"
"106670","111190"," des complications, surtout orthodontologiques ou complications crânio "
"111190","111810","-céphaliques. "
"111810","116290"," C'est un sinus qui est paire, symétrique,"
"116770","120170"," il est creusé dans l'os ethmoudin, comme"
"120170","125270"," son nom l'indique, et exactement, on voit"
"125270","129490"," ici sur le schéma, en vert, ça c "
"129490","132970","'est l'os ethmoudin, qui est constitué de"
"132970","137410"," trois parties, des masses latérales, où est creusé"
"137410","142170"," le sinus ethmoudin, au milieu, c'est la"
"142170","146310"," lame perpendiculaire, qui se continue en endocranien par"
"146310","149730"," la populice cristal-gallie, ces deux structures sont"
"149730","152450"," reliées par les lames criblées, de l'ethmouide,"
"153250","157030"," où passent les filets des nerfs olfactifs, à"
"157030","157590"," ce niveau-là."
"158110","161130"," Donc les masses latérales, où est creusé le"
"161130","164650"," sinus ethmoudal, c'est, comme on le voit"
"164650","166730"," ici, c'est à ce niveau-là, donc"
"166730","170870"," ça c'est une courbe coronale, crânio-faciale,"
"171590","174410"," qui montre l'ethmouide, avec l'endocrane vers"
"174410","176610"," le haut, et l'orbite en dehors."
"177330","182110"," Alors, chaque sinus ethmoudal est composé d'un"
"182110","185630"," ensemble de cellules, en général 6 AD cellules"
"185630","189710"," par sinus, ce sont des cavités polygonales, et"
"189710","191970"," chaque cellule est drainée par un ostillon. "
"194270","198230"," On distingue deux groupes de cellules qui sont"
"198230","202070"," séparées par la racine croisonnante du corneau moyen,"
"202910","204450"," comme vous le voyez ici, ça c'est"
"204450","209230"," le corneau moyen, ça c'est la croison"
"209230","216060"," nasale, le plancher des fosses nasales, la paroi"
"216060","218300"," externe des fosses nasales, comme on l'a"
"218300","221320"," vu dans le cours précédent, c'est la"
"221320","224040"," paroi externe, à ce niveau là, en bas,"
"224240","227680"," on a le corneau inférieur, au dessus de"
"227680","229800"," lui, il y a le corneau moyen, et"
"229800","231660"," après c'est le corneau supérieur."
"232680","235240"," Comme on l'a dit, chaque corneau présente"
"236020","238760"," un espace en dedans de lui, qui est"
"238760","239960"," ce qu'on appelle le méa."
"240480","241940"," Donc cet espace ici, c'est le méa"
"241940","246860"," inférieur, aucun sinus ne se draine au niveau"
"246860","249820"," du méa inférieur, c'est uniquement la voie"
"249820","252300"," lacrymale qui doit se drainer à ce niveau"
"252300","252580"," là. "
"252580","256399"," Donc le corneau moyen, avec le méa moyen,"
"257140","261720"," on se draine le sinus frontal, le sinus"
"261720","264700"," éthymidal et le sinus maxillaire."
"265200","269760"," Le méa supérieur draine le sinus éthymidal dans"
"269760","271640"," sa partie postérieure."
