"start","end","text"
"1220","3400"," Chers étudiants et étudiantes, bonjour."
"3540","6880"," Aujourd'hui, on va étudier le chapitre sur"
"6880","11260"," l'exploration des anomalies du métabolisme des lipoprotéines,"
"11360","13520"," ce qu'on appelle les dyslipoprotéinémies."
"14080","16640"," Comme vous le savez, les lipoprotéines sont des"
"16640","22980"," particules lipidiques, principalement le triglycérides et le cholestérol"
"22980","24840"," qui sont associés à des protéines. "
"24840","28480"," Ces protéines qui permettent leur solubilisation et leur"
"28480","31400"," transport en milieu à queue sanguin."
"32260","35880"," L'exploration de ce métabolisme fait partie en"
"35880","37980"," fait des tests de routine dans un laboratoire"
"37980","38840"," de biologie médicale."
"39720","40140"," Pourquoi ?"
"40140","43320"," Parce que tout simplement, les situations cliniques qui"
"43320","46220"," incitent à la prescription de cette exploration sont"
"46220","51740"," multiples et variées, comme on va le découvrir"
"51740","53030"," dans la suite de ce chapitre. "
"53830","57170"," Il est également actuellement clairement établi que toute"
"57170","61350"," élévation du cholestérol et des triglycérides expose à"
"61350","65330"," plus ou moins long terme un risque cardiovasculaire,"
"65850","69490"," puisque leur élévation est intimement liée à un"
"69490","76370"," processus physiopathogénique qui est l'athérosclérose et qui"
"76370","79290"," est le principal facteur qui expose à toutes"
"79290","80710"," les maladies cardiovasculaires."
"84280","87060"," En introduction à ce cours, on va commencer"
"87060","89500"," par quelques notions de base, à commencer par"
"89500","90780"," la définition des lipides."
"90920","93000"," Ce sont des molécules qui sont insolubles, qui"
"93000","95440"," englobent plusieurs classes de molécules, comme on l "
"95440","97660","'a déjà vu dans le cours de biochimie"
"97660","98900"," structurelle l'année dernière. "
"99220","101440"," On peut citer les acides gras, les glycérides,"
"101580","103800"," les phospholipides, les stéroïdes."
"104360","108620"," Ce sont des biomolécules essentielles au fonctionnement de"
"108620","111560"," notre organisme, puisqu'ils vont y jouer plusieurs"
"111560","115200"," rôles biologiques, à commencer par le stockage de"
"115200","117980"," l'énergie, des fonctions structurales et un rôle"
"117980","119800"," d'isolation thermique et mécanique."
"120260","124080"," Ce sont également les précurseurs et surtout le"
"124080","128020"," cholestérol d'hormones de reproduction et toutes les"
"128020","130620"," hormones de structure stéroïde. "
"131300","133820"," Et enfin, ils vont également jouer un rôle"
"133820","136080"," de signalisation cellulaire comme médiateur."
"139510","142430"," Les lipides sont des constituants amphiphiles, c'est "
"142430","144370","-à-dire qu'ils comportent une partie polaire"
"144370","145190"," et une partie apolaire."
"146050","148890"," La partie polaire est réduite, c'est pourquoi"
"148890","152270"," ces molécules s'organisent en complexes plurimoléculaires au"
"152270","156950"," contact du milieu aqueux, qui peut être le"
"156950","159090"," plasma, la lymphe et le milieu interstitiel. "
"159650","162590"," Au niveau plasmatique, on va retrouver surtout des"
"162590","165730"," acides gras, mais à une très faible proportion"
"165730","168470"," et qui est surtout lié à l'albumine."
"168470","171830"," On va également trouver les triglycérides, le cholestérol"
"171830","174630"," libre et le cholestérol estérifié à des acides"
"174630","174850"," gras."
"175550","180130"," Et les phospholipides, ces quatre types de molécules"
"180130","183650"," sont liées à des apoprotéines pour former des"
"183650","186710"," particules solubles et qu'on appelle les lipoprotéines. "
"187110","190110"," Le rôle principal des lipoprotéines, c'est d "
"190110","192610","'approvisionner toutes les cellules de l'organisme en"
"192610","194530"," acides gras et en cholestérol."
"195470","198110"," Et il faut savoir que les lipides peuvent"
"198110","202310"," avoir une double origine, exogènes puisqu'ils sont"
"202310","206450"," apportés par l'alimentation, ou endogènes via la"
"206450","210870"," synthèse de nouveaux, surtout au niveau hépatique et"
"210870","211930"," au niveau intestinal."
"212650","217210"," Les lipoprotéines vont subir un remontage intravasculaire permanent"
"217210","219810"," sous le contrôle de plusieurs enzymes, qui va"
"219810","225130"," entraîner leur modification et également un changement dans"
"225130","227250"," leurs fonctions biologiques. "
"229420","231400"," Comme je l'ai évoqué en tout début"
"231400","234360"," de ce cours, l'intérêt en pathologie cardiovasculaire"
"234360","237820"," des lipoprotéines est certain, puisqu'ils sont incriminés"
"237820","239980"," dans la pathogénie de la pterosclérose."
"240520","244040"," Et on peut demander les tests de bilan"
"244040","247000"," lipidique dans pas mal de situations pour le"
"247000","250520"," dépistage, le diagnostic, le suivi après introduction, soit"
"250520","253040"," de traitement, soit de mesures hygiéno-diététiques."
"253740","258040"," Et le cholestérol DLDL, c'est-à-dire"
"258040","264760"," le cholestérol transporté par des protéines de basse"
"264760","269500"," densité, est pris actuellement comme cible pour corriger"
"269500","273020"," ces troubles de métabolisme lipidique en fonction des"
"273020","275600"," situations et en fonction du nombre de facteurs"
"275600","276880"," de risque cardiovasculaire. "
"276880","279420"," Il est également établi qu'il n'est"
"279420","283300"," plus justifié de demander une exploration du métabolisme"
"283300","286460"," des lipoprotéines au-delà de 80 ans, puisque"
"286460","290120"," ça n'a plus d'intérêt de le"
"290120","292880"," faire chez cette catégorie de patients."
"294700","298040"," Quels sont les objectifs pédagogiques pour ce chapitre?"
"298620","301640"," Au terme de ce chapitre, vous devez être"
"301640","304980"," capable de décrire la structure globale des lipoprotéines,"
"304980","308700"," énumérer les différentes classes des lipoprotéines et de"
"308700","312160"," quoi elles sont constituées, citer leur classement en"
"312160","314440"," ce qui concerne la densité, la taille et"
"314440","318660"," la richesse en lipides et en apolipoprotéines, citer"
"318660","322140"," les principales apolipoprotéines qui entrent dans la constitution"
"322140","325900"," de ces lipoprotéines et leur rôle, énumérer les"
"325900","329420"," principales étapes et les lieux du métabolisme des"
"329420","334760"," lipoprotéines, déterminer les conditions préanalytiques et les paramètres"
"334760","338120"," biochimiques reliés à l'exploration de ce métabolisme,"
"338660","342240"," savoir calculer la valeur du LDL cholestérol à"
"342240","346480"," partir de la formule de Friedwald et enfin"
"346480","350340"," donner la classification ou les classifications des principales"
"350340","354440"," dyslipoprotéines émises et leur sémiologie biochimique."
"355750","358450"," Au sommaire de ce chapitre, on va commencer"
"358450","361470"," par l'étude de la structure, la composition"
"361470","363970"," et la classification des lipoprotéines. "
"364250","367130"," On va faire un aperçu sur leur métabolisme"
"367130","370190"," avant d'aborder leur exploration au laboratoire de"
"370190","373610"," biochimie clinique et on terminera donc par la"
"373610","376070"," sémiologie biochimique des dyslipidémies."
"377670","379970"," Dans une première partie, on commence par l "
"379970","381930","'étude de la structure, de la composition et"
"381930","385350"," la classification des lipoprotéines et tout d'abord"
"385350","386270"," la définition."
"386510","389690"," Les lipoprotéines sont définies comme des particules sphériques"
"389690","392690"," de taille et de composition variables qui sont"
"392690","395350"," constituées d'une partie lipidique qui se trouve"
"395350","398090"," au cœur de la particule et une partie"
"398090","400930"," protéique à la périphérie de la partie. "
"402490","404890"," Du point de vue structural, comme ici sur"
"404890","408030"," ce schéma de droite, on va distinguer deux"
"408030","411310"," parties, la partie interne qui correspond au cœur"
"411310","414890"," de la lipoprotéine et qui est constituée principalement"
"414890","420170"," de cholestérol estérifié et de triglycérides, ici en"
"420170","422990"," bleu, et la partie externe qui est faite"
"422990","428350"," d'une monocouche de lipides hydrophiles qui correspond"
"428350","432550"," surtout au cholestérol avec sa partie hydrophile, l "
"432550","436710","'hydroxyle en position 1 et l'acide, les"
"436710","442670"," phospholipides avec leur groupement d'acide phosphorique qui"
"442670","444590"," est mis en contact avec le milieu aqueux"
"444590","449370"," en plus des apoprotéines qui assurent la stabilité"
"449370","453790"," et la solubilisation de ce complexe macromoléculaire."
"455230","458370"," La classification des lipoprotéines peut se faire de"
"458370","460450"," différentes manières selon leur origine."
"460570","462850"," On peut les classer en lipoprotéines d'origine"
"462850","466370"," exogène, par exemple les chylomicrons et les autres,"
"466470","468910"," les lipoprotéines d'origine endogène. "
"469330","471550"," On peut le faire en se basant sur"
"471550","474450"," leur composition chimique, de quoi ils sont constitués"
"474450","478670"," et la proportion des différents constituants et surtout"
"478670","481710"," on peut les classer selon leur densité qui"
"481710","485130"," est déterminée par l'ultracentrifugation, cette technique qui"
"485130","487990"," est basée sur la vitesse de sédimentation des"
"487990","492630"," macromolécules et qui va permettre de les séparer"
"492630","498790"," puisque plus la molécule a une masse moléculaire"
"498790","501470"," importante, plus elle va sédimenter plus rapidement."
"502090","504130"," C'est une technique qui a été inventée"
"504130","509230"," par le chimiste suédois Theodor Svetberg en 1923"
"509230","511789"," qui lui a valu le prix Nobel de"
"511789","515590"," chimie en 1926 et c'est son nom"
