"start","end","text"
"1800","4040"," Chers étudiants et étudiantes, bonjour."
"4340","9460"," Nous arrivons au dernier chapitre de cette partie"
"9460","12500"," de biochimie clinique qui va nous permettre d "
"12500","17200","'étudier les marqueurs biochimiques des syndromes coronariens aigus"
"17200","19420"," et de l'insuffisance cardiaque."
"22040","25980"," Pour commencer, les maladies cardiovasculaires ont été longtemps"
"25980","28460"," considérées comme les maladies des pays riches, mais"
"28460","29980"," ce n'est plus le cas puisqu'on"
"29980","31259"," va les voir de plus en plus dans"
"31259","33240"," les pays émergents. "
"33240","35160"," Ce sont des pathologies de plus en plus"
"35160","35760"," fréquentes."
"36520","39500"," Ils représentent la première cause de mortalité dans"
"39500","40000"," le monde."
"40680","44160"," Les pathologies coronariennes vont représenter 5 pour 1"
"44160","48980"," 000 habitants et avec les syndromes coronariens aigus,"
"49100","51180"," on a plus de 7,3 millions de"
"51180","53960"," décès dans le monde, soit 12%. "
"53960","56500"," Et avec l'insuffisance cardiaque, plus de 10"
"56500","59540"," millions de cas en Europe pour 900 millions"
"59540","62000"," d'habitants, ce qui constitue un problème majeur"
"62000","63000"," de santé publique."
"63000","70040"," En 2020, déjà, c'est la première cause"
"70040","72620"," de mortalité dans les pays émergents et depuis"
"72620","77040"," 2016, c'est le cas également pour le"
"77040","80020"," Maroc et on considère, d'après l'OMS,"
"80160","85800"," que d'ici 2030, 23,6 millions d "
"85800","88000","'individus mourront de maladies cardiovasculaires."
"91440","95960"," Pour étudier ces différentes maladies cardiovasculaires, parfois on"
"95960","98580"," peut utiliser des molécules spécifiques qu'on va"
"98580","100120"," appeler marqueurs cardiaques. "
"100600","102380"," Mais comment définir ces marqueurs ?"
"102380","105400"," Ce sont des enzymes ou des protéines intracellulaires"
"105400","108800"," qui sont libérées dans la circulation sanguine lors"
"108800","110520"," d'une souffrance cardiaque."
"110620","112060"," C'est l'exemple de l'infarctus du"
"112060","115780"," myocarde ou des hormones peptidiques qui sont libérées"
"115780","118200"," par les cellules myocardiques en cas de surcharge"
"118200","118900"," volimique."
"119480","121340"," C'est l'exemple de l'insuffisance cardiaque. "
"121340","126960"," Le dosage de ces différentes molécules ou biomarqueurs"
"126960","131620"," est souvent fait au niveau du sang et"
"131620","133500"," le plus souvent en urgence."
"134440","137280"," Il revêt un intérêt surtout dans le diagnostic"
"137280","140820"," et la détermination pronostique de ces syndromes."
"140820","144760"," Mais il faut savoir qu'il ne faut"
"144760","149460"," jamais dissocier le résultat d'un biomarqueur biologique"
"149460","154180"," du reste du bilan radiologique et des examens"
"154180","157320"," cliniques ou des examens complémentaires. "
"157940","162820"," Les marqueurs cardiaques ont connu de nombreuses évolutions"
"162820","164260"," lors de ces dernières années."
"164880","166460"," Ils sont de plus en plus adaptés à"
"166460","169400"," l'urgence puisqu'il s'agit de sauver"
"169400","170420"," des vies humaines."
"172200","176240"," Quels sont les objectifs pédagogiques de ce cours"
"176240","176480"," ?"
"176480","179600"," C'est de savoir définir l'infarctus du"
"179600","183480"," myocarde selon les deux dernières définitions universelles de"
"183480","185200"," 2007 et de 2012. "
"186080","189880"," Savoir définir les différentes étapes du syndrome biochimique"
"189880","194880"," de dyschémie aboutissant au lagage des marqueurs cardiovasculaires"
"194880","196540"," dans la circulation sanguine."
"196540","200860"," Savoir définir un marqueur cardiaque idéal des syndromes"
"200860","202020"," coronariens aigus."
"202700","206920"," Savoir énumérer les paramètres, surtout les codes standards"
"206920","210280"," à explorer lors des syndromes coronariens aigus et"
"210280","211720"," de l'insuffisance cardiaque. "
"212680","215820"," Savoir préciser la cinétique des troponines dans la"
"215820","216790"," souffrance myocardique."
"216790","221350"," Citer les principales caractéristiques des troponines, à savoir"
"221350","225990"," leur spécificité du muscle cardiaque, leurs indications de"
"225990","229290"," dosage avec les conditions préanalytiques, les limites de"
"229290","231990"," dosage et les variations physiopathologiques."
"232930","235850"," Préciser les stratégies de prise en charge des"
"235850","240150"," syndromes coronariens aigus incluant des paramètres biochimiques. "
"240870","244570"," Citer les différences entre le BNP et le"
"244570","247790"," NP-PRO-BNP du point de vue activité,"
"248010","254170"," demi-vie, conditions préanalytiques, dosage et concentration physiologique."
"254170","261029"," Et enfin, énumérer les variations physiopathologiques du BNP"
"261029","263510"," et du NP-PRO-BNP."
"265310","267770"," Au sommaire de ce chapitre, après un rappel"
"267770","271250"," sur la physiopathologie des syndromes coronariens aigus et"
"271250","274710"," de l'insuffisance cardiaque, on va étudier de"
"274710","279050"," manière spécifique les principaux marqueurs biochimiques utilisés dans"
"279050","281130"," l'exploration de ces deux pathologies. "
"282130","286270"," Nous commençons par les syndromes coronariens aigus avec"
"286270","288830"," quelques rappels sur la physiopathologie."
"289170","291450"," Pour tout complément d'information, je vous envoie"
"291450","295710"," à votre cours de pathologie cardiovasculaire, également de"
"295710","298110"," stémiologie cardiovasculaire."
"298110","302150"," Les syndromes coronariens aigus sont des manifestations aigues"
"302150","305350"," et graves qui vont se manifester parfois par"
"305350","308710"," des douleurs thoraciques et des modifications à l "
"308710","312230","'électrocardiogramme qui peuvent parfois être absentes. "
"313170","316950"," Les syndromes coronariens aigus peuvent être un encore"
"316950","319470"," instable ou un infarctus du myocarde."
"320230","323370"," Ils vont évoluer vers l'isthémie myocardique qui"
"323370","326510"," fait le lien entre la maladie coronaire et"
"326510","327990"," une dysfonction myocardique."
"328590","331070"," Parfois, ils évoluent vers la mort subite. "
"331870","334290"," Et l'étiologie la plus fréquente à l "
"334290","337850","'origine des syndromes coronariens aigus est l'athérosclérose."
"339190","344510"," L'athérosclérose est une maladie qui correspond à"
"344510","348750"," un processus inflammatoire qui est caractérisé par la"
"348750","351470"," formation de plaques d'athéron dans l'intima"
"351470","354530"," de la paroi artérielle et qui va entraîner"
"354530","358050"," un rétrécissement progressif de la lumière interne des"
"358050","361850"," artères et par la suite une réduction du"
"361850","362850"," débit sanguin."
"363710","366210"," C'est un processus qui est long, qui"
"366210","369030"," peut débuter tout dans la vie et rester"
"369030","372990"," longtemps asymptomatique et qui va se révéler un"
"372990","375530"," jour sous forme d'infarctus de myocarde, d "
"375530","379610","'accident vasculaire cérébral, d'encore ou de mort"
"379610","381870"," subite vers l'âge de 50 à 60"
"381870","384450"," ans, même un peu avant puisqu'on voit"
"384450","387190"," de plus en plus des cas survenus à"
"387190","390150"," un âge jeune à partir de 40 ans. "
"391460","396040"," C'est un phénomène multifactoriel complexe faisant intervenir"
"396040","400840"," des mécanismes divers tels qu'une accumulation des"
"400840","405620"," lipides, une activation plaquettaire, une prolifération des cellules"
"405620","411900"," musculaires lisses, le processus inflammatoire, l'activation des"
"411900","414060"," macrophages et il y en a d'autres."
"414060","420340"," En effet, plusieurs facteurs favorisent la survenue de"
"420340","423560"," la maladie atherosclérose et que l'on va"
"423560","425660"," regrouper sous le nom du facteur de risque"
"425660","426660"," cardiovasculaire."
"427440","430240"," On peut avoir un régime riche en viande"
"430240","432340"," et en graisse animale, un âge au-delà"
"432340","434940"," maintenant de 40 ans chez l'homme et"
"434940","436680"," au-delà de 50 ans chez la femme,"
"436860","439180"," la présence de tabagisme, le manque d'activité"
"439180","442520"," physique ou de sésantarité, un diabète sucré, l "
"442520","447220","'hypertension artérielle, les dyslipoprothéines émises, une prédisposition"
"447220","451960"," génétique, parfois même la présence de maladies cardiovasculaires"
"451960","456360"," chez des proches, la présence également de stress,"
"456560","459080"," tout ça avec un degré de présence plus"
"459080","462020"," ou moins important va contribuer au développement de"
"462020","464180"," plaques d'athérome et qui a pour conséquence"
"464180","467760"," la réduction voire l'oblitération complète des artères"
"467760","471140"," ou des vaisseaux et qui est responsable de"
"471140","473560"," dommages tissulaires, soit au niveau cardiaque, soit au"
"473560","477420"," niveau cérébral et qui peut parfois entraîner soit"
"477420","481920"," des séquelles, soit la mort de l'individu. "
"483560","486300"," Lorsqu'il y a eu formation de plaques"
"486300","489300"," d'athérome au niveau de la paroi vasculaire,"
"489460","492420"," il peut y avoir une lésion sous forme"
