"start","end","text"
"200","2540"," Bonjour à toutes et à tous, et bienvenue"
"2540","4940"," à cette capsule de travaux pratiques de l "
"4940","7740","'Université de Chimie destinée aux étudiants de deuxième"
"7740","8600"," année de médecine."
"9440","14420"," Cette capsule est consacrée au dosage du cholestérol,"
"14920","17760"," HCl élevé total, ainsi que au dosage des"
"17760","18420"," glucides."
"19440","22160"," Pourquoi dose-t-on ces éléments ?"
"22160","26220"," C'est pour affiner le diagnostic de ces"
"26220","30440"," éléments, ainsi que pour prévenir les maladies carcinogènes. "
"32220","35700"," La première manipulation qu'on va faire est"
"35700","38000"," le dosage du cholestérol HCl."
"38980","41040"," Cette manipulation est divisée en deux parties."
"41660","47400"," La première concerne la précipitation des lipoprotéines LDL,"
"47860","50280"," VLDL et des thylomucrons. "
"50280","55520"," Pour ceci, on va prélever 0,2 mL"
"55520","59280"," du réactif de précipitation, qui est le premier"
"59280","63879"," élément du col, et 0,2 mL du"
"63879","64400"," sérum."
"65680","82100"," Je prélève"
"82100","90540"," 0,2 mL"
"90540","121700"," du réactif de précipitation et 0 "
"121700","124640",",2 mL du sérum à dose."
"137570","146150"," Ensuite, je vais vortexer pendant 10 secondes et"
"157900","160860"," je laisse incuber pendant 5 minutes. "
"164250","168110"," Après, on passe à la phase de centrifugation"
"168110","169690"," pendant 10 minutes."
"170430","180240"," La centrifugeuse tourne par 3000 tours par"
"180240","180480"," minute."
"184590","188770"," Après 10 minutes, on récupère notre dépendant. "
"198120","200720"," Comme vous voyez ici, on a le surnageant"
"200720","204480"," qui contient le cholestérol HCl et un précipité"
"204480","204840"," au fond."
"205880","210120"," Le surnageant sera dosé par le réactif du"
"210120","210720"," cholestérol."
"211540","216320"," Ce dosage se fait selon une procédure enzymatique. "
"234660","244390"," Je pulte 2 mL du réactif de cholestérol"
"244390","259060"," deux fois."
"263950","266270"," A chaque fois, je pulte 1 mL."
"279370","281770"," Là, on a 2 mL du réactif de"
"281770","282430"," cholestérol. "
"283090","291310"," Ensuite, je vais pulter 20 mL du surnageant."
"310140","315140"," Et j'ajoute le réactif de cholestérol."
"327460","330060"," Je vortexe pendant 10 secondes. "
"343040","345660"," Puis, je laisse incuber pendant 10 minutes."
"350090","354870"," Après 10 minutes, on mesure l'absorbance de"
"354870","359570"," cette solution avec un spectromètre à 500 nanomètres."
"362860","366760"," Le calcul de la concentration du cholestérol HCl"
"366760","368820"," se fait par la forme suivante. "
"369640","372260"," La concentration du cholestérol HCl est égale à"
"372260","373900"," la concentration de l'éthanol."
"375920","377820"," Mais l'éthanol ne multiplie pas la concentration"
"377820","378780"," de l'éthanol."
"379120","381160"," Le tout multiplié par 2, qui est le"
"381160","382220"," facteur 2, diminue. "
"382760","385120"," Dans la deuxième manipulation, on va faire le"
"385120","386680"," dosage du cholestérol total."
"386680","389200"," Ceci se fait de la même manière que"
"389200","391320"," le dosage du cholestérol HCl."
"392180","395800"," Pour cela, on va dupter 2 mL du"
"395800","397560"," réactif de cholestérol. "
"402660","407960"," Dans un premier temps, je pulte 1 mL."
"413710","415930"," Et je rajoute 1 mL."
"440280","446840"," Ensuite, je rajoute 20 mL de sérum. "
"451300","482850"," Je vortex"
"482850","484070"," 10 secondes."
"496000","498860"," Puis, je laisse incuber pendant 10 minutes."
"500480","503840"," Après 10 minutes, on mesure l'absorbance de"
"503840","506720"," cette solution à l'aide d'un spectromètre"
"506720","509540"," à une longueur d'angle de 500 nanomètres. "
"511039","515900"," La concentration du cholestérol total est calculée par"
"515900","516580"," cette formule."
"517200","521659"," La concentration est égale à la quantité d "
"521659","525140","'échantillons suivant la quantité d'éthanol multipliée par"
"525140","527260"," la concentration de l'éthanol."
"527840","535260"," Pour les variations pathologiques, une hypocholestérolémie traduit une"
"535260","538450"," insuffisance des patents cellulaires, ou bien une hyperthermémie. "
"538450","543730"," Alors qu'une hypercholestérolémie peut être héréditaire, ou"
"543730","545850"," bien acquise, si le cas, du diabète, ou"
"545850","547670"," bien d'un syndrome néphrotique."
"548230","550410"," Dans la troisième manipulation, on va faire le"
"550410","551870"," dosage des triglycérides."
"552610","555270"," Ce dosage est basé sur la méthode de"
"555270","559290"," Fossatini-Princeux, couplée à une réaction de Trigner. "
"560470","563670"," Pour cela, on va prélever 2 mL du"
"563670","566030"," réactif des triglycérides."
"567410","583950"," Je vais"
"583950","588150"," dupter 1 mL à chaque fois."
"588410","589830"," Je vais refaire une deuxième fois. "
"602800","607480"," Et je rajoute 20 mL du sérum à"
"607480","607820"," doser."
"633150","636550"," Je vortex pendant 10 secondes."
"648710","651150"," Et je vais s'occuper pendant 10 minutes. "
"651150","656690"," Après 10 minutes, on mesure l'absorbance de"
"656690","660710"," ces solutions, à l'aide de ce spectrophotomètre,"
"661030","663070"," à une ordre de 500 nm."
"663930","668210"," La concentration des triglycérides est calculée selon la"
"668210","669050"," courbe suivante."
"670330","673350"," La concentration est égale à la densité optique"
"673350","675990"," d'échantillon sur la densité optique d'étalat,"
"676250","679290"," multipliée par la concentration de l'étalat. "
"680130","685370"," Pour les variations chronologiques, une hypotriglycéridémie traduit une"
"685370","691230"," insuffisance hématopoïdinaire, alors qu'une hypertriglycéridémie peut être"
"691230","694390"," héréditaire, ou bien acquise sur le cas du"
"694390","696730"," diabète, ou bien un syndrome néphrotique."
"697670","700650"," Le calcul de la concentration du cholestérol NBL"
"700650","704370"," se fait à partir de la formule suivante."
