"start","end","text"
"220","3180"," Donc on arrive au dernier chapitre sur la"
"3180","5580"," motricité, on va voir plus en détail le"
"5580","6420"," rôle du cerveau."
"9340","15120"," Donc je vais passer sur certaines généralités, juste"
"15120","19440"," pour vous dire que le cerveau, il contient"
"19440","21100"," à lui seul, même s'il est beaucoup"
"21100","22900"," plus petit que le cerveau, il contient la"
"22900","24760"," moitié des neurones de l'encéphale."
"24760","27000"," Ça veut dire que c'est vraiment très"
"27000","30640"," très important, il a plusieurs rôles qui sont"
"30640","33540"," énormément importants pour nous les êtres humains. "
"35940","39120"," Donc la position du cervelet dans la fosse"
"39120","42800"," cérébrale postérieure sous l'attente du cervelet, donc"
"42800","45360"," je passe sur les rappels anatomiques, les rapports"
"45360","45840"," et tout ça."
"47460","49980"," Donc je vais passer rapidement sur cette plaque"
"49980","53480"," de Nora Anatomy, parce que vous l'avez"
"53480","54220"," déjà vue."
"54460","56500"," Ce qui est important pour moi pour ce"
"56500","58880"," chapitre, c'est vraiment de connaître la systématisation"
"58880","60800"," du cervelet, parce que ça a un rôle"
"60800","62020"," sémiologique très important. "
"65040","69660"," Donc je vais m'attarder un peu sur"
"69660","72180"," l'histologie du cerveau, je pense que vous"
"72180","74820"," l'avez vu avec nos collègues les histologistes."
"74820","79000"," Le cortex du cervelet est divisé en trois"
"79000","80860"," couches, d'accord?"
"81520","84140"," Il y a la couche monoculaire qui ne"
"84140","85960"," contient pas de corps cellulaire, c'est surtout"
"85960","89700"," des projections dendritiques des différents neurones."
"90460","92440"," Puis on a la couche de purcunier qui"
"92440","95980"," contient donc le corps cellulaire de la cellule"
"95980","97260"," de purcunier que vous voyez là. "
"97800","100340"," La cellule de purcunier c'est la cellule"
"100340","101880"," efférente du cervelet."
"101880","104300"," Et puis il y a la couche granulaire"
"104300","109780"," qui contient donc des connexions entre les fibres"
"109780","116300"," monçues, les fibres d'autres cellules de soutien"
"116300","119900"," et les fibres granulaires que vous voyez là"
"119900","122560"," et les fibres monçues."
"123280","126800"," Donc ce qui est important pour nous, c "
"126800","129780","'est que l'afférence est représentée par les"
"129780","131230"," fibres monçues et les fibres grimpantes. "
"131230","133870"," qui vont ramener l'information au cervelet à"
"133870","137290"," partir de la périphérie."
"137450","139330"," On va voir exactement à partir d'où,"
"139670","146390"," dépendant de quel cervelet il s'agit."
"147550","151230"," Mais l'afférence c'est toujours les fibres"
"151230","151950"," de purcunier. "
"159490","163530"," Le cervelet, comme pour l'encéphale, comprend un"
"163530","167490"," cortex et comprend aussi un cortex qui est"
"167490","170510"," périphérique et de la substance blanche qui est"
"170510","170780"," centrale."
"172190","174870"," Enchâssé dans cette substance blanche, il va y"
"174870","176470"," avoir des noyaux centraux."
"177150","178450"," Ce sont les noyaux du cervelet. "
"178570","180090"," Ici en rouge, c'est le noyau dentelé."
"181250","184470"," Ici en bleu, c'est les noyaux interposés"
"184470","188530"," qu'on appelle globuleux et emboliformes."
"188790","192890"," Et puis ici, au médian, il y a"
"192890","194270"," le noyau fastigien. "
"197290","201070"," Chaque noyau va être associé à un cervelet."
"201590","202970"," Parce qu'on a trois cervelets comme on"
"202970","204130"," va le voir plus tard."
"206250","208750"," On voit le rôle central du cervelet par"
"208750","209770"," rapport aux autres structures. "
"211470","214150"," Donc le cervelet est divisé en trois cervelets."
"214310","217270"," Il y a l'archiocérébellum, le paniocérebellum et"
"217270","217780"," le myocérébellum."
"218830","225150"," L'archiocérébellum est représenté par le lobe flocculomondulaire"
"225150","227390"," associé au noyau fastigien. "
"227890","230950"," Le panio est représenté par le vernis avec"
"230950","232050"," les noyaux interposés."
"232790","237350"," La grande partie, c'est le myocérébellum, est"
"237350","240530"," représenté par les hémisphères cérébelleux avec les noyaux"
"240530","240990"," dentaux."
"244010","246270"," Alors on commence par l'archiocérébellum. "
"246330","251870"," L'archiocérébellum reçoit son inférence du vestibule qui"
"251870","253230"," est dans l'oreille interne."
"253850","257470"," Le vestibule, son rôle, c'est de percevoir"
"257470","260450"," la position de la tête par rapport à"
"260450","261070"," l'environnement."
"261070","264770"," Il va transmettre l'information au noyau vestibulaire"
"264770","268810"," qui va ramener cette information au noyau vestibulaire. "
"269330","275190"," Première synapse avec une fibre efférente depuis le"
"275190","277730"," noyau vestibulaire mais afférente pour le cervelet."
"278490","283930"," Donc l'archiocervelet va recevoir cette afférence et"
"283930","287390"," il va envoyer une afférence vers le noyau"
"287390","287990"," fastigien."
"287990","291090"," Le noyau fastigien va encore une fois donc"
"291090","294590"," revenir vers le noyau vestibulaire et la finalité"
"294590","296750"," sera le faisceau vestibulosprinal. "
"297610","297910"," D'accord?"
"298430","299310"," Ça c'est important."
"299490","302250"," C'est un, comme vous pouvez l'imaginer"
"302250","304370"," et ne le déduire pas vous-même, c "
"304370","307070","'est un système qui est important pour l "
"307070","310890","'équilibre parce qu'il va entrer en contact"
"310890","311930"," avec le vestibule."
"311930","313270"," Donc si on a une atteinte de l "
"313270","315170","'archiocérébellum, c'est un patient qui va avoir"
"315170","319170"," une difficulté à rester en équilibre. "
"319350","321510"," Donc il va avoir des oscillations, il va"
"321510","323430"," avoir des vertiges et il ne va pas"
"323430","325530"," pouvoir marcher correctement, etc."
"325750","328270"," Tout ça, ça fait partie de la partie"
"328270","332890"," statique du rôle du cervelet, c'est l "
"332890","333370","'équilibre."
"335630","339490"," Donc, en cas de problème, on va avoir"
"339490","342830"," un problème d'ataxie avec des équilibres, une"
"342830","349910"," hypotonie et on peut étudier donc chez le"
"349910","352230"," patient les yeux et voir qu'il y"
"352230","353010"," a un nystagmus. "
"353010","355890"," Le nystagmus, c'est dû à une atteinte."
"356950","360450"," Surtout, donc, le nystagmus, c'est des mouvements,"
"360550","363870"," des soucousses d'abduction, puis abduction de l "
"363870","365210","'œil qui sont pathologiques."
"368710","371010"," Au repos, normalement, en demandant au patient de"
"371010","373850"," garder le regard sur une cible droite, il"
"373850","374530"," va la garder. "
"375030","377070"," Mais ces patients-là vont avoir une déviation"
"377070","379770"," des yeux, puis retour vers la cible."
"379770","382690"," Et ça, parmi les causes, je dis bien"
"382690","385170"," parmi les causes, c'est une atteinte du"
"385170","388390"," vestibula, c'est-à-dire du système archiocérébelleux,"
"388390","389330"," ou bien du vestibule."
"391150","396170"," Le paliocérebellum, lui, reçoit ses afférences des muscles. "
"396170","397170"," D'accord?"
"397690","400570"," C'est les muscles qui vont envoyer des"
"400570","404550"," afférences qui vont passer par le pessos spinocérébelleux,"
"404770","407890"," ventral et dorsal, de flèche 6 GW, qui"
"407890","410490"," se trouve sur le cordon latéral, que vous"
"410490","412430"," avez vu avec nos amis les neurochirurgiens."
"413110","418110"," Ces afférences vont partir vers le cortex paliocérebelleux,"
"418670","419670"," comme tout à l'heure."
"419670","422390"," À partir de ce cortex, il y aura"
"422390","425230"," des afférences vers les noyaux interposés. "
"425710","427530"," Puis à partir de ces noyaux, il va"
"427530","429050"," y avoir un croisement de la ligne médiane"
"429050","432170"," et départ vers le noyau rouge."
"432850","434730"," Et puis il va y avoir un départ"
"434730","438250"," du noyau rouge du pesso rubro-spinal pour"
"438250","440190"," contrôler le tonus."
"440830","444830"," Donc ça, c'est un système capital pour"
"444830","447690"," le contrôle du tonus et de la posture. "
"451570","453550"," Donc, si on a une atteinte de ce"
"453550","458310"," système paliocérebelleux, on va avoir des troubles de"
"458310","461930"," la posture du tonus avec hypotonie, avec élargissement"
"461930","463250"," du polygone de sustentation."
"463650","465710"," Là aussi, on va avoir un patient qui"
"465710","469190"," va avoir ce qu'on appelle une atteinte"
"469190","472050"," cérébelleuse statique qui va se manifester surtout à"
"472050","474310"," la posture, à la position debout et à"
"474310","474770"," la marche."
"477510","480370"," Enfin, il y a le néo-cérébellum. "
"480450","484010"," Le néo-cérébellum reçoit, comme pour les noyaux"
"484010","488730"," gris centraux, il reçoit l'afférence depuis le"
"488730","491970"," cortex cérébral, depuis l'aire préfrontale et pariétale"
"491970","492670"," postérieure."
"492670","496650"," Et les fibres vont partir depuis ces aires "
"496650","498470","-là vers les noyaux du pont."
"498930","500710"," Et à partir du noyau du pont, il"
"500710","506450"," va y avoir des fibres afférentes qui vont"
"506450","510050"," aller vers le cortex néo-cérébelleux. "
"510050","512289"," Et à partir du cortex néo-cérébelleux, comme"
"512289","513929"," pour le jour, il va y avoir un"
"513929","516110"," départ vers les noyaux dentelés cette fois."
"516549","518429"," Et puis à partir du noyau dentelé, il"
"518429","521030"," va y avoir un départ vers le thalamus,"
"521630","524370"," vers un noyau du thalamus qui est associé"
"524370","524950"," à ce système."
"524950","527030"," Et puis à partir de ce noyau du"
"527030","529730"," thalamus, il va y avoir un départ vers"
"529730","532390"," la frontale ascendante. "
"532930","535990"," Donc ça c'est un système très important"
"535990","538670"," pour la coordination des mouvements."
"540050","543750"," Donc quand on veut faire un acte monteur,"
"543930","546250"," il va y avoir une séquence, un planning,"
"547610","553570"," un séquençage et une programmation très complexe du"
"553570","553930"," mouvement."
"553930","557070"," C'est-à-dire, au départ, quand j "
"557070","559430","'ai les mains, par exemple, en extension et"
"559430","562610"," je veux faire un salut militaire, je vais"
"562610","565810"," d'abord inhiber certains muscles, activer certains muscles. "
"566270","567190"," Mais au fur et à mesure que je"
"567190","569110"," m'approche, je vais inhiber d'autres et"
"569110","571310"," activer ceux qui t'aient inhibé."
"571310","577270"," Et donc c'est une stratégie très complexe"
"577270","579090"," et c'est le cervelet qui permet de"
"579090","579490"," faire ça."
"579830","581110"," Dans le cas de problème, on va avoir"
"581110","584070"," un tremblement quand on va s'approcher de"
"584070","584610"," la cible. "
"584970","586690"," On va avoir un patient qui va rater"
"586690","591090"," la cible, qui va la rater soit d "
"591090","593310","'un point de vue symétrique, on appelle ça"
"593310","596130"," asymétrie, ou bien il va la dépasser de"
"596130","597570"," loin, hypermétrie, etc. "
