"start","end","text"
"140","4520"," Bonjour, je me présente, je suis professeur de"
"4520","9320"," physiologie et neurologue à la faculté de médecine"
"9320","10460"," de pharmacie de Marrakech."
"10940","14260"," Je suis aussi le coordinateur de la physiologie"
"14260","16020"," 2 au cours de S4."
"17220","20480"," Je suis heureux d'être parmi vous et"
"20480","23560"," de vous présenter la neurophysiologie. "
"23560","25880"," Au cours de la physiologie 2, vous allez"
"25880","30400"," aussi avoir la physiologie endocrinienne et la physiologie"
"30400","31000"," rénale."
"32100","34980"," Mais aussi deux petits chapitres qui sont l "
"34980","37660","'équilibre acido-basique et la thermorégulation."
"38520","40760"," Concernant ce premier chapitre, on va voir ensemble"
"40760","44720"," l'organisation générale du système nerveux. "
"46970","49490"," Et comme guise d'introduction, le système nerveux"
"49490","52850"," c'est le système le plus complexe de"
"52850","53450"," l'organisme."
"53450","57330"," C'est le système qui comprend le cerveau"
"57330","60390"," qui est en fait l'organe noble, le"
"60390","61690"," plus noble de l'organisme."
"62130","64330"," Et ça se prouve quand on a une"
"64330","65570"," hémorragie, une lésion. "
"66170","69770"," Vous allez voir que le patient malheureusement, il"
"69770","72150"," va avoir une constriction de tous les vaisseaux"
"72150","77650"," sauf le cerveau."
"79470","83870"," Seuls les vaisseaux du cerveau vont continuer à"
"83870","87830"," être en phase de dilatation pour permettre la"
"87830","92010"," circulation et l'arrivée d'un flux vasculaire"
"92010","92510"," suffisant."
"93170","96390"," Donc tout va se faire au dépend des"
"96390","97430"," autres organes. "
"97530","100690"," Donc pour maintenir le cerveau en vie, c "
"100690","102610","'est pourquoi il est l'organe le plus"
"102610","102830"," noble."
"103650","105390"," Mais aussi l'organe où il y a"
"105390","111510"," les opérations les plus complexes, comme l'intelligence,"
"111650","115550"," la reconnaissance, le langage, la mémoire, etc."
"115750","119170"," Donc c'est beaucoup plus complexe que juste"
"119170","125790"," pomper du sang ou bien juste emmagasiner du"
"125790","132430"," glucose et le redistribuer avec la nécessité, etc. "
"132430","136550"," Donc c'est vraiment l'intelligence humaine qui"
"136550","139310"," est soutendue par le cerveau."
"139870","142130"," Donc c'est l'organe qui est tourné"
"142130","144090"," vers l'intérieur, mais aussi l'extérieur."
"144590","148770"," C'est ce qui permet de communiquer avec"
"148770","152170"," l'extérieur, de s'adapter, de réagir à"
"152170","153170"," l'environnement. "
"157900","165180"," Dans ce système, le neurone représente l'unité"
"165180","166980"," fonctionnelle de base."
"167540","170420"," Si vous vous rappelez, l'unité fonctionnelle, c "
"170420","173800","'est la plus petite structure qui est capable"
"173800","176980"," de mener à bien la fonction d'un"
"176980","177780"," organe."
"178120","180020"," Par exemple, pour le foie, c'est les"
"180020","180620"," pathocytes. "
"181460","184660"," Pour le cerveau, il faut savoir qu'on"
"184660","188040"," a plusieurs types de cellules dans le cerveau."
"188680","191740"," Mais la cellule qui permet d'exécuter les"
"191740","194980"," fonctions du cerveau, les fonctions qu'on vient"
"194980","199100"," de mentionner, à savoir la cognition, mais aussi"
"199100","203820"," la sensorialité et la motricité, c'est le"
"203820","204160"," neurone."
"205160","207000"," Ce ne sont pas les cellules gliales qu "
"207000","208920","'on va voir ensemble par la suite. "
"210100","212760"," Le neurone, c'est une cellule particulière."
"213900","219480"," Particulière parce qu'il est le siège de"
"219480","221060"," ce qu'on appelle l'excitabilité."
"222240","224380"," C'est-à-dire que, comme vous l "
"224380","228140","'avez déjà vu, je suppose, auparavant, toutes les"
"228140","229880"," cellules de l'organisme ont une polarité. "
"230180","232980"," Le plus souvent, cette polarité est négative."
"232980","236320"," Mais le cerveau a cette capacité à changer"
"236320","239700"," brièvement cette polarité, à la rendre positive à"
"239700","241880"," l'intérieur et négative à l'extérieur pendant"
"241880","243480"," une brève durée."
"246440","251620"," Comprendre les bases physiologiques du fonctionnement du neurone"
"251620","255360"," est la clé pour la maîtrise des sciences"
"255360","258579"," neurologiques, que ce soit la neurologie, la psychiatrie"
"258579","263060"," ou bien la neurochirurgie et d'autres spécialités"
"263060","263720"," encore. "
"265060","268180"," Pour mener à bien ce cours, je vous"
"268180","272600"," invite à revoir votre neuroanatomie, mais heureusement, vous"
