"start","end","text"
"4810","6710"," Bonjour tout le monde, j'espère que vous"
"6710","7090"," allez bien."
"8030","10610"," On va continuer sur les cours de neurophysiologie"
"10610","12630"," par les systèmes sensoriels et on va commencer"
"12630","14050"," par la sommesthésie."
"16380","19300"," Vous avez ici donc les objectifs pédagogiques, vous"
"19300","21300"," pouvez voir tranquillement tout seul. "
"23020","25980"," Comme guise d'introduction, la sensibilité, la sommesthésie,"
"26140","28700"," c'est le système qui peut nous informer"
"28700","33120"," sur ce qui nous touche au niveau de"
"33120","36300"," la peau, sur la position des différents segments"
"36300","38880"," dans notre corps, donc il y a toujours"
"38880","41180"," en permanence des informations qui vont passer de"
"41180","45020"," la périphérie vers notre cerveau pour nous informer"
"45020","48400"," de ce qui nous entoure dans notre environnement."
"49500","51400"," La même chose pour les autres systèmes sensoriels,"
"51540","54200"," vision, audition, etc., qu'on va voir dans"
"54200","55340"," un cours prochain."
"58820","62460"," Donc la sommesthésie peut être divisée en deux"
"62460","64540"," systèmes, le système immuniscale et extrême immuniscale qu "
"64540","66460","'on va voir plus en détail par la"
"66460","69600"," suite, mais aussi elle peut être divisée en"
"69600","73040"," sensibilité aux sommesthésies conscientes et inconscientes. "
"73900","77260"," Et là, chacune des conscientes et inconscientes peut"
"77260","80480"," être subdivisée en plusieurs autres sensibilités."
"81320","83020"," On va voir ça plus en détail par"
"83020","83400"," la suite."
"85320","87480"," Donc en parlant du système immuniscale et extrême"
"87480","91740"," immuniscale, c'est une subdivision anatomique importante. "
"92260","95840"," Il y a des implications sémiologiques très importantes."
"96520","101160"," La principale raison pour laquelle on va voir"
"101160","106540"," ce cours, c'est pour comprendre les bases"
"106540","109940"," anatomiques qui expliquent certains syndromes qu'on va"
"109940","113080"," voir, comme le syndrome des mémoires, le syndrome"
"113080","113940"," thalamique, etc."
"116160","122440"," Donc le système immuniscale comprend un système anatomique"
"122440","125240"," qui va prendre en charge la sensibilité épicritique"
"125240","128860"," et la sensibilité profonde consciente. "
"129460","134180"," La sensibilité épicritique, c'est une sensibilité discriminative,"
"134180","137220"," ce qui va vous permettre de distinguer deux"
"137220","140600"," objets lorsqu'il y a deux objets qui"
"140600","142220"," touchent votre doigt."
"142520","144780"," Vous allez dire ça c'est un objet"
"144780","147820"," tranchant, ça c'est un objet doux, ça"
"147820","149120"," c'est du coton, ça c'est du"
"149120","150520"," papier, etc."
"151140","154860"," Tout ça c'est le discriminatif épicritique. "
"155720","157520"," La profonde conscience, c'est ce qui vous"
"157520","161240"," permet de reconnaître la position de différentes parties"
"161240","163280"," de votre corps à n'importe quel moment."
"163280","164820"," Je sais que ma tête est là, je"
"164820","167640"," sais que ma main est en bas, en"
"167640","170900"," haut, selon la position exacte que je lui"
"170900","171340"," applique."
"172380","176900"," Le système extra-immuniscal, appelé aussi antérolatéral, quant"
"176900","180800"," à lui, prend en charge la sensibilité thermo "
"180800","183340","-algique et la protopathique. "
"183340","188280"," La protopathique, c'est une sensibilité vague qui"
"188280","192180"," n'est pas bien précise, discriminative comme la"
"192180","193880"," tactile épicritique."
"194540","196080"," Donc quand on a une atteinte l'immuniscal"
"196080","200000"," avec une atteinte de la sensibilité discriminative épicritique,"
"200400","202940"," on peut toujours être capable de sentir que"
"202940","203760"," quelque chose nous touche."
"204240","206740"," On est incapable de reconnaître la nature de"
"206740","209520"," cet objet qui nous touche, ni de le"
"209520","210060"," reconnaître. "
"210060","211840"," Mais on sait que quelque chose nous touche,"
"212040","213180"," ça c'est le protopathique."
"216060","218860"," Donc comment est organisée la somesthésie en général?"
"219060","221180"," Elle est organisée, vous pouvez le voir sur"
"221180","225180"," le schéma, en trois neurones, le N1, N2"
"225180","225820"," et N3."
"226760","228520"," Entre le N1 et N2, il y a"
"228520","231640"," le relais 1 et entre N2 et N3,"
"231860","232560"," il y a le relais 2."
"233360","235180"," Le relais 2 se fait toujours dans le"
"235180","238220"," thalamus, quel que soit le système, qu'il"
"238220","239980"," soit l'immuniscal ou extra-immuniscal. "
"239980","244380"," Par contre, le R1 va changer selon les"
"244380","245420"," systèmes et c'est ce qu'on va"
"245420","246240"," voir par la suite."
"247040","249440"," Donc il y a toujours le N1 jusqu "
"249440","252160","'au relais, mais une fois qu'on fait"
"252160","254280"," le relais, il y a toujours un croisement"
"254280","255040"," de l'année médiane."
"255380","256860"," Ce que vous voyez là, c'est le"
"256860","258500"," N2, c'est le N2 qui permet le"
"258500","260740"," croisement de l'année médiane jusqu'au thalamus"
"260740","263320"," contralatéral, puis le cortex contralatéral. "
"263820","265860"," Donc à partir de l'immuniscorps droit, on"
"265860","268440"," va partir vers le cortex gauche et vice "
"268440","269100","-versa."
"269880","270500"," D'accord?"
"274450","276870"," Donc on commence l'étude de la somnesthésie"
"276870","277910"," par la périphérie."
"278670","280550"," Et au niveau de la périphérie, il y"
"280550","282070"," a un certain nombre de récepteurs. "
"282890","290630"," Ces récepteurs sont capables de transformer l'information"
"290630","296930"," tactile, qu'elle soit de nature mécanique, chimique,"
"297210","301190"," électrique, algique, etc., ou un signal électrique."
"301410","302670"," Donc c'est ça le rôle des récepteurs,"
"302810","305230"," c'est de transformer un signal, qu'il"
"305230","307290"," soit sa nature ou un signal électrique."
"307390","308750"," Parce que l'objectif pour nous, pour le"
"308750","311510"," système nerveux, c'est d'avoir un influx"
"311510","311950"," nerveux. "
"312110","314030"," C'est ça que le système nerveux comprend."
"316590","319950"," Mais il ne peut pas lui comprendre un"
"319950","324150"," signal photique ou un signal, une onde électromagnétique,"
"324270","327010"," une onde sonore, etc."
"327290","328590"," Lui, il ne peut pas comprendre ça. "
"328730","330490"," Ce qu'il peut comprendre, lui, c'est"
"330490","331810"," un signal électrique."
"332250","334010"," Et le rôle des différents récepteurs dans différents"
"334010","337790"," systèmes, c'est de transformer l'information qu "
"337790","340290","'il reçoit en une information électrique."
"342880","344700"," Donc c'est ça ce qu'on appelle"
"344700","347000"," la transduction ou le codage. "
"347380","349220"," Ce que je viens d'expliquer sur la"
"349220","351440"," plaque précédente, c'est ça ce qu'on"
"351440","354080"," appelle la transduction ou bien le codage de"
"354080","354580"," l'information."
