"start","end","text"
"4170","7210"," Bonjour, donc, si vous permettez, on va continuer"
"7210","8670"," sur les systèmes sensoriels."
"8770","11990"," On va voir rapidement quatre petits cours qui"
"11990","15990"," explorent les autres systèmes sensoriels en dehors de"
"15990","16770"," la somnesthésie."
"17410","19570"," L'objectif principal pour ces différents cours, c "
"19570","23690","'est de comprendre et de se familiariser avec"
"23690","27330"," un certain nombre de mécanismes de transduction des"
"27330","28130"," différents messages. "
"28130","31130"," On avait vu dans le cours de la"
"31130","35450"," somnesthésie que le message mécanique, chimique, électrique, etc."
"36010","39190"," peut se transformer en un message électrique."
"39850","44050"," On avait l'exemple du message mécanique, comment"
"44050","48150"," est-ce que l'étirement des récepteurs périphériques"
"48150","54730"," peut aboutir à la synthèse ou bien au"
"54730","55990"," démarrage de l'influx nerveux. "
"57270","58950"," On va voir comment est-ce que d "
"58950","62970","'autres types de stimulus, qu'ils soient sonores,"
"63069","66310"," visuels, etc., comment elles aussi vont aboutir à"
"66310","67770"," l'électricité."
"69270","70970"," On commence par le système auditif."
"73340","75060"," L'audition, c'est la fonction qui va"
"75060","77280"," permettre d'entendre. "
"78800","81460"," Il va y avoir une transformation des activités"
"81460","85140"," sonores en activités nerveuses, elles-mêmes qui aboutissent"
"85140","87700"," à des comportements comme le fait de vous"
"87700","92080"," dire, levez-vous, écrivez ça, marchez, arrêtez-vous,"
"92540","92740"," etc."
"92940","95540"," Tout ça, ce sont des comportements qui font"
"95540","98780"," suite au fait que vous avez entendu des"
"98780","103600"," ordres qui émanent de la fonction sonore."
"105360","110680"," Le son, c'est une vibration mécanique de"
"110680","114820"," l'air avec une décompression aboutissant à des"
"114820","115060"," ondes. "
"115640","120420"," Ces ondes vont avoir trois paramètres importants."
"120700","122740"," Les deux premiers sont les plus importants, l "
"122740","126120","'amplitude, c'est-à-dire l'intensité de"
"126120","131040"," ce signal qui est calculé en décibels."
"131040","132980"," Et puis la fréquence, c'est-à-dire"
"132980","135680"," combien il y a d'ondes par seconde. "
"135900","139000"," Donc deux paramètres, puis le timbre."
"139820","142640"," Ces deux paramètres, on doit être capable de"
"142640","143840"," les interpréter tous les deux."
"145440","147240"," Vous vous rappelez que l'intensité d'un"
"147240","152320"," signal est interprétée par la fréquence des potentiels"
"152320","152720"," d'action. "
"152720","155160"," Mais puisqu'il y a ici deux types"
"155160","159100"," de paramètres, l'intensité du signal mais aussi"
"159100","161340"," sa hauteur ou bien sa fréquence, on aura"
"161340","164440"," besoin d'un autre moyen pour interpréter la"
"164440","165180"," fréquence aussi."
"165980","167160"," On va voir ça plus tard."
"173420","176080"," Ce schéma nous montre qu'en se basant"
"176080","177980"," sur les deux paramètres les plus importants, l "
"177980","185400","'intensité et la fréquence, le champ auditif reste"
"185400","188920"," limité et le champ conversationnel encore plus limité. "
"189260","192120"," A partir d'une certaine intensité de fréquence,"
"192380","194360"," on va voir la douleur qu'on va"
"194360","196260"," ressentir au niveau de l'oreille."
"196560","197700"," Donc tout ce qui est là, c'est"
"197700","199460"," de l'ultrason, tout ce qui est là,"
"199580","200580"," c'est de l'infrason."
"201160","202700"," C'est des sons qu'on n'arrive"
"202700","205300"," pas à entendre par notre oreille parce qu "
"205300","207300","'on n'a pas de récepteurs adaptés pour"
"207300","211960"," pouvoir entendre des sons qui sont très forts"
"211960","215020"," ou bien peu forts ou peu intenses à"
"215020","216700"," une petite ou grande fréquence. "
"219160","221200"," Je pense que vous avez déjà vu ça"
"221200","221840"," en anatomie."
"222120","224140"," Le rôle de l'oreille externe, c'est"
"224140","227000"," de transmettre l'information."
"228440","232280"," Le tympan va transmettre par la suite le"
"232280","234640"," son vers la chaîne ossiculaire. "
"234640","238140"," Et puis la chaîne ossiculaire va transmettre à"
"238140","238840"," l'oreille interne."
"240580","244800"," Le rôle de cette chaîne ossiculaire qui fait"
"244800","247180"," partie de l'oreille moyenne, c'est d "
"247180","249620","'amplifier le signal."
"250640","255459"," La surface du tympan qui va aboutir à"
"255459","260500"," un mouvement du marteau va aboutir à une"
"260500","261920"," amplification du signal. "
"261920","266920"," Le mouvement qui va s'appliquer sur l "
"266920","269900","'oreille interne sera plus grand, à peu près"
"269900","272680"," 26 fois plus que le mouvement du tympan."
"274360","275880"," On comprend que s'il y a un"
"275880","278640"," obstacle ici, s'il y a une rigidité"
"278640","281260"," de cette chaîne ossiculaire, on ne peut pas"
"281260","283660"," transmettre l'information vers l'oreille interne."
"284340","286240"," C'est ce qu'on appelle la surdité"
"286240","287160"," de transmission. "
"287160","293500"," Une fois que l'étrier va buter contre"
"293500","299040"," la fenêtre ovale, il va faire bouger le"
"299040","302900"," liquide qui est à l'intérieur de la"
"302900","303280"," coquelette."
"304460","306520"," Ce liquide s'appelle l'endolinphe."
"307260","308800"," Quand on va avoir un mouvement de l "
"308800","313060","'endolinphe, ça va faire déformer cette membrane qu "
"313060","315180","'on appelle la membrane basilaire. "
"316880","319460"," Cette membrane basilaire est là."
"320360","322280"," Elle contient des cellules que l'on va"
"322280","322620"," voir."
"323140","324600"," Ce sont ces cellules-là qui sont les"
"324600","328180"," cellules responsables de la transduction du message. "
"328580","332240"," Ce sont les cellules auditives qui entrent en"
"332240","334880"," synapse avec les neurones auditifs."
"336500","340880"," Si on agrandit l'image sur la membrane"
"340880","345020"," basilaire qu'on appelle l'organe de Courty,"
"345020","346680"," on va voir qu'il y a des"
"346680","348100"," cellules de soutien ici en jaune."
"348620","350840"," Puis il y a des cellules ici qui"
"350840","354440"," sont soit internes, soit externes. "
"355560","359020"," Ce sont les cellules cellulaires internes et cellules"
"359020","359660"," cellulaires externes."
"360180","364800"," Ces cellules cellulaires sont sur leur pôle basal"
"364800","368560"," en synapse avec les neurones auditifs qui vont"
"368560","370340"," constituer le nerf auditif."
"370340","375600"," Sur le pôle apical, ils contiennent des prolongements"
"375600","379380"," qu'on appelle des cils qui baignent dans"
"379380","381780"," une membrane tectorielle. "
"382000","388020"," C'est une substance gélatineuse qui contient ces"
"388020","392300"," cils prolongements des cellules ciliaires."
