"start","end","text"
"200","2480"," Bonjour, c'est Docteur Reis-Hanen."
"2960","6640"," Aujourd'hui, après avoir étudié la cellule cancéreuse,"
"7000","9640"," on va passer à l'analyse de la"
"9640","11240"," stroma réaction du cancer."
"12540","15680"," Comme on a vu, le cancer est constitué"
"15680","19340"," de cellules cancéreuses avec un stroma réaction, un"
"19340","22340"," stroma qui les nourrit, un stroma qui est"
"22340","25780"," normalement un tissu non tumoral et qui provient"
"25780","29040"," de la stroma réaction, ou bien le stroma,"
"29180","30540"," c'est la même chose, c'est une"
"30540","34540"," condition nécessaire pour le développement et la croissance"
"34540","35340"," tumorale. "
"36160","39540"," D'ailleurs, elle est présente dans les carcinomes,"
"39900","44840"," dans les mélanomes, dans les sarcomes, et normalement,"
"45320","50220"," les cellules du stroma ne présentent pas les"
"50220","52480"," anomalies génétiques des cellules tumorales."
"53700","56960"," Alors, les objectifs de ce cours étant de"
"56960","63280"," décrire les constituants généraux de la stroma réaction,"
"64140","67380"," connaître les principales caractéristiques de la vascularisation des"
"67380","70820"," tumeurs et connaître les grands mécanismes de réponse"
"70820","71960"," antitumorale."
"76500","79220"," La stroma réaction, ou bien le stroma tumoral,"
"79620","82980"," c'est un tissu conjonctif non tumoral provenant"
"82980","85500"," de l'OTE qui a un rôle de"
"85500","88140"," soutien et de nutrition des cellules tumorales. "
"88440","91400"," Donc, il est indispensable à la croissance tumorale."
"91880","94780"," Il permet l'acquisition d'un certain volume."
"96220","100920"," Il permet aussi, ce stroma, le développement des"
"100920","103580"," capillaires et des lymphatiques qui ont un rôle"
"103580","105980"," important dans la décimation métastatique. "
"106520","109560"," Il est l'expression de la réaction immunitaire"
"109560","111200"," en réponse à la tumeur."
"113100","113820"," Regardez-là."
"114500","116460"," Comment on peut décrire cette image?"
"116620","118840"," J'aurais aimé qu'on soit en direct"
"118840","121680"," ou bien en présentiel pour que quelqu'un"
"121680","123860"," parmi vous nous décrive ce qu'il voit. "
"125680","127660"," Déjà, la première question, est-ce que c "
"127660","128940","'est un tissu normal ou anormal?"
"129060","130280"," C'est un tissu anormal."
"131680","132440"," Il est fait de quoi?"
"132940","136380"," Il est fait de cellules tumorales qui ont"
"136380","139520"," une architecture en massif cribriforme."
"139520","141740"," Je dis tout le temps en arabe, c "
"141740","145720","'est des lobules creusés de fentes. "
"146320","152760"," C'est comme des glandes fusionnées avec des"
"152760","155720"," cellules tumorales qui sont malignes parce qu'elles"
"155720","162540"," sont anisocariotiques avec une chromatine hétérogène nucléolée avec"
"162540","163180"," des mitoses."
"163320","164880"," Et regardez ce qu'on voit entre ces"
"164880","168040"," structures glandulaires et ces massifs cribriformes."
"168040","169240"," On voit un tissu qui est là. "
"169940","173400"," Un tissu qui est fibreux, qui comporte des"
"173400","174580"," cellules fibroblastiques."
"174920","176860"," Regardez là, il comporte des vaisseaux sanguins."
"178180","182940"," Il comporte quelques petits lymphocytes comme ici. "
"185780","188400"," Il s'agit d'une modification du tissu"
"188400","190920"," conjonctif normal de l'organe qui va s "
"190920","193400","'adapter à la prolifération tumorale, qui va l "
"193400","197420","'accompagner et qui va s'adapter à la"
"197420","199520"," destruction du tissu normal où il a pris"
"199520","200420"," naissance ces tumeurs."
"201400","204480"," Cette stromaréaction est sous la dépendance de la"
"204480","205000"," tumeur."
"205920","211180"," Les cellules tumorales peuvent, par exemple, élaborer des"
"211180","214680"," substances qui vont favoriser la néogénèse du vaisseau,"
"214800","218600"," la prolifération des vaisseaux pour nourrir la tumeur. "
"221480","224780"," Cette stromaréaction est en remaniement constant, c'est "
"224780","225860","-à-dire qu'elle n'est pas stable,"
"226620","228820"," elle n'est pas figée puisqu'elle doit"
