"start","end","text"
"1029","3570"," Le cours d'aujourd'hui s'intitule l "
"3570","4830","'inflammation spécifique."
"7750","11550"," Le déroulement du processus inflammatoire est presque toujours"
"11550","11990"," le même."
"12730","13790"," Il est stéréotypé. "
"14970","18750"," Toutefois, certaines causes déterminent des réactions inflammatoires"
"18750","19930"," particulières."
"20690","24010"," Il s'agit d'inflammations dites spécifiques."
"27050","30050"," L'inflammation spécifique est définie comme une réaction"
"30050","34930"," inflammatoire chronique contenant des signes directs ou indirects"
"34930","36530"," en rapport avec l'agent causal. "
"37210","44730"," Qu'il soit viral, mycosique, parasitaire, bactérien ou"
"44730","45550"," à corps étranger."
"48180","51740"," L'inflammation spécifique concerne surtout l'inflammation chronique"
"52260","55420"," où l'agent pathogène est mal dégradé ou"
"55420","55940"," persistant."
"57440","60700"," Le plus souvent, l'agent pathogène est microbien. "
"62080","68420"," Le diagnostic est multidisciplinaire incluant les biologistes et"
"68420","70100"," les anatomopathologistes."
"72790","75430"," L'aspect histologique des lésions permet le plus"
"75430","79370"," souvent de suspecter, parfois d'affirmer la cause"
"79370","82770"," ou un groupe de causes qui sont responsables"
"82770","85010"," de cette réaction inflammatoire spécifique."
"87620","90740"," Le caractère spécifique d'une inflammation peut être"
"90740","93780"," posé sur l'identification de l'agent pathogène,"
"93780","101260"," la présence de modifications cytonucléaires caractéristiques, l'identification"
"101260","106420"," d'une nécrose caractéristique ou sur la composition"
"106420","107920"," de l'infiltre inflammatoire. "
"111500","114840"," Nous étudierons d'abord les inflammations virales, puis"
"114840","120260"," mycosiques, parasitaires, bactériennes et à corps étranger."
"120700","126540"," Avant de conclure, Le point commun des inflammations"
"126540","129199"," virales, c'est que le virus est un"
"129199","131800"," parasite intracellulaire obligatoire."
"134470","138130"," Que ce soit un virus ARN ou ADN,"
"139350","141830"," c'est un parasite obligatoire de la cellule. "
"142910","145850"," Il entre dans la cellule, intègre le génome"
"145850","148890"," pour se multiplier et aller infecter les autres"
"148890","151050"," cellules de voisinage."
"153990","158290"," Pour l'inflammation virale, il existe nombreux modes"
"158290","161650"," de pénétration, que ce soit par voie digestive,"
"162290","169190"," respiratoire, cutanée, tracéntère, sanguine ou conjonctile."
"171070","174270"," Les voies de diffusion peuvent être lymphatiques, nerveuses"
"174270","175010"," ou sanguines. "
"176610","178710"," Devant l'inflammation virale, il y a d "
"178710","181150","'abord des moyens de défense non spécifiques."
"182090","187770"," La barrière cutanée ou épithéliale, les macrophages et"
"187770","188470"," l'interféron."
"189730","193690"," Ensuite, on a des moyens de défense spécifiques. "
"195130","198550"," Ils font appel à l'immunité cellulaire ou"
"198550","199150"," humorale."
"202540","205780"," Exemple d'une inflammation virale, avec d'abord"
"205780","210180"," pénétration de la barrière épithéliale, circulation par la"
"210180","214680"," voie, ici d'abord lymphatique, puis sanguine et"
"214680","216820"," atteinte de l'organe-ci."
"221570","225250"," Dans l'inflammation virale, pour la cellule, il"
"225250","228470"," existe trois périodes de parasitisme cellulaire. "
"229150","231870"," D'abord, une période de latence, de durée"
"231870","235350"," variable, où le virus est invisible."
"236930","241770"," Une deuxième période, période de stimulation, où commencent"
"241770","244510"," les effets pathogènes sur la cellule ou effets"
"244510","245830"," cytopathogènes."
"246890","250910"," Enfin, on aura une période de dégénérescence, qui"
"250910","254490"," n'est pas obligatoire, mais très fréquente, où"
"254490","258290"," la cellule haute va se nécroser totalement. "
"261820","264940"," Dans l'inflammation virale, les lésions virales sont"
"264940","267900"," soit directes, soit indirectes."
"269320","273060"," Les lésions directes, dues au virus directement, atteignent"
"273060","276500"," d'abord la cellule, avec l'effet cytopathogène."
"277900","281260"," Elles s'étendent ensuite au tissu, avec prolifération"
"281260","284820"," du virus dans les autres cellules et nécroses"
"284820","285640"," tissulaires. "
"287440","291160"," Les lésions indirectes de l'inflammation virale sont,"
"291500","294700"," elles, dues à la réaction immunitaire de défense,"
"294840","297320"," qui est le plus souvent lymphoplasmositaire."
"298460","302000"," Elle est d'intensité très variable et non"
"302000","302700"," spécifique."
"306300","309500"," Concernant l'effet cytopathogène de l'inflammation virale,"
"310400","313100"," à l'extrême, on a la nécrose cellulaire. "
"314580","317980"," Les stades précurseurs, ou en amont, sont les"
"317980","320500"," stades où on a une tolérance cellulaire avec"
"320500","321920"," des anomalies morphologiques."
"323400","326800"," Ces anomalies peuvent être peu spécifiques, comme des"
"326800","329220"," phénomènes de stéatose, c'est-à-dire présence"
"329220","331420"," de gouttelettes lipidiques à l'intérieur de la"
"331420","335260"," cellule, ou des phénomènes de ballonisation des cellules"
"335260","338940"," avec des cellules qui deviennent gonflées sous forme"
"338940","339900"," d'un ballon."
"342520","346760"," D'autres anomalies plus spécifiques et évocateurs sont"
"346760","348760"," possibles avec l'inflammation virale. "
"349420","352680"," Ces anomalies sont extrêmement importantes, c'est elles"
"352680","356580"," qui peuvent donner le caractère spécifique à l "
"356580","357440","'inflammation virale."
"359520","363400"," Images des anomalies morphologiques peu spécifiques, avec des"
"363400","368180"," hépatocytes normaux, ici qui sont le siège de"
"368180","373540"," dépôts lipidiques ou de phénomènes de stéatose, macrovésiculaire,"
"373700","379520"," grosse gouttelette lipidique, microvésiculaire, petite gouttelette lipidique."
"380720","384680"," Ici, les hépatocytes qui sont gonflés sous forme"
"384680","387040"," de ballon ou phénomènes de ballonisation. "
"388220","391220"," Ces anomalies ne sont pas spécifiques de l "
"391220","392160","'inflammation virale."
"392360","395040"," Elles sont retrouvées dans d'autres pathologies."
"397360","400380"," Toujours dans les effets cytopathogènes de l'inflammation"
"400380","406810"," virale, les anomalies évocatrices morphologiques d'une infection"
"406810","410350"," virale sont la présence d'aspects dits en"
"410350","415750"," vert dépoli, d'inclusion nucléaire ou d'inclusion"
"415750","417270"," intracytoplasmique. "
"420220","423100"," Exemple de ces lésions évocatrices, ici dans l "
"423100","428060","'hépatite virale, l'aspect particulier du cytoplasme dit"
"428060","429380"," en vert dépoli."
"435460","440460"," Aspect de l'inclusion nucléaire ici dans l "
"440460","442620","'infection acitomégalovirus."
"444600","447280"," Une autre inclusion intranucléaire. "
"450740","457900"," Toujours le cytomégalovirus avec ici une inclusion intracytoplasmique."
"457900","464710"," En général, dans l'inflammation virale, tout virus"
"464710","468950"," a un tropisme particulier pour certains types cellulaires."
"470010","472970"," Il existe des virus hepatotropes qui aiment le"
"472970","476490"," foie, d'autres épidermotropes, et ainsi de suite. "
"477310","481150"," Ce qui a un rôle extrêmement important dans"
"481150","485410"," les manifestations cliniques à l'infection virale."
"487730","492430"," Ici, image du colutérin avec des lésions cytopathogènes"
"492430","494990"," dues à l'HPV qui est connu pour"
"494990","497690"," son tropisme pour le colutérin."
"498410","502130"," Des lésions particulières avec développement de ce qu "
"502130","503890","'on appelle des coïlocytes. "
"507630","511830"," Tropisme cutané de l'herpès avec des lésions"
"511830","518909"," particulières et les anomalies cellulaires des cellules qui"
"518909","522150"," sont infestées par le virus sur une cytologie"
"522150","524870"," appelée cytodiagnostique de Zhang."
"527300","529520"," Quelle est la place de l'anatomie pathologie"
"529520","531360"," dans la prise en charge des infections virales"
"531360","532160"," ?"
"532160","536400"," Elle est surtout dans l'orientation diagnostique en"
"536400","539800"," utilisant des techniques standards à l'hématéine usine,"
"539880","541920"," à la recherche de cellules particulières comme les"
"541920","546160"," coïlocytes, infections de l'HPV dans le colutérin,"
"547320","549740"," ou les inclusions virales spécifiques, qu'elles soient"
"549740","551820"," nucléaires, dans le cas du CMVE de l "
"551820","555860","'herpès, ou cytoplasmiques dans l'hépatite B."
"558600","560820"," La place de l'anatomie pathologie peut être"
"560820","566700"," aussi la mise en évidence du virus, plus"
"566700","570500"," rarement en utilisant des techniques plus transstructurales pour"
"570500","576020"," visualiser le virion, surtout, surtout, par l'immunostochime"
"576020","579280"," et la détection des protéines virales à l "
"579280","580980","'intérieur des cellules infectées."
"580980","584800"," C'est le cas notamment pour le cytomégalovirus"
"584800","586740"," chez les transplantés. "
"590140","593500"," Enfin, l'un des rôles importants de l "
"593500","596940","'anatomie pathologie dans l'infection virale est l "
"596940","600860","'évaluation des conséquences de ces infections virales par"
"600860","604040"," l'évaluation des lésions cellulaires et tissulaires."
"605140","607960"," Le but est d'établir un pronostic et"
"607960","609660"," aider à la décision thérapeutique."
"610700","614060"," L'un des exemples les plus fréquents, c "
"614060","615820","'est le cas de l'hépatite virale chronique"
"615820","619320"," où on va avoir une ponction biopsy hépatique"
"619880","622840"," qui est indispensable au bilan de la maladie. "
"623880","628120"," Cette ponction biopsy va permettre l'évaluation de"
"628120","631780"," l'activité des lésions et la présence et"
"631780","635320"," l'étendue de la fibrose dans cette biopsy"
"635320","635960"," hépatique."
"637140","641880"," Exemple de la ponction biopsy hépatique avec différents"
"641880","644660"," stades où on a une fibrose qui est"
"644660","651640"," légère ici une fibrose plus étendue avec une"
"651640","655380"," phase beaucoup plus mutilante et le stade ultime"
"655380","658480"," celui de la cirrhose avec une fibrose mutilante"
"658480","662360"," qui entoure des nodules de régénération hépatique."
"665820","670700"," Deuxième entité ce sont les inflammations mycosiques qui"
"670700","676020"," se sont notamment développées avec le sida et"
"676020","680920"," les difficultés immunitaires post chimio ou post traitement"
"680920","681440"," immunosuppresseur. "
