"start","end","text"
"390","3470"," Bonjour chers étudiants, c'est professeure Raïs Hanel,"
"3610","5350"," enseignante d'anatomie pathologique."
"5830","8430"," Aujourd'hui, on va clôturer le cours de"
"8430","13330"," l'anatomie pathologique générale avec un thème qui"
"13330","16930"," est assez spécial, qui est intitulé la mylose."
"19330","22210"," Et maintenant, je peux vous définir la mylose"
"22210","27130"," comme étant un ensemble hétérogène de maladies caractérisé"
"27130","31770"," par un dépôt extracellulaire étroit tiré sous ce"
"31770","35950"," extracellulaire sous forme fibrillaire d'un matériel protéique"
"35950","38850"," qui est autologue, qui est neutre, mais qui"
"38850","39990"," est devenu insoluble. "
"40210","45450"," Et donc, il se dépose en intercellulaire."
"46770","51970"," Cette substance protéique caractérisée par sa structure bêta "
"51970","54690","-plissée-antéparallèle, on va la voir par la"
"54690","57370"," suite, ses propriétés tectoriales, c'est-à-dire"
"57370","60810"," qu'il est coloré par des colorants particuliers"
"62250","64770"," qui nous aident à poser le diagnostic de"
"64770","65290"," la mylose."
"65430","68050"," Et si on la regarde au microscope électronique,"
"68250","69730"," elle a une structure fibrillaire. "
"70210","72750"," Les dépôts de la mylose peuvent être localisés,"
"73230","75030"," c'est-à-dire limités à certains tissus"
"75650","78810"," comme la mylose cutanée, la mylose rénale, ou"
"78810","81110"," bien diffus, touchant plusieurs organes."
"81110","85070"," Et la symptomatologie clinique va dépendre du siège"
"85070","85770"," de la mylose."
"86650","88310"," Par exemple, si il est cardiaque, on aura"
"88310","89350"," une insuffisance cardiaque. "
"89850","91590"," Si il est rénale, on aura une insuffisance"
"91590","94110"," rénale lorsque les dépôts sont importants."
"95030","96990"," Et bien sûr, ça dépend de l'importance"
"96990","97490"," des dépôts."
"98190","101810"," Le pathologiste a un rôle primordial dans le"
"101810","103990"," diagnostic positif de cette mylose. "
"103990","106390"," C'est lui qui va regarder les tissus"
"106390","111090"," pour vous dire qu'il existe des dépôts"
"111090","115970"," extracellulaires qui sont colorés par une coloration spéciale"
"115970","117990"," appelée le rouge Congo et qui témoignent de"
"117990","119650"," la présence de substances amyloïdes."
"120330","126310"," Deuxième chose, l'anatome pathologiste peut aider à"
"126310","128970"," la détermination de la nature de substances amyloïdes"
"128970","130770"," grâce à l'étude immunohistochimique."
"130770","135650"," Mais, toujours est-il que l'orientation clinique"
"135650","139370"," est capitale pour que l'anapathe cherche ses"
"139370","141910"," dépôts parce que le clinicien a le malade"
"141910","146130"," en entier avec son aspect morphologique, avec sa"
"146130","149130"," symptomatologie clinique, avec les signes fonctionnels, les signes"
"149130","152330"," généraux, les examens complémentaires alors que l'anapathe"
"152330","153530"," n'a qu'une petite biopsie. "
"153930","155910"," Et donc, l'orientation clinique est capitale."
"156050","157490"," On ne trouve que ce qu'on cherche."
"159150","162530"," Deuxième chose, c'est vrai que l'anapathe"
"162530","167650"," a des moyens immunohistochimiques pour déterminer la nature"
"167650","171210"," de la substance qui est déposée mais la"
"171210","173890"," clinique comme orientation est importante parce qu'on"
"173890","176650"," a, par exemple, une vingtaine de substances à"
"176650","177590"," rechercher. "
"177970","179430"," On ne peut pas mettre 20 anticorps."
"179510","181930"," Il faut nous orienter vers 1, 2, 3"
"181930","188950"," anticorps selon la pathologie prédominante pour utiliser l "
"188950","192990","'anticorps spécifique pour détecter la nature de ces"
"192990","195250"," substances protéiques amyloïdes."
"196150","198100"," Alors, on va adopter le plan suivant. "
"198450","201590"," Après une introduction, on va étudier la composition"
"201590","204490"," de la substance amyloïde, les moyens de diagnostic"
"204490","208310"," clinique et anatomopathologique, la classification de la mylose"
"208310","215410"," anatomoclinique et l'évolution ainsi que le traitement."
"218470","221750"," Les grands objectifs de ce cours sont les"
"221750","222170"," suivants."
"222290","224450"," La première, c'est de savoir définir une"
"224450","228450"," amylose et de connaître les caractéristiques microscopiques et"
"228450","230600"," les différents types de la mylose. "
"231910","233910"," Alors, quelle est la composition de la substance"
"233910","234590"," amyloïde?"
"235110","239730"," Il faut savoir que la nature de la"
"239730","242390"," substance amyloïde est faite de deux composants."
"242390","245910"," 90% de la substance amyloïde est faite"
"245910","249810"," d'une composante fibrillaire de nature protéique qui"
"249810","254690"," est caractéristique de chaque variété de la mylose."
"255250","259149"," Cette substance protéique est différente d'une amylose"
"259149","259430"," à l'autre. "
"259630","262330"," Alors que 10% c'est un composant"
"262330","265610"," non fibrillaire qui est appelé substance P."
"266890","269630"," C'est une glucoprotéine qui est commune à"
"269630","270830"," toutes les amyloses."
"271690","275190"," Il faut savoir que l'aspect ultra-structural"
"275190","277990"," de la mylose est fait d'un enchevêtrement"
"277990","281650"," en amas des ordonnées de microfibrilles mesurant entre"
"281650","284270"," 7 et 10 nanomètres de diamètre et que"
"284270","288110"," ces fibrilles ont un aspect caractéristique et identique"
"288110","291250"," dans toutes les variétés de la mylose."
"294010","297730"," Regardez là, on a des fibrilles, attendez que"
"297730","303450"," j'utilise mon pointeur, on a des fibrilles,"
"303590","307330"," regardez la composante fibrillaire et qui est agencée"
"307330","310750"," en un aspect bêta plissé comme les jupes"
"310750","314370"," plissées d'il y a longtemps avec un"
"314370","317330"," aspect antéparallèle, c'est à dire une fibrille"
"317330","321130"," Il faut savoir que la structure physique ou"
"321130","324590"," la configuration spatiale de la substance amyloïde est"
"324590","328750"," particulière c'est une protéine secondaire de structure"
"328750","331350"," dite bêta plissée antéparallèle. "
"331810","335770"," Bêta plissée c'est à dire que les"
"335770","341070"," fibrilles de protéines sont agencées de façon plissée"
"341070","344510"," comme ce qui se fait pour les anciennes"
"344510","347310"," jupes comme je vous ai dit plissées alors"
"347310","349650"," que antéparallèle c'est à dire que chaque"
"349650","352970"," fibrille est assemblée à l'envers de l "
"352970","356730","'autre fibrille donc cette fibrille est assemblée à"
"356730","358170"," l'envers de l'autre et vice versa."
"360330","365910"," Les fibrilles amyloïdes dérivent des protéines autologues qui"
"365910","367310"," sont devenues insolubles."
"367750","371610"," Dans la mylose systémique, les deux protéines autologues"
"371610","375050"," les plus importantes qui sont devenues insolubles c "
"375050","378810","'est la protéine AL qui est dérivée des"
"378810","382590"," chaînes légères lambda et kappa des immunoglobulines et"
"382590","385290"," la protéine AA qui est dérivée de la"
"385290","387470"," protéine SAA c'est une protéine qui est"
"387470","389590"," augmentée lors de l'inflammation. "
"391630","395110"," Alors que dans les amyloses localisées on a"
"395110","397930"," la protéine autologue c'est la calcitonine qui"
"397930","399650"," se voit dans le carcino-médulaire de la"
"399650","405330"," thyroïde dans sa stroma réaction la transthyrétine c "
"405330","409590","'est un tableau récapitulatif qui permet la nomenclature"
"409590","412490"," et la classification de l'amylose selon la"
"412490","414790"," protéine amyloïde et son précurseur."
"416070","418030"," Il faut savoir que les plus importantes sont"
"418030","422010"," la protéine AL des chaînes légères lambda et"
"422010","425690"," kappa la protéine AA de la SAA qui"
"425690","430170"," se voit dans les inflammations chroniques et la"
"430170","435250"," protéine AA2 de la microglobuline qui se voit"
"435250","437070"," dans l'insuffisance rénale chronique et d'autres."
"440030","443830"," Le composant P c'est le plus important"
"443830","447310"," des composants non fibrilaires communes c'est à"
"447310","449390"," dire que dans toutes les amyloses on va"
"449390","451930"," avoir le même composant P son rôle physiologique"
"451930","454650"," est inconnu c'est une glucoprotéine qui peut"
"454650","457370"," constituer jusqu'à 15% du dépôt amyloïde"
"457370","460690"," il participe à la stabilité de ces dépôts"
"460690","464290"," amyloïdes il a un caractère pratiquement insoluble au"
"464290","467330"," milieu organique et il provient d'une protéine"
"467330","469950"," sérique normale synthétisée par le foie qui est"
"469950","472550"," voisine de l'ACRP c'est le sap,"
"472650","475010"," c'est le sérum amyloïde protéine il est"
"475010","477910"," responsable partiellement de l'affinité pour l'iode"
"477910","482150"," et le PAS qui est posé Alors, formation"
