"start","end","text"
"1340","3200"," Bonjour, notre cours d'aujourd'hui est intitulé"
"3200","4880"," les infections associées aux soins."
"5720","8060"," Alors, les objectifs de ce cours, c'est"
"8060","10920"," de reconnaître une infection associée aux soins, d "
"10920","14540","'adopter les mesures nécessaires pour prévenir ces infections"
"14540","17040"," aux soins, de reconnaître les cinq indications à"
"17040","19220"," l'hygiène des mains, pratiquer le type d "
"19220","22040","'hygiène des mains adaptée à chaque situation et"
"22040","25060"," utiliser correctement les précautions d'hygiène standard et"
"25060","26700"," les précautions complémentaires."
"26700","30420"," Les infections associées aux soins sont des infections"
"30420","33320"," contractées lors de la prestation de soins de"
"33320","36340"," santé et ce sont des événements indésirables le"
"36340","39420"," plus fréquemment rencontrés dans les soins de santé"
"39420","41740"," et qui sont responsables d'une mortalité et"
"41740","44020"," d'une morbidité élevée. "
"44280","47520"," Aussi, l'écho de leur prise en charge"
"47520","51420"," est considérable et, du fait de la résistance"
"51420","54860"," accrue des agents pathogènes responsables de ces infections,"
"55420","56680"," il est donc important de les identifier et"
"56680","58380"," de les connaître pour le choix du traitement"
"58380","61580"," convenable, pour les signaler et les surveiller afin"
"61580","64960"," d'instaurer les mesures nécessaires pour les prévenir"
"64960","67980"," et pour gérer le risque infectieux au milieu"
"67980","68200"," de la maladie."
"68260","70420"," C'est un cours qui commence par plusieurs"
"70420","73760"," définitions qu'il faut comprendre avant de passer"
"73760","75820"," et progresser dans le cours."
"76640","79020"," On appelle « infection associée aux soins »"
"79020","81580"," toute infection qui survient au cours ou à"
"81580","83480"," la suite d'une prise en charge qui"
"83480","86320"," peut être diagnostique, thérapeutique ou préventive. "
"87440","89940"," Pour une prise en charge diagnostique, on a"
"89940","92120"," l'exemple d'une cystoscopie qui a été"
"92120","94940"," réalisée dans le bilan d'une hématurée terminale"
"94940","98080"," pour suspicion par exemple d'une tumeur de"
"98080","100820"," la vessie et le patient développe par la"
"100820","102360"," suite une infection urinaire."
"102600","106200"," C'est la cystoscopie qui a inoculé au"
"106200","109120"," patient un germe pour lequel il développe cette"
"109120","110760"," infection urinaire par la suite."
"110760","113960"," Comme une prise en charge thérapeutique qui peut"
"113960","118120"," se compliquer d'une infection associée aux soins,"
"118280","119960"," on a par exemple un patient qui est"
"119960","123040"," opéré pour une cholecystectomie pour l'ITS de"
"123040","125480"," la visicule biliaire et qui développe par la"
"125480","127020"," suite une infection de la paroi. "
"130280","133660"," Comme action préventive suite à laquelle le patient"
"133660","136780"," peut développer une infection associée aux soins, par"
