"start","end","text"
"1290","5450"," Bonjour, pour la première fois cette année-là,"
"5710","9250"," on va ajouter un cours qui me semble"
"9250","12930"," utile devant cette pandémie, parce qu'à chaque"
"12930","15329"," fois qu'il y a une maladie émergente"
"15329","19610"," infectieuse, j'actualise le cours en ajoutant cette"
"19610","20270"," maladie-là."
"20670","24870"," Et cette année-là, je voyais impossible de"
"24870","28410"," ne pas ajouter la COVID-19, parce que"
"28410","30450"," c'est une pandémie qu'on n'a"
"30450","34350"," jamais vécue, et je suppose que tout étudiant"
"34350","37930"," en médecine doit quand même la connaître et"
"37930","43310"," connaître les principales choses concernant cette pandémie."
"44410","46450"," Donc, nous commençons ce cours-là par des"
"46450","47170"," définitions. "
"47630","50210"," On a le SARS-CoV-2, qui est"
"50210","55690"," le virus responsable du syndrome respiratoire aigu, sévère,"
"55930","59230"," dû au coronavirus, et le chiffre 2 parce"
"59230","62030"," qu'il existe déjà un SARS-CoV-1"
"62030","65090"," qui était responsable de l'épidémie de 2002,"
"65370","67750"," et ce dernier virus, il est responsable de"
"67750","69270"," l'épidémie de 2019."
"70490","73530"," Par contre, en féminin, c'est la COVID "
"73530","76070","-19, c'est la maladie causée par ce"
"76070","81870"," virus-là, et COVID-19 signifie coronavirus, virus,"
"82170","87870"," bien sûr, coronavirus, et disease, maladie, et 19,"
"88010","89670"," ça réfère à l'année où il est"
"89670","90810"," apparu, cette maladie."
"91190","93990"," Vous allez entendre parler beaucoup de Closter, qui"
"93990","96370"," a survenu dans un intervalle de 7 jours,"
"96510","99970"," dont moins 3 cas confirmés appartenant à une"
"99970","103130"," même communauté ou ayant participé à un même"
"103130","104630"," rassemblement de personnes. "
"105470","108850"," Les statistiques de la COVID-19 dans le"
"108850","111530"," monde sont très variables à chaque moment."
"111950","114490"," Ces données-là sont arrêtées au 16-12 "
"114490","115170","-2020."
"115770","120450"," On a enregistré jusqu'à maintenant 73,573 "
"120450","125730",",455 cas de coronavirus dans le monde, avec"
"125730","133750"," une guérison de 41,695,780, et un"
"133750","137530"," nombre de décès qui a dépassé 1,5"
"137530","137630"," million. "
"137930","140210"," Et en chef de file vient les États "
"140210","147630","-Unis en premier, avec 16,821,993 cas,"
"147630","150650"," et un nombre de décès qui dépasse 300 "
"150650","151510",",000 cas."
"152090","155130"," En deuxième position vient l'Inde, le Brésil,"
"155250","157890"," la Russie et la France en cinquième position."
"161060","164420"," Au Maroc, les statistiques de la COVID-19"
"164420","168820"," jusqu'au 16-12-2020, on a enregistré"
"168820","175800"," 406,970 cas confirmés, le nombre de décès"
