"start","end","text"
"1070","3450"," Le chapitre d'aujourd'hui est intitulé les"
"3450","4330"," leptospéroses."
"5390","7530"," Les objectifs de ce cours, c'est d "
"7530","10390","'être capable de poser le diagnostic de leptospérose"
"10390","13110"," sur des arguments épidémiologiques et cliniques qu'on"
"13110","16170"," va voir dans le cours, de prescrire les"
"16170","19530"," examens pour confirmer la leptospérose et même pour"
"19530","24130"," connaître les signes de gravité, d'évaluer le"
"24130","27550"," pronostic de leptospérose, de la traiter et même"
"27550","30510"," de proposer des moyens de prophylaxie appropriés."
"31530","33990"," Les leptospéroses sont des zoonoses, c'est-à "
"33990","37370","-dire que l'agent responsable provient d'un"
"37370","40430"," animal qui est le site et le réservoir. "
"41010","43770"," L'agent pathogène est appelé leptospéra."
"43770","46550"," Ce sont des maladies générales, c'est-à "
"46550","49850","-dire qui donnent des manifestations systémiques, mais qui"
"49850","53650"," ont des tropismes hépatiques, rénales et méningistes, c "
"53650","55230","'est-à-dire que ces sites-là constituent"
"55230","57810"," la symptomatologie principale de ces infections."
"58570","62330"," Les agents responsables de leptospérose sont des spéroquettes"
"62330","63569"," du genre leptospéra. "
"63790","68170"," On décrit deux espèces, biflexa et interrogans, avec"
"68170","71750"," plusieurs sérogroupes, dont le plus important et le"
"71750","75270"," plus prédominant, c'est leptospéra ectero-hémorragie."
"75910","78850"," Ils survivent au milieu alcalin, dans des pays"
"78850","79870"," chauds et humides."
"80190","82170"," Ils ont un caractère saisonnier, c'est-à "
"82170","84110","-dire qu'ils prédominent l'été et le"
"84110","84790"," début d'automne. "
"85390","88370"," Le réservoir de l'agent pathogène est constitué"
"88370","94150"," essentiellement par les rongeurs, qui libèrent la bactérie"
"94150","97010"," dans leurs urines, même s'ils sont asymptomatiques."
"97010","100510"," Et ils peuvent être aussi des animaux domestiques,"
"100710","102690"," comme le chien, et les animaux d'élevage,"
"102770","105570"," qui peuvent être malades et libérer la bactérie"
"105570","106970"," dans leurs urines."
"107530","110570"," L'homme n'est qu'une note accidentelle"
"110570","113110"," au milieu de cette chaîne. "
"114650","118730"," Alors, ce dépositif représente le cycle de la"
"118730","119050"," leptospérose."
"120010","123130"," On a ainsi le réservoir qui est constitué"
"123130","126930"," par des réservoirs asymptomatiques, ce sont les rongeurs"
"126930","129729"," qui peuvent se contaminer entre eux, et libérer"
"129729","131570"," la bactérie dans leurs urines."
"132010","135190"," Aussi, les animaux domestiques, comme le chien, qui"
"135190","139970"," peuvent être des réservoirs sensibles et libérer la"
"139970","142130"," bactérie dans leurs urines. "
"143190","146750"," Une fois la bactérie dans les urines, l "
"146750","149450","'homme est une note accidentelle."
"149890","152250"," Il va se contaminer d'une manière indirecte,"
"152250","155410"," et dans ce cas-là, il sera en"
"155410","160470"," contact avec un produit, essentiellement le milieu aquatique"
"160470","164630"," qui a été contaminé par les urines, contaminé"
"164630","166730"," par la bactérie à partir d'un animal"
"166730","171630"," porteur, ou bien par une transmission directe, en"
"171630","176610"," étant en contact direct avec les urines infectées"
"176610","179610"," d'un animal atteint, ou les tissus infectés"
"179610","180610"," d'un animal atteint."
"182110","184830"," Cette transmission, que ce soit directe ou indirecte,"
"185730","188930"," il a besoin d'un contact soit avec"
"188930","190710"," une peau lésée pour qu'il y ait"
"190710","193770"," pénétration de la bactérie, ou bien un contact"
"193770","197770"," avec le produit contaminant, avec les muqueuses de"
"197770","200950"," l'être humain qui peuvent constituer une cible,"
"201130","202770"," soit les muqueuses de la bouche, des yeux"
"202770","203970"," ou du nez. "
"204510","208130"," Donc l'homme est une note accidentelle dans"
"208130","208690"," cette chaîne."
"208690","212070"," Donc la contamination de l'être humain, il"
"212070","216270"," est dû essentiellement à une transmission indirecte, rarement"
"216270","219070"," d'une transmission directe, et c'est une"
"219070","225950"," maladie professionnelle qui touche fréquemment des métiers mettant"
"225950","230190"," l'être humain en contact avec des urines"
"230190","234090"," d'animaux contaminés ou de l'eau contaminée,"
"234250","236770"," essentiellement il y a les égouttiers, les éboueurs,"
"236870","239990"," les vétérinaires, les éleveurs d'animaux et le"
"239990","241210"," personnel des abattoirs."
"241710","243890"," Et il y a aussi une contamination de"
"243890","247170"," loisirs, baignades en eau douce, et au cours"
"247170","249710"," de la pêche, il y a des épidémies"
"249710","251690"," de l'heptospérose, il a été décrit dans"
"251690","255149"," certaines compétitions en eau douce. "
"255910","258610"," Une particularité au Maroc, c'est la fréquentation"
"258610","262490"," de bains morts qui peut constituer une source"
