"start","end","text"
"4420","7780"," Le cours d'aujourd'hui concerne des généralités"
"7780","10860"," sur les elements et les elementiases."
"17000","21580"," Elements est le nom vernaculaire de plusieurs embranchements"
"21580","25980"," de vers parasites, aussi bien des animaux que"
"25980","27300"," des humains."
"28100","30820"," Plus connus sous le nom de vers, ce"
"30820","35840"," sont tous des endoparasites appartenant sous reine animale"
"35840","38200"," des métazouères supérieures. "
"39480","44220"," Majoritairement, ce sont des organismes multicellulaires, mais qui"
"44220","48540"," peuvent se présenter sous forme unicellulaire à certains"
"48540","50260"," stades de développement."
"51560","57720"," Ce sont des éléments et le nom vernaculaire"
"57720","62100"," de plusieurs embranchements de vers parasites, des animaux"
"62100","63840"," et ou des humains."
"63840","67320"," Plus connus sous le nom de vers, ce"
"67320","72640"," sont tous des endoparasites appartenant sous reine animale"
"72640","74940"," des métazouères supérieures. "
"75440","81600"," Ce sont des organismes multicellulaires, mais qui peuvent"
"81600","85320"," se présenter sous forme unicellulaire à certains stades"
"85320","86320"," de développement."
"87300","92280"," Ce sont des organismes parasites eukaryotes, c'est "
"92280","95320","-à-dire ayant un vrai noyau avec une"
"95320","96740"," membrane nucléaire."
"97320","100820"," Le vers solitaire est un des éléments les"
"100820","101760"," plus connus. "
"104500","108380"," Les éléments sont subdivisés en deux grands groupes,"
"109300","113160"," les nématélementes et les platélementes."
"114080","118100"," Commençons par les nématélementes, Ce sont des vers"
"118100","122780"," ronds et qui ont souvent un cycle direct,"
"123500","127539"," mais peuvent aussi utiliser au moins un hôte"
"127539","133500"," intermédiaire, obligatoire ou facultatif selon l'espèce concernée"
"133500","134600"," des nématélementes."
"134940","139400"," L'exemple le plus fréquent, c'est l "
"139400","142320","'ascaris, l'agent lascaridurus. "
"145040","149580"," Deuxième groupe des éléments, c'est les platélementes,"
"149660","150560"," c'est des vers plats."
"151520","155700"," Cette catégorie est subdivisée en vers plats segmentés,"
"156540","160680"," appelés aussi cestodes, généralement en forme de ruban"
"160680","163380"," et nécessitant un hôte intermédiaire."
"163840","166540"," L'exemple le plus typique, c'est Ténian. "
"168570","171810"," Deuxième catégorie, c'est les vers plats non"
"171810","174510"," segmentés, appelés trématodes."
"174510","179890"," Deux exemples, à savoir les schistosomes et les"
"179890","180270"," douves."
"181650","186510"," Les trématodes sont des vers aplatis, en forme"
"186510","190950"," de feuilles très caractéristiques, et se développent en"
"190950","196730"," un cycle complexe, parce qu'il fait intervenir"
"196730","200910"," au moins deux hôtes intermédiaires très distincts. "
"202070","206530"," Majoritairement, un mollusque aquatique est souvent un hôte"
"206530","207650"," intermédiaire."
"207870","210630"," L'exemple le plus fréquent, c'est le"
"210630","211830"," douve du foie."
"217550","223150"," Un tableau comparatif des deux grands groupes d "
"223150","226870","'éléments, les nématélementes et les platélementes. "
"227370","232590"," Les nématélementes, ce sont des vers rangs, caractérisés"
"232590","235470"," par une cuticule qui est une oeuvre, un"
"235470","239650"," tube digestif complet, et les sexes sont toujours"
"239650","240410"," séparés."
"241530","243250"," C'est la classe des nématodes."
"244490","249110"," Les vers plats ou bien platélementes sont subdivisés"
"249110","251710"," en deux groupes, soit ce sont des vers"
"251710","256930"," plats non segmentés, absence de cuticule qui est"
"256930","260890"," une oeuvre, le tube digestif est régressé, et"
"260890","264430"," les sexes peuvent être séparés ou non. "
"264990","266530"," C'est la classe des trématodes."
"267330","271110"," Alors qu'il y a des vers plats,"
"272030","276770"," un corps segmenté, en absence de cuticule qui"
"276770","280690"," est une oeuvre, pas de tube digestif, toujours"
"280690","283470"," hermaphrodite, ça veut dire que les sexes ne"
"283470","285030"," sont pas séparés."
"285030","287890"," C'est la classe des cestodes. "
"289410","291770"," Passons maintenant au mode de vie des ailements."
"292730","297390"," Sachant que les ailements, selon l'espèce considérée"
"297390","300590"," et leur étape de développement par parasite, différent"
"300590","301230"," organes."
"301990","303710"," Ils peuvent parasiter l'intestin. "
"304590","308250"," La majorité des ailements parasitent l'intestin."
"308970","311710"," Ils peuvent aussi parasiter les réseaux sanguins et"
"311710","312350"," lymphatiques."
"312350","316750"," Ils peuvent aussi être parasites des tissus conjonctifs. "
"316990","321230"," Mais également, ils peuvent parasiter les organes creux."
"322030","325210"," Exemple, les cavités urogenitales et les poumons."
"328540","333320"," Le diagnostic au laboratoire des ailements est basé"
"333320","335740"," sur l'observation macroscopique des ailes. "
"336740","339100"," On peut voir à l'œil unique les"
"339100","341760"," femelles d'octure ou bien les anneaux de"
"341760","342640"," teignes, par exemple."
"342640","346080"," Ou bien on passe à une deuxième étape"
"346080","351210"," qui est l'examen microscopique fait sur des"
"351210","352770"," échantillons à l'état frais."
"353370","356290"," On peut à ce moment là détecter les"
"356290","358710"," œufs et les larves des ailements et poser"
"358710","359410"," le diagnostic. "
"360610","365090"," La répartition géographique de ces ailements sont très"
"365090","366650"," répandues dans le monde entier."
