"start","end","text"
"580","3040"," Chers étudiants, nous allons voir aujourd'hui un"
"3040","4680"," cours sur les antiépileptiques."
"7020","9000"," On va commencer par un petit rappel."
"9560","12280"," L'épilepsie est une affection chronique définie par"
"12280","15640"," la répétition en général spontanée de crise épileptique"
"15640","19260"," qui peut se manifester différemment chez les patients"
"19260","21320"," en fonction de la zone touchée au niveau"
"21320","21900"," du cerveau. "
"22500","24400"," Cette maladie a des conséquences que ce soit"
"24400","27020"," sur la vie professionnelle ou la vie personnelle,"
"27500","28960"," d'où l'intérêt de la traiter."
"28960","33000"," La crise d'épilepsie est une manifestation clinique"
"33000","36540"," traduisant une décharge excessive d'un groupe de"
"36540","38060"," neurones de l'encéphale."
"38660","41620"," Donc c'est un dérèglement au niveau de"
"41620","44240"," la fonction neuronale qui va se traduire par"
"44240","47380"," cette crise d'épilepsie et c'est ce"
"47380","50620"," dérèglement qui doit être corrigé par les médicaments. "
"53880","57180"," Les antiépileptiques sont des médicaments capables de supprimer"
"57180","59680"," ou de diminuer la fréquence ou la sévérité"
"59680","60980"," des crises d'épilepsie."
"60980","64940"," Dans cette classe thérapeutique, on trouve plusieurs molécules"
"64940","68220"," dont certaines sont d'une ancienne génération et"
"68220","69920"," d'autres d'une nouvelle génération qui ont"
"69920","71500"," plusieurs mécanismes d'action."
"72100","75020"," Ce qui permet aux praticiens ou aux médecins"
"75020","77980"," traitants de choisir les molécules en fonction de"
"77980","81080"," la forme clinique présentée chez son patient parce"
"81080","83940"," que l'efficacité de ces molécules est différente"
"83940","85420"," en fonction de la forme clinique. "
"85420","87780"," Ça lui permet aussi de changer le traitement"
"87780","90240"," en cas de problème de résistance puisqu'on"
"90240","93140"," considère que 30% des patients traités par"
"93140","94920"," ces médicaments peuvent être résistants."
"95740","98460"," Ces médicaments sont aussi souvent à l'origine"
"98460","102160"," des effets indésirables qui peuvent nécessiter un changement"
"102160","105040"," de traitement pour améliorer la qualité de vie"
"105040","105660"," du patient."
"106480","110380"," Et du fait de leur particularité pharmacokinétique, on"
"110380","113300"," peut trouver avec ces médicaments de nombreuses interactions"
"113300","118220"," médicamenteuses auxquelles le prescripteur doit faire attention. "
"122410","123910"," Dans ce cours, nous allons parler de la"
"123910","127750"," classification des médicaments antiépileptiques, leurs mécanismes d'action,"
"128389","132530"," leurs pharmacokinétiques, indications, contre-indications, leurs effets"
"132530","136730"," indésirables, leurs interactions médicamenteuses, comment instaurer un"
"136730","138850"," traitement et la surveillance du traitement."
"142260","143840"," Au terme de ce cours, vous devez être"
"143840","145960"," capable de citer les mécanismes d'action des"
"145960","151440"," antiépileptiques, les médicaments inducteurs et inhibiteurs enzymatiques, les"
"151440","155300"," indications des antiépileptiques, leurs contre-indications, leurs effets"
"155300","159900"," indésirables, leurs interactions médicamenteuses, les modalités d'instauration"
"159900","162800"," du traitement et les modalités de surveillance du"
"162800","163140"," traitement."
"165150","168650"," Les médicaments antiépileptiques sont classés en molécules d "
"168650","171710","'ancienne génération et de nouvelle génération en fonction"
"171710","173810"," de leur date de mise sur le marché. "
"173810","176410"," Pendant des années, on s'est basé pour"
"176410","180030"," le traitement d'épilepsie sur quatre molécules essentiellement."
"180830","184110"," Le Phénomarbital, la Phénytoïne, la carbamazépine et l "
"184110","186570","'acide valproïque qui ont été commercialisés entre les"
"186570","190310"," années 1910 et 1960."
"191370","193690"," A côté de ces molécules, on utilisait des"
"193690","196350"," médicaments en association avec les premiers comme l "
"196350","200810","'éthosubcimide, la primidone et les benzodiazépines. "
"201870","206710"," Pendant plusieurs années et avant les années 1990,"
"207250","210070"," il n'y avait pas de nouvelles molécules"
"210070","210830"," commercialisées."
"210970","213750"," On se basait surtout sur les modifications pharmacocinétique"
"213750","220190"," des premières molécules et sur des modifications caléniques."
"220570","223490"," On a vu l'apparition des formes à"
"223490","224630"," libération prolongée. "
"226410","229850"," Ces molécules de première génération sont de moins"
"229850","233170"," en moins utilisées du fait de leur pharmacocinétique"
"233170","234010"," qui est complexe."
"234110","235970"," Par exemple, si on prend la Phénytoïne, elle"
"235970","238590"," a une cinétique qui n'est pas linéaire."
"238870","242090"," De ce fait, on a une variation interindividuelle"
"242090","243370"," importante des concentrations. "
"244210","246510"," Et du fait de l'effet inducteur et"
"246510","250010"," inhibiteur enzymatique de certaines molécules qui exposent à"
"250010","252830"," un risque d'interaction médicamenteuse qui est important."
"254660","259339"," Après les années 1990, plusieurs molécules ont été"
"259339","259700"," commercialisées."
"261100","263800"," Elles ont enrichi l'arsenal thérapeutique et ont"
"263800","267220"," permis aux médecins traitants de choisir entre ces"
"267220","271400"," molécules, celle la plus adaptée au syndrome épileptique"
"271400","274720"," de son patient et la plus adaptée en"
"274720","276800"," fonction du terrain de son patient et en"
"276800","278080"," fonction de sa tolérance. "
"278080","283800"," La symptomatologie vue lors de la maladie épileptique"
"283800","288260"," est une traduction de l'hyperexcitabilité neuronale."
"288920","292940"," Cette hyperexcitabilité est due à un déséquilibre entre"
"292940","298320"," la neurotransmission GABAergique qui est une neurotransmission inhibitrice"
"298320","302380"," du système nerveux central et la neurotransmission glutamatergique"
"302380","307020"," qui est une neurotransmission excitatrice du système nerveux"
"307020","307340"," central."
"307340","310580"," En plus de ce déséquilibre entre ces deux"
"310580","314140"," neurotransmissions, on trouve des anomalies au niveau du"
"314140","317500"," flux ionique de la membrane cellulaire neuronale. "
"319940","323740"," Les médicaments antiépileptiques sont destinés pour corriger ces"
"323740","324240"," anomalies."
"324820","327520"," Ils vont avoir une action sur le système"
"327520","332360"," GABAergique, sur le système ou la neurotransmission glutamatergique"
"332360","335840"," en bloquant les canaux sodiques et en bloquant"
"335840","337180"," les canaux calciques."
"339460","345020"," Certains médicaments peuvent interférer avec la neurotransmission GABAergique"
"345020","347720"," dans le sens d'une augmentation de cette"
"347720","351260"," neurotransmission ou l'augmentation de l'effet du"
"351260","353880"," GABA puisque c'est un neurotransmetteur inhibiteur du"
"353880","354900"," système nerveux central. "
"356020","359340"," Donc certains médicaments vont agir directement au niveau"
"359340","360140"," du récepteur."
"361360","364260"," Ils vont faciliter l'action du GABA sur"
"364260","366620"," son récepteur post-synaptique et de ce fait"
"366620","368940"," ils vont augmenter son action au niveau du"
"368940","370580"," neurone post-synaptique."
"371320","375600"," D'autres médicaments vont bloquer la recapture du"
"375600","377600"," GABA et de ce fait ils vont favoriser"
"377600","380320"," son existence et sa concentration au niveau de"
"380320","381300"," l'espace synaptique. "
"381300","385320"," D'autres médicaments vont inhiber la dégradation du"
"385320","389980"," GABA pour favoriser sa concentration au niveau de"
"389980","391720"," l'espace synaptique."
"393780","396780"," D'autres médicaments comme la motrigine et le"
"396780","401800"," topiramate vont interférer avec la neurotransmission glutamatergique et"
"401800","404800"," on a dit que cette neurotransmission est excitatrice"
"404800","406060"," du système nerveux central."
"406060","409560"," De ce fait, les médicaments seront destinés à"
"409560","413000"," bloquer les récepteurs du glutamate. "
"413040","415060"," De ce fait, ils vont bloquer son action"
"415060","416120"," excitatrice."
"418380","422220"," Dans la maladie épileptique, on a des anomalies"
"422220","425020"," du flux ionique que ce soit sodique ou"
"425020","425500"," calcique."
"425500","428500"," Il y a des médicaments qui sont destinés"
"428500","431520"," à bloquer les canaux sodiques comme la lamotrigine"
"431520","434200"," et la fenytoïne et des médicaments qui sont"
"434200","436480"," destinés à bloquer les canaux calciques comme l "
"436480","438920","'étosuximide et la prégabaline. "
"441400","444020"," L'absorption des médicaments antiépileptiques est bonne par"
"444020","444560"," voie orale."
"444680","447200"," Pour la majorité des médicaments, on trouve une"
"447200","451080"," biodisponibilité entre 80 et 100% de la"
"451080","452000"," dose administrée."
"452000","454160"," De ce fait, la majorité de ces médicaments"
"454160","457100"," sont administrés sous forme de comprimés ou d "
"457100","458200","'autres formes galéniques. "
"458740","462660"," Leur fixation protéique est variable, d'une fixation"
"462660","464540"," faible à une fixation forte."
"464920","467940"," Mais généralement, même si la fixation des médicaments"
"467940","470500"," est forte, il n'y a pas un"
"470500","473160"," retentissement en termes d'interaction médicamenteuse."
"473160","476380"," Le métabolisme de ces médicaments est hépatique avec"
"476380","479000"," la possibilité de production de métabolites actifs comme"
"479000","481840"," pour la primidone et les benzodiazépines. "
"482720","486520"," Leur élimination peut être urinaire ou fécale."
"487320","490380"," Leur demi-vie est variable, entre une demi "
"490380","491960","-vie qui est courte à une demi-vie"
"491960","494380"," qui est très longue, ce qui peut retentir"
"494380","495700"," sur l'état d'équilibre."
"495700","499520"," Par exemple, pour le Phenobarbital dans la demi "
"499520","503120","-vie qui est 100 heures, un état d "
"503120","505820","'équilibre est obtenu après 15 à 30 jours. "
"505940","507720"," Donc, quand on veut faire un dosage du"
"507720","510660"," Phenobarbital, il faut attendre l'état d'équilibre"
"510660","512799"," qui est un petit peu long pour pouvoir"
"512799","515260"," faire le dosage et surveiller le patient."
"515260","520400"," Ce qui nous intéresse dans la pharmacocinétique de"
"520400","522980"," ces médicaments antiépileptiques, c'est qu'il y"
"522980","526600"," a des médicaments qui sont inducteurs enzymatiques et"
"526600","529380"," des médicaments qui sont induiteurs enzymatiques, ce qui"
"529380","532340"," va exposer à un nombre important d'interactions"
"532340","533220"," médicamenteuses."
"533620","537160"," Parmi les médicaments inducteurs enzymatiques, on a la"
"537160","540400"," carbamazepine, le Phenobarbital et la phénitoïne. "
"540400","543640"," Ces médicaments s'y sont administrés avec d "
"543640","546060","'autres médicaments qui sont métabolisés par la même"
"546060","546820"," voie métabolique."
"547000","550180"," On peut voir une diminution de leur effet"
"550180","553720"," du fait de cet effet inducteur enzymatique des"
"553720","555140"," médicaments antiépileptiques."
"555760","558060"," Il y a aussi un effet d'auto "
"558060","558740","-induction. "
"559040","562160"," Ces médicaments peuvent induire leur propre métabolisme et"
"562160","563760"," on peut avoir au fur et à mesure,"
"564220","567080"," au fil du temps, une inefficacité de ces"
"567080","569580"," molécules qui induisent leur propre métabolisme."
"569580","573000"," Pour les inhibiteurs enzymatiques, on a l'acide"
"573000","574600"," valproïque et le felbamate."
"574860","577640"," Ces médicaments, quand ils sont administrés avec des"
"577640","579820"," médicaments qui sont métabolisés par la même voie"
"579820","583640"," métabolique, on va voir leur concentration augmenter du"
"583640","586160"," fait de cet effet inhibiteur enzymatique. "
"589420","592160"," L'hétérogénéité des formes cliniques dans la maladie"
"592160","596160"," épileptique fait que les médicaments antiépileptiques ont une"
"596160","597260"," efficacité variable."
"597260","599480"," On ne peut pas prescrire toutes les molécules"
"599480","601860"," dans tous les types d'épilepsie."
"602060","604480"," De ce fait, on distingue entre les médicaments"
"604480","606780"," qui ont un spectre large, comme l'acide"
"606780","610640"," valproïque, la lamotrigine et le levé thyracétam, qui"
"610640","613520"," peuvent couvrir la majorité des formes cliniques de"
"613520","615220"," l'épilepsie, alors qu'il y a des"
"615220","617780"," médicaments qui ont un spectre étroit et qui"
"617780","619840"," ne sont prescrits que dans un type d "
"619840","622420","'épilepsie précis comme l'hétosuccinide. "
"622420","626100"," Généralement, ces médicaments sont utilisés en monothérapie, mais"
"626100","628760"," quand le patient ne répond pas bien à"
"628760","632120"," cette monothérapie, on peut ajouter un deuxième antiépileptique,"
"632460","633900"," mais il faut noter qu'il y a"
"633900","637080"," un problème de résistance chez 30% des"
"637080","640700"," patients, donc il faut chercher une autre alternative"
"640700","641440"," thérapeutique."
"644260","647260"," Certains antiépileptiques peuvent avoir d'autres indications que"
"647260","649380"," le traitement de la maladie épileptique."
"649380","653680"," Par exemple, la carbamazepine, la gabapentine et la"
"653680","656760"," prégabaline peuvent être prescrits dans les douleurs neuropathiques"
"656760","658880"," qu'on peut voir chez le diabétique ou"
"658880","660360"," après une infection par zona. "
"661100","663520"," D'autres médicaments comme l'acide valproïque et"
"663520","667860"," la carbamazepine peuvent être prescrits en fonction de"
"667860","670020"," l'état du patient dans les troubles bipolaires."
"673240","676220"," Parmi les effets indésirables des antiépileptiques, on note"
"676220","677840"," des effets sur le comportement."
"677840","681760"," Le patient peut présenter une somnolence, une fatigabilité. "
"682440","685180"," On peut avoir des problèmes d'attention, de"
"685180","688760"," concentration et de mémorisation, ce qui peut gêner"
"688760","690620"," la scolarité d'un enfant."
"691220","693280"," On peut avoir chez la femme enceinte aussi"
"693280","696300"," des effets teratogènes qui sont vus avec la"
"696300","699200"," carbamazepine et l'acide valproïque comme les anomalies"
"699200","700660"," de fermeture du tube neural."
"701640","704280"," On peut avoir des troubles digestifs, des douleurs"
"704280","706100"," abdominales, des nausées, des vomissements. "
"706100","708380"," Ce sont généralement des effets qui sont dose "
"708380","709240","-dépendants."
"709660","711940"," A côté des effets dose-dépendants, on peut"
"711940","714160"," avoir des effets qui ne sont pas liés"
"714160","714720"," à la dose."
"714960","717640"," Généralement, ce sont des effets sur le foie,"
"718120","719980"," des effets hématologiques et cutanés. "
"721840","723820"," Au niveau du foie, on peut avoir une"
"723820","726720"," toxicité hépatique qui peut se manifester sous forme"
"726720","729380"," d'une hépatite aiguë, qui apparaît généralement dans"
"729380","732640"," les 10 premières semaines du traitement."
"735460","738860"," On peut avoir la toxicité hématologique qui peut"
"738860","745040"," partir de la thrombopénie, la leukopénie jusqu'à"
"745040","747280"," la plasie médulaire comme c'est vu avec"
"747280","747800"," la carbamazepine."
"748500","751480"," On peut avoir des anémies avec le felbamate. "
"752840","755940"," On peut avoir des toxicités cutanées qui sont"
"755940","759680"," généralement des réactions d'hypersensibilisation et qui peuvent"
"759680","761560"," se manifester sous plusieurs formes."
"761560","766360"," Par exemple, un syndrome de Steven Johnson, un"
"766360","768920"," lupus, on peut avoir une érythrodermie aussi."
"771720","774820"," Parmi les contre-indications de médicaments antiépileptiques, on"
"774820","778280"," trouve l'hypersensibilité, c'est-à-dire on"
"778280","780580"," contre-indique l'utilisation du médicament à un"
"780580","782420"," patient allergique à ce médicament. "
"783320","786880"," L'insuffisance respiratoire sévère pour certains médicaments comme"
"786880","790520"," les benzodiazepines et les barbituriques du fait que"
"790520","794340"," ces médicaments peuvent être responsables d'une dépression"
"794340","798380"," respiratoire surtout si on utilise les benzodiazepines à"
"798380","799060"," forte dose."
"800240","803900"," Les troubles hépatiques sont une contre-indication pour"
"803900","806440"," les médicaments qui donnent une atteinte hépatique comme"
"806440","808280"," l'acide valproïque et le felbamate."
"809180","812660"," Aussi, les troubles hématologiques contre-indiquent l'utilisation"
"812660","816120"," des médicaments qui sont responsables d'atteintes hématologiques. "
"817040","820140"," La carbamazépine est contre-indiquée lorsque le patient"
"820140","824560"," présente un bloc auriculoventriculaire qui peut être aggravé"
"824560","826880"," par la prise de la carbamazépine parce qu "
"826880","829980","'elle donne aussi parmi ses effets secondaires un"
"829980","831120"," bloc auriculoventriculaire."
"832420","836540"," La porphyrie contre-indique l'utilisation des barbituriques"
"836540","839340"," et des carbamazépines parce que ce sont des"
"839340","842800"," médicaments inducteurs enzymatiques qui peuvent aggraver la maladie."
"844940","848660"," Dans les interactions médicamenteuses, nous allons parler seulement"
"848660","851960"," des interactions de type contre-indications ou associations"
"851960","852680"," déconseillées. "
