"start","end","text"
"5190","7550"," Bonjour, on va essayer aujourd'hui de parler"
"7550","10230"," de nouvelle classe thérapeutique qui est les bêtas"
"10230","12070"," bloquants et comme son nom l'indique, c "
"12070","14390","'est des médicaments qui vont essayer de bloquer"
"14390","17250"," les bêtas récepteurs adrénergiques."
"17730","19850"," Alors, comme objectif, du coup, nous avons, nous"
"19850","22030"," allons placer les bêtas bloquants parce qu'il"
"22030","24990"," y a plusieurs classifications qui permet de les"
"24990","28910"," subdiviser selon leurs caractéristiques, leurs propriétés pharmacokinétiques,"
"29030","31850"," pharmacodynamics, mais évidemment les indications et les contraindications"
"31850","32570"," et les effets secondaires."
"33410","35790"," Alors, les bêtas bloquants représentent une des classes"
"35790","38610"," majeures en pathologie cardiovasculaire parce qu'ils sont"
"38610","41690"," utilisés dans plusieurs pathologies, à savoir hypertension artérielle"
"41690","47770"," essentielle, l'insuffisance coronaire, l'insuffisance cardiaque chronique"
"47770","49650"," et certains troubles du rythme. "
"50170","52050"," Et bien évidemment, ils ont d'autres indications"
"52050","55750"," non cardiovasculaires, telles que des indications dans quelques"
"55750","60570"," pathologies digestives et des pathologies oftalmologiques."
"61170","65450"," Ces molécules représentent une classe qui est hétérogène."
"65590","66750"," On va voir qu'ils vont combiner de"
"66750","69030"," façon à y avoir plusieurs effets pharmacologiques. "
"69530","72110"," Et cette hétérogénéité va nous aider justement pour"
"72110","74630"," guider le choix du bêta bloquant en fonction"
"74630","76710"," de la situation clinique par laquelle on se"
"76710","76930"," retrouve."
"77910","79950"," Alors, je passe du cas clinique que vous"
"79950","82330"," aurez l'occasion de voir à la fin."
"83750","85190"," Alors, c'est quoi les bêtas bloquants?"
"85350","87990"," C'est des médicaments qui sont des inhibiteurs"
"87990","93190"," compétitifs, des catecholamines sur leur site récepteur qui"
"93190","94410"," sont les bêtas adrénergiques. "
"94450","95450"," C'est quoi les catecholamines?"
"95870","98030"," Vous connaissez les catecholamines endogènes qui sont l "
"98030","101590","'adrénaline et la noradrénaline et exogène qu'on"
"101590","103750"," pourrait nous même introduire."
"103910","105110"," C'est l'isoprénaline."
"105590","107670"," Et puis, les récepteurs bêtas adrénergiques. "
"107790","109270"," Vous avez deux types de récepteurs."
"109390","112630"," Vous avez bêta 1 et vous avez bêta"
"112630","112850"," 2."
"113270","115430"," Alors, je vous rappelle les récepteurs bêta."
"116310","119470"," Alors, bêta 1, ils sont préférentiellement situés au"
"119470","120130"," niveau cardiaque. "
"120430","124630"," Quand on les stimule, ça entraîne un effet"
"125510","126990"," chronotropositive, c'est à dire on va augmenter"
"126990","127830"," la fréquence cardiaque."
"128509","130450"," Inotropositive, augmenter la contractilité."
"130950","134830"," Dromotrophositive, augmenter la conductivité auriculoventriculaire. "
"134950","140510"," Et batromotrophositive, augmenter l'excitabilité cardiaque."
"140590","143470"," Et enfin, stimuler le récepteur bêta 1 va"
"143470","146070"," faire sécréter de l'adrénaline par le rein."
"146510","149510"," Quant aux récepteurs bêta 2, ils sont surtout"
"149510","151870"," présents au niveau vasculaire et branchique. "
"152570","154730"," Grossièrement, l'effet le plus important qui nous"
"154730","160330"," intéresse, c'est la vasodilatation et la brancodilatation,"
"160570","163010"," donc relaxation des fébrilistes, des vaisseaux et des"
"163010","163330"," branches."
"163910","165990"," Puis, vous avez d'autres effets, sécrétion de"
"165990","166830"," l'humeur aqueuse."
"167350","170030"," Vous avez stimulation de la glycogénolise, stimulation de"
"170030","171690"," la sécrétion de l'insuline et du glucagon,"
"171770","173130"," puis un effet sur les problèmes musculaires. "
"173510","176250"," L'effet essentiel qui nous intéresse, c'est"
"176250","179210"," la vasodilatation et la brancodilatation."
"180510","183030"," Plusieurs bêtas bloquantes sont commercialisées en Maroc."
"183170","187410"," Donc, nous avons quelques classes qui paraissent intéressantes. "
"187550","189330"," Nous avons l'ancienne molécule qui est l "
"189330","189850","'athénolol."
"190330","195210"," Actuellement, nous avons trois grandes molécules qui prédominent"
"195210","195550"," cette classe."
"195650","197970"," Nous avons le bisoprolol, nous avons le carvédilol"
"197970","199870"," et le nébivolol. "
"200010","201890"," Et puis, vous avez le propanolol qui garde"
"201890","202770"," une indication large."
"203130","205910"," Surtout, les pathologies extrapartiales."
"206630","208790"," Alors, la classification des bêtas bloquants est un"
"208790","211090"," chapitre essentiel dans ce cours. "
"211670","215290"," Alors, vous avez deux propriétés essentielles qui en"
"215290","216830"," auraient d'autres qui seraient accessoires."
"217470","219670"," Deux propriétés essentielles qu'il faut mémoriser, qui"
"219670","221430"," permettent de subdiviser les bêtas bloquants."
"221830","224490"," Vous avez la sélectivité et puis, vous avez"
"224490","226510"," comme deuxième action, l'activité, c'est un"
"226510","227570"," patholimétique en français. "
"228210","229910"," C'est quoi la sélectivité?"
"230650","233370"," C'est un petit peu la capacité de"
"233370","236010"," supprimer tous les effets bêta adrénaline, c'est"
"236010","237410"," à dire bêta 1 et bêta 2."
"237570","239050"," Quand vous avez un bêta bloquant qui va"
"239050","241250"," inhiber bêta 1 et bêta 2, c'est"
"241250","244070"," des bêtas bloquants non sélectifs type propanolol."
"244490","246950"," Quand vous avez un bêta bloquant qui va"
"246950","250630"," uniquement inhiber les bêta 1 et ne pas"
"250630","252870"," inhiber le bêta 2, c'est des médicaments"
"252870","256350"," qui sont sélectifs parce qu'ils sont sélectionnés"
"256350","257950"," un petit peu les récepteurs bêta 1."
"257950","260550"," Vous avez comme type l'athénologue."
"261430","263550"," Deuxième propriété, vous avez l'activité, c'est"
"263550","264870"," un patholimétique en français. "
"265050","266430"," Comme son nom l'indique, il y a"
"266430","269410"," une partie dans la molécule, vous avez si"
"269410","271770"," vous avez la molécule sur le plan structural"
"271770","274310"," qui posait deux parties, une partie qui va"
"274310","277650"," être bêta, soit dire bêta bloquante."
"277790","280830"," Une partie qui va être bêta stimulante, c "
"280830","281990","'est à dire qu'on va essayer de"
"281990","284730"," mimer le système nerveux sympathique dans la partie"
"284730","285710"," bêta stimulante."
"285710","289090"," Par contre, dans la partie bêta bloquante, on"
"289090","291470"," va inhiber le système nerveux sympathique. "
"292050","294990"," Alors ceci, il a comme type, c'est"
"294990","295930"," l'acébutolone."
"296430","301590"," Ces molécules là qui possèdent cette partie, une"
"301590","305810"," partie d'activité agoniste partielle bêta stimulante permettent"
"305810","308650"," surtout d'avoir un effet bêta bloquant, c "
"308650","310630","'est à dire baisser la fréquence cardiaque au"
"310630","313810"," repos et de la laisser augmenter au cours"
"313810","316930"," de l'effort grâce à cette activité sympathomimétique"
"316930","317530"," intrinsèque."
"317690","321970"," Une partie de cette activité sympathomimétique intrinsèque. "
"322370","326050"," Et ceci est idéal chez les sportifs pour"
"326050","328290"," conserver un petit peu leur activité sportive."
"329750","332510"," D'autres propriétés à moindre importance par rapport"
"332510","334690"," aux deux premières, vous avez quelques bêta bloquants"
"334690","337210"," qui ont un effet vasodilatateur."
"337390","337570"," Pourquoi?"
"337730","340730"," Parce que certains bêta bloquants vont agir sur"
"340730","342090"," les récepteurs alpha. "
"342090","344210"," Comme vous le savez, les récepteurs alpha, quand"
"344210","346730"," on les stimule et sont vasoconstricteurs et qu "
"346730","348870","'on va les inhiber, on aurait une action"
"348870","352810"," vasodilatatrice et ceci, on pourrait l'avoir grâce"
"352810","353770"," au carvédilol."
"354030","355630"," Puis vous avez d'autres bêta bloquants qui"
